Date,Open,High,Low,Close,Volume,Name
2020-04-07 07:15:00,13.95,14.0,13.95,14.0,0,AES
2020-04-07 07:45:00,14.15,14.15,14.15,14.15,0,AES
2020-04-07 08:15:00,15.24,15.24,15.24,15.24,0,AES
2020-04-07 08:30:00,14.01,14.01,14.01,14.01,0,AES
2020-04-07 09:15:00,13.62,13.62,13.62,13.62,0,AES
2020-04-07 09:30:00,14.33,14.4,14.13,14.27,339972,AES
2020-04-07 09:45:00,14.29,14.55,14.29,14.54,161522,AES
2020-04-07 10:00:00,14.57,14.61,14.25,14.3,202436,AES
2020-04-07 10:15:00,14.31,14.31,14.03,14.06,156162,AES
2020-04-07 10:30:00,14.05,14.3,14.04,14.26,190286,AES
2020-04-07 10:45:00,14.27,14.28,14.02,14.05,222797,AES
2020-04-07 11:00:00,14.05,14.27,14.0,14.18,158744,AES
2020-04-07 11:15:00,14.2,14.27,14.05,14.12,136226,AES
2020-04-07 11:30:00,14.11,14.2,14.08,14.16,97326,AES
2020-04-07 11:45:00,14.18,14.2,14.03,14.06,98319,AES
2020-04-07 12:00:00,14.06,14.2,14.06,14.18,156031,AES
2020-04-07 12:15:00,14.19,14.27,14.1,14.15,100961,AES
2020-04-07 12:30:00,14.15,14.18,14.06,14.09,86125,AES
2020-04-07 12:45:00,14.1,14.13,13.98,14.01,158021,AES
2020-04-07 13:00:00,14.02,14.03,13.88,13.91,104761,AES
2020-04-07 13:15:00,13.91,13.92,13.75,13.85,149774,AES
2020-04-07 13:30:00,13.85,13.87,13.69,13.71,143287,AES
2020-04-07 13:45:00,13.72,13.79,13.66,13.73,152635,AES
2020-04-07 14:00:00,13.73,13.74,13.53,13.63,182207,AES
2020-04-07 14:15:00,13.62,13.66,13.51,13.56,189992,AES
2020-04-07 14:30:00,13.56,13.6,13.32,13.34,228306,AES
2020-04-07 14:45:00,13.35,13.39,13.24,13.29,240761,AES
2020-04-07 15:00:00,13.3,13.5,13.29,13.45,243419,AES
2020-04-07 15:15:00,13.45,13.45,13.22,13.27,233503,AES
2020-04-07 15:30:00,13.28,13.47,13.24,13.44,293694,AES
2020-04-07 15:45:00,13.44,13.52,13.2,13.23,750308,AES
2020-04-07 16:00:00,13.23,13.23,13.23,13.23,0,AES
2020-04-07 16:15:00,13.23,13.23,13.23,13.23,0,AES
2020-04-07 16:30:00,13.23,13.23,13.23,13.23,0,AES
2020-04-08 09:30:00,13.18,13.41,13.16,13.33,244729,AES
2020-04-08 09:45:00,13.34,13.44,13.24,13.29,130800,AES
2020-04-08 10:00:00,13.29,13.35,13.19,13.3,112234,AES
2020-04-08 10:15:00,13.29,13.52,13.26,13.48,93876,AES
2020-04-08 10:30:00,13.49,13.56,13.35,13.39,89633,AES
2020-04-08 10:45:00,13.39,13.57,13.37,13.48,187607,AES
2020-04-08 11:00:00,13.49,13.66,13.47,13.64,206217,AES
2020-04-08 11:15:00,13.64,13.75,13.63,13.71,91822,AES
2020-04-08 11:30:00,13.71,13.78,13.68,13.77,140315,AES
2020-04-08 11:45:00,13.77,13.79,13.64,13.64,81252,AES
2020-04-08 12:00:00,13.65,13.65,13.52,13.55,96426,AES
2020-04-08 12:15:00,13.54,13.65,13.54,13.56,69235,AES
2020-04-08 12:30:00,13.57,13.68,13.57,13.67,123825,AES
2020-04-08 12:45:00,13.67,13.76,13.65,13.73,100316,AES
2020-04-08 13:00:00,13.74,13.75,13.62,13.71,80829,AES
2020-04-08 13:15:00,13.71,13.9,13.71,13.86,112895,AES
2020-04-08 13:30:00,13.86,13.86,13.74,13.74,80304,AES
2020-04-08 13:45:00,13.74,13.84,13.74,13.76,89741,AES
2020-04-08 14:00:00,13.77,13.94,13.76,13.89,107619,AES
2020-04-08 14:15:00,13.9,13.97,13.85,13.95,114705,AES
2020-04-08 14:30:00,13.96,14.09,13.95,14.02,184615,AES
2020-04-08 14:45:00,14.02,14.11,14.01,14.1,152818,AES
2020-04-08 15:00:00,14.09,14.22,14.08,14.1,154176,AES
2020-04-08 15:15:00,14.1,14.16,14.05,14.16,187534,AES
2020-04-08 15:30:00,14.16,14.24,14.03,14.14,281842,AES
