Date,Open,High,Low,Close,Volume,Name
2020-04-07 08:00:00,37.75,37.75,37.75,37.75,0,AIV
2020-04-07 08:45:00,39.5,39.5,39.5,39.5,0,AIV
2020-04-07 09:30:00,37.2,37.52,36.74,37.19,165904,AIV
2020-04-07 09:45:00,37.21,37.26,36.39,36.67,121513,AIV
2020-04-07 10:00:00,36.64,36.82,35.46,35.52,91980,AIV
2020-04-07 10:15:00,35.51,35.92,35.08,35.76,161847,AIV
2020-04-07 10:30:00,35.78,36.04,35.31,35.33,90577,AIV
2020-04-07 10:45:00,35.31,35.4,34.45,34.92,84008,AIV
2020-04-07 11:00:00,34.94,35.84,34.88,35.58,48871,AIV
2020-04-07 11:15:00,35.64,35.71,35.11,35.58,51881,AIV
2020-04-07 11:30:00,35.57,36.06,35.5,36.06,59001,AIV
2020-04-07 11:45:00,36.06,36.18,35.35,35.43,51223,AIV
2020-04-07 12:00:00,35.4,35.5,35.22,35.5,33224,AIV
2020-04-07 12:15:00,35.51,35.66,35.41,35.51,58138,AIV
2020-04-07 12:30:00,35.52,35.57,35.19,35.23,48364,AIV
2020-04-07 12:45:00,35.29,35.53,35.17,35.53,49489,AIV
2020-04-07 13:00:00,35.55,35.62,35.21,35.21,61747,AIV
2020-04-07 13:15:00,35.21,35.24,34.99,35.21,60238,AIV
2020-04-07 13:30:00,35.17,35.35,35.15,35.23,155136,AIV
2020-04-07 13:45:00,35.24,35.35,35.23,35.25,81113,AIV
2020-04-07 14:00:00,35.24,35.28,34.85,35.0,75763,AIV
2020-04-07 14:15:00,34.99,35.15,34.65,35.05,90396,AIV
2020-04-07 14:30:00,34.99,35.09,34.36,34.54,73077,AIV
2020-04-07 14:45:00,34.56,34.91,34.56,34.75,131603,AIV
2020-04-07 15:00:00,34.73,34.94,34.66,34.81,303494,AIV
2020-04-07 15:15:00,34.79,34.85,34.32,34.51,82501,AIV
2020-04-07 15:30:00,34.51,35.13,34.48,34.98,79975,AIV
2020-04-07 15:45:00,34.99,35.25,34.39,34.46,357233,AIV
2020-04-07 16:00:00,34.46,34.46,34.46,34.46,0,AIV
2020-04-07 16:15:00,34.46,35.3,34.46,35.3,0,AIV
2020-04-07 16:30:00,34.46,34.46,34.46,34.46,0,AIV
2020-04-08 09:30:00,35.2,35.2,33.99,34.33,174391,AIV
2020-04-08 09:45:00,34.51,34.78,34.4,34.44,59554,AIV
2020-04-08 10:00:00,34.51,34.81,34.32,34.58,139711,AIV
2020-04-08 10:15:00,34.58,34.93,34.49,34.65,37121,AIV
2020-04-08 10:30:00,34.65,34.93,34.46,34.54,120827,AIV
2020-04-08 10:45:00,34.56,34.67,34.27,34.49,47908,AIV
2020-04-08 11:00:00,34.41,34.55,34.26,34.42,29703,AIV
2020-04-08 11:15:00,34.45,35.04,34.45,34.88,82052,AIV
2020-04-08 11:30:00,34.86,35.15,34.78,34.99,102900,AIV
2020-04-08 11:45:00,34.98,35.11,34.77,34.79,32789,AIV
2020-04-08 12:00:00,34.79,34.93,34.7,34.93,41573,AIV
2020-04-08 12:15:00,34.95,35.22,34.83,34.84,18229,AIV
2020-04-08 12:30:00,34.92,35.35,34.91,35.32,94654,AIV
2020-04-08 12:45:00,35.32,35.68,35.2,35.26,52496,AIV
2020-04-08 13:00:00,35.29,35.54,35.23,35.53,30772,AIV
2020-04-08 13:15:00,35.53,35.83,35.53,35.65,22976,AIV
2020-04-08 13:30:00,35.65,35.65,35.44,35.49,36104,AIV
2020-04-08 13:45:00,35.49,35.79,35.49,35.68,90999,AIV
2020-04-08 14:00:00,35.69,36.32,35.69,36.16,40786,AIV
2020-04-08 14:15:00,36.2,36.42,36.14,36.38,44733,AIV
2020-04-08 14:30:00,36.42,36.6,36.34,36.37,40378,AIV
2020-04-08 14:45:00,36.42,36.46,36.17,36.38,71385,AIV
2020-04-08 15:00:00,36.4,36.62,36.19,36.19,54967,AIV
2020-04-08 15:15:00,36.17,36.43,36.1,36.38,89543,AIV
2020-04-08 15:30:00,36.36,36.52,36.0,36.2,99540,AIV
2020-04-08 15:45:00,36.13,36.87,36.03,36.53,234241,AIV
2020-04-08 16:00:00,36.54,36.54,36.54,36.54,0,AIV
2020-04-08 16:15:00,36.54,36.54,36.54,36.54,0,AIV
2020-04-08 16:30:00,36.54,36.54,36.54,36.54,0,AIV
2020-04-08 18:15:00,36.59,36.59,36.59,36.59,0,AIV
2020-04-09 09:30:00,37.42,39.42,37.12,39.1,59190,AIV
2020-04-09 09:45:00,39.23,39.92,39.19,39.7,67134,AIV
2020-04-09 10:00:00,39.7,39.75,39.06,39.48,83989,AIV
2020-04-09 10:15:00,39.51,39.97,39.31,39.62,69871,AIV
2020-04-09 10:30:00,39.56,40.17,39.3,39.94,68680,AIV
2020-04-09 10:45:00,40.04,40.35,39.62,40.25,44319,AIV
2020-04-09 11:00:00,40.17,40.24,39.4,39.65,110704,AIV
2020-04-09 11:15:00,39.73,40.55,39.64,40.53,27230,AIV
2020-04-09 11:30:00,40.52,40.8,40.2,40.33,43881,AIV
2020-04-09 11:45:00,40.38,41.04,40.2,41.01,67437,AIV
2020-04-09 12:00:00,41.04,41.16,40.4,40.51,43018,AIV
