Date,Open,High,Low,Close,Volume,Name
2020-04-07 04:15:00,156.32,158.85,156.0,157.35,0,BA
2020-04-07 04:30:00,157.35,158.58,157.01,157.95,0,BA
2020-04-07 04:45:00,157.85,158.5,157.1,158.14,0,BA
2020-04-07 05:00:00,157.97,157.97,157.2,157.49,0,BA
2020-04-07 05:15:00,157.23,157.23,157.0,157.1,0,BA
2020-04-07 05:30:00,157.11,157.11,156.0,156.33,0,BA
2020-04-07 05:45:00,156.33,156.8,156.2,156.35,0,BA
2020-04-07 06:00:00,156.33,156.8,156.33,156.42,0,BA
2020-04-07 06:15:00,156.51,158.5,156.45,158.0,0,BA
2020-04-07 06:30:00,158.43,159.7,158.0,158.62,0,BA
2020-04-07 06:45:00,158.53,159.08,157.95,158.55,0,BA
2020-04-07 07:00:00,158.85,158.85,158.0,158.18,0,BA
2020-04-07 07:15:00,158.5,159.42,156.6,159.4,0,BA
2020-04-07 07:30:00,159.4,160.9,158.26,160.5,0,BA
2020-04-07 07:45:00,160.68,163.19,160.4,161.51,0,BA
2020-04-07 08:00:00,161.54,161.99,159.16,160.35,0,BA
2020-04-07 08:15:00,160.5,163.2,156.6,161.52,0,BA
2020-04-07 08:30:00,161.56,162.3,160.5,160.7,0,BA
2020-04-07 08:45:00,160.7,163.58,160.3,163.06,0,BA
2020-04-07 09:00:00,163.12,163.97,162.19,163.27,0,BA
2020-04-07 09:15:00,163.3,163.7,162.55,162.9,0,BA
2020-04-07 09:30:00,162.0,163.63,156.68,159.07,6956661,BA
2020-04-07 09:45:00,159.04,164.03,157.3,163.78,3924619,BA
2020-04-07 10:00:00,163.79,164.8,158.2,158.64,3639223,BA
2020-04-07 10:15:00,158.67,160.0,155.99,156.06,3088337,BA
2020-04-07 10:30:00,156.12,158.57,152.1,152.85,2474833,BA
2020-04-07 10:45:00,152.9,154.0,148.63,153.52,3839887,BA
2020-04-07 11:00:00,153.58,155.8,151.37,154.03,2101534,BA
2020-04-07 11:15:00,154.01,155.95,150.44,152.29,1922161,BA
2020-04-07 11:30:00,152.38,155.36,152.14,155.0,1583202,BA
2020-04-07 11:45:00,155.09,155.21,152.03,153.52,1290060,BA
2020-04-07 12:00:00,153.6,154.67,153.17,153.78,1028251,BA
2020-04-07 12:15:00,153.8,155.82,153.01,154.23,1344419,BA
2020-04-07 12:30:00,154.27,155.0,153.5,154.36,813556,BA
2020-04-07 12:45:00,154.44,154.87,152.22,152.7,1009746,BA
2020-04-07 13:00:00,152.96,152.98,151.21,151.97,1199099,BA
2020-04-07 13:15:00,151.95,151.98,150.25,151.76,996344,BA
2020-04-07 13:30:00,151.8,151.88,149.6,149.96,1104429,BA
2020-04-07 13:45:00,149.91,150.64,147.0,147.29,1663872,BA
2020-04-07 14:00:00,147.25,147.44,144.13,145.39,2252448,BA
2020-04-07 14:15:00,145.28,147.45,143.5,146.74,1936259,BA
2020-04-07 14:30:00,146.72,147.55,142.51,142.68,1830517,BA
2020-04-07 14:45:00,142.69,143.7,140.26,141.84,2115011,BA
2020-04-07 15:00:00,141.9,145.31,141.7,144.22,1976481,BA
2020-04-07 15:15:00,144.14,145.0,141.02,141.5,1778692,BA
2020-04-07 15:30:00,141.5,143.46,141.0,142.32,1622575,BA
2020-04-07 15:45:00,142.29,143.84,141.41,141.51,2193519,BA
2020-04-07 16:00:00,141.68,141.68,141.58,141.58,0,BA
2020-04-07 16:15:00,141.67,142.25,140.86,141.22,0,BA
2020-04-07 16:30:00,141.25,141.58,141.0,141.28,0,BA
2020-04-07 16:45:00,141.38,141.5,140.75,141.0,0,BA
2020-04-07 17:00:00,141.02,141.75,141.0,141.75,0,BA
2020-04-07 17:15:00,141.68,141.68,141.1,141.6,0,BA
2020-04-07 17:30:00,141.4,141.6,140.89,141.15,0,BA
2020-04-07 17:45:00,141.15,141.3,140.91,141.0,0,BA
2020-04-07 18:00:00,141.15,141.42,141.13,141.42,0,BA
2020-04-07 18:15:00,141.42,141.44,141.0,141.05,0,BA
2020-04-07 18:30:00,141.2,141.25,141.04,141.04,0,BA
2020-04-07 18:45:00,141.02,141.15,140.56,140.56,0,BA
2020-04-07 19:00:00,140.56,140.9,140.35,140.55,0,BA
