Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:15:00,469.0,469.0,469.0,469.0,0,CHTR
2020-04-07 09:30:00,472.83,473.77,465.02,470.33,120245,CHTR
2020-04-07 09:45:00,470.52,475.15,469.91,473.11,59266,CHTR
2020-04-07 10:00:00,472.8,472.8,465.01,465.17,56378,CHTR
2020-04-07 10:15:00,464.9,469.79,464.9,469.34,46058,CHTR
2020-04-07 10:30:00,470.03,471.63,466.41,466.41,55048,CHTR
2020-04-07 10:45:00,467.2,467.2,462.26,462.95,51850,CHTR
2020-04-07 11:00:00,463.33,465.78,460.1,463.58,45878,CHTR
2020-04-07 11:15:00,464.1,464.78,461.69,463.63,55490,CHTR
2020-04-07 11:30:00,463.64,465.4,462.37,464.33,67876,CHTR
2020-04-07 11:45:00,464.51,465.63,463.01,463.93,45924,CHTR
2020-04-07 12:00:00,463.67,468.43,463.14,467.19,54887,CHTR
2020-04-07 12:15:00,467.19,467.36,464.91,465.51,33317,CHTR
2020-04-07 12:30:00,465.6,465.95,463.9,464.04,32864,CHTR
2020-04-07 12:45:00,465.0,465.83,463.52,463.76,27864,CHTR
2020-04-07 13:00:00,464.6,465.2,462.73,462.98,35560,CHTR
2020-04-07 13:15:00,462.97,463.02,460.46,460.87,43753,CHTR
2020-04-07 13:30:00,460.64,461.17,458.45,458.46,66460,CHTR
2020-04-07 13:45:00,458.46,459.65,457.45,458.36,48734,CHTR
2020-04-07 14:00:00,458.67,459.26,455.83,457.44,33763,CHTR
2020-04-07 14:15:00,457.46,457.72,455.7,456.25,35088,CHTR
2020-04-07 14:30:00,456.25,457.3,453.61,453.68,51635,CHTR
2020-04-07 14:45:00,454.48,455.65,452.6,452.82,32727,CHTR
2020-04-07 15:00:00,452.68,456.92,452.61,455.51,63468,CHTR
2020-04-07 15:15:00,455.58,455.86,449.83,451.88,53683,CHTR
2020-04-07 15:30:00,451.69,457.1,451.15,455.26,60441,CHTR
2020-04-07 15:45:00,455.32,458.0,450.0,451.49,172877,CHTR
2020-04-07 16:00:00,451.42,451.75,451.42,451.75,0,CHTR
2020-04-07 16:15:00,451.75,451.75,451.75,451.75,0,CHTR
2020-04-07 16:45:00,451.75,451.75,451.75,451.75,0,CHTR
2020-04-08 09:30:00,456.67,458.71,452.02,455.11,27249,CHTR
2020-04-08 09:45:00,454.96,455.66,453.02,453.02,48632,CHTR
2020-04-08 10:00:00,454.64,455.8,450.97,454.4,13585,CHTR
2020-04-08 10:15:00,455.12,455.12,452.24,453.72,19390,CHTR
2020-04-08 10:30:00,454.03,454.5,451.7,452.62,30789,CHTR
2020-04-08 10:45:00,452.91,456.56,452.83,456.55,24814,CHTR
2020-04-08 11:00:00,456.91,459.45,455.85,459.08,24675,CHTR
2020-04-08 11:15:00,458.86,460.3,457.89,459.93,28501,CHTR
2020-04-08 11:30:00,460.05,461.36,458.95,459.06,33685,CHTR
2020-04-08 11:45:00,459.02,459.08,456.41,456.46,29858,CHTR
2020-04-08 12:00:00,456.63,458.82,456.63,458.27,20449,CHTR
2020-04-08 12:15:00,458.32,459.86,458.17,458.28,12960,CHTR
2020-04-08 12:30:00,458.61,461.38,458.12,461.17,18455,CHTR
2020-04-08 12:45:00,461.52,462.45,460.55,460.83,20303,CHTR
2020-04-08 13:00:00,461.35,461.36,459.29,459.81,19645,CHTR
2020-04-08 13:15:00,459.79,461.39,459.78,459.9,22028,CHTR
2020-04-08 13:30:00,460.03,460.28,457.18,457.18,30527,CHTR
2020-04-08 13:45:00,457.54,457.59,456.15,456.81,20529,CHTR
2020-04-08 14:00:00,456.79,458.6,456.55,458.11,26997,CHTR
2020-04-08 14:15:00,458.33,461.59,458.33,461.24,24232,CHTR
2020-04-08 14:30:00,461.31,462.9,461.24,461.72,30685,CHTR
2020-04-08 14:45:00,461.97,462.92,460.43,462.28,26618,CHTR
2020-04-08 15:00:00,462.52,465.06,461.75,462.69,35928,CHTR
2020-04-08 15:15:00,462.7,464.69,461.73,464.09,34898,CHTR
2020-04-08 15:30:00,464.16,465.13,461.01,463.21,75824,CHTR
2020-04-08 15:45:00,462.69,466.14,462.3,463.09,209378,CHTR
2020-04-08 16:00:00,463.93,463.93,463.93,463.93,0,CHTR
2020-04-08 16:15:00,463.93,463.95,463.92,463.95,0,CHTR
2020-04-08 16:30:00,463.93,463.93,463.93,463.93,0,CHTR
2020-04-08 18:15:00,463.93,463.93,463.93,463.93,0,CHTR
2020-04-09 09:15:00,465.12,467.97,465.12,467.97,0,CHTR
2020-04-09 09:30:00,468.44,469.48,466.0,466.12,85214,CHTR
2020-04-09 09:45:00,466.5,467.05,463.54,465.64,103825,CHTR
2020-04-09 10:00:00,465.65,467.35,463.7,465.02,78610,CHTR
2020-04-09 10:15:00,465.53,465.89,462.26,464.42,33307,CHTR
2020-04-09 10:30:00,464.42,465.5,461.58,462.61,63465,CHTR
2020-04-09 10:45:00,462.73,464.73,462.17,463.02,25388,CHTR
2020-04-09 11:00:00,462.57,462.98,456.57,457.12,55417,CHTR
2020-04-09 11:15:00,457.12,460.49,456.19,460.27,46339,CHTR
2020-04-09 11:30:00,460.23,463.44,459.98,462.96,23754,CHTR
2020-04-09 11:45:00,463.12,465.08,462.44,465.08,24145,CHTR
2020-04-09 12:00:00,464.99,465.41,462.75,464.17,43979,CHTR
2020-04-09 12:15:00,464.3,465.15,463.87,464.3,40845,CHTR
2020-04-09 12:30:00,464.45,465.24,463.21,464.57,52371,CHTR
2020-04-09 12:45:00,464.74,466.13,464.36,465.39,51255,CHTR
2020-04-09 13:00:00,465.37,465.77,464.08,464.49,31299,CHTR
2020-04-09 13:15:00,464.66,465.85,464.15,465.23,46203,CHTR
2020-04-09 13:30:00,465.34,465.5,464.33,465.17,39556,CHTR
2020-04-09 13:45:00,465.44,465.44,464.57,465.07,46299,CHTR
2020-04-09 14:00:00,465.0,465.97,463.79,464.74,33408,CHTR
2020-04-09 14:15:00,464.54,465.83,463.96,465.35,47752,CHTR
2020-04-09 14:30:00,465.48,465.83,464.97,465.51,44656,CHTR
2020-04-09 14:45:00,465.59,465.6,463.14,464.3,28457,CHTR
2020-04-09 15:00:00,464.01,465.3,464.01,465.0,44263,CHTR
2020-04-09 15:15:00,465.15,465.72,464.31,465.39,50123,CHTR
2020-04-09 15:30:00,465.39,466.15,464.61,464.88,79400,CHTR
2020-04-09 15:45:00,464.94,466.86,463.93,466.64,156483,CHTR
2020-04-09 16:00:00,466.63,466.64,466.63,466.64,176143,CHTR
2020-04-09 16:15:00,466.64,466.64,466.64,466.64,0,CHTR
2020-04-09 16:30:00,466.64,466.64,466.64,466.64,0,CHTR
2020-04-13 09:30:00,468.45,469.45,462.62,465.15,42649,CHTR
2020-04-13 09:45:00,464.77,466.99,463.15,466.73,37977,CHTR
2020-04-13 10:00:00,466.91,471.57,466.15,469.68,36563,CHTR
2020-04-13 10:15:00,468.96,469.24,464.69,465.96,22478,CHTR
2020-04-13 10:30:00,465.44,466.99,464.57,466.99,15954,CHTR
2020-04-13 10:45:00,467.05,467.89,466.36,466.7,17154,CHTR
2020-04-13 11:00:00,466.58,467.3,464.43,465.85,26116,CHTR
