Date,Open,High,Low,Close,Volume,Name
2020-04-07 04:15:00,34.44,34.44,34.44,34.44,0,DFS
2020-04-07 06:15:00,35.49,35.49,35.49,35.49,0,DFS
2020-04-07 07:15:00,35.48,35.68,35.48,35.68,0,DFS
2020-04-07 07:30:00,36.27,36.27,36.27,36.27,0,DFS
2020-04-07 07:45:00,36.49,36.55,36.0,36.0,0,DFS
2020-04-07 08:00:00,36.59,37.0,36.59,36.9,0,DFS
2020-04-07 08:15:00,35.68,37.0,35.48,36.9,0,DFS
2020-04-07 08:30:00,36.6,36.95,36.6,36.95,0,DFS
2020-04-07 08:45:00,36.99,37.68,36.96,37.34,0,DFS
2020-04-07 09:00:00,37.5,37.7,37.26,37.65,0,DFS
2020-04-07 09:15:00,37.68,38.0,37.67,38.0,0,DFS
2020-04-07 09:30:00,36.81,39.74,36.81,38.21,792434,DFS
2020-04-07 09:45:00,38.27,39.49,38.01,39.42,264551,DFS
2020-04-07 10:00:00,39.46,39.68,38.24,38.24,283206,DFS
2020-04-07 10:15:00,38.27,38.31,36.71,36.78,316881,DFS
2020-04-07 10:30:00,36.81,37.78,36.77,37.24,175830,DFS
2020-04-07 10:45:00,37.24,37.4,35.74,36.05,282948,DFS
2020-04-07 11:00:00,35.98,37.41,35.82,37.05,186530,DFS
2020-04-07 11:15:00,37.03,37.4,36.56,37.12,131348,DFS
2020-04-07 11:30:00,37.17,37.91,37.05,37.76,134896,DFS
2020-04-07 11:45:00,37.83,37.92,37.39,37.48,97070,DFS
2020-04-07 12:00:00,37.5,38.15,37.5,37.99,109417,DFS
2020-04-07 12:15:00,38.0,38.26,37.51,37.76,99085,DFS
2020-04-07 12:30:00,37.79,37.89,37.22,37.64,181439,DFS
2020-04-07 12:45:00,37.65,37.83,37.53,37.61,54931,DFS
2020-04-07 13:00:00,37.6,37.88,37.5,37.58,175708,DFS
2020-04-07 13:15:00,37.55,37.63,37.05,37.4,156405,DFS
2020-04-07 13:30:00,37.41,37.57,37.2,37.25,97431,DFS
2020-04-07 13:45:00,37.25,37.34,36.72,36.93,145525,DFS
2020-04-07 14:00:00,36.94,37.01,36.51,36.54,112166,DFS
2020-04-07 14:15:00,36.51,36.55,36.07,36.22,158438,DFS
2020-04-07 14:30:00,36.22,36.4,35.53,35.63,130869,DFS
2020-04-07 14:45:00,35.64,35.87,35.23,35.47,157376,DFS
2020-04-07 15:00:00,35.5,35.78,35.32,35.63,187748,DFS
2020-04-07 15:15:00,35.61,35.69,34.91,34.95,191303,DFS
2020-04-07 15:30:00,35.04,35.92,35.0,35.78,326218,DFS
2020-04-07 15:45:00,35.8,36.06,34.92,35.01,774018,DFS
2020-04-07 16:00:00,35.0,35.0,35.0,35.0,0,DFS
2020-04-07 16:15:00,35.0,36.78,35.0,35.0,0,DFS
2020-04-07 16:30:00,35.05,35.05,35.0,35.0,0,DFS
2020-04-07 16:45:00,35.0,35.0,34.9,34.9,0,DFS
2020-04-07 17:00:00,35.0,35.0,35.0,35.0,0,DFS
