Date,Open,High,Low,Close,Volume,Name
2020-04-07 06:15:00,75.6,75.6,75.6,75.6,0,D
2020-04-07 07:15:00,75.89,75.89,75.89,75.89,0,D
2020-04-07 08:30:00,76.25,76.5,76.25,76.5,0,D
2020-04-07 08:45:00,76.45,76.45,76.45,76.45,0,D
2020-04-07 09:00:00,76.49,76.74,76.49,76.53,0,D
2020-04-07 09:15:00,74.11,74.11,74.11,74.11,0,D
2020-04-07 09:30:00,75.82,76.24,75.65,75.88,493580,D
2020-04-07 09:45:00,75.9,76.06,75.55,75.83,345369,D
2020-04-07 10:00:00,75.82,75.84,74.83,74.99,235314,D
2020-04-07 10:15:00,75.02,75.43,74.72,75.0,148781,D
2020-04-07 10:30:00,75.0,75.8,74.92,75.8,174777,D
2020-04-07 10:45:00,75.75,75.91,74.83,75.17,158044,D
2020-04-07 11:00:00,75.18,75.26,74.58,75.06,110194,D
2020-04-07 11:15:00,75.01,75.63,75.01,75.63,82029,D
2020-04-07 11:30:00,75.57,75.74,75.14,75.18,79188,D
2020-04-07 11:45:00,75.26,75.3,74.94,75.04,52425,D
2020-04-07 12:00:00,75.03,75.74,75.03,75.38,72402,D
2020-04-07 12:15:00,75.38,75.57,74.93,75.18,59379,D
2020-04-07 12:30:00,75.27,75.34,74.86,75.29,58659,D
2020-04-07 12:45:00,75.33,75.47,75.02,75.16,69541,D
2020-04-07 13:00:00,75.19,75.39,75.04,75.29,59717,D
2020-04-07 13:15:00,75.31,75.31,74.91,74.95,79176,D
2020-04-07 13:30:00,74.99,75.04,74.64,74.83,65691,D
2020-04-07 13:45:00,74.83,75.0,74.58,74.69,49111,D
2020-04-07 14:00:00,74.72,74.74,74.21,74.38,75845,D
2020-04-07 14:15:00,74.34,74.59,74.1,74.47,61482,D
2020-04-07 14:30:00,74.42,74.52,73.59,73.63,71773,D
2020-04-07 14:45:00,73.66,73.85,73.15,73.33,72154,D
2020-04-07 15:00:00,73.31,74.22,73.28,74.14,104689,D
2020-04-07 15:15:00,74.19,74.19,73.27,73.51,116933,D
2020-04-07 15:30:00,73.52,74.69,73.24,74.41,169673,D
2020-04-07 15:45:00,74.42,75.08,73.26,73.36,512463,D
2020-04-07 16:00:00,73.44,73.44,73.44,73.44,0,D
2020-04-07 16:15:00,73.44,73.44,73.0,73.44,0,D
2020-04-07 16:30:00,72.74,72.74,72.74,72.74,0,D
2020-04-07 16:45:00,73.44,73.44,73.44,73.44,0,D
2020-04-07 17:45:00,73.97,73.97,73.97,73.97,0,D
