Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:30:00,216.37,219.93,214.21,216.7,36502,FLT
2020-04-07 09:45:00,217.17,221.32,216.82,218.93,60037,FLT
2020-04-07 10:00:00,219.38,220.52,216.55,216.91,140848,FLT
2020-04-07 10:15:00,216.29,218.68,215.85,216.83,71707,FLT
2020-04-07 10:30:00,217.1,218.42,216.36,217.03,34469,FLT
2020-04-07 10:45:00,216.14,216.71,212.55,213.48,96451,FLT
2020-04-07 11:00:00,213.48,214.59,211.25,213.81,52159,FLT
2020-04-07 11:15:00,214.04,214.63,211.48,213.03,24826,FLT
2020-04-07 11:30:00,212.6,216.74,212.59,216.74,14805,FLT
2020-04-07 11:45:00,215.75,215.78,214.24,214.53,15202,FLT
2020-04-07 12:00:00,214.63,218.01,214.47,217.01,46584,FLT
2020-04-07 12:15:00,217.04,219.38,216.81,218.14,59096,FLT
2020-04-07 12:30:00,217.64,218.9,217.42,218.9,23123,FLT
2020-04-07 12:45:00,218.82,220.56,218.14,218.16,32069,FLT
2020-04-07 13:00:00,218.18,218.9,217.24,218.18,18193,FLT
2020-04-07 13:15:00,218.04,218.04,216.21,217.97,22803,FLT
2020-04-07 13:30:00,217.97,217.97,215.8,216.15,18047,FLT
2020-04-07 13:45:00,215.83,216.76,215.23,215.78,17967,FLT
2020-04-07 14:00:00,215.74,215.74,213.95,213.95,33726,FLT
2020-04-07 14:15:00,213.79,214.43,212.06,213.84,35634,FLT
2020-04-07 14:30:00,213.32,214.66,212.52,212.8,23316,FLT
2020-04-07 14:45:00,212.82,213.84,212.57,213.36,26700,FLT
2020-04-07 15:00:00,213.37,215.66,213.37,215.23,34428,FLT
2020-04-07 15:15:00,215.2,215.2,211.5,211.5,48074,FLT
2020-04-07 15:30:00,211.68,212.93,210.89,212.47,69267,FLT
2020-04-07 15:45:00,212.47,214.11,209.97,210.63,120394,FLT
2020-04-07 16:00:00,210.36,210.36,210.36,210.36,0,FLT
2020-04-07 16:15:00,210.36,215.28,210.36,215.28,0,FLT
2020-04-07 16:30:00,210.36,210.36,210.36,210.36,0,FLT
2020-04-07 16:45:00,210.36,210.36,210.36,210.36,0,FLT
2020-04-08 09:30:00,213.01,213.01,211.02,211.02,20743,FLT
2020-04-08 09:45:00,211.36,212.66,211.25,211.49,9693,FLT
2020-04-08 10:00:00,212.0,212.12,210.47,211.93,13848,FLT
2020-04-08 10:15:00,211.77,212.49,211.32,211.83,14992,FLT
2020-04-08 10:30:00,211.83,213.54,211.62,212.01,21319,FLT
2020-04-08 10:45:00,212.24,213.8,212.0,213.5,8662,FLT
2020-04-08 11:00:00,213.31,214.67,213.31,214.67,7653,FLT
2020-04-08 11:15:00,214.24,215.98,214.21,215.38,29408,FLT
2020-04-08 11:30:00,215.42,217.76,215.26,216.8,87430,FLT
2020-04-08 11:45:00,216.73,218.24,216.21,218.24,56468,FLT
2020-04-08 12:00:00,218.15,218.34,217.0,217.3,59242,FLT
2020-04-08 12:15:00,217.3,219.66,217.3,218.04,78175,FLT
2020-04-08 12:30:00,218.1,219.34,217.7,218.79,43444,FLT
2020-04-08 12:45:00,218.89,219.29,217.59,218.82,71450,FLT
2020-04-08 13:00:00,218.76,218.76,217.77,218.49,14330,FLT
2020-04-08 13:15:00,218.69,219.62,218.49,219.25,19504,FLT
2020-04-08 13:30:00,219.32,219.32,215.72,215.73,14387,FLT
2020-04-08 13:45:00,216.0,216.68,215.45,215.67,16348,FLT
2020-04-08 14:00:00,215.8,217.01,215.8,216.31,13202,FLT
2020-04-08 14:15:00,216.31,217.43,215.93,217.01,20050,FLT
2020-04-08 14:30:00,217.13,218.63,216.96,217.97,17604,FLT
2020-04-08 14:45:00,218.1,219.33,217.86,219.13,26874,FLT
2020-04-08 15:00:00,219.28,221.37,219.12,220.62,24219,FLT
2020-04-08 15:15:00,220.62,221.18,219.88,220.91,41594,FLT
2020-04-08 15:30:00,220.7,221.72,219.37,220.18,64533,FLT
2020-04-08 15:45:00,219.96,221.56,219.4,220.24,119108,FLT
2020-04-08 16:00:00,220.31,220.31,220.31,220.31,0,FLT
