Date,Open,High,Low,Close,Volume,Name
2020-04-07 07:15:00,25.46,25.46,25.46,25.46,0,FOXA
2020-04-07 08:30:00,25.58,25.58,25.58,25.58,0,FOXA
2020-04-07 08:45:00,25.58,25.58,25.58,25.58,0,FOXA
2020-04-07 09:15:00,25.6,26.0,25.6,26.0,0,FOXA
2020-04-07 09:30:00,26.35,26.52,26.25,26.52,209815,FOXA
2020-04-07 09:45:00,26.59,27.1,26.59,26.98,131844,FOXA
2020-04-07 10:00:00,26.99,27.07,26.7,26.74,153574,FOXA
2020-04-07 10:15:00,26.75,26.77,26.36,26.36,111887,FOXA
2020-04-07 10:30:00,26.36,26.49,26.15,26.18,111315,FOXA
2020-04-07 10:45:00,26.16,26.23,25.82,26.08,94952,FOXA
2020-04-07 11:00:00,26.06,26.27,25.92,26.1,111131,FOXA
2020-04-07 11:15:00,26.1,26.2,25.88,25.98,129321,FOXA
2020-04-07 11:30:00,25.96,26.21,25.96,26.1,218993,FOXA
2020-04-07 11:45:00,26.09,26.14,25.97,26.02,121707,FOXA
2020-04-07 12:00:00,26.02,26.25,26.02,26.21,136198,FOXA
2020-04-07 12:15:00,26.22,26.26,26.06,26.17,112490,FOXA
2020-04-07 12:30:00,26.16,26.22,26.01,26.02,90961,FOXA
2020-04-07 12:45:00,26.01,26.11,25.92,25.96,73892,FOXA
2020-04-07 13:00:00,25.96,26.17,25.95,26.13,76624,FOXA
2020-04-07 13:15:00,26.14,26.17,25.97,26.09,85770,FOXA
2020-04-07 13:30:00,26.1,26.1,25.91,25.95,77922,FOXA
2020-04-07 13:45:00,25.94,26.06,25.92,26.05,82515,FOXA
2020-04-07 14:00:00,26.03,26.04,25.68,25.69,125879,FOXA
2020-04-07 14:15:00,25.68,25.76,25.48,25.61,103354,FOXA
2020-04-07 14:30:00,25.6,25.72,25.48,25.51,83628,FOXA
2020-04-07 14:45:00,25.53,25.58,25.4,25.48,102328,FOXA
2020-04-07 15:00:00,25.48,25.75,25.46,25.71,100209,FOXA
2020-04-07 15:15:00,25.71,25.73,25.39,25.45,174371,FOXA
2020-04-07 15:30:00,25.47,25.77,25.44,25.64,220614,FOXA
2020-04-07 15:45:00,25.64,25.86,25.42,25.49,615345,FOXA
2020-04-07 16:00:00,25.49,25.49,25.49,25.49,555376,FOXA
2020-04-07 16:15:00,25.49,25.88,25.49,25.88,0,FOXA
2020-04-07 16:30:00,25.49,25.49,25.49,25.49,0,FOXA
2020-04-08 09:30:00,25.85,26.06,25.51,26.0,113940,FOXA
2020-04-08 09:45:00,26.01,26.01,25.68,25.83,167034,FOXA
2020-04-08 10:00:00,25.8,26.0,25.72,25.97,278613,FOXA
2020-04-08 10:15:00,25.98,26.03,25.82,25.97,57004,FOXA
2020-04-08 10:30:00,25.97,26.06,25.78,25.83,61096,FOXA
2020-04-08 10:45:00,25.83,26.04,25.83,26.01,50086,FOXA
2020-04-08 11:00:00,26.01,26.21,25.9,26.2,283011,FOXA
2020-04-08 11:15:00,26.21,26.21,26.04,26.14,95603,FOXA
2020-04-08 11:30:00,26.15,26.37,26.02,26.02,394978,FOXA
2020-04-08 11:45:00,26.03,26.08,25.85,25.87,59776,FOXA
2020-04-08 12:00:00,25.88,25.98,25.82,25.95,51520,FOXA
2020-04-08 12:15:00,25.96,26.02,25.93,25.94,65778,FOXA
2020-04-08 12:30:00,25.94,26.15,25.93,26.1,131588,FOXA
2020-04-08 12:45:00,26.1,26.1,25.98,26.0,115553,FOXA
2020-04-08 13:00:00,26.0,26.12,25.98,26.11,66580,FOXA
2020-04-08 13:15:00,26.11,26.2,26.11,26.14,212375,FOXA
2020-04-08 13:30:00,26.15,26.17,26.0,26.07,138804,FOXA
2020-04-08 13:45:00,26.07,26.12,25.99,26.06,147170,FOXA
2020-04-08 14:00:00,26.07,26.15,25.99,26.11,90667,FOXA
2020-04-08 14:15:00,26.11,26.38,26.1,26.35,94992,FOXA
2020-04-08 14:30:00,26.37,26.47,26.35,26.38,115989,FOXA
2020-04-08 14:45:00,26.38,26.41,26.2,26.25,122923,FOXA
2020-04-08 15:00:00,26.25,26.35,26.2,26.23,145100,FOXA
2020-04-08 15:15:00,26.23,26.29,26.14,26.19,168153,FOXA
2020-04-08 15:30:00,26.19,26.35,26.19,26.3,301241,FOXA
2020-04-08 15:45:00,26.3,26.57,26.25,26.29,766026,FOXA
2020-04-08 16:00:00,26.3,26.3,26.3,26.3,0,FOXA
2020-04-08 16:15:00,26.3,26.3,26.16,26.3,0,FOXA
2020-04-08 16:30:00,26.3,26.3,26.3,26.3,0,FOXA
2020-04-08 18:00:00,26.28,26.28,26.28,26.28,0,FOXA
2020-04-08 19:45:00,26.77,26.77,26.77,26.77,0,FOXA
2020-04-09 07:45:00,26.04,26.04,26.04,26.04,0,FOXA
2020-04-09 09:15:00,26.47,26.52,26.47,26.47,0,FOXA
2020-04-09 09:30:00,26.54,26.99,26.43,26.89,215733,FOXA
2020-04-09 09:45:00,26.88,27.03,26.8,26.91,361432,FOXA
2020-04-09 10:00:00,26.91,26.94,26.22,26.25,224176,FOXA
2020-04-09 10:15:00,26.26,26.26,26.01,26.16,236030,FOXA
2020-04-09 10:30:00,26.15,26.22,25.89,25.98,178201,FOXA
2020-04-09 10:45:00,25.97,25.99,25.75,25.86,107999,FOXA
2020-04-09 11:00:00,25.87,25.92,25.62,25.74,204581,FOXA
2020-04-09 11:15:00,25.75,25.87,25.6,25.86,146022,FOXA
2020-04-09 11:30:00,25.86,25.93,25.77,25.89,114602,FOXA
2020-04-09 11:45:00,25.9,26.06,25.89,25.9,120344,FOXA
2020-04-09 12:00:00,25.91,26.01,25.87,25.94,135454,FOXA
2020-04-09 12:15:00,25.94,26.08,25.93,26.02,165190,FOXA
2020-04-09 12:30:00,26.02,26.18,26.02,26.08,292677,FOXA
2020-04-09 12:45:00,26.08,26.13,25.96,26.08,178016,FOXA
2020-04-09 13:00:00,26.08,26.08,25.98,26.03,133145,FOXA
2020-04-09 13:15:00,26.04,26.22,26.0,26.2,135760,FOXA
2020-04-09 13:30:00,26.2,26.25,26.03,26.06,117496,FOXA
2020-04-09 13:45:00,26.06,26.19,25.86,26.17,298745,FOXA
2020-04-09 14:00:00,26.17,26.17,25.91,26.0,99590,FOXA
2020-04-09 14:15:00,25.99,26.04,25.89,25.92,102774,FOXA
2020-04-09 14:30:00,25.91,26.02,25.86,25.93,144654,FOXA
2020-04-09 14:45:00,25.93,25.96,25.66,25.8,122409,FOXA
2020-04-09 15:00:00,25.81,25.97,25.72,25.94,145843,FOXA
2020-04-09 15:15:00,25.95,26.0,25.81,25.91,164473,FOXA
2020-04-09 15:30:00,25.92,26.04,25.91,26.0,209191,FOXA
2020-04-09 15:45:00,25.99,26.08,25.88,26.0,551929,FOXA
2020-04-09 16:00:00,26.0,26.0,25.99,25.99,244101,FOXA
2020-04-09 16:15:00,25.99,26.1,25.99,26.1,0,FOXA
2020-04-13 07:15:00,26.25,26.25,26.25,26.25,0,FOXA
2020-04-13 07:30:00,25.85,25.85,25.85,25.85,0,FOXA
2020-04-13 09:15:00,24.7,25.8,24.7,25.8,0,FOXA
2020-04-13 09:30:00,25.83,25.97,25.27,25.27,190690,FOXA
2020-04-13 09:45:00,25.17,25.41,25.15,25.29,309149,FOXA
2020-04-13 10:00:00,25.32,25.69,25.27,25.56,213403,FOXA
2020-04-13 10:15:00,25.54,25.54,25.16,25.22,162040,FOXA
2020-04-13 10:30:00,25.21,25.29,25.05,25.08,77926,FOXA
2020-04-13 10:45:00,25.09,25.17,24.97,25.06,85902,FOXA
2020-04-13 11:00:00,25.05,25.17,24.94,25.04,210315,FOXA
2020-04-13 11:15:00,25.05,25.34,25.04,25.31,84924,FOXA
2020-04-13 11:30:00,25.32,25.42,25.27,25.34,85715,FOXA
2020-04-13 11:45:00,25.34,25.56,25.3,25.43,64608,FOXA
2020-04-13 12:00:00,25.43,25.71,25.4,25.67,69229,FOXA
2020-04-13 12:15:00,25.67,25.75,25.63,25.71,91779,FOXA
2020-04-13 12:30:00,25.69,25.7,25.47,25.57,70492,FOXA
2020-04-13 12:45:00,25.57,25.61,25.46,25.54,55536,FOXA
2020-04-13 13:00:00,25.53,25.64,25.48,25.53,49122,FOXA
2020-04-13 13:15:00,25.52,25.62,25.48,25.6,40491,FOXA
2020-04-13 13:30:00,25.59,25.91,25.58,25.83,134417,FOXA
2020-04-13 13:45:00,25.83,25.93,25.73,25.88,96562,FOXA
2020-04-13 14:00:00,25.88,26.0,25.84,25.84,85318,FOXA
2020-04-13 14:15:00,25.84,25.94,25.78,25.91,95391,FOXA
2020-04-13 14:30:00,25.92,25.98,25.85,25.9,72236,FOXA
2020-04-13 14:45:00,25.9,26.0,25.82,25.9,78622,FOXA
2020-04-13 15:00:00,25.88,25.93,25.79,25.92,82041,FOXA
2020-04-13 15:15:00,25.91,26.0,25.9,26.0,212760,FOXA
2020-04-13 15:30:00,26.0,26.01,25.92,26.0,206750,FOXA
2020-04-13 15:45:00,25.99,26.11,25.94,25.98,415928,FOXA
2020-04-13 16:00:00,25.99,25.99,25.69,25.69,0,FOXA
2020-04-14 08:15:00,25.99,25.99,25.99,25.99,0,FOXA
2020-04-14 09:30:00,26.34,26.66,26.1,26.42,182787,FOXA
2020-04-14 09:45:00,26.4,26.49,26.21,26.34,90270,FOXA
2020-04-14 10:00:00,26.36,26.46,26.22,26.33,69880,FOXA
2020-04-14 10:15:00,26.35,26.47,26.33,26.44,55963,FOXA
2020-04-14 10:30:00,26.45,26.51,26.34,26.42,87192,FOXA
2020-04-14 10:45:00,26.43,26.44,26.04,26.07,93597,FOXA
2020-04-14 11:00:00,26.05,26.09,25.91,25.99,112115,FOXA
2020-04-14 11:15:00,26.01,26.18,25.98,26.16,188320,FOXA
2020-04-14 11:30:00,26.14,26.43,26.08,26.08,253855,FOXA
2020-04-14 11:45:00,26.07,26.09,25.92,25.93,53742,FOXA
2020-04-14 12:00:00,25.93,26.16,25.93,26.14,37461,FOXA
2020-04-14 12:15:00,26.14,26.26,26.12,26.18,42929,FOXA
2020-04-14 12:30:00,26.19,26.2,26.08,26.08,30766,FOXA
2020-04-14 12:45:00,26.08,26.15,26.06,26.11,45653,FOXA
2020-04-14 13:00:00,26.1,26.1,25.96,26.04,31831,FOXA
2020-04-14 13:15:00,26.02,26.1,25.98,26.03,52965,FOXA
2020-04-14 13:30:00,26.04,26.15,26.03,26.08,112248,FOXA
2020-04-14 13:45:00,26.09,26.14,26.04,26.12,47678,FOXA
2020-04-14 14:00:00,26.13,26.26,26.11,26.22,56734,FOXA
2020-04-14 14:15:00,26.23,26.27,26.2,26.25,45662,FOXA
2020-04-14 14:30:00,26.26,26.3,26.2,26.23,40258,FOXA
2020-04-14 14:45:00,26.24,26.32,26.21,26.27,56727,FOXA
2020-04-14 15:00:00,26.27,26.32,26.25,26.32,69877,FOXA
2020-04-14 15:15:00,26.32,26.48,26.25,26.47,64613,FOXA
2020-04-14 15:30:00,26.47,26.5,26.37,26.43,189081,FOXA
2020-04-14 15:45:00,26.43,26.55,26.41,26.51,280698,FOXA
2020-04-14 16:00:00,26.51,26.51,26.51,26.51,0,FOXA
2020-04-14 16:15:00,26.51,26.51,26.3,26.3,0,FOXA
2020-04-14 16:30:00,26.51,26.51,26.51,26.51,0,FOXA
