Date,Open,High,Low,Close,Volume,Name
2020-04-07 04:15:00,85.8,85.8,85.8,85.8,0,ICE
2020-04-07 08:15:00,86.51,86.51,86.51,86.51,0,ICE
2020-04-07 09:15:00,84.43,84.43,84.43,84.43,0,ICE
2020-04-07 09:30:00,87.17,87.17,85.09,85.11,229955,ICE
2020-04-07 09:45:00,85.24,85.35,84.62,84.81,156260,ICE
2020-04-07 10:00:00,84.78,84.84,83.78,84.2,167405,ICE
2020-04-07 10:15:00,84.2,84.77,83.51,84.49,105906,ICE
2020-04-07 10:30:00,84.46,84.76,83.82,84.52,215322,ICE
2020-04-07 10:45:00,84.64,84.7,83.98,84.35,98020,ICE
2020-04-07 11:00:00,84.36,84.73,84.12,84.54,113555,ICE
2020-04-07 11:15:00,84.56,84.83,84.31,84.68,111223,ICE
2020-04-07 11:30:00,84.67,85.08,84.59,85.08,131256,ICE
2020-04-07 11:45:00,85.09,85.13,84.7,84.99,108838,ICE
2020-04-07 12:00:00,84.99,85.64,84.85,85.4,74035,ICE
2020-04-07 12:15:00,85.43,85.52,84.93,85.16,69668,ICE
2020-04-07 12:30:00,85.15,85.15,84.46,84.6,78572,ICE
2020-04-07 12:45:00,84.65,84.81,84.26,84.27,66599,ICE
2020-04-07 13:00:00,84.34,84.62,84.19,84.6,78576,ICE
2020-04-07 13:15:00,84.57,84.57,83.6,83.89,193240,ICE
2020-04-07 13:30:00,83.92,84.25,83.89,84.07,139226,ICE
2020-04-07 13:45:00,84.07,84.48,83.88,83.97,86321,ICE
2020-04-07 14:00:00,83.94,84.03,83.43,83.43,83973,ICE
2020-04-07 14:15:00,83.43,83.89,83.26,83.56,74800,ICE
2020-04-07 14:30:00,83.54,83.81,83.26,83.35,63597,ICE
2020-04-07 14:45:00,83.35,83.45,82.78,83.02,72982,ICE
2020-04-07 15:00:00,83.05,83.55,82.85,83.35,121832,ICE
2020-04-07 15:15:00,83.38,83.44,82.66,83.07,96107,ICE
2020-04-07 15:30:00,83.06,83.8,82.94,83.51,189295,ICE
2020-04-07 15:45:00,83.51,83.78,82.11,82.4,564714,ICE
2020-04-07 16:00:00,82.3,82.3,82.3,82.3,0,ICE
2020-04-07 16:15:00,82.3,83.89,82.06,82.3,0,ICE
2020-04-08 09:15:00,82.98,83.0,82.98,83.0,0,ICE
2020-04-08 09:30:00,83.41,83.41,82.66,82.77,96600,ICE
2020-04-08 09:45:00,82.84,83.31,82.54,82.59,58476,ICE
2020-04-08 10:00:00,82.66,82.81,82.3,82.63,48448,ICE
2020-04-08 10:15:00,82.71,83.18,82.63,82.88,56201,ICE
2020-04-08 10:30:00,82.92,83.04,82.5,82.81,321929,ICE
2020-04-08 10:45:00,82.87,83.41,82.85,83.39,129791,ICE
2020-04-08 11:00:00,83.37,83.69,83.0,83.58,67311,ICE
2020-04-08 11:15:00,83.6,84.05,83.46,83.88,80775,ICE
2020-04-08 11:30:00,83.9,84.16,83.74,83.97,94501,ICE
2020-04-08 11:45:00,84.01,84.23,83.95,84.11,77731,ICE
2020-04-08 12:00:00,84.13,84.35,84.03,84.12,58319,ICE
2020-04-08 12:15:00,84.15,84.43,84.1,84.23,49009,ICE
2020-04-08 12:30:00,84.23,84.44,83.86,83.96,83805,ICE
2020-04-08 12:45:00,83.98,84.1,83.8,83.86,77130,ICE
2020-04-08 13:00:00,83.89,84.12,83.79,84.02,64343,ICE
2020-04-08 13:15:00,84.03,84.13,83.98,84.05,63877,ICE
2020-04-08 13:30:00,84.05,84.09,83.62,83.67,65067,ICE
