Date,Open,High,Low,Close,Volume,Name
2020-04-07 07:15:00,87.99,87.99,87.99,87.99,0,INCY
2020-04-07 07:45:00,87.95,87.95,86.8,86.8,0,INCY
2020-04-07 08:00:00,86.8,86.8,86.78,86.78,0,INCY
2020-04-07 08:30:00,86.78,86.78,85.11,85.11,0,INCY
2020-04-07 09:00:00,87.86,87.86,87.86,87.86,0,INCY
2020-04-07 09:30:00,86.21,87.85,86.0,87.15,210688,INCY
2020-04-07 09:45:00,87.4,87.4,86.22,86.36,77817,INCY
2020-04-07 10:00:00,86.32,86.59,85.6,85.74,173808,INCY
2020-04-07 10:15:00,85.61,86.72,85.43,86.38,44899,INCY
2020-04-07 10:30:00,86.34,86.68,85.84,85.92,88806,INCY
2020-04-07 10:45:00,85.87,86.16,85.59,85.74,42020,INCY
2020-04-07 11:00:00,85.77,86.13,85.54,85.94,78194,INCY
2020-04-07 11:15:00,86.0,86.57,85.93,86.4,49826,INCY
2020-04-07 11:30:00,86.35,87.13,86.11,87.01,33769,INCY
2020-04-07 11:45:00,87.02,87.17,86.3,86.4,46800,INCY
2020-04-07 12:00:00,86.41,86.83,86.17,86.31,142961,INCY
2020-04-07 12:15:00,86.35,86.87,86.27,86.87,65633,INCY
2020-04-07 12:30:00,86.9,86.93,86.44,86.66,25536,INCY
2020-04-07 12:45:00,86.58,86.89,86.25,86.71,20589,INCY
2020-04-07 13:00:00,86.76,86.94,86.37,86.89,24530,INCY
2020-04-07 13:15:00,86.83,86.88,86.48,86.88,19125,INCY
2020-04-07 13:30:00,86.82,86.86,86.37,86.81,107350,INCY
2020-04-07 13:45:00,86.79,86.83,86.35,86.48,23826,INCY
2020-04-07 14:00:00,86.48,86.63,86.2,86.42,33698,INCY
2020-04-07 14:15:00,86.5,86.64,86.26,86.38,52378,INCY
2020-04-07 14:30:00,86.32,86.54,85.81,85.87,81123,INCY
2020-04-07 14:45:00,85.89,86.13,85.46,85.52,109466,INCY
2020-04-07 15:00:00,85.53,85.87,85.13,85.81,55403,INCY
2020-04-07 15:15:00,85.85,85.92,85.32,85.39,92506,INCY
2020-04-07 15:30:00,85.39,85.72,85.25,85.63,159546,INCY
2020-04-07 15:45:00,85.65,86.98,85.59,86.66,534382,INCY
2020-04-07 16:00:00,86.66,86.66,86.66,86.66,0,INCY
2020-04-07 16:15:00,86.66,86.66,86.5,86.5,0,INCY
2020-04-07 16:30:00,86.66,86.66,86.66,86.66,0,INCY
2020-04-07 16:45:00,85.7,85.7,85.7,85.7,0,INCY
2020-04-07 17:00:00,86.31,86.31,86.31,86.31,0,INCY
2020-04-08 09:00:00,87.78,87.78,87.78,87.78,0,INCY
2020-04-08 09:30:00,86.74,88.49,86.53,87.49,96471,INCY
2020-04-08 09:45:00,87.59,88.0,86.98,87.45,187436,INCY
2020-04-08 10:00:00,87.47,87.67,87.2,87.3,38390,INCY
2020-04-08 10:15:00,87.31,87.51,87.16,87.34,35347,INCY
2020-04-08 10:30:00,87.4,87.47,87.17,87.24,32413,INCY
2020-04-08 10:45:00,87.15,87.59,87.04,87.39,49771,INCY
2020-04-08 11:00:00,87.4,87.41,86.88,87.23,30742,INCY
2020-04-08 11:15:00,87.14,87.62,87.12,87.18,64332,INCY
2020-04-08 11:30:00,87.18,87.44,86.94,87.32,59916,INCY
2020-04-08 11:45:00,87.22,87.4,87.1,87.22,60902,INCY
2020-04-08 12:00:00,87.21,87.35,86.18,86.26,50610,INCY
2020-04-08 12:15:00,86.24,86.62,86.24,86.36,57432,INCY
2020-04-08 12:30:00,86.34,87.05,86.31,87.0,56343,INCY
2020-04-08 12:45:00,87.0,87.04,86.57,86.69,24342,INCY
2020-04-08 13:00:00,86.7,86.97,86.5,86.52,20816,INCY
2020-04-08 13:15:00,86.5,86.68,86.44,86.5,24121,INCY
2020-04-08 13:30:00,86.52,86.53,85.94,86.23,108014,INCY
2020-04-08 13:45:00,86.23,86.36,86.21,86.31,47396,INCY
2020-04-08 14:00:00,86.31,87.01,86.31,86.98,33150,INCY
2020-04-08 14:15:00,86.99,87.44,86.99,87.37,44013,INCY
2020-04-08 14:30:00,87.38,87.73,87.34,87.58,37513,INCY
2020-04-08 14:45:00,87.56,87.82,87.46,87.61,49752,INCY
2020-04-08 15:00:00,87.59,87.66,87.36,87.43,52917,INCY
2020-04-08 15:15:00,87.42,87.85,87.4,87.81,86480,INCY
2020-04-08 15:30:00,87.82,87.93,87.11,87.32,101970,INCY
2020-04-08 15:45:00,87.31,88.24,87.14,87.82,360896,INCY
2020-04-08 16:00:00,87.75,87.75,87.75,87.75,0,INCY
2020-04-08 16:15:00,87.75,88.45,87.75,87.75,0,INCY
2020-04-08 16:30:00,87.75,87.75,87.75,87.75,0,INCY
2020-04-08 17:15:00,87.75,87.75,87.75,87.75,0,INCY
2020-04-09 09:15:00,89.84,89.84,87.26,87.26,0,INCY
2020-04-09 09:30:00,87.34,87.9,87.12,87.85,68250,INCY
2020-04-09 09:45:00,87.83,87.86,87.33,87.5,28796,INCY
2020-04-09 10:00:00,87.51,87.59,86.89,86.96,79168,INCY
2020-04-09 10:15:00,86.96,87.4,86.8,86.99,80912,INCY
2020-04-09 10:30:00,86.99,87.0,86.17,86.5,180650,INCY
2020-04-09 10:45:00,86.54,86.78,86.35,86.65,260367,INCY
2020-04-09 11:00:00,86.58,86.58,85.38,85.44,84404,INCY
2020-04-09 11:15:00,85.47,85.87,85.17,85.64,54490,INCY
2020-04-09 11:30:00,85.57,85.81,85.36,85.66,55643,INCY
2020-04-09 11:45:00,85.7,85.91,85.47,85.91,27473,INCY
2020-04-09 12:00:00,85.9,86.38,85.9,86.32,20285,INCY
2020-04-09 12:15:00,86.32,86.59,86.22,86.26,22776,INCY
2020-04-09 12:30:00,86.28,86.49,86.22,86.31,21987,INCY
2020-04-09 12:45:00,86.21,86.72,86.17,86.51,18789,INCY
2020-04-09 13:00:00,86.47,86.52,86.31,86.51,11372,INCY
2020-04-09 13:15:00,86.52,86.65,86.17,86.65,58616,INCY
2020-04-09 13:30:00,86.7,86.85,86.49,86.52,21522,INCY
2020-04-09 13:45:00,86.56,86.6,86.16,86.16,22417,INCY
2020-04-09 14:00:00,86.15,86.31,85.99,86.14,61761,INCY
2020-04-09 14:15:00,86.18,86.4,86.13,86.4,46742,INCY
2020-04-09 14:30:00,86.37,86.59,86.23,86.42,37873,INCY
2020-04-09 14:45:00,86.47,86.5,86.22,86.39,38753,INCY
2020-04-09 15:00:00,86.42,86.64,86.27,86.55,35877,INCY
2020-04-09 15:15:00,86.59,86.66,86.21,86.66,42794,INCY
2020-04-09 15:30:00,86.7,86.78,86.41,86.56,51188,INCY
2020-04-09 15:45:00,86.57,86.89,86.3,86.81,199711,INCY
2020-04-09 16:00:00,86.81,86.81,86.81,86.81,143744,INCY
2020-04-09 16:15:00,86.81,86.81,86.54,86.54,0,INCY
2020-04-09 16:30:00,86.81,86.81,86.81,86.81,0,INCY
2020-04-13 09:15:00,85.68,85.68,84.82,84.82,0,INCY
2020-04-13 09:30:00,85.68,86.76,85.68,86.15,43856,INCY
2020-04-13 09:45:00,86.21,86.47,85.78,85.83,90479,INCY
2020-04-13 10:00:00,85.95,86.89,85.8,86.72,25180,INCY
2020-04-13 10:15:00,86.72,86.72,86.09,86.18,26740,INCY
2020-04-13 10:30:00,86.08,86.5,86.08,86.34,32416,INCY
2020-04-13 10:45:00,86.35,87.04,86.33,86.94,27504,INCY
2020-04-13 11:00:00,86.86,86.86,86.08,86.56,65998,INCY
2020-04-13 11:15:00,86.59,86.74,86.04,86.14,25305,INCY
2020-04-13 11:30:00,86.12,86.25,85.97,85.97,28717,INCY
2020-04-13 11:45:00,85.99,86.37,85.85,86.28,31298,INCY
2020-04-13 12:00:00,86.29,86.43,86.1,86.31,20490,INCY
