Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:30:00,16.21,16.26,15.87,15.99,109306,IPG
2020-04-07 09:45:00,16.0,16.44,15.99,16.43,183901,IPG
2020-04-07 10:00:00,16.45,16.65,16.32,16.33,529275,IPG
2020-04-07 10:15:00,16.33,16.33,15.86,15.87,346678,IPG
2020-04-07 10:30:00,15.87,16.12,15.85,15.94,170781,IPG
2020-04-07 10:45:00,15.94,15.96,15.3,15.51,457440,IPG
2020-04-07 11:00:00,15.52,15.76,15.46,15.62,303567,IPG
2020-04-07 11:15:00,15.64,15.71,15.44,15.54,177230,IPG
2020-04-07 11:30:00,15.55,15.8,15.54,15.78,253886,IPG
2020-04-07 11:45:00,15.78,15.81,15.58,15.6,124807,IPG
2020-04-07 12:00:00,15.61,15.83,15.61,15.82,87798,IPG
2020-04-07 12:15:00,15.82,15.9,15.8,15.85,81481,IPG
2020-04-07 12:30:00,15.85,15.95,15.76,15.93,91105,IPG
2020-04-07 12:45:00,15.93,16.0,15.9,15.92,159958,IPG
2020-04-07 13:00:00,15.92,15.97,15.82,15.85,89527,IPG
2020-04-07 13:15:00,15.85,15.85,15.69,15.74,109619,IPG
2020-04-07 13:30:00,15.74,15.92,15.72,15.81,208776,IPG
2020-04-07 13:45:00,15.79,15.82,15.67,15.71,99114,IPG
2020-04-07 14:00:00,15.71,15.76,15.67,15.72,216369,IPG
2020-04-07 14:15:00,15.72,15.73,15.63,15.66,179853,IPG
2020-04-07 14:30:00,15.65,15.71,15.63,15.67,272276,IPG
2020-04-07 14:45:00,15.67,15.72,15.57,15.61,429001,IPG
2020-04-07 15:00:00,15.62,15.75,15.62,15.7,266902,IPG
2020-04-07 15:15:00,15.7,15.71,15.45,15.54,395802,IPG
2020-04-07 15:30:00,15.54,15.71,15.49,15.71,382348,IPG
2020-04-07 15:45:00,15.71,15.83,15.37,15.39,996282,IPG
2020-04-07 16:00:00,15.39,15.39,15.39,15.39,0,IPG
2020-04-07 16:15:00,15.39,15.39,15.39,15.39,0,IPG
2020-04-07 16:30:00,15.39,15.39,15.39,15.39,0,IPG
2020-04-08 09:00:00,15.39,15.39,15.39,15.39,0,IPG
2020-04-08 09:30:00,15.51,15.9,15.44,15.6,237938,IPG
2020-04-08 09:45:00,15.61,15.67,15.38,15.4,214757,IPG
2020-04-08 10:00:00,15.4,15.7,15.36,15.68,160821,IPG
2020-04-08 10:15:00,15.69,15.72,15.52,15.6,158706,IPG
2020-04-08 10:30:00,15.61,15.73,15.58,15.62,99904,IPG
2020-04-08 10:45:00,15.62,15.63,15.51,15.59,248296,IPG
2020-04-08 11:00:00,15.6,15.68,15.57,15.66,181394,IPG
2020-04-08 11:15:00,15.65,15.8,15.59,15.77,171682,IPG
2020-04-08 11:30:00,15.78,15.81,15.73,15.77,154895,IPG
2020-04-08 11:45:00,15.77,15.83,15.69,15.76,183170,IPG
2020-04-08 12:00:00,15.76,15.81,15.66,15.81,87888,IPG
2020-04-08 12:15:00,15.81,15.88,15.68,15.69,80348,IPG
2020-04-08 12:30:00,15.69,15.73,15.56,15.73,248288,IPG
2020-04-08 12:45:00,15.73,15.82,15.72,15.79,187115,IPG
2020-04-08 13:00:00,15.79,15.8,15.7,15.76,254868,IPG
2020-04-08 13:15:00,15.77,15.87,15.73,15.83,75218,IPG
2020-04-08 13:30:00,15.83,15.86,15.74,15.77,70712,IPG
2020-04-08 13:45:00,15.78,15.86,15.72,15.72,106149,IPG
2020-04-08 14:00:00,15.72,15.77,15.68,15.73,117936,IPG
2020-04-08 14:15:00,15.73,15.9,15.73,15.89,121355,IPG
2020-04-08 14:30:00,15.89,15.99,15.89,15.94,78372,IPG
2020-04-08 14:45:00,15.95,15.98,15.72,15.8,269081,IPG
2020-04-08 15:00:00,15.79,15.94,15.78,15.83,119806,IPG
2020-04-08 15:15:00,15.83,15.91,15.83,15.88,149833,IPG
2020-04-08 15:30:00,15.88,15.92,15.77,15.83,242092,IPG
2020-04-08 15:45:00,15.82,16.05,15.8,15.87,526406,IPG
2020-04-08 16:00:00,15.9,15.9,15.9,15.9,0,IPG
2020-04-08 16:15:00,15.9,15.9,15.9,15.9,0,IPG
2020-04-08 16:30:00,15.9,15.9,15.9,15.9,0,IPG
2020-04-08 19:30:00,15.88,15.88,15.88,15.88,0,IPG
2020-04-09 09:30:00,16.27,16.55,16.25,16.54,145353,IPG
2020-04-09 09:45:00,16.53,16.67,16.47,16.49,215215,IPG
2020-04-09 10:00:00,16.48,16.53,16.26,16.35,135674,IPG
2020-04-09 10:15:00,16.35,16.36,16.17,16.21,159558,IPG
2020-04-09 10:30:00,16.21,16.41,16.15,16.31,220968,IPG
2020-04-09 10:45:00,16.3,16.34,16.17,16.29,94066,IPG
2020-04-09 11:00:00,16.28,16.29,16.18,16.27,84186,IPG
2020-04-09 11:15:00,16.27,16.38,16.25,16.36,267715,IPG
2020-04-09 11:30:00,16.36,16.47,16.33,16.47,56160,IPG
2020-04-09 11:45:00,16.47,16.52,16.44,16.51,79706,IPG
2020-04-09 12:00:00,16.52,16.61,16.47,16.55,73425,IPG
2020-04-09 12:15:00,16.54,16.62,16.52,16.52,54308,IPG
2020-04-09 12:30:00,16.53,16.6,16.5,16.57,60791,IPG
2020-04-09 12:45:00,16.56,16.66,16.54,16.61,71999,IPG
2020-04-09 13:00:00,16.62,16.67,16.58,16.63,71197,IPG
2020-04-09 13:15:00,16.62,16.63,16.52,16.59,125838,IPG
2020-04-09 13:30:00,16.59,16.62,16.43,16.43,77802,IPG
2020-04-09 13:45:00,16.43,16.47,16.39,16.47,80773,IPG
2020-04-09 14:00:00,16.46,16.46,16.29,16.3,87430,IPG
2020-04-09 14:15:00,16.3,16.3,16.18,16.19,115786,IPG
2020-04-09 14:30:00,16.2,16.25,16.12,16.17,159524,IPG
2020-04-09 14:45:00,16.16,16.18,15.99,16.1,217666,IPG
2020-04-09 15:00:00,16.11,16.27,16.06,16.22,219184,IPG
2020-04-09 15:15:00,16.22,16.32,16.12,16.22,230235,IPG
2020-04-09 15:30:00,16.22,16.31,16.18,16.27,213419,IPG
2020-04-09 15:45:00,16.29,16.33,16.2,16.27,500159,IPG
2020-04-09 16:00:00,16.28,16.28,16.28,16.28,805565,IPG
2020-04-09 16:15:00,16.28,16.28,16.28,16.28,0,IPG
2020-04-13 09:30:00,15.98,16.22,15.68,15.74,151594,IPG
2020-04-13 09:45:00,15.72,15.86,15.63,15.73,76335,IPG
2020-04-13 10:00:00,15.74,15.9,15.59,15.6,123737,IPG
2020-04-13 10:15:00,15.6,15.65,15.35,15.35,220294,IPG
2020-04-13 10:30:00,15.35,15.42,15.21,15.22,220996,IPG
2020-04-13 10:45:00,15.21,15.35,15.17,15.22,213511,IPG
2020-04-13 11:00:00,15.23,15.23,15.06,15.14,171690,IPG
2020-04-13 11:15:00,15.14,15.6,15.14,15.59,281585,IPG
2020-04-13 11:30:00,15.59,15.75,15.51,15.73,270099,IPG
2020-04-13 11:45:00,15.72,15.9,15.72,15.85,234338,IPG
2020-04-13 12:00:00,15.85,16.05,15.8,16.05,239848,IPG
2020-04-13 12:15:00,16.06,16.12,16.0,16.01,257810,IPG
2020-04-13 12:30:00,16.01,16.01,15.74,15.81,125638,IPG
2020-04-13 12:45:00,15.82,15.87,15.78,15.84,110552,IPG
2020-04-13 13:00:00,15.85,15.9,15.81,15.84,86574,IPG
2020-04-13 13:15:00,15.84,15.91,15.82,15.86,102387,IPG
2020-04-13 13:30:00,15.86,16.06,15.84,16.0,121120,IPG
2020-04-13 13:45:00,16.01,16.05,15.97,16.02,95896,IPG
2020-04-13 14:00:00,16.03,16.09,15.97,15.97,92683,IPG
2020-04-13 14:15:00,15.97,16.06,15.96,16.0,90764,IPG
2020-04-13 14:30:00,15.99,16.07,15.94,15.95,64012,IPG
2020-04-13 14:45:00,15.96,16.07,15.95,16.02,100710,IPG
2020-04-13 15:00:00,16.02,16.03,15.93,16.0,167529,IPG
2020-04-13 15:15:00,15.99,16.08,15.98,16.03,105618,IPG
2020-04-13 15:30:00,16.03,16.09,15.97,16.09,203707,IPG
2020-04-13 15:45:00,16.08,16.1,15.94,16.05,821154,IPG
2020-04-13 16:00:00,16.04,16.04,16.04,16.04,412387,IPG
2020-04-13 16:15:00,16.04,16.04,16.04,16.04,0,IPG
2020-04-13 18:15:00,16.04,16.04,16.04,16.04,0,IPG
2020-04-14 09:30:00,16.45,16.59,16.26,16.49,247048,IPG
2020-04-14 09:45:00,16.49,16.55,16.35,16.48,214828,IPG
2020-04-14 10:00:00,16.48,16.55,16.25,16.27,338666,IPG
2020-04-14 10:15:00,16.27,16.33,16.08,16.14,157563,IPG
2020-04-14 10:30:00,16.14,16.21,16.07,16.15,195865,IPG
2020-04-14 10:45:00,16.15,16.2,16.06,16.09,324845,IPG
2020-04-14 11:00:00,16.09,16.18,15.91,15.97,397718,IPG
2020-04-14 11:15:00,15.97,16.06,15.89,15.98,239797,IPG
2020-04-14 11:30:00,15.97,16.09,15.97,16.06,113875,IPG
2020-04-14 11:45:00,16.06,16.08,15.9,15.99,186906,IPG
2020-04-14 12:00:00,15.99,16.24,15.99,16.23,360423,IPG
2020-04-14 12:15:00,16.23,16.36,16.2,16.25,220877,IPG
2020-04-14 12:30:00,16.25,16.27,16.18,16.23,86709,IPG
2020-04-14 12:45:00,16.23,16.25,16.1,16.14,178838,IPG
2020-04-14 13:00:00,16.14,16.14,16.01,16.06,272209,IPG
2020-04-14 13:15:00,16.05,16.16,16.03,16.1,118247,IPG
2020-04-14 13:30:00,16.11,16.2,16.09,16.1,174291,IPG
2020-04-14 13:45:00,16.11,16.23,16.1,16.23,466852,IPG
2020-04-14 14:00:00,16.23,16.26,16.18,16.23,120255,IPG
2020-04-14 14:15:00,16.23,16.28,16.16,16.18,81293,IPG
2020-04-14 14:30:00,16.19,16.21,16.13,16.13,133214,IPG
2020-04-14 14:45:00,16.14,16.22,16.13,16.19,71519,IPG
2020-04-14 15:00:00,16.19,16.19,16.12,16.15,87085,IPG
2020-04-14 15:15:00,16.16,16.23,16.11,16.19,162592,IPG
2020-04-14 15:30:00,16.18,16.19,16.08,16.1,256581,IPG
2020-04-14 15:45:00,16.09,16.11,16.01,16.05,655599,IPG
2020-04-14 16:00:00,16.05,16.05,16.05,16.05,0,IPG
2020-04-14 16:15:00,16.05,16.05,16.05,16.05,0,IPG
2020-04-14 16:30:00,16.05,16.05,16.05,16.05,0,IPG
2020-04-15 09:30:00,15.22,15.55,14.8,14.93,353835,IPG
2020-04-15 09:45:00,14.93,14.95,14.77,14.84,159511,IPG
2020-04-15 10:00:00,14.83,14.86,14.67,14.74,202470,IPG
2020-04-15 10:15:00,14.75,14.82,14.63,14.66,526755,IPG
2020-04-15 10:30:00,14.66,14.69,14.56,14.64,332548,IPG
2020-04-15 10:45:00,14.65,14.81,14.62,14.81,931351,IPG
2020-04-15 11:00:00,14.81,14.84,14.63,14.67,298547,IPG
