Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:15:00,25.43,25.43,25.43,25.43,0,IR
2020-04-07 09:30:00,26.46,26.82,25.88,26.01,226353,IR
2020-04-07 09:45:00,26.0,26.57,25.95,26.53,363033,IR
2020-04-07 10:00:00,26.52,26.6,25.93,26.05,108175,IR
2020-04-07 10:15:00,26.03,26.15,25.73,25.8,161966,IR
2020-04-07 10:30:00,25.77,26.13,25.77,26.03,105961,IR
2020-04-07 10:45:00,26.06,26.19,25.61,25.79,216510,IR
2020-04-07 11:00:00,25.8,26.08,25.76,25.93,218618,IR
2020-04-07 11:15:00,25.95,25.97,25.76,25.87,110920,IR
2020-04-07 11:30:00,25.89,26.11,25.88,26.01,82104,IR
2020-04-07 11:45:00,26.01,26.06,25.8,25.83,97623,IR
2020-04-07 12:00:00,25.85,26.34,25.83,26.29,121198,IR
2020-04-07 12:15:00,26.31,26.38,26.13,26.19,79345,IR
2020-04-07 12:30:00,26.21,26.23,26.06,26.08,73371,IR
2020-04-07 12:45:00,26.08,26.2,26.06,26.1,51755,IR
2020-04-07 13:00:00,26.11,26.16,25.96,25.96,52985,IR
2020-04-07 13:15:00,25.98,25.99,25.75,25.87,49673,IR
2020-04-07 13:30:00,25.79,25.88,25.69,25.69,61604,IR
2020-04-07 13:45:00,25.7,25.75,25.46,25.5,78309,IR
2020-04-07 14:00:00,25.49,25.5,25.21,25.25,109770,IR
2020-04-07 14:15:00,25.25,25.25,24.98,25.01,347813,IR
2020-04-07 14:30:00,25.01,25.2,24.91,24.92,135821,IR
2020-04-07 14:45:00,24.92,25.0,24.85,24.94,106379,IR
2020-04-07 15:00:00,24.94,24.99,24.81,24.94,192554,IR
2020-04-07 15:15:00,24.93,24.94,24.64,24.66,126677,IR
2020-04-07 15:30:00,24.67,25.08,24.64,25.08,224326,IR
2020-04-07 15:45:00,25.06,25.26,24.71,24.82,325114,IR
2020-04-07 16:00:00,24.82,24.82,24.82,24.82,0,IR
2020-04-07 16:15:00,24.82,24.82,24.82,24.82,0,IR
2020-04-07 16:30:00,24.82,24.82,24.82,24.82,0,IR
2020-04-07 16:45:00,24.82,24.82,24.82,24.82,0,IR
2020-04-08 09:30:00,25.17,25.21,24.7,24.98,116341,IR
2020-04-08 09:45:00,24.98,25.13,24.88,24.9,42618,IR
2020-04-08 10:00:00,24.92,24.97,24.63,24.64,99818,IR
2020-04-08 10:15:00,24.63,24.8,24.56,24.74,150638,IR
2020-04-08 10:30:00,24.73,24.8,24.42,24.54,89083,IR
2020-04-08 10:45:00,24.57,24.74,24.5,24.72,51199,IR
2020-04-08 11:00:00,24.72,24.87,24.68,24.84,127921,IR
2020-04-08 11:15:00,24.84,24.9,24.76,24.87,160851,IR
2020-04-08 11:30:00,24.88,24.96,24.81,24.92,153162,IR
