Date,Open,High,Low,Close,Volume,Name
2020-04-07 06:45:00,27.99,27.99,27.83,27.83,0,LNC
2020-04-07 07:15:00,28.38,28.5,28.38,28.5,0,LNC
2020-04-07 08:00:00,27.89,27.89,27.89,27.89,0,LNC
2020-04-07 08:15:00,28.74,28.74,28.5,28.5,0,LNC
2020-04-07 08:30:00,28.5,28.5,28.5,28.5,0,LNC
2020-04-07 09:00:00,28.83,28.86,28.83,28.86,0,LNC
2020-04-07 09:15:00,26.99,28.65,26.99,28.65,0,LNC
2020-04-07 09:30:00,29.69,31.28,29.52,29.93,352647,LNC
2020-04-07 09:45:00,29.93,31.47,29.87,31.21,247173,LNC
2020-04-07 10:00:00,31.23,31.72,30.84,30.92,229392,LNC
2020-04-07 10:15:00,30.88,30.88,29.83,29.96,208356,LNC
2020-04-07 10:30:00,29.9,30.54,29.85,29.92,171693,LNC
2020-04-07 10:45:00,29.97,30.06,29.03,29.37,128070,LNC
2020-04-07 11:00:00,29.41,30.48,29.33,30.28,207953,LNC
2020-04-07 11:15:00,30.35,30.59,29.88,30.46,121819,LNC
2020-04-07 11:30:00,30.42,31.08,30.31,30.94,146992,LNC
2020-04-07 11:45:00,30.92,30.92,30.35,30.59,97163,LNC
2020-04-07 12:00:00,30.59,31.06,30.57,31.05,116580,LNC
2020-04-07 12:15:00,31.11,31.17,30.71,30.88,157418,LNC
2020-04-07 12:30:00,30.91,31.18,30.72,30.99,105354,LNC
2020-04-07 12:45:00,31.03,31.27,30.51,30.55,112382,LNC
2020-04-07 13:00:00,30.61,31.24,30.59,30.88,152640,LNC
2020-04-07 13:15:00,30.89,31.01,30.64,30.94,122541,LNC
2020-04-07 13:30:00,30.99,31.01,30.6,30.79,97497,LNC
2020-04-07 13:45:00,30.78,30.87,30.17,30.3,74238,LNC
2020-04-07 14:00:00,30.34,30.4,29.95,30.03,122950,LNC
2020-04-07 14:15:00,30.01,30.31,29.76,30.06,172443,LNC
2020-04-07 14:30:00,30.06,30.2,29.21,29.22,99006,LNC
2020-04-07 14:45:00,29.24,29.53,29.03,29.4,136002,LNC
2020-04-07 15:00:00,29.43,30.05,29.41,29.94,179620,LNC
2020-04-07 15:15:00,29.95,29.96,29.29,29.35,224971,LNC
2020-04-07 15:30:00,29.36,30.42,29.35,30.07,437611,LNC
2020-04-07 15:45:00,30.09,30.72,29.36,29.36,805465,LNC
2020-04-07 16:00:00,29.41,29.42,29.36,29.42,0,LNC
2020-04-07 16:15:00,29.42,29.42,29.42,29.42,0,LNC
2020-04-07 16:30:00,29.42,29.42,29.42,29.42,0,LNC
2020-04-07 16:45:00,29.0,29.42,29.0,29.42,0,LNC
2020-04-07 17:45:00,29.14,29.15,29.14,29.15,0,LNC
2020-04-07 19:00:00,28.84,28.84,28.84,28.84,0,LNC
2020-04-07 19:45:00,28.76,28.76,28.75,28.75,0,LNC
2020-04-08 09:30:00,29.96,30.57,29.67,30.2,118705,LNC
2020-04-08 09:45:00,30.24,30.58,29.79,29.79,55689,LNC
2020-04-08 10:00:00,29.82,30.38,29.82,30.26,90721,LNC
2020-04-08 10:15:00,30.2,30.82,30.15,30.69,123462,LNC
2020-04-08 10:30:00,30.68,30.98,30.59,30.76,94316,LNC
2020-04-08 10:45:00,30.76,31.28,30.71,31.24,149798,LNC
2020-04-08 11:00:00,31.22,31.71,31.14,31.42,106942,LNC
2020-04-08 11:15:00,31.44,31.98,31.43,31.85,131716,LNC
2020-04-08 11:30:00,31.87,32.7,31.81,32.61,217317,LNC
2020-04-08 11:45:00,32.59,32.82,32.28,32.32,207477,LNC
2020-04-08 12:00:00,32.35,32.35,32.01,32.24,152064,LNC
2020-04-08 12:15:00,32.24,32.59,32.24,32.4,273404,LNC
2020-04-08 12:30:00,32.39,32.58,32.22,32.49,204895,LNC
2020-04-08 12:45:00,32.54,32.63,32.27,32.29,71637,LNC
2020-04-08 13:00:00,32.32,32.45,32.17,32.34,113768,LNC
