Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:15:00,84.7,84.7,81.37,81.37,0,NTRS
2020-04-07 09:30:00,85.84,85.99,84.35,85.33,108807,NTRS
2020-04-07 09:45:00,85.46,85.46,84.58,85.14,68878,NTRS
2020-04-07 10:00:00,85.2,85.34,84.16,84.49,152903,NTRS
2020-04-07 10:15:00,84.54,84.54,83.68,83.92,77481,NTRS
2020-04-07 10:30:00,83.91,84.15,83.24,83.41,69448,NTRS
2020-04-07 10:45:00,83.48,83.74,83.2,83.26,78481,NTRS
2020-04-07 11:00:00,83.32,83.73,83.21,83.65,59751,NTRS
2020-04-07 11:15:00,83.66,84.45,83.66,84.4,54258,NTRS
2020-04-07 11:30:00,84.39,84.99,84.3,84.81,31968,NTRS
2020-04-07 11:45:00,84.75,84.96,84.34,84.64,26250,NTRS
2020-04-07 12:00:00,84.66,85.23,84.66,85.13,28257,NTRS
2020-04-07 12:15:00,85.19,85.82,85.19,85.82,49401,NTRS
2020-04-07 12:30:00,85.82,85.98,85.43,85.84,51465,NTRS
2020-04-07 12:45:00,85.94,86.14,85.53,85.66,33662,NTRS
2020-04-07 13:00:00,85.66,85.75,85.12,85.43,26313,NTRS
2020-04-07 13:15:00,85.38,85.94,85.14,85.94,50550,NTRS
2020-04-07 13:30:00,85.92,86.02,85.5,85.6,89624,NTRS
2020-04-07 13:45:00,85.55,85.55,84.37,84.38,69113,NTRS
2020-04-07 14:00:00,84.35,84.48,83.42,83.72,56639,NTRS
2020-04-07 14:15:00,83.6,83.98,83.13,83.58,42558,NTRS
2020-04-07 14:30:00,83.54,83.82,82.79,82.98,31422,NTRS
2020-04-07 14:45:00,82.96,83.07,82.31,82.63,44283,NTRS
2020-04-07 15:00:00,82.64,83.72,82.55,83.62,57838,NTRS
2020-04-07 15:15:00,83.61,83.66,82.66,82.77,209400,NTRS
2020-04-07 15:30:00,82.8,83.87,82.74,83.34,130719,NTRS
2020-04-07 15:45:00,83.33,83.99,82.39,82.56,242023,NTRS
2020-04-07 16:00:00,82.6,82.6,82.6,82.6,167404,NTRS
2020-04-07 16:15:00,82.6,82.6,82.6,82.6,0,NTRS
2020-04-07 16:30:00,82.6,82.6,82.6,82.6,0,NTRS
2020-04-08 09:30:00,83.54,84.5,83.07,83.88,40216,NTRS
2020-04-08 09:45:00,84.07,84.07,83.13,83.22,71545,NTRS
2020-04-08 10:00:00,83.06,83.08,82.43,82.7,91035,NTRS
2020-04-08 10:15:00,82.65,83.2,82.59,83.01,64376,NTRS
2020-04-08 10:30:00,83.03,83.46,82.81,82.91,71000,NTRS
2020-04-08 10:45:00,82.96,83.72,82.92,83.46,83346,NTRS
2020-04-08 11:00:00,83.42,83.68,83.26,83.32,85986,NTRS
2020-04-08 11:15:00,83.28,83.65,83.23,83.52,65757,NTRS
2020-04-08 11:30:00,83.51,83.64,83.08,83.17,110965,NTRS
2020-04-08 11:45:00,83.17,83.46,82.66,82.75,44823,NTRS
2020-04-08 12:00:00,82.69,82.91,81.84,81.84,32294,NTRS
2020-04-08 12:15:00,81.83,82.63,81.83,82.44,66547,NTRS
2020-04-08 12:30:00,82.51,82.62,82.19,82.33,30251,NTRS
2020-04-08 12:45:00,82.35,82.55,82.14,82.21,16467,NTRS
2020-04-08 13:00:00,82.21,82.29,81.9,82.22,18965,NTRS
2020-04-08 13:15:00,82.19,82.43,81.84,82.22,79731,NTRS
2020-04-08 13:30:00,82.25,82.27,81.29,81.33,26628,NTRS
2020-04-08 13:45:00,81.37,81.47,80.99,81.06,28694,NTRS
2020-04-08 14:00:00,81.05,82.17,81.02,82.06,29189,NTRS
2020-04-08 14:15:00,82.14,82.3,81.84,81.96,50852,NTRS
2020-04-08 14:30:00,81.96,82.32,81.86,82.2,44104,NTRS
2020-04-08 14:45:00,82.27,82.61,81.92,82.53,45974,NTRS
2020-04-08 15:00:00,82.53,83.18,82.44,82.89,32765,NTRS
2020-04-08 15:15:00,82.83,83.33,82.83,83.3,46517,NTRS
2020-04-08 15:30:00,83.31,83.63,83.08,83.58,60116,NTRS
2020-04-08 15:45:00,83.55,84.7,83.3,83.39,270073,NTRS
2020-04-08 16:00:00,83.38,83.38,83.38,83.38,0,NTRS
2020-04-08 16:15:00,83.38,83.38,83.38,83.38,0,NTRS
2020-04-08 16:30:00,83.38,83.38,83.38,83.38,0,NTRS
2020-04-09 09:15:00,84.99,84.99,84.99,84.99,0,NTRS
2020-04-09 09:30:00,84.88,86.17,84.79,85.6,70656,NTRS
2020-04-09 09:45:00,85.51,85.68,85.07,85.56,61931,NTRS
2020-04-09 10:00:00,85.55,85.55,84.31,84.42,87976,NTRS
2020-04-09 10:15:00,84.44,84.73,83.89,84.64,120636,NTRS
2020-04-09 10:30:00,84.66,85.55,84.32,85.12,72940,NTRS
2020-04-09 10:45:00,85.13,85.22,84.44,84.74,95234,NTRS
2020-04-09 11:00:00,84.75,84.8,83.96,84.6,63836,NTRS
2020-04-09 11:15:00,84.55,84.97,84.08,84.95,39753,NTRS
2020-04-09 11:30:00,85.01,85.07,84.56,84.84,57012,NTRS
2020-04-09 11:45:00,84.86,85.37,84.78,85.05,36697,NTRS
2020-04-09 12:00:00,85.03,85.33,84.86,85.28,39414,NTRS
2020-04-09 12:15:00,85.29,85.88,85.29,85.67,27057,NTRS
2020-04-09 12:30:00,85.68,86.4,85.68,86.25,29522,NTRS
2020-04-09 12:45:00,86.22,86.36,85.85,85.85,57537,NTRS
2020-04-09 13:00:00,85.8,86.18,85.78,85.95,26109,NTRS
2020-04-09 13:15:00,86.03,86.48,85.78,86.33,48108,NTRS
2020-04-09 13:30:00,86.36,86.47,85.79,85.85,27636,NTRS
2020-04-09 13:45:00,85.84,85.87,85.19,85.52,30426,NTRS
2020-04-09 14:00:00,85.45,85.52,84.55,84.55,33201,NTRS
2020-04-09 14:15:00,84.51,84.66,84.14,84.26,43678,NTRS
2020-04-09 14:30:00,84.29,84.55,83.75,84.0,65893,NTRS
2020-04-09 14:45:00,84.07,84.12,83.49,83.89,53967,NTRS
2020-04-09 15:00:00,83.9,84.6,83.72,84.56,63404,NTRS
2020-04-09 15:15:00,84.6,84.71,84.31,84.58,86702,NTRS
2020-04-09 15:30:00,84.61,84.72,84.44,84.63,121178,NTRS
2020-04-09 15:45:00,84.64,85.0,83.95,84.9,333740,NTRS
2020-04-09 16:00:00,84.89,84.89,84.89,84.89,189701,NTRS
2020-04-09 16:15:00,84.89,84.89,84.8,84.8,0,NTRS
2020-04-13 09:30:00,84.37,84.8,83.15,83.19,60125,NTRS
2020-04-13 09:45:00,83.25,83.96,82.76,83.23,44384,NTRS
2020-04-13 10:00:00,83.29,83.69,82.79,82.93,39616,NTRS
2020-04-13 10:15:00,82.97,83.06,82.38,82.66,26593,NTRS
2020-04-13 10:30:00,82.55,82.91,82.13,82.17,20092,NTRS
2020-04-13 10:45:00,82.14,82.64,82.14,82.29,28679,NTRS
2020-04-13 11:00:00,82.33,82.47,81.93,82.35,26160,NTRS
2020-04-13 11:15:00,82.49,82.87,82.42,82.84,26696,NTRS
2020-04-13 11:30:00,82.78,82.96,82.63,82.64,20871,NTRS
2020-04-13 11:45:00,82.66,83.25,82.62,82.95,37607,NTRS
2020-04-13 12:00:00,82.9,83.42,82.88,83.18,33295,NTRS
2020-04-13 12:15:00,83.18,83.35,83.04,83.24,30041,NTRS
2020-04-13 12:30:00,83.26,83.32,83.08,83.24,26999,NTRS
2020-04-13 12:45:00,83.21,83.43,82.93,82.99,22680,NTRS
2020-04-13 13:00:00,83.0,83.02,82.69,82.8,21191,NTRS
2020-04-13 13:15:00,82.86,83.19,82.8,83.18,20661,NTRS
2020-04-13 13:30:00,83.16,83.49,83.14,83.42,27208,NTRS
2020-04-13 13:45:00,83.43,83.47,83.1,83.23,27602,NTRS
2020-04-13 14:00:00,83.2,83.47,82.98,83.04,25682,NTRS
2020-04-13 14:15:00,83.06,83.12,82.84,82.93,20517,NTRS
2020-04-13 14:30:00,83.07,83.13,82.69,82.71,21665,NTRS
2020-04-13 14:45:00,82.7,83.15,82.61,83.04,26034,NTRS
2020-04-13 15:00:00,82.99,83.0,82.68,82.95,31174,NTRS
2020-04-13 15:15:00,82.94,83.44,82.84,83.42,56807,NTRS
2020-04-13 15:30:00,83.47,84.1,83.38,84.07,64897,NTRS
2020-04-13 15:45:00,84.01,84.28,83.39,83.57,210353,NTRS
2020-04-13 16:00:00,83.54,83.56,83.54,83.55,123373,NTRS
2020-04-13 17:45:00,83.55,83.55,83.55,83.55,0,NTRS
2020-04-13 18:15:00,83.55,83.55,83.55,83.55,0,NTRS
2020-04-14 09:30:00,85.88,86.0,85.0,85.44,48787,NTRS
2020-04-14 09:45:00,85.51,85.61,85.14,85.51,30055,NTRS
2020-04-14 10:00:00,85.54,85.77,85.35,85.39,36324,NTRS
2020-04-14 10:15:00,85.4,85.48,84.72,84.87,26117,NTRS
2020-04-14 10:30:00,84.84,84.84,83.97,84.11,31774,NTRS
2020-04-14 10:45:00,84.21,84.31,83.56,83.65,33234,NTRS
2020-04-14 11:00:00,83.63,83.68,82.8,82.81,56083,NTRS
2020-04-14 11:15:00,82.86,83.09,82.49,82.68,34885,NTRS
2020-04-14 11:30:00,82.76,82.95,82.66,82.88,36411,NTRS
2020-04-14 11:45:00,82.91,82.91,82.45,82.49,23048,NTRS
2020-04-14 12:00:00,82.5,83.41,82.5,83.17,50874,NTRS
2020-04-14 12:15:00,83.15,83.62,83.14,83.22,21430,NTRS
2020-04-14 12:30:00,83.18,83.26,82.92,82.99,24932,NTRS
2020-04-14 12:45:00,83.06,83.33,83.05,83.17,31073,NTRS
2020-04-14 13:00:00,83.17,83.22,82.85,82.92,24374,NTRS
2020-04-14 13:15:00,82.93,83.2,82.76,83.15,24792,NTRS
2020-04-14 13:30:00,83.18,83.34,83.05,83.14,34469,NTRS
2020-04-14 13:45:00,83.14,83.25,83.02,83.11,38195,NTRS
2020-04-14 14:00:00,83.09,83.51,83.09,83.51,35677,NTRS
2020-04-14 14:15:00,83.5,83.79,83.37,83.4,43821,NTRS
2020-04-14 14:30:00,83.42,83.49,83.12,83.14,44850,NTRS
2020-04-14 14:45:00,83.13,83.17,82.95,83.14,45853,NTRS
2020-04-14 15:00:00,83.11,83.12,82.65,82.74,53435,NTRS
2020-04-14 15:15:00,82.75,83.33,82.53,83.21,51406,NTRS
2020-04-14 15:30:00,83.21,83.26,82.92,83.1,64944,NTRS
2020-04-14 15:45:00,83.1,83.46,83.04,83.39,174723,NTRS
2020-04-14 16:00:00,83.39,83.39,83.39,83.39,0,NTRS
2020-04-14 16:15:00,83.39,83.47,83.36,83.36,0,NTRS
2020-04-14 16:30:00,83.36,83.39,83.36,83.39,0,NTRS
2020-04-15 04:15:00,82.98,82.98,82.98,82.98,0,NTRS
2020-04-15 09:15:00,79.44,79.92,78.64,79.92,0,NTRS
2020-04-15 09:30:00,80.51,80.8,79.79,79.89,42190,NTRS
2020-04-15 09:45:00,79.78,80.34,79.67,80.0,28853,NTRS
2020-04-15 10:00:00,79.99,80.24,79.66,79.69,43757,NTRS
2020-04-15 10:15:00,79.66,79.69,78.93,79.14,39800,NTRS
2020-04-15 10:30:00,79.08,79.71,79.06,79.54,47119,NTRS
2020-04-15 10:45:00,79.62,79.77,79.29,79.3,24155,NTRS
2020-04-15 11:00:00,79.29,79.33,79.09,79.19,27891,NTRS
2020-04-15 11:15:00,79.23,79.33,78.94,79.28,19597,NTRS
2020-04-15 11:30:00,79.28,79.63,79.01,79.11,31153,NTRS
2020-04-15 11:45:00,79.1,79.14,78.7,78.71,51350,NTRS
2020-04-15 12:00:00,78.76,78.89,78.28,78.32,89888,NTRS
2020-04-15 12:15:00,78.35,78.83,78.21,78.62,85994,NTRS
2020-04-15 12:30:00,78.58,78.68,78.2,78.55,49530,NTRS
2020-04-15 12:45:00,78.51,79.16,78.51,78.82,23766,NTRS
2020-04-15 13:00:00,78.82,79.17,78.73,79.1,28573,NTRS
2020-04-15 13:15:00,79.07,79.34,78.77,78.8,35045,NTRS
2020-04-15 13:30:00,78.66,78.89,78.65,78.68,59069,NTRS
2020-04-15 13:45:00,78.68,78.93,78.46,78.5,27965,NTRS
2020-04-15 14:00:00,78.5,78.81,78.47,78.81,58454,NTRS
2020-04-15 14:15:00,78.84,79.21,78.79,79.12,37773,NTRS
2020-04-15 14:30:00,79.17,79.45,79.02,79.33,47947,NTRS
2020-04-15 14:45:00,79.32,79.64,79.27,79.62,40047,NTRS
2020-04-15 15:00:00,79.64,79.64,79.06,79.06,44518,NTRS
2020-04-15 15:15:00,79.06,79.19,78.82,78.94,41005,NTRS
2020-04-15 15:30:00,78.93,79.1,78.56,78.83,59489,NTRS
2020-04-15 15:45:00,78.84,79.2,78.64,78.96,184545,NTRS
2020-04-15 16:00:00,78.89,78.89,78.89,78.89,0,NTRS
2020-04-15 16:15:00,78.89,78.89,78.89,78.89,0,NTRS
2020-04-15 16:45:00,78.89,78.89,78.89,78.89,0,NTRS
2020-04-16 09:30:00,79.02,80.73,79.02,80.01,163278,NTRS
2020-04-16 09:45:00,79.98,79.98,78.34,78.46,88530,NTRS
2020-04-16 10:00:00,78.45,78.87,78.06,78.44,71035,NTRS
2020-04-16 10:15:00,78.58,78.86,78.05,78.86,59906,NTRS
2020-04-16 10:30:00,78.8,78.95,78.51,78.89,46037,NTRS
