Date,Open,High,Low,Close,Volume,Name
2020-04-07 05:00:00,24.59,24.59,24.59,24.59,0,PPL
2020-04-07 06:30:00,24.59,24.6,24.59,24.6,0,PPL
2020-04-07 07:15:00,24.83,24.83,24.83,24.83,0,PPL
2020-04-07 08:15:00,24.4,24.83,24.4,24.83,0,PPL
2020-04-07 08:30:00,24.6,24.6,24.6,24.6,0,PPL
2020-04-07 08:45:00,24.65,24.65,24.65,24.65,0,PPL
2020-04-07 09:00:00,24.79,24.98,24.79,24.98,0,PPL
2020-04-07 09:15:00,23.92,24.75,23.92,24.75,0,PPL
2020-04-07 09:30:00,25.79,26.0,25.14,25.18,570854,PPL
2020-04-07 09:45:00,25.2,25.39,25.07,25.36,422411,PPL
2020-04-07 10:00:00,25.36,25.37,24.99,25.05,331284,PPL
2020-04-07 10:15:00,25.05,25.22,24.9,24.97,236902,PPL
2020-04-07 10:30:00,24.96,25.08,24.88,24.91,220539,PPL
2020-04-07 10:45:00,24.91,24.96,24.6,24.74,218199,PPL
2020-04-07 11:00:00,24.73,24.99,24.59,24.92,308415,PPL
2020-04-07 11:15:00,24.93,25.05,24.81,25.04,340032,PPL
2020-04-07 11:30:00,25.04,25.21,25.0,25.16,214080,PPL
2020-04-07 11:45:00,25.16,25.18,25.04,25.08,178755,PPL
2020-04-07 12:00:00,25.08,25.23,25.07,25.15,216270,PPL
2020-04-07 12:15:00,25.15,25.35,25.15,25.34,236175,PPL
2020-04-07 12:30:00,25.34,25.34,25.19,25.27,137636,PPL
2020-04-07 12:45:00,25.28,25.38,25.27,25.33,118366,PPL
2020-04-07 13:00:00,25.33,25.39,25.24,25.28,105355,PPL
2020-04-07 13:15:00,25.29,25.29,25.06,25.11,163039,PPL
2020-04-07 13:30:00,25.11,25.17,25.03,25.1,149749,PPL
2020-04-07 13:45:00,25.09,25.15,24.99,25.01,153892,PPL
2020-04-07 14:00:00,25.02,25.08,24.93,25.01,232211,PPL
2020-04-07 14:15:00,25.0,25.12,24.89,25.01,211123,PPL
2020-04-07 14:30:00,25.01,25.08,24.81,24.85,195904,PPL
2020-04-07 14:45:00,24.85,24.93,24.67,24.75,245917,PPL
2020-04-07 15:00:00,24.75,25.01,24.73,24.94,263057,PPL
2020-04-07 15:15:00,24.95,24.95,24.55,24.65,225368,PPL
2020-04-07 15:30:00,24.65,24.99,24.61,24.86,314140,PPL
2020-04-07 15:45:00,24.86,25.12,24.56,24.58,1219231,PPL
2020-04-07 16:00:00,24.59,24.59,24.59,24.59,0,PPL
2020-04-07 16:15:00,24.59,24.96,24.5,24.59,0,PPL
2020-04-07 16:30:00,24.59,24.59,24.59,24.59,0,PPL
2020-04-07 16:45:00,25.14,25.14,25.14,25.14,0,PPL
2020-04-07 17:15:00,24.76,24.76,24.76,24.76,0,PPL
2020-04-08 04:45:00,24.6,24.6,24.6,24.6,0,PPL
2020-04-08 08:15:00,24.9,24.91,24.88,24.91,0,PPL
2020-04-08 08:30:00,25.39,25.4,25.38,25.4,0,PPL
2020-04-08 09:00:00,25.39,25.4,25.39,25.4,0,PPL
2020-04-08 09:30:00,24.9,25.07,24.75,24.9,274122,PPL
2020-04-08 09:45:00,24.9,25.01,24.7,24.74,139351,PPL
2020-04-08 10:00:00,24.75,24.96,24.69,24.95,137691,PPL
2020-04-08 10:15:00,24.95,25.1,24.94,25.05,121037,PPL
2020-04-08 10:30:00,25.05,25.13,24.98,25.01,120066,PPL
2020-04-08 10:45:00,25.01,25.14,24.92,25.03,169952,PPL
2020-04-08 11:00:00,25.03,25.09,24.92,25.07,186768,PPL
2020-04-08 11:15:00,25.07,25.21,25.05,25.16,137595,PPL
2020-04-08 11:30:00,25.17,25.26,25.08,25.08,170854,PPL
2020-04-08 11:45:00,25.08,25.16,25.02,25.06,136198,PPL
2020-04-08 12:00:00,25.07,25.13,25.01,25.08,131148,PPL
2020-04-08 12:15:00,25.09,25.23,25.02,25.03,131504,PPL
2020-04-08 12:30:00,25.04,25.14,24.98,25.06,143475,PPL
2020-04-08 12:45:00,25.06,25.17,25.05,25.14,104623,PPL
2020-04-08 13:00:00,25.14,25.19,25.08,25.11,102132,PPL
2020-04-08 13:15:00,25.12,25.21,25.07,25.07,123526,PPL
2020-04-08 13:30:00,25.07,25.09,24.95,25.0,143842,PPL
2020-04-08 13:45:00,25.01,25.08,25.0,25.02,124950,PPL
2020-04-08 14:00:00,25.02,25.32,25.02,25.28,158268,PPL
