Date,Open,High,Low,Close,Volume,Name
2020-04-07 07:15:00,78.84,78.84,78.84,78.84,0,PXD
2020-04-07 07:45:00,78.5,78.5,78.5,78.5,0,PXD
2020-04-07 08:00:00,78.82,78.82,78.82,78.82,0,PXD
2020-04-07 08:15:00,78.0,78.85,78.0,78.5,0,PXD
2020-04-07 08:30:00,78.5,78.85,78.01,78.85,0,PXD
2020-04-07 09:00:00,78.85,78.85,78.84,78.85,0,PXD
2020-04-07 09:15:00,79.0,79.0,79.0,79.0,0,PXD
2020-04-07 09:30:00,81.29,81.43,79.52,81.05,180346,PXD
2020-04-07 09:45:00,81.18,83.96,80.92,83.9,117561,PXD
2020-04-07 10:00:00,83.9,84.26,80.69,81.05,118751,PXD
2020-04-07 10:15:00,80.71,81.18,79.13,80.26,126443,PXD
2020-04-07 10:30:00,80.22,81.09,79.73,80.49,88882,PXD
2020-04-07 10:45:00,80.69,80.92,78.83,79.94,134559,PXD
2020-04-07 11:00:00,80.01,81.33,79.83,80.92,129048,PXD
2020-04-07 11:15:00,81.06,81.27,79.37,80.23,102854,PXD
2020-04-07 11:30:00,80.26,80.81,80.1,80.59,97095,PXD
2020-04-07 11:45:00,80.65,80.91,79.31,79.46,58697,PXD
2020-04-07 12:00:00,79.38,80.4,79.38,80.29,46925,PXD
2020-04-07 12:15:00,80.34,80.6,79.13,79.4,60746,PXD
2020-04-07 12:30:00,79.44,79.56,78.26,78.39,106535,PXD
2020-04-07 12:45:00,78.45,78.72,77.82,78.0,109515,PXD
2020-04-07 13:00:00,78.08,78.47,77.66,78.27,107530,PXD
2020-04-07 13:15:00,78.31,78.32,77.07,78.21,66180,PXD
2020-04-07 13:30:00,78.25,78.62,78.05,78.15,98810,PXD
2020-04-07 13:45:00,78.15,78.32,77.32,77.49,53470,PXD
2020-04-07 14:00:00,77.39,77.73,76.74,77.26,91820,PXD
2020-04-07 14:15:00,77.22,77.22,76.0,76.36,62029,PXD
2020-04-07 14:30:00,76.35,76.47,75.12,75.44,72975,PXD
2020-04-07 14:45:00,75.45,75.99,74.79,75.11,91070,PXD
2020-04-07 15:00:00,75.25,76.54,75.1,76.41,101645,PXD
2020-04-07 15:15:00,76.47,76.59,75.32,75.63,88950,PXD
2020-04-07 15:30:00,75.71,76.95,75.4,76.51,113378,PXD
2020-04-07 15:45:00,76.5,77.18,75.1,75.31,317628,PXD
2020-04-07 16:00:00,75.31,75.31,75.31,75.31,0,PXD
2020-04-07 16:15:00,75.31,75.31,75.31,75.31,0,PXD
2020-04-07 16:30:00,75.31,75.31,75.31,75.31,0,PXD
2020-04-07 18:45:00,75.01,75.01,75.01,75.01,0,PXD
2020-04-07 19:00:00,75.01,75.01,75.01,75.01,0,PXD
2020-04-07 19:30:00,75.05,75.05,75.05,75.05,0,PXD
2020-04-08 07:45:00,75.35,75.89,75.35,75.89,0,PXD
2020-04-08 08:15:00,75.32,75.32,75.32,75.32,0,PXD
2020-04-08 08:45:00,76.1,76.1,76.1,76.1,0,PXD
2020-04-08 09:30:00,77.59,77.78,75.96,76.47,119870,PXD
2020-04-08 09:45:00,76.35,77.21,75.63,76.71,81530,PXD
2020-04-08 10:00:00,76.53,77.02,76.08,76.62,140647,PXD
2020-04-08 10:15:00,76.51,76.78,75.88,76.44,79583,PXD
2020-04-08 10:30:00,76.26,76.8,74.84,75.53,96310,PXD
2020-04-08 10:45:00,75.37,76.09,75.08,76.07,63699,PXD
2020-04-08 11:00:00,76.03,77.04,75.88,76.54,91453,PXD
2020-04-08 11:15:00,76.67,77.33,76.61,77.0,71423,PXD
2020-04-08 11:30:00,76.98,77.58,76.82,77.34,75512,PXD
2020-04-08 11:45:00,77.22,77.69,76.9,77.01,40037,PXD
2020-04-08 12:00:00,76.93,77.45,76.81,77.08,49167,PXD
2020-04-08 12:15:00,77.14,77.68,77.14,77.25,64822,PXD
2020-04-08 12:30:00,77.25,77.4,76.67,77.14,82016,PXD
2020-04-08 12:45:00,77.1,77.21,76.44,76.5,59042,PXD
2020-04-08 13:00:00,76.55,76.68,75.8,76.39,72191,PXD
2020-04-08 13:15:00,76.44,77.0,76.39,76.44,100560,PXD
2020-04-08 13:30:00,76.49,76.71,75.65,75.96,45398,PXD
2020-04-08 13:45:00,76.04,76.97,76.04,76.73,60219,PXD
2020-04-08 14:00:00,76.76,77.29,76.76,77.2,70778,PXD
2020-04-08 14:15:00,77.28,78.73,77.26,78.58,117451,PXD
2020-04-08 14:30:00,78.57,79.89,78.45,79.36,174334,PXD
2020-04-08 14:45:00,79.31,79.76,78.96,79.54,104142,PXD
2020-04-08 15:00:00,79.61,80.17,79.43,79.6,99437,PXD
2020-04-08 15:15:00,79.6,80.15,79.39,79.5,117591,PXD
2020-04-08 15:30:00,79.46,80.16,79.44,80.01,291184,PXD
2020-04-08 15:45:00,80.06,81.57,79.93,80.28,558917,PXD
2020-04-08 16:00:00,80.29,80.29,80.29,80.29,0,PXD
2020-04-08 16:15:00,80.29,80.29,78.38,80.29,0,PXD
2020-04-08 16:30:00,80.29,80.29,78.61,78.61,0,PXD
2020-04-08 17:15:00,80.29,80.29,80.29,80.29,0,PXD
2020-04-08 17:45:00,80.31,80.31,80.31,80.31,0,PXD
2020-04-09 08:15:00,80.24,81.5,79.81,81.5,0,PXD
2020-04-09 08:30:00,81.5,81.5,81.5,81.5,0,PXD
2020-04-09 08:45:00,81.49,81.5,81.49,81.5,0,PXD
2020-04-09 09:15:00,83.0,83.0,83.0,83.0,0,PXD
2020-04-09 09:30:00,83.69,83.69,79.92,82.46,179963,PXD
2020-04-09 09:45:00,82.66,83.46,82.16,82.72,142051,PXD
2020-04-09 10:00:00,82.61,82.73,80.94,81.48,80130,PXD
2020-04-09 10:15:00,81.63,82.61,79.55,82.22,142143,PXD
2020-04-09 10:30:00,82.2,84.11,82.14,83.33,304093,PXD
2020-04-09 10:45:00,83.28,84.0,82.13,82.48,194890,PXD
2020-04-09 11:00:00,82.39,82.39,79.2,79.74,190978,PXD
2020-04-09 11:15:00,79.76,79.88,77.68,78.68,154049,PXD
2020-04-09 11:30:00,78.67,78.98,76.71,76.99,116969,PXD
2020-04-09 11:45:00,77.05,78.34,76.52,78.08,76604,PXD
2020-04-09 12:00:00,78.04,79.36,77.95,78.68,115194,PXD
2020-04-09 12:15:00,78.71,79.47,78.46,78.78,100175,PXD
2020-04-09 12:30:00,78.81,79.52,78.27,79.22,88478,PXD
2020-04-09 12:45:00,79.16,80.29,78.85,80.1,53318,PXD
2020-04-09 13:00:00,80.29,80.77,79.64,80.77,56334,PXD
2020-04-09 13:15:00,80.78,81.31,80.6,81.16,51935,PXD
2020-04-09 13:30:00,81.19,81.42,79.24,79.49,61372,PXD
2020-04-09 13:45:00,79.46,79.46,77.18,77.73,98796,PXD
2020-04-09 14:00:00,77.75,77.76,73.53,74.61,295395,PXD
2020-04-09 14:15:00,74.61,75.32,73.92,73.99,237189,PXD
2020-04-09 14:30:00,73.92,74.27,73.16,73.86,308646,PXD
2020-04-09 14:45:00,73.98,74.4,72.58,74.25,189467,PXD
2020-04-09 15:00:00,74.4,75.68,73.79,75.47,153475,PXD
2020-04-09 15:15:00,75.29,75.95,74.86,75.31,165515,PXD
2020-04-09 15:30:00,75.44,75.79,74.51,74.98,247105,PXD
2020-04-09 15:45:00,74.87,75.97,74.69,75.46,724752,PXD
2020-04-09 16:00:00,75.48,75.48,75.48,75.48,154983,PXD
2020-04-09 16:15:00,75.48,77.6,75.48,77.2,0,PXD
2020-04-09 16:45:00,75.5,75.5,75.5,75.5,0,PXD
2020-04-09 17:00:00,75.48,75.48,75.48,75.48,0,PXD
2020-04-09 17:15:00,75.51,75.51,75.51,75.51,0,PXD
2020-04-09 17:30:00,75.51,75.51,75.51,75.51,0,PXD
2020-04-09 17:45:00,76.38,76.38,75.48,75.48,0,PXD
2020-04-09 18:00:00,76.74,77.0,76.74,77.0,0,PXD
2020-04-13 08:00:00,78.19,78.19,78.19,78.19,0,PXD
2020-04-13 08:15:00,78.19,78.2,77.95,77.95,0,PXD
2020-04-13 08:30:00,78.0,78.0,78.0,78.0,0,PXD
2020-04-13 08:45:00,77.85,77.85,77.85,77.85,0,PXD
2020-04-13 09:00:00,78.0,78.0,78.0,78.0,0,PXD
2020-04-13 09:15:00,78.15,79.0,78.15,78.24,0,PXD
2020-04-13 09:30:00,79.03,79.25,75.4,76.0,162634,PXD
2020-04-13 09:45:00,76.22,78.54,75.78,78.48,100240,PXD
2020-04-13 10:00:00,78.36,79.6,77.89,79.26,125321,PXD
2020-04-13 10:15:00,79.11,79.11,77.69,78.39,80528,PXD
2020-04-13 10:30:00,78.49,78.83,77.55,77.7,49677,PXD
2020-04-13 10:45:00,77.82,78.41,76.51,76.93,72975,PXD
2020-04-13 11:00:00,77.04,77.34,76.0,76.97,47835,PXD
2020-04-13 11:15:00,77.12,77.92,77.0,77.68,59756,PXD
2020-04-13 11:30:00,77.71,77.71,76.76,76.9,47121,PXD
2020-04-13 11:45:00,76.89,77.51,76.89,77.18,34603,PXD
2020-04-13 12:00:00,77.18,78.04,77.18,78.0,53454,PXD
2020-04-13 12:15:00,78.06,78.2,77.3,77.31,65425,PXD
2020-04-13 12:30:00,77.31,77.43,76.62,76.81,58748,PXD
2020-04-13 12:45:00,76.72,77.17,76.53,76.73,46673,PXD
2020-04-13 13:00:00,76.64,77.0,76.55,76.67,28917,PXD
2020-04-13 13:15:00,76.61,77.52,76.47,77.21,96512,PXD
2020-04-13 13:30:00,77.25,78.1,77.15,77.93,55140,PXD
2020-04-13 13:45:00,78.02,78.17,77.18,77.32,35785,PXD
2020-04-13 14:00:00,77.4,78.16,77.3,77.46,42093,PXD
2020-04-13 14:15:00,77.6,77.9,77.27,77.54,56466,PXD
2020-04-13 14:30:00,77.62,77.92,77.17,77.25,70881,PXD
2020-04-13 14:45:00,77.29,78.0,77.29,77.87,53295,PXD
2020-04-13 15:00:00,77.9,78.15,77.4,78.04,57247,PXD
2020-04-13 15:15:00,78.02,78.5,77.8,78.0,102180,PXD
2020-04-13 15:30:00,78.12,79.07,78.09,78.89,100927,PXD
2020-04-13 15:45:00,78.89,78.96,78.18,78.52,260177,PXD
2020-04-13 16:00:00,78.52,78.55,78.52,78.55,0,PXD
2020-04-13 16:15:00,78.55,78.55,78.55,78.55,0,PXD
2020-04-13 16:30:00,78.55,78.55,78.55,78.55,0,PXD
2020-04-13 16:45:00,78.55,78.55,78.55,78.55,0,PXD
2020-04-13 17:00:00,78.55,78.55,78.55,78.55,0,PXD
2020-04-13 17:30:00,79.0,79.0,79.0,79.0,0,PXD
2020-04-13 18:00:00,78.55,78.55,78.55,78.55,0,PXD
2020-04-13 19:00:00,78.55,78.55,78.55,78.55,0,PXD
2020-04-14 04:45:00,78.57,78.57,78.57,78.57,0,PXD
2020-04-14 05:00:00,78.57,78.57,78.57,78.57,0,PXD
2020-04-14 08:45:00,77.68,77.68,77.03,77.03,0,PXD
2020-04-14 09:00:00,78.42,78.8,78.41,78.42,0,PXD
2020-04-14 09:15:00,78.41,78.41,78.41,78.41,0,PXD
2020-04-14 09:30:00,77.57,78.28,76.49,78.0,69175,PXD
2020-04-14 09:45:00,77.85,78.74,77.75,78.29,45131,PXD
2020-04-14 10:00:00,78.35,78.63,77.83,78.38,62013,PXD
2020-04-14 10:15:00,78.45,79.11,78.45,79.04,71597,PXD
2020-04-14 10:30:00,79.1,79.71,78.85,79.4,53546,PXD
2020-04-14 10:45:00,79.59,80.0,78.3,78.62,81545,PXD
2020-04-14 11:00:00,78.59,78.68,77.14,77.84,64228,PXD
2020-04-14 11:15:00,77.85,79.11,77.82,78.56,73043,PXD
2020-04-14 11:30:00,78.54,78.81,78.22,78.32,60037,PXD
2020-04-14 11:45:00,78.37,78.37,77.7,77.73,42145,PXD
2020-04-14 12:00:00,77.79,78.87,77.79,78.57,29189,PXD
2020-04-14 12:15:00,78.6,78.67,77.78,77.82,24157,PXD
2020-04-14 12:30:00,77.92,78.04,77.67,77.93,34355,PXD
2020-04-14 12:45:00,77.96,78.03,77.53,77.73,38981,PXD
2020-04-14 13:00:00,77.69,77.85,76.59,76.69,66791,PXD
2020-04-14 13:15:00,76.63,77.57,76.63,77.5,43768,PXD
2020-04-14 13:30:00,77.56,78.01,77.56,77.84,44189,PXD
2020-04-14 13:45:00,77.82,77.82,77.12,77.19,28008,PXD
2020-04-14 14:00:00,77.11,77.33,76.72,76.91,41465,PXD
2020-04-14 14:15:00,77.0,77.12,76.5,76.83,43318,PXD
2020-04-14 14:30:00,76.91,77.58,76.8,77.58,29115,PXD
2020-04-14 14:45:00,77.54,78.52,77.54,78.22,58796,PXD
2020-04-14 15:00:00,78.2,78.25,77.74,77.84,31908,PXD
2020-04-14 15:15:00,77.79,78.12,77.5,78.06,60848,PXD
2020-04-14 15:30:00,78.04,78.26,77.71,78.26,82109,PXD
2020-04-14 15:45:00,78.2,78.34,77.15,77.37,266059,PXD
2020-04-14 16:00:00,77.38,77.38,77.37,77.37,0,PXD
2020-04-14 16:15:00,77.37,77.37,77.37,77.37,0,PXD
2020-04-14 16:30:00,77.37,77.37,77.37,77.37,0,PXD
2020-04-15 07:15:00,74.93,74.93,74.93,74.93,0,PXD
2020-04-15 08:15:00,74.93,74.93,74.93,74.93,0,PXD
2020-04-15 09:00:00,73.0,73.0,73.0,73.0,0,PXD
2020-04-15 09:15:00,73.56,73.56,73.56,73.56,0,PXD
2020-04-15 09:30:00,72.09,74.35,71.85,73.95,159645,PXD
2020-04-15 09:45:00,73.95,74.11,73.0,73.78,94987,PXD
2020-04-15 10:00:00,73.93,74.22,73.25,73.36,146140,PXD
2020-04-15 10:15:00,73.38,73.43,72.67,73.07,77236,PXD
2020-04-15 10:30:00,72.99,73.0,71.93,72.46,83199,PXD
2020-04-15 10:45:00,72.51,72.63,71.53,71.74,38367,PXD
2020-04-15 11:00:00,71.73,71.92,71.56,71.92,28187,PXD
2020-04-15 11:15:00,71.94,72.2,71.77,72.15,41530,PXD
2020-04-15 11:30:00,72.1,72.67,71.75,71.87,33366,PXD
2020-04-15 11:45:00,71.85,72.24,71.69,72.11,26216,PXD
2020-04-15 12:00:00,72.17,72.44,72.0,72.23,29817,PXD
2020-04-15 12:15:00,72.23,72.54,71.99,72.54,27367,PXD
2020-04-15 12:30:00,72.48,72.92,72.44,72.83,32808,PXD
2020-04-15 12:45:00,72.83,72.88,72.5,72.71,25458,PXD
2020-04-15 13:00:00,72.72,73.93,72.68,73.8,54423,PXD
2020-04-15 13:15:00,73.81,74.24,73.43,73.7,50500,PXD
2020-04-15 13:30:00,73.65,73.99,73.46,73.82,45145,PXD
2020-04-15 13:45:00,73.86,74.48,73.65,74.38,45810,PXD
2020-04-15 14:00:00,74.42,74.65,73.52,73.61,59347,PXD
2020-04-15 14:15:00,73.66,74.34,73.5,74.34,59611,PXD
2020-04-15 14:30:00,74.43,74.76,74.33,74.72,45875,PXD
2020-04-15 14:45:00,74.73,75.06,74.39,74.75,61803,PXD
2020-04-15 15:00:00,74.75,74.85,74.31,74.5,48577,PXD
2020-04-15 15:15:00,74.48,76.48,74.46,75.54,203948,PXD
2020-04-15 15:30:00,75.48,75.74,74.88,74.99,125618,PXD
2020-04-15 15:45:00,75.03,75.29,74.31,74.96,231120,PXD
2020-04-15 16:00:00,74.92,74.92,74.92,74.92,0,PXD
2020-04-15 16:15:00,74.92,74.92,73.91,74.07,0,PXD
2020-04-15 16:45:00,74.92,74.92,74.92,74.92,0,PXD
2020-04-15 17:00:00,74.92,74.92,74.92,74.92,0,PXD
2020-04-16 09:30:00,73.8,73.87,72.37,73.64,210251,PXD
2020-04-16 09:45:00,73.65,73.67,73.17,73.19,186258,PXD
2020-04-16 10:00:00,73.28,73.64,72.7,73.04,169066,PXD
2020-04-16 10:15:00,73.03,73.43,72.67,73.35,125354,PXD
2020-04-16 10:30:00,73.37,73.48,72.93,73.16,81820,PXD
2020-04-16 10:45:00,73.13,73.37,72.95,73.13,65795,PXD
2020-04-16 11:00:00,73.23,73.75,73.01,73.58,85008,PXD
2020-04-16 11:15:00,73.62,73.68,73.04,73.04,103886,PXD
2020-04-16 11:30:00,73.0,73.14,72.38,73.0,89704,PXD
2020-04-16 11:45:00,73.03,73.67,72.81,73.5,61108,PXD
2020-04-16 12:00:00,73.53,73.54,72.8,72.82,38070,PXD
2020-04-16 12:15:00,72.83,73.0,72.47,72.79,54917,PXD
2020-04-16 12:30:00,72.76,72.79,72.28,72.29,78997,PXD
2020-04-16 12:45:00,72.31,72.31,71.54,71.71,37281,PXD
2020-04-16 13:00:00,71.68,71.76,71.04,71.19,36762,PXD
2020-04-16 13:15:00,71.18,71.52,70.93,71.51,104821,PXD
2020-04-16 13:30:00,71.51,71.71,71.01,71.21,34521,PXD
2020-04-16 13:45:00,71.21,71.27,70.25,70.58,95714,PXD
2020-04-16 14:00:00,70.55,70.81,70.31,70.51,57543,PXD
2020-04-16 14:15:00,70.56,70.85,70.0,70.45,100806,PXD
2020-04-16 14:30:00,70.43,70.55,70.12,70.25,79062,PXD
2020-04-16 14:45:00,70.28,70.4,69.99,70.32,93842,PXD
2020-04-16 15:00:00,70.35,70.99,70.25,70.76,101132,PXD
2020-04-16 15:15:00,70.76,71.12,70.39,71.11,94153,PXD
2020-04-16 15:30:00,71.14,71.4,70.96,71.18,235170,PXD
2020-04-16 15:45:00,71.23,71.45,71.0,71.11,301417,PXD
2020-04-16 16:00:00,71.11,71.11,71.11,71.11,0,PXD
2020-04-16 16:15:00,71.11,71.96,71.11,71.11,0,PXD
2020-04-16 16:30:00,71.11,71.11,71.11,71.11,0,PXD
2020-04-16 16:45:00,71.11,71.11,71.11,71.11,0,PXD
2020-04-16 17:30:00,72.59,72.67,72.59,72.67,0,PXD
2020-04-16 19:15:00,73.61,75.0,73.61,75.0,0,PXD
2020-04-17 07:15:00,75.0,75.0,75.0,75.0,0,PXD
2020-04-17 08:15:00,75.0,75.0,75.0,75.0,0,PXD
2020-04-17 09:30:00,72.53,73.94,72.08,73.93,185205,PXD
2020-04-17 09:45:00,73.99,75.59,73.89,75.47,97755,PXD
2020-04-17 10:00:00,75.46,75.6,73.83,74.11,86980,PXD
2020-04-17 10:15:00,74.09,74.29,73.71,73.79,86069,PXD
2020-04-17 10:30:00,73.91,74.13,73.63,73.88,91389,PXD
2020-04-17 10:45:00,73.72,74.23,73.57,73.86,67265,PXD
2020-04-17 11:00:00,73.8,74.58,73.7,74.55,64940,PXD
2020-04-17 11:15:00,74.53,74.84,74.36,74.67,57641,PXD
2020-04-17 11:30:00,74.68,75.32,74.5,75.18,79237,PXD
