Date,Open,High,Low,Close,Volume,Name
2020-04-07 08:15:00,65.02,65.02,65.02,65.02,0,RJF
2020-04-07 09:15:00,64.21,64.21,64.21,64.21,0,RJF
2020-04-07 09:30:00,67.64,67.67,64.83,66.03,46723,RJF
2020-04-07 09:45:00,66.45,67.11,65.9,66.64,33060,RJF
2020-04-07 10:00:00,66.82,67.35,66.08,66.25,75710,RJF
2020-04-07 10:15:00,66.15,66.35,65.04,65.56,50955,RJF
2020-04-07 10:30:00,65.51,65.83,65.35,65.35,23429,RJF
2020-04-07 10:45:00,65.49,65.84,65.13,65.38,38500,RJF
2020-04-07 11:00:00,65.35,66.15,65.06,66.03,89658,RJF
2020-04-07 11:15:00,66.16,66.7,65.97,66.62,30132,RJF
2020-04-07 11:30:00,66.61,67.0,66.38,66.9,20993,RJF
2020-04-07 11:45:00,66.94,66.94,66.11,66.33,27516,RJF
2020-04-07 12:00:00,66.42,67.03,66.42,66.93,21081,RJF
2020-04-07 12:15:00,66.99,67.18,66.62,66.92,28498,RJF
2020-04-07 12:30:00,66.94,66.94,66.58,66.86,13375,RJF
2020-04-07 12:45:00,66.76,67.02,66.61,66.76,13641,RJF
2020-04-07 13:00:00,66.68,66.84,66.4,66.72,13023,RJF
2020-04-07 13:15:00,66.6,66.61,65.96,66.18,23374,RJF
2020-04-07 13:30:00,66.22,66.42,65.94,66.0,26172,RJF
2020-04-07 13:45:00,66.06,66.15,65.73,65.78,18942,RJF
2020-04-07 14:00:00,65.75,65.75,65.05,65.14,32895,RJF
2020-04-07 14:15:00,65.21,65.23,64.67,64.94,30407,RJF
2020-04-07 14:30:00,65.03,65.17,64.58,64.62,26685,RJF
2020-04-07 14:45:00,64.59,64.76,64.04,64.26,33367,RJF
2020-04-07 15:00:00,64.28,64.99,64.28,64.71,26202,RJF
2020-04-07 15:15:00,64.71,64.71,64.06,64.16,36819,RJF
2020-04-07 15:30:00,64.15,64.8,63.85,64.51,52938,RJF
2020-04-07 15:45:00,64.57,64.96,63.6,64.01,135899,RJF
2020-04-07 16:00:00,64.02,64.02,63.91,63.91,0,RJF
2020-04-07 16:15:00,63.91,65.38,63.91,65.38,0,RJF
2020-04-07 16:30:00,63.91,63.91,63.91,63.91,0,RJF
2020-04-07 16:45:00,63.91,63.91,63.91,63.91,0,RJF
2020-04-08 09:30:00,64.87,65.66,64.66,64.66,16019,RJF
2020-04-08 09:45:00,64.5,64.63,63.51,63.51,16756,RJF
2020-04-08 10:00:00,63.44,64.29,63.44,64.18,14677,RJF
2020-04-08 10:15:00,64.03,64.93,64.03,64.79,10436,RJF
2020-04-08 10:30:00,64.79,64.92,64.46,64.64,10553,RJF
2020-04-08 10:45:00,64.65,65.31,64.58,65.31,14333,RJF
2020-04-08 11:00:00,65.2,65.29,65.03,65.09,24472,RJF
2020-04-08 11:15:00,65.13,65.69,65.13,65.55,21858,RJF
2020-04-08 11:30:00,65.5,65.82,65.37,65.71,18058,RJF
2020-04-08 11:45:00,65.66,65.97,65.57,65.81,16250,RJF
2020-04-08 12:00:00,65.77,65.88,65.46,65.54,17273,RJF
2020-04-08 12:15:00,65.54,66.19,65.54,66.13,31284,RJF
2020-04-08 12:30:00,66.13,66.17,65.66,65.74,22922,RJF
2020-04-08 12:45:00,65.77,65.87,65.3,65.4,21212,RJF
2020-04-08 13:00:00,65.39,65.55,65.18,65.55,16581,RJF
2020-04-08 13:15:00,65.54,65.96,65.5,65.62,9759,RJF
2020-04-08 13:30:00,65.72,65.72,65.22,65.22,17769,RJF
2020-04-08 13:45:00,65.28,65.51,65.27,65.38,14630,RJF
2020-04-08 14:00:00,65.42,66.01,65.42,65.74,15133,RJF
2020-04-08 14:15:00,65.7,66.21,65.7,66.03,25058,RJF
2020-04-08 14:30:00,66.08,66.43,66.03,66.19,18452,RJF
2020-04-08 14:45:00,66.16,66.41,66.07,66.37,23494,RJF
2020-04-08 15:00:00,66.35,66.86,66.3,66.36,60086,RJF
2020-04-08 15:15:00,66.41,66.72,66.35,66.68,27539,RJF
2020-04-08 15:30:00,66.71,66.97,66.2,66.68,43738,RJF
2020-04-08 15:45:00,66.63,67.26,66.38,66.55,149798,RJF
2020-04-08 16:00:00,66.6,66.6,66.6,66.6,0,RJF
2020-04-08 16:15:00,66.6,66.6,66.6,66.6,0,RJF
2020-04-08 16:30:00,66.6,66.6,66.6,66.6,0,RJF
2020-04-08 16:45:00,66.6,66.6,66.6,66.6,0,RJF
2020-04-08 17:00:00,66.6,66.6,66.6,66.6,0,RJF
2020-04-09 09:30:00,68.54,69.97,67.61,69.54,43089,RJF
2020-04-09 09:45:00,69.22,69.96,68.9,69.67,80211,RJF
2020-04-09 10:00:00,69.9,69.9,68.97,69.6,32765,RJF
2020-04-09 10:15:00,69.53,69.93,68.91,69.43,44055,RJF
2020-04-09 10:30:00,69.56,69.93,69.32,69.71,30313,RJF
2020-04-09 10:45:00,69.75,69.86,69.06,69.41,37396,RJF
2020-04-09 11:00:00,69.51,69.55,69.1,69.36,22231,RJF
2020-04-09 11:15:00,69.33,69.62,68.78,69.53,32041,RJF
2020-04-09 11:30:00,69.47,69.82,69.25,69.73,23761,RJF
2020-04-09 11:45:00,69.69,69.97,69.59,69.93,20929,RJF
2020-04-09 12:00:00,69.92,70.1,69.73,70.06,30075,RJF
2020-04-09 12:15:00,70.0,70.15,69.84,69.92,29686,RJF
2020-04-09 12:30:00,69.98,70.16,69.78,70.02,37465,RJF
2020-04-09 12:45:00,69.96,70.21,69.9,70.02,82065,RJF
2020-04-09 13:00:00,70.04,70.13,69.86,70.04,42712,RJF
2020-04-09 13:15:00,70.08,70.15,69.91,70.05,30856,RJF
2020-04-09 13:30:00,70.06,70.06,69.43,69.5,24678,RJF
2020-04-09 13:45:00,69.51,69.58,69.14,69.49,22365,RJF
2020-04-09 14:00:00,69.43,69.45,68.75,68.77,27585,RJF
2020-04-09 14:15:00,68.78,68.92,68.33,68.6,30124,RJF
2020-04-09 14:30:00,68.64,68.86,68.38,68.46,26109,RJF
2020-04-09 14:45:00,68.5,68.56,67.66,67.93,59793,RJF
2020-04-09 15:00:00,68.05,69.31,67.79,69.12,97173,RJF
2020-04-09 15:15:00,69.24,69.33,68.95,69.31,50368,RJF
2020-04-09 15:30:00,69.4,69.55,69.04,69.46,69803,RJF
2020-04-09 15:45:00,69.57,69.82,69.06,69.54,223796,RJF
2020-04-09 16:00:00,69.44,69.44,69.44,69.44,212112,RJF
2020-04-09 16:15:00,69.44,69.44,69.44,69.44,0,RJF
2020-04-09 16:30:00,69.44,69.44,69.44,69.44,0,RJF
2020-04-09 16:45:00,69.44,69.44,69.44,69.44,0,RJF
2020-04-13 09:30:00,68.72,68.93,67.33,67.74,26815,RJF
2020-04-13 09:45:00,67.76,68.28,67.33,67.5,25392,RJF
2020-04-13 10:00:00,67.5,68.14,67.4,67.84,19734,RJF
2020-04-13 10:15:00,67.7,67.75,67.35,67.74,14594,RJF
2020-04-13 10:30:00,67.58,67.64,66.76,66.9,18487,RJF
2020-04-13 10:45:00,66.9,67.51,66.9,67.36,27935,RJF
2020-04-13 11:00:00,67.29,67.43,66.82,67.32,31113,RJF
2020-04-13 11:15:00,67.33,67.56,67.33,67.56,13387,RJF
2020-04-13 11:30:00,67.54,67.6,67.24,67.32,22683,RJF
2020-04-13 11:45:00,67.37,67.74,67.37,67.52,13166,RJF
2020-04-13 12:00:00,67.54,68.29,67.54,68.29,18274,RJF
2020-04-13 12:15:00,68.23,68.49,67.87,68.18,22415,RJF
2020-04-13 12:30:00,68.04,68.07,67.64,67.76,11727,RJF
2020-04-13 12:45:00,67.79,67.81,67.3,67.4,10947,RJF
2020-04-13 13:00:00,67.33,67.42,67.25,67.32,16111,RJF
2020-04-13 13:15:00,67.32,67.42,67.22,67.35,13703,RJF
2020-04-13 13:30:00,67.35,67.63,67.29,67.52,14865,RJF
2020-04-13 13:45:00,67.49,67.79,67.42,67.63,9124,RJF
2020-04-13 14:00:00,67.58,67.83,67.26,67.32,19829,RJF
2020-04-13 14:15:00,67.29,67.45,67.0,67.25,22716,RJF
2020-04-13 14:30:00,67.21,67.38,67.11,67.21,20865,RJF
2020-04-13 14:45:00,67.27,67.54,67.2,67.32,19711,RJF
2020-04-13 15:00:00,67.35,67.35,67.05,67.23,21331,RJF
2020-04-13 15:15:00,67.21,68.22,67.18,67.92,127213,RJF
2020-04-13 15:30:00,67.98,68.2,67.82,68.07,29938,RJF
2020-04-13 15:45:00,68.04,68.29,67.39,67.52,88975,RJF
2020-04-13 16:00:00,67.43,67.43,67.43,67.43,0,RJF
2020-04-13 16:15:00,67.43,67.43,67.43,67.43,0,RJF
2020-04-13 16:45:00,67.43,67.43,67.43,67.43,0,RJF
2020-04-13 17:45:00,67.43,67.43,67.43,67.43,0,RJF
2020-04-13 18:15:00,67.43,67.43,67.43,67.43,0,RJF
2020-04-14 09:30:00,69.01,69.26,68.46,69.26,21107,RJF
2020-04-14 09:45:00,68.85,69.01,68.03,68.21,18334,RJF
2020-04-14 10:00:00,68.32,69.02,68.29,68.76,22941,RJF
2020-04-14 10:15:00,68.85,69.08,68.35,68.4,20199,RJF
2020-04-14 10:30:00,68.47,68.47,67.53,67.79,31696,RJF
2020-04-14 10:45:00,67.88,67.94,67.27,67.3,26285,RJF
2020-04-14 11:00:00,67.3,67.36,66.54,66.6,25251,RJF
2020-04-14 11:15:00,66.6,66.68,66.08,66.19,24641,RJF
2020-04-14 11:30:00,66.23,66.5,66.12,66.49,19492,RJF
2020-04-14 11:45:00,66.43,66.47,66.02,66.05,17030,RJF
2020-04-14 12:00:00,66.26,66.88,66.25,66.74,37375,RJF
2020-04-14 12:15:00,66.65,66.86,66.32,66.32,16926,RJF
2020-04-14 12:30:00,66.38,66.47,66.0,66.0,16498,RJF
2020-04-14 12:45:00,66.02,66.12,65.77,65.81,15745,RJF
2020-04-14 13:00:00,65.79,65.81,65.39,65.44,14962,RJF
2020-04-14 13:15:00,65.45,65.49,65.3,65.45,14951,RJF
2020-04-14 13:30:00,65.47,65.62,65.41,65.49,16456,RJF
2020-04-14 13:45:00,65.45,65.69,65.4,65.61,19298,RJF
2020-04-14 14:00:00,65.57,66.09,65.45,65.97,24995,RJF
2020-04-14 14:15:00,65.99,66.3,65.99,66.16,18268,RJF
2020-04-14 14:30:00,66.17,66.53,66.02,66.32,21640,RJF
2020-04-14 14:45:00,66.35,66.81,66.27,66.68,56831,RJF
2020-04-14 15:00:00,66.61,66.63,66.36,66.57,20661,RJF
2020-04-14 15:15:00,66.5,66.83,66.34,66.78,23216,RJF
2020-04-14 15:30:00,66.8,67.06,66.71,66.81,43317,RJF
2020-04-14 15:45:00,66.8,67.8,66.8,67.05,138607,RJF
2020-04-14 16:00:00,67.0,67.0,67.0,67.0,0,RJF
2020-04-14 16:15:00,67.0,67.0,66.87,66.87,0,RJF
2020-04-14 16:30:00,67.0,67.0,67.0,67.0,0,RJF
2020-04-14 16:45:00,67.0,67.0,67.0,67.0,0,RJF
2020-04-15 09:30:00,64.04,64.45,63.39,63.71,54223,RJF
2020-04-15 09:45:00,63.6,64.29,63.36,64.02,34101,RJF
2020-04-15 10:00:00,63.96,64.29,63.5,63.58,39505,RJF
2020-04-15 10:15:00,63.5,63.57,62.88,62.94,20776,RJF
2020-04-15 10:30:00,63.04,63.64,63.01,63.54,17287,RJF
2020-04-15 10:45:00,63.51,63.8,63.46,63.59,16503,RJF
2020-04-15 11:00:00,63.61,63.65,63.26,63.33,38393,RJF
2020-04-15 11:15:00,63.37,63.77,63.08,63.59,15962,RJF
2020-04-15 11:30:00,63.64,64.02,63.62,63.69,12495,RJF
2020-04-15 11:45:00,63.67,64.07,63.64,63.94,12734,RJF
2020-04-15 12:00:00,63.97,64.23,63.73,63.84,16413,RJF
2020-04-15 12:15:00,63.85,64.09,63.78,64.09,11227,RJF
2020-04-15 12:30:00,64.04,64.16,63.81,63.9,11616,RJF
2020-04-15 12:45:00,63.81,63.96,63.55,63.55,18981,RJF
2020-04-15 13:00:00,63.56,63.89,63.43,63.89,18895,RJF
2020-04-15 13:15:00,63.81,64.27,63.77,63.84,14997,RJF
2020-04-15 13:30:00,63.67,63.72,63.32,63.37,13810,RJF
2020-04-15 13:45:00,63.32,63.46,63.07,63.22,23389,RJF
2020-04-15 14:00:00,63.27,63.55,63.27,63.55,15265,RJF
2020-04-15 14:15:00,63.52,63.73,63.41,63.66,27510,RJF
2020-04-15 14:30:00,63.71,63.97,63.6,63.78,21401,RJF
2020-04-15 14:45:00,63.76,63.89,63.65,63.88,25233,RJF
2020-04-15 15:00:00,63.85,63.85,63.31,63.41,122964,RJF
2020-04-15 15:15:00,63.35,63.42,62.98,63.21,118343,RJF
2020-04-15 15:30:00,63.21,63.31,62.83,63.06,64515,RJF
2020-04-15 15:45:00,63.07,63.18,62.41,62.68,332489,RJF
2020-04-15 16:00:00,62.69,62.69,62.68,62.68,0,RJF
2020-04-15 16:15:00,62.68,62.68,62.68,62.68,0,RJF
2020-04-15 16:45:00,62.68,62.68,62.68,62.68,0,RJF
2020-04-15 17:00:00,62.68,62.68,62.68,62.68,0,RJF
2020-04-15 19:00:00,64.25,64.25,64.25,64.25,0,RJF
2020-04-16 09:30:00,62.29,62.61,61.67,61.95,33887,RJF
2020-04-16 09:45:00,62.07,62.13,60.24,60.24,42661,RJF
2020-04-16 10:00:00,60.4,60.75,60.08,60.13,44531,RJF
2020-04-16 10:15:00,60.29,60.6,59.93,60.6,59624,RJF
2020-04-16 10:30:00,60.73,60.91,60.15,60.65,29933,RJF
2020-04-16 10:45:00,60.66,60.68,60.2,60.57,32266,RJF
2020-04-16 11:00:00,60.6,61.52,60.6,61.24,37957,RJF
2020-04-16 11:15:00,61.3,61.31,60.76,60.77,43721,RJF
2020-04-16 11:30:00,60.84,60.89,60.18,60.18,30059,RJF
2020-04-16 11:45:00,60.19,60.47,59.9,60.1,26493,RJF
2020-04-16 12:00:00,60.05,60.18,59.8,59.83,29739,RJF
2020-04-16 12:15:00,59.84,59.86,59.5,59.62,31774,RJF
2020-04-16 12:30:00,59.65,59.65,59.33,59.53,35952,RJF
2020-04-16 12:45:00,59.57,59.57,59.15,59.42,20364,RJF
2020-04-16 13:00:00,59.4,59.7,59.25,59.69,23724,RJF
2020-04-16 13:15:00,59.69,60.28,59.54,60.08,79104,RJF
2020-04-16 13:30:00,60.15,60.35,60.14,60.22,27865,RJF
2020-04-16 13:45:00,60.19,60.26,59.86,60.12,49908,RJF
2020-04-16 14:00:00,60.12,60.31,59.87,60.27,19828,RJF
2020-04-16 14:15:00,60.29,60.47,60.06,60.41,30192,RJF
2020-04-16 14:30:00,60.4,60.76,60.39,60.51,40727,RJF
2020-04-16 14:45:00,60.48,60.5,60.25,60.31,36546,RJF
2020-04-16 15:00:00,60.3,60.44,60.26,60.41,32701,RJF
2020-04-16 15:15:00,60.43,60.58,60.27,60.52,40569,RJF
2020-04-16 15:30:00,60.51,60.67,60.4,60.53,43670,RJF
2020-04-16 15:45:00,60.56,60.89,60.49,60.65,142088,RJF
2020-04-16 16:00:00,60.65,60.66,60.65,60.65,0,RJF
2020-04-16 16:15:00,60.65,60.65,60.43,60.43,0,RJF
2020-04-16 16:45:00,60.65,60.65,60.65,60.65,0,RJF
2020-04-16 17:00:00,60.65,60.65,60.65,60.65,0,RJF
2020-04-17 09:30:00,62.99,64.75,62.69,63.98,103319,RJF
2020-04-17 09:45:00,63.59,63.75,63.12,63.74,59147,RJF
2020-04-17 10:00:00,63.81,63.95,62.82,62.82,30148,RJF
2020-04-17 10:15:00,62.94,63.02,62.39,62.83,35415,RJF
2020-04-17 10:30:00,62.88,63.09,62.55,62.96,40996,RJF
2020-04-17 10:45:00,62.91,63.24,62.62,63.0,31560,RJF
2020-04-17 11:00:00,62.92,63.47,62.92,63.29,66483,RJF
2020-04-17 11:15:00,63.36,63.38,62.83,62.9,49845,RJF
2020-04-17 11:30:00,62.88,63.44,62.88,63.13,25599,RJF
2020-04-17 11:45:00,63.1,63.22,62.96,63.17,32444,RJF
2020-04-17 12:00:00,63.19,63.41,62.96,63.17,36861,RJF
2020-04-17 12:15:00,63.15,63.19,62.72,62.82,45065,RJF
2020-04-17 12:30:00,62.79,63.18,62.76,63.13,67113,RJF
2020-04-17 12:45:00,63.11,63.4,63.08,63.3,67657,RJF
2020-04-17 13:00:00,63.3,63.88,63.21,63.65,38182,RJF
2020-04-17 13:15:00,63.65,63.82,63.44,63.65,44656,RJF
2020-04-17 13:30:00,63.64,63.69,63.19,63.21,47673,RJF
2020-04-17 13:45:00,63.18,63.2,62.83,62.93,55504,RJF
2020-04-17 14:00:00,62.95,63.13,62.65,62.7,35971,RJF
2020-04-17 14:15:00,62.68,63.02,62.67,62.78,38611,RJF
2020-04-17 14:30:00,62.78,62.78,62.25,62.44,81629,RJF
2020-04-17 14:45:00,62.42,62.75,62.32,62.65,93573,RJF
2020-04-17 15:00:00,62.65,63.03,62.57,62.87,52187,RJF
