Date,Open,High,Low,Close,Volume,Name
2020-04-07 08:30:00,42.9,42.9,42.9,42.9,0,TAP
2020-04-07 09:15:00,44.0,44.0,42.9,42.9,0,TAP
2020-04-07 09:30:00,44.67,44.88,43.81,44.49,154548,TAP
2020-04-07 09:45:00,44.45,45.12,44.34,45.01,42239,TAP
2020-04-07 10:00:00,45.0,45.09,44.6,44.63,58440,TAP
2020-04-07 10:15:00,44.65,44.99,44.48,44.77,42073,TAP
2020-04-07 10:30:00,44.69,45.09,44.68,44.83,38026,TAP
2020-04-07 10:45:00,44.86,45.18,44.27,44.41,45662,TAP
2020-04-07 11:00:00,44.52,45.12,44.42,44.94,104974,TAP
2020-04-07 11:15:00,44.97,45.03,44.69,44.84,109801,TAP
2020-04-07 11:30:00,44.92,45.02,44.6,44.6,74168,TAP
2020-04-07 11:45:00,44.5,44.72,44.34,44.55,100683,TAP
2020-04-07 12:00:00,44.6,44.97,44.58,44.87,96825,TAP
2020-04-07 12:15:00,45.02,45.23,44.83,45.23,100963,TAP
2020-04-07 12:30:00,45.17,45.18,44.59,44.88,51206,TAP
2020-04-07 12:45:00,44.88,44.88,44.56,44.7,45333,TAP
2020-04-07 13:00:00,44.73,44.81,44.44,44.69,44474,TAP
2020-04-07 13:15:00,44.65,44.75,44.4,44.72,48335,TAP
2020-04-07 13:30:00,44.72,44.75,44.11,44.23,93908,TAP
2020-04-07 13:45:00,44.2,44.35,43.96,44.17,50150,TAP
2020-04-07 14:00:00,44.19,44.31,43.91,44.13,38173,TAP
2020-04-07 14:15:00,44.08,44.24,43.89,43.97,50985,TAP
2020-04-07 14:30:00,43.93,44.2,43.76,43.85,30036,TAP
2020-04-07 14:45:00,43.78,43.96,43.55,43.73,42284,TAP
2020-04-07 15:00:00,43.67,44.19,43.67,44.16,37181,TAP
2020-04-07 15:15:00,44.15,44.17,43.62,43.81,33039,TAP
2020-04-07 15:30:00,43.73,44.21,43.64,44.13,52874,TAP
2020-04-07 15:45:00,44.17,44.36,43.45,43.63,194070,TAP
2020-04-07 16:00:00,43.58,43.58,43.53,43.53,0,TAP
2020-04-07 16:15:00,43.53,43.53,43.53,43.53,0,TAP
2020-04-07 16:30:00,43.53,43.53,43.53,43.53,0,TAP
2020-04-08 09:30:00,43.74,44.36,43.56,44.26,31566,TAP
2020-04-08 09:45:00,44.26,44.47,43.94,44.05,28115,TAP
2020-04-08 10:00:00,43.98,44.19,43.64,44.0,29671,TAP
2020-04-08 10:15:00,44.04,44.3,44.04,44.29,13381,TAP
2020-04-08 10:30:00,44.3,44.5,44.17,44.3,18926,TAP
2020-04-08 10:45:00,44.19,44.35,44.1,44.21,28261,TAP
2020-04-08 11:00:00,44.22,44.4,44.11,44.27,20816,TAP
2020-04-08 11:15:00,44.28,44.35,43.88,44.09,66872,TAP
2020-04-08 11:30:00,44.12,44.26,43.98,44.2,66765,TAP
2020-04-08 11:45:00,44.17,44.6,44.17,44.52,31403,TAP
2020-04-08 12:00:00,44.56,44.57,44.34,44.51,29337,TAP
2020-04-08 12:15:00,44.55,44.65,44.52,44.59,17296,TAP
2020-04-08 12:30:00,44.6,44.74,44.55,44.65,27985,TAP
2020-04-08 12:45:00,44.64,44.77,44.53,44.57,31381,TAP
2020-04-08 13:00:00,44.59,44.71,44.49,44.54,20182,TAP
2020-04-08 13:15:00,44.55,44.71,44.53,44.62,21787,TAP
2020-04-08 13:30:00,44.62,44.62,44.44,44.55,24087,TAP
2020-04-08 13:45:00,44.58,44.66,44.49,44.56,25380,TAP
2020-04-08 14:00:00,44.61,44.82,44.48,44.59,58061,TAP
2020-04-08 14:15:00,44.61,45.14,44.56,45.08,182580,TAP
2020-04-08 14:30:00,45.02,45.54,45.02,45.52,115322,TAP
2020-04-08 14:45:00,45.53,45.6,45.4,45.53,82152,TAP
2020-04-08 15:00:00,45.51,46.06,45.44,45.88,113661,TAP
2020-04-08 15:15:00,45.89,46.0,45.69,45.83,67565,TAP
2020-04-08 15:30:00,45.83,45.84,45.26,45.62,98754,TAP
2020-04-08 15:45:00,45.63,45.86,45.4,45.62,264789,TAP
2020-04-08 16:00:00,45.62,45.62,45.62,45.62,0,TAP
2020-04-08 16:15:00,45.62,45.62,45.62,45.62,0,TAP
2020-04-08 16:30:00,45.62,45.62,45.62,45.62,0,TAP
2020-04-08 17:45:00,43.0,43.0,43.0,43.0,0,TAP
2020-04-08 19:45:00,45.71,45.71,45.71,45.71,0,TAP
2020-04-09 09:30:00,46.28,46.92,46.0,46.92,88281,TAP
