Date,Open,High,Low,Close,Volume,Name
2020-04-07 06:45:00,28.33,30.12,28.33,30.12,0,TXT
2020-04-07 07:15:00,28.0,28.0,28.0,28.0,0,TXT
2020-04-07 09:15:00,27.34,27.34,27.34,27.34,0,TXT
2020-04-07 09:30:00,29.3,29.66,28.5,28.78,97201,TXT
2020-04-07 09:45:00,28.7,29.17,28.48,29.03,74335,TXT
2020-04-07 10:00:00,29.08,29.08,28.43,28.53,38503,TXT
2020-04-07 10:15:00,28.55,28.56,27.78,28.06,41231,TXT
2020-04-07 10:30:00,28.09,28.48,28.05,28.17,33734,TXT
2020-04-07 10:45:00,28.2,28.25,27.6,28.02,25771,TXT
2020-04-07 11:00:00,28.01,28.26,27.8,28.11,25962,TXT
2020-04-07 11:15:00,28.19,28.36,27.88,28.14,42710,TXT
2020-04-07 11:30:00,28.08,28.49,27.96,28.47,34447,TXT
2020-04-07 11:45:00,28.48,28.58,28.13,28.15,34875,TXT
2020-04-07 12:00:00,28.24,28.46,28.2,28.41,37572,TXT
2020-04-07 12:15:00,28.44,28.58,28.32,28.43,21909,TXT
2020-04-07 12:30:00,28.45,28.56,28.22,28.54,17730,TXT
2020-04-07 12:45:00,28.44,28.48,28.31,28.34,22490,TXT
2020-04-07 13:00:00,28.32,28.39,28.06,28.16,16662,TXT
2020-04-07 13:15:00,28.13,28.16,27.72,28.0,46236,TXT
2020-04-07 13:30:00,27.97,28.13,27.71,27.82,25328,TXT
2020-04-07 13:45:00,27.76,27.85,27.64,27.65,22978,TXT
2020-04-07 14:00:00,27.67,27.68,27.39,27.54,33887,TXT
2020-04-07 14:15:00,27.5,27.89,27.32,27.81,23312,TXT
2020-04-07 14:30:00,27.74,27.75,27.1,27.1,92751,TXT
2020-04-07 14:45:00,27.09,27.25,26.5,26.82,75580,TXT
2020-04-07 15:00:00,26.77,27.3,26.72,27.3,70855,TXT
2020-04-07 15:15:00,27.33,27.37,26.77,26.77,55131,TXT
2020-04-07 15:30:00,26.8,27.35,26.73,27.15,68679,TXT
2020-04-07 15:45:00,27.2,27.36,26.56,26.63,290854,TXT
2020-04-07 16:00:00,26.62,26.62,26.62,26.62,0,TXT
2020-04-07 16:15:00,26.62,26.62,26.62,26.62,0,TXT
2020-04-07 16:30:00,26.62,26.62,26.62,26.62,0,TXT
2020-04-08 09:30:00,27.14,27.41,26.76,27.08,31328,TXT
2020-04-08 09:45:00,27.13,27.31,26.92,27.11,19174,TXT
2020-04-08 10:00:00,27.0,27.16,26.77,26.99,18505,TXT
2020-04-08 10:15:00,27.07,27.17,26.85,27.04,52234,TXT
2020-04-08 10:30:00,27.05,27.05,26.72,26.87,32652,TXT
2020-04-08 10:45:00,26.89,27.05,26.89,27.0,40381,TXT
2020-04-08 11:00:00,27.03,27.44,26.98,27.4,107810,TXT
2020-04-08 11:15:00,27.34,27.82,27.33,27.58,183299,TXT
2020-04-08 11:30:00,27.58,27.69,27.5,27.6,40744,TXT
2020-04-08 11:45:00,27.58,27.8,27.51,27.65,49834,TXT
2020-04-08 12:00:00,27.62,27.66,27.29,27.49,25018,TXT
2020-04-08 12:15:00,27.54,27.78,27.51,27.62,38123,TXT
2020-04-08 12:30:00,27.63,27.81,27.5,27.69,49578,TXT
