Date,Open,High,Low,Close,Volume,Name
2020-04-07 04:30:00,9.38,9.38,9.38,9.38,0,UAA
2020-04-07 06:30:00,9.42,9.48,9.42,9.48,0,UAA
2020-04-07 08:15:00,9.3,9.45,9.3,9.45,0,UAA
2020-04-07 08:30:00,9.44,9.44,9.44,9.44,0,UAA
2020-04-07 08:45:00,9.44,9.48,9.44,9.48,0,UAA
2020-04-07 09:00:00,9.47,9.52,9.47,9.52,0,UAA
2020-04-07 09:30:00,9.67,9.76,9.41,9.53,504780,UAA
2020-04-07 09:45:00,9.56,9.9,9.55,9.88,304483,UAA
2020-04-07 10:00:00,9.89,9.92,9.64,9.67,378420,UAA
2020-04-07 10:15:00,9.67,9.67,9.42,9.46,273199,UAA
2020-04-07 10:30:00,9.47,9.59,9.46,9.51,132098,UAA
2020-04-07 10:45:00,9.52,9.53,9.27,9.42,245874,UAA
2020-04-07 11:00:00,9.41,9.85,9.38,9.81,635756,UAA
2020-04-07 11:15:00,9.81,9.86,9.64,9.75,338044,UAA
2020-04-07 11:30:00,9.74,9.99,9.74,9.97,401233,UAA
2020-04-07 11:45:00,9.98,10.05,9.9,9.92,365848,UAA
2020-04-07 12:00:00,9.93,10.02,9.92,9.95,201340,UAA
2020-04-07 12:15:00,9.96,9.98,9.88,9.95,162667,UAA
2020-04-07 12:30:00,9.95,9.95,9.85,9.94,163173,UAA
2020-04-07 12:45:00,9.94,9.98,9.9,9.93,201345,UAA
2020-04-07 13:00:00,9.93,9.95,9.81,9.83,263779,UAA
2020-04-07 13:15:00,9.82,9.82,9.7,9.74,131610,UAA
2020-04-07 13:30:00,9.74,9.76,9.66,9.68,115287,UAA
2020-04-07 13:45:00,9.67,9.69,9.56,9.62,160614,UAA
2020-04-07 14:00:00,9.63,9.73,9.61,9.69,383627,UAA
2020-04-07 14:15:00,9.69,9.76,9.61,9.73,155540,UAA
2020-04-07 14:30:00,9.72,9.76,9.59,9.64,212741,UAA
2020-04-07 14:45:00,9.64,9.73,9.54,9.6,513777,UAA
2020-04-07 15:00:00,9.6,9.7,9.6,9.66,247445,UAA
2020-04-07 15:15:00,9.66,9.68,9.48,9.5,266140,UAA
2020-04-07 15:30:00,9.51,9.64,9.48,9.62,493302,UAA
2020-04-07 15:45:00,9.62,9.7,9.49,9.51,935020,UAA
2020-04-07 16:00:00,9.52,9.52,9.52,9.52,0,UAA
2020-04-07 16:15:00,9.52,9.52,9.52,9.52,0,UAA
2020-04-07 16:30:00,9.52,9.52,9.52,9.52,0,UAA
2020-04-07 16:45:00,9.52,9.52,9.52,9.52,0,UAA
2020-04-08 08:15:00,9.8,9.8,9.78,9.78,0,UAA
2020-04-08 09:15:00,9.8,9.8,9.8,9.8,0,UAA
2020-04-08 09:30:00,9.7,9.83,9.59,9.83,171915,UAA
2020-04-08 09:45:00,9.84,9.94,9.68,9.68,231869,UAA
2020-04-08 10:00:00,9.68,9.73,9.62,9.72,208962,UAA
2020-04-08 10:15:00,9.73,9.83,9.71,9.81,142298,UAA
2020-04-08 10:30:00,9.81,9.9,9.78,9.81,221722,UAA
2020-04-08 10:45:00,9.82,9.91,9.79,9.9,157190,UAA
2020-04-08 11:00:00,9.9,10.1,9.89,10.06,297003,UAA
2020-04-08 11:15:00,10.06,10.11,10.0,10.1,237431,UAA
2020-04-08 11:30:00,10.1,10.18,10.09,10.12,175540,UAA
2020-04-08 11:45:00,10.12,10.19,9.99,10.02,176889,UAA
2020-04-08 12:00:00,10.02,10.03,9.98,10.02,102605,UAA
2020-04-08 12:15:00,10.03,10.08,9.98,9.99,238324,UAA
2020-04-08 12:30:00,10.0,10.04,9.94,9.98,286215,UAA
2020-04-08 12:45:00,9.98,9.98,9.81,9.83,245587,UAA
2020-04-08 13:00:00,9.84,9.86,9.71,9.77,304335,UAA
2020-04-08 13:15:00,9.77,9.78,9.72,9.73,142837,UAA
2020-04-08 13:30:00,9.74,9.76,9.68,9.7,105193,UAA
2020-04-08 13:45:00,9.7,9.74,9.68,9.69,100245,UAA
2020-04-08 14:00:00,9.7,9.81,9.69,9.73,199326,UAA
2020-04-08 14:15:00,9.74,9.79,9.69,9.75,177822,UAA
2020-04-08 14:30:00,9.75,9.82,9.73,9.77,198076,UAA
2020-04-08 14:45:00,9.78,9.82,9.75,9.8,195603,UAA
2020-04-08 15:00:00,9.8,9.83,9.74,9.74,207896,UAA
2020-04-08 15:15:00,9.74,9.78,9.72,9.76,134550,UAA
2020-04-08 15:30:00,9.76,9.8,9.71,9.8,232420,UAA
2020-04-08 15:45:00,9.8,9.84,9.73,9.74,858036,UAA
2020-04-08 16:00:00,9.75,9.75,9.75,9.75,0,UAA
2020-04-08 16:15:00,9.75,9.84,9.75,9.75,0,UAA
2020-04-08 16:30:00,9.75,9.75,9.75,9.75,0,UAA
2020-04-08 17:30:00,9.76,9.76,9.76,9.76,0,UAA
2020-04-08 17:45:00,9.76,9.76,9.76,9.76,0,UAA
2020-04-08 18:15:00,9.76,9.76,9.76,9.76,0,UAA
2020-04-09 05:30:00,9.9,9.9,9.9,9.9,0,UAA
2020-04-09 06:30:00,9.8,9.8,9.8,9.8,0,UAA
2020-04-09 07:15:00,9.85,9.85,9.82,9.82,0,UAA
2020-04-09 07:30:00,9.8,9.8,9.8,9.8,0,UAA
2020-04-09 08:00:00,9.7,9.7,9.7,9.7,0,UAA
2020-04-09 08:15:00,9.71,9.71,9.7,9.7,0,UAA
2020-04-09 08:30:00,9.7,9.8,9.69,9.8,0,UAA
2020-04-09 08:45:00,9.82,9.82,9.81,9.81,0,UAA
2020-04-09 09:15:00,10.0,10.19,9.99,10.19,0,UAA
2020-04-09 09:30:00,10.12,10.45,10.07,10.42,326355,UAA
2020-04-09 09:45:00,10.41,10.75,10.4,10.7,320571,UAA
2020-04-09 10:00:00,10.7,10.73,10.43,10.47,182268,UAA
2020-04-09 10:15:00,10.47,10.54,10.32,10.51,176217,UAA
2020-04-09 10:30:00,10.52,10.57,10.47,10.51,388328,UAA
2020-04-09 10:45:00,10.5,10.57,10.43,10.49,187634,UAA
2020-04-09 11:00:00,10.49,10.49,10.3,10.35,127521,UAA
2020-04-09 11:15:00,10.35,10.41,10.31,10.4,159080,UAA
2020-04-09 11:30:00,10.4,10.45,10.31,10.38,184996,UAA
2020-04-09 11:45:00,10.38,10.47,10.38,10.45,111400,UAA
2020-04-09 12:00:00,10.45,10.53,10.44,10.52,109685,UAA
2020-04-09 12:15:00,10.52,10.55,10.48,10.52,169011,UAA
2020-04-09 12:30:00,10.53,10.62,10.53,10.62,203534,UAA
2020-04-09 12:45:00,10.62,10.68,10.59,10.6,232355,UAA
2020-04-09 13:00:00,10.6,10.64,10.6,10.63,71898,UAA
