Date,Open,High,Low,Close,Volume,Name
2020-04-07 07:15:00,91.27,91.27,91.27,91.27,0,WEC
2020-04-07 07:30:00,93.01,93.01,93.01,93.01,0,WEC
2020-04-07 09:15:00,91.28,91.28,91.28,91.28,0,WEC
2020-04-07 09:30:00,93.12,93.61,89.92,92.44,98485,WEC
2020-04-07 09:45:00,92.48,92.77,91.02,91.12,65042,WEC
2020-04-07 10:00:00,91.25,91.57,90.24,91.0,109752,WEC
2020-04-07 10:15:00,91.02,91.92,90.96,91.64,44773,WEC
2020-04-07 10:30:00,91.54,92.08,91.34,91.61,38530,WEC
2020-04-07 10:45:00,91.78,91.92,90.77,90.77,63796,WEC
2020-04-07 11:00:00,90.77,91.18,90.42,90.98,43434,WEC
2020-04-07 11:15:00,91.04,91.33,90.94,91.07,62342,WEC
2020-04-07 11:30:00,91.03,91.21,90.77,91.09,37026,WEC
2020-04-07 11:45:00,91.1,91.18,90.52,90.8,33603,WEC
2020-04-07 12:00:00,90.82,91.26,90.82,91.0,46837,WEC
2020-04-07 12:15:00,91.0,91.05,90.29,90.58,42156,WEC
2020-04-07 12:30:00,90.51,90.77,90.03,90.04,85981,WEC
2020-04-07 12:45:00,89.98,90.12,89.5,89.62,38493,WEC
2020-04-07 13:00:00,89.57,89.86,89.47,89.77,34788,WEC
2020-04-07 13:15:00,89.67,89.67,89.06,89.27,29555,WEC
2020-04-07 13:30:00,89.22,89.49,88.78,89.18,29668,WEC
2020-04-07 13:45:00,89.28,89.59,89.11,89.2,37401,WEC
2020-04-07 14:00:00,89.28,89.35,88.72,88.99,32519,WEC
2020-04-07 14:15:00,88.9,89.24,88.73,89.1,33369,WEC
2020-04-07 14:30:00,89.1,89.1,88.12,88.27,26147,WEC
2020-04-07 14:45:00,88.27,88.42,87.54,87.66,32878,WEC
2020-04-07 15:00:00,87.65,88.28,87.55,88.2,45996,WEC
2020-04-07 15:15:00,88.21,88.21,87.16,87.62,65072,WEC
2020-04-07 15:30:00,87.67,89.18,87.58,88.75,83653,WEC
2020-04-07 15:45:00,88.76,89.53,87.65,87.71,309235,WEC
2020-04-07 16:00:00,87.76,87.76,87.76,87.76,0,WEC
2020-04-07 16:15:00,87.76,89.62,87.76,89.62,0,WEC
2020-04-07 16:30:00,87.76,87.76,87.76,87.76,0,WEC
2020-04-07 16:45:00,87.76,87.76,87.76,87.76,0,WEC
2020-04-07 18:15:00,87.8,87.8,87.8,87.8,0,WEC
2020-04-08 08:30:00,87.8,87.8,87.8,87.8,0,WEC
2020-04-08 09:30:00,88.55,88.98,87.63,88.12,58813,WEC
2020-04-08 09:45:00,88.17,88.43,87.62,88.0,28921,WEC
2020-04-08 10:00:00,88.01,88.07,87.52,87.84,24828,WEC
2020-04-08 10:15:00,87.89,88.63,87.89,88.31,22162,WEC
2020-04-08 10:30:00,88.42,88.62,88.11,88.38,16294,WEC
2020-04-08 10:45:00,88.46,89.12,88.38,88.65,28521,WEC
2020-04-08 11:00:00,88.72,88.98,88.4,88.93,33885,WEC
2020-04-08 11:15:00,88.89,90.0,88.85,89.65,35612,WEC
2020-04-08 11:30:00,89.74,90.03,89.59,89.71,16340,WEC
2020-04-08 11:45:00,89.67,90.11,89.63,89.93,43240,WEC
2020-04-08 12:00:00,89.88,89.97,89.56,89.65,34061,WEC
2020-04-08 12:15:00,89.7,89.98,89.7,89.86,29060,WEC
2020-04-08 12:30:00,89.86,90.0,89.66,89.74,58048,WEC
2020-04-08 12:45:00,89.68,89.87,89.62,89.7,47655,WEC
2020-04-08 13:00:00,89.72,90.02,89.58,90.0,27660,WEC
2020-04-08 13:15:00,89.97,90.05,89.67,89.8,37036,WEC
2020-04-08 13:30:00,89.8,89.9,89.46,89.46,33865,WEC
2020-04-08 13:45:00,89.49,89.82,89.39,89.68,57697,WEC
2020-04-08 14:00:00,89.68,90.89,89.61,90.18,107836,WEC
2020-04-08 14:15:00,90.19,91.16,89.9,91.0,92051,WEC
2020-04-08 14:30:00,91.03,91.36,90.93,91.14,51747,WEC
2020-04-08 14:45:00,91.24,91.45,90.45,91.37,65009,WEC
2020-04-08 15:00:00,91.36,91.69,91.28,91.55,61125,WEC
2020-04-08 15:15:00,91.61,92.25,91.55,92.21,64385,WEC
2020-04-08 15:30:00,92.21,92.3,91.39,91.74,101401,WEC
2020-04-08 15:45:00,91.72,92.88,91.53,92.07,247340,WEC
2020-04-08 16:00:00,92.2,92.2,92.2,92.2,0,WEC
2020-04-08 16:15:00,92.2,92.2,90.68,92.2,0,WEC
2020-04-08 16:30:00,92.2,92.2,92.2,92.2,0,WEC
2020-04-08 19:30:00,92.2,92.2,92.2,92.2,0,WEC
2020-04-09 09:00:00,91.74,91.74,91.74,91.74,0,WEC
2020-04-09 09:30:00,92.9,95.81,92.61,95.12,137405,WEC
2020-04-09 09:45:00,95.16,95.7,94.75,95.63,69402,WEC
2020-04-09 10:00:00,95.72,97.78,95.44,97.66,73050,WEC
2020-04-09 10:15:00,97.8,97.88,96.72,97.17,65816,WEC
2020-04-09 10:30:00,97.09,98.06,96.83,97.36,67766,WEC
2020-04-09 10:45:00,97.38,98.51,97.26,98.44,66305,WEC
2020-04-09 11:00:00,98.38,98.38,97.08,97.3,65495,WEC
2020-04-09 11:15:00,97.28,97.49,96.92,97.38,54063,WEC
2020-04-09 11:30:00,97.3,98.18,97.28,98.15,41902,WEC
2020-04-09 11:45:00,98.22,98.22,97.4,97.71,56380,WEC
2020-04-09 12:00:00,97.66,98.04,97.47,97.92,50257,WEC
2020-04-09 12:15:00,97.87,98.38,97.86,98.12,74289,WEC
2020-04-09 12:30:00,98.1,98.36,97.66,98.31,55591,WEC
2020-04-09 12:45:00,98.3,98.78,98.19,98.55,62400,WEC
2020-04-09 13:00:00,98.54,98.6,97.89,98.23,36371,WEC
2020-04-09 13:15:00,98.24,98.28,97.91,98.17,40063,WEC
2020-04-09 13:30:00,98.17,98.22,97.46,97.52,50602,WEC
2020-04-09 13:45:00,97.61,98.01,97.53,98.01,31943,WEC
2020-04-09 14:00:00,97.96,97.96,97.44,97.65,46772,WEC
