Date,Open,High,Low,Close,Volume,Name
2017-07-03,138.87,139.27,137.16,137.54,14277800,AAPL
2017-07-05,137.73,138.78,136.8,138.11,21569600,AAPL
2017-07-06,137.08,137.54,136.5,136.81,24128800,AAPL
2017-07-07,136.97,138.74,136.97,138.2,19201700,AAPL
2017-07-10,138.13,139.89,137.42,139.04,21090600,AAPL
2017-07-11,138.72,139.8,138.39,139.49,19781800,AAPL
2017-07-12,139.81,140.11,138.81,139.69,24884500,AAPL
2017-07-13,139.46,142.33,139.4,141.64,25199400,AAPL
2017-07-14,141.83,143.13,141.21,142.85,20132100,AAPL
2017-07-17,142.64,144.64,142.4,143.35,23793500,AAPL
2017-07-18,143.01,143.9,142.5,143.85,17868800,AAPL
2017-07-19,144.23,145.13,143.73,144.75,20923000,AAPL
2017-07-20,145.21,145.44,143.96,144.1,17243700,AAPL
2017-07-21,143.76,144.2,142.7,144.03,26252600,AAPL
2017-07-24,144.33,146.11,143.68,145.78,21493200,AAPL
2017-07-25,145.5,147.45,145.5,146.4,18853900,AAPL
2017-07-26,146.98,147.54,146.71,147.09,15781000,AAPL
2017-07-27,147.37,147.6,141.19,144.31,32476300,AAPL
2017-07-28,143.67,143.99,143.0,143.29,17213700,AAPL
2017-07-31,143.68,144.09,141.98,142.56,19845900,AAPL
2017-08-01,142.91,143.98,142.25,143.82,35368600,AAPL
2017-08-02,152.67,153.12,149.68,150.62,69936800,AAPL
2017-08-03,150.53,150.68,148.59,149.11,27097300,AAPL
2017-08-04,149.59,150.87,149.23,149.9,20559900,AAPL
2017-08-07,150.54,152.32,150.17,152.22,21870300,AAPL
2017-08-08,152.02,155.11,151.7,153.44,36205900,AAPL
2017-08-09,152.65,154.58,152.51,154.37,26131500,AAPL
2017-08-10,153.86,153.96,148.79,149.46,40804300,AAPL
2017-08-11,150.69,152.58,150.18,151.54,26257100,AAPL
2017-08-14,153.31,154.16,152.76,153.82,22122700,AAPL
2017-08-15,154.6,156.08,154.1,155.5,29465500,AAPL
2017-08-16,155.83,156.38,154.1,154.87,27671600,AAPL
2017-08-17,154.46,154.64,151.88,151.9,27940600,AAPL
2017-08-18,151.9,153.48,150.8,151.55,27428100,AAPL
2017-08-21,151.55,151.93,149.26,151.28,26368500,AAPL
2017-08-22,152.26,153.96,152.06,153.75,21604600,AAPL
2017-08-23,153.07,154.41,152.88,153.94,19399100,AAPL
2017-08-24,154.37,154.67,152.57,153.26,19818900,AAPL
2017-08-25,153.62,154.5,153.26,153.83,25480100,AAPL
2017-08-28,154.1,155.89,153.89,155.38,25966000,AAPL
2017-08-29,154.06,156.96,153.96,156.76,29516900,AAPL
2017-08-30,157.62,157.7,156.47,157.18,27269600,AAPL
2017-08-31,157.46,158.31,157.31,157.81,26785100,AAPL
2017-09-01,158.58,158.71,157.45,157.86,16591100,AAPL
2017-09-05,157.57,158.05,154.5,155.96,29468500,AAPL
2017-09-06,156.57,156.84,154.46,155.8,21651700,AAPL
2017-09-07,155.97,156.12,154.31,155.17,21928500,AAPL
2017-09-08,154.79,155.07,152.55,152.64,28611500,AAPL
2017-09-11,154.44,155.93,153.85,155.4,31580800,AAPL
2017-09-12,156.47,157.77,152.78,154.79,71714000,AAPL
2017-09-13,153.84,153.92,151.95,153.62,44907400,AAPL
2017-09-14,152.99,153.38,152.12,152.31,23760700,AAPL
2017-09-15,152.49,154.89,152.04,153.85,49114600,AAPL
2017-09-18,154.07,154.44,152.04,152.68,28269400,AAPL
2017-09-19,153.49,153.74,152.46,152.74,20810600,AAPL
2017-09-20,151.94,152.29,148.02,150.18,52951400,AAPL
2017-09-21,149.92,149.92,146.98,147.6,37511700,AAPL
2017-09-22,145.82,146.52,144.88,146.16,46645400,AAPL
2017-09-25,144.33,146.1,143.53,144.87,44387300,AAPL
2017-09-26,146.05,148.11,145.96,147.36,36660000,AAPL
2017-09-27,147.99,148.88,147.74,148.41,25504200,AAPL
2017-09-28,148.08,148.46,146.94,147.49,22005500,AAPL
2017-09-29,147.43,148.31,146.26,148.3,26299800,AAPL
2017-10-02,148.44,148.62,146.96,148.0,18698800,AAPL
2017-10-03,148.2,149.24,148.1,148.65,16230300,AAPL
2017-10-04,147.83,148.05,146.71,147.69,20163800,AAPL
2017-10-05,148.36,149.57,148.24,149.52,21283800,AAPL
2017-10-06,149.12,149.62,148.73,149.44,17407600,AAPL
2017-10-09,149.93,150.81,149.62,149.96,16262900,AAPL
2017-10-10,150.17,152.04,149.25,150.02,15617000,AAPL
2017-10-11,150.08,151.05,149.87,150.64,16905600,AAPL
2017-10-12,150.45,151.43,149.85,150.11,16125100,AAPL
2017-10-13,150.81,151.34,150.51,151.06,16394200,AAPL
2017-10-16,151.94,153.96,151.7,153.85,24121500,AAPL
2017-10-17,153.75,154.8,153.22,154.41,18997300,AAPL
2017-10-18,154.36,154.64,153.58,153.73,16374200,AAPL
2017-10-19,150.83,151.15,149.17,150.09,42584200,AAPL
2017-10-20,150.7,151.8,150.07,150.35,23974100,AAPL
2017-10-23,150.97,151.74,149.63,150.28,21984300,AAPL
2017-10-24,150.39,151.48,150.3,151.17,17757200,AAPL
2017-10-25,150.99,151.6,149.41,150.51,21207100,AAPL
2017-10-26,151.3,151.87,150.86,151.47,17000500,AAPL
2017-10-27,153.28,157.42,152.71,156.9,44454200,AAPL
2017-10-30,157.7,161.73,157.54,160.43,44700800,AAPL
2017-10-31,161.56,163.25,160.64,162.66,36046800,AAPL
2017-11-01,163.46,163.53,159.36,160.59,33637800,AAPL
2017-11-02,160.31,162.14,159.04,161.76,41393400,AAPL
2017-11-03,167.43,167.68,164.66,165.99,59398600,AAPL
2017-11-06,165.86,168.38,165.24,167.67,35026300,AAPL
2017-11-07,167.35,168.63,167.05,168.21,24361500,AAPL
2017-11-08,168.07,169.59,167.75,169.59,24409500,AAPL
2017-11-09,168.5,169.45,166.6,169.24,29482600,AAPL
2017-11-10,169.11,169.37,168.29,168.68,25145500,AAPL
2017-11-13,167.55,168.52,167.45,168.01,16982100,AAPL
2017-11-14,167.11,167.53,165.31,165.47,24782500,AAPL
2017-11-15,164.14,164.48,162.61,163.28,29158100,AAPL
2017-11-16,165.31,165.98,164.46,165.23,23637500,AAPL
2017-11-17,165.18,165.51,163.82,164.32,21899500,AAPL
2017-11-20,164.45,164.71,163.75,164.15,16262400,AAPL
2017-11-21,164.92,167.74,164.92,167.2,25131300,AAPL
2017-11-22,167.42,169.0,167.12,168.96,25588900,AAPL
2017-11-24,169.1,169.48,168.66,168.97,14026700,AAPL
2017-11-27,169.05,169.08,167.4,168.12,20716800,AAPL
2017-11-28,168.32,168.87,165.97,167.14,26428800,AAPL
2017-11-29,166.71,166.99,161.43,163.67,41666400,AAPL
2017-11-30,164.59,166.24,162.66,165.96,41527200,AAPL
2017-12-01,164.12,165.78,162.72,165.19,39759300,AAPL
2017-12-04,166.57,166.7,163.81,163.98,32542400,AAPL
2017-12-05,163.26,165.64,162.63,163.82,27350200,AAPL
2017-12-06,161.76,164.36,160.75,163.22,28560000,AAPL
2017-12-07,163.23,164.6,163.12,163.51,25673300,AAPL
2017-12-08,164.64,165.14,163.03,163.56,23355200,AAPL
2017-12-11,163.4,166.96,163.0,166.75,35273800,AAPL
2017-12-12,166.25,166.48,165.58,165.81,19409200,AAPL
2017-12-13,166.59,167.59,166.1,166.36,23818400,AAPL
2017-12-14,166.49,167.19,165.76,166.32,20476500,AAPL
2017-12-15,167.68,168.2,166.55,168.01,40169300,AAPL
2017-12-18,168.88,171.12,168.86,170.37,29421100,AAPL
2017-12-19,169.03,169.38,168.12,168.56,27436400,AAPL
2017-12-20,168.87,169.41,167.31,168.37,23475600,AAPL
2017-12-21,168.2,169.98,168.13,169.01,20949900,AAPL
2017-12-22,168.69,169.41,168.52,169.01,16349400,AAPL
2017-12-26,164.94,165.59,163.86,164.72,33185500,AAPL
2017-12-27,164.27,164.92,163.89,164.75,21498200,AAPL
2017-12-28,165.14,165.96,164.63,165.21,16480200,AAPL
2017-12-29,164.67,164.74,163.42,163.43,25999900,AAPL
2018-01-02,164.33,166.39,163.46,166.35,25555900,AAPL
2018-01-03,166.61,168.57,166.06,166.32,29517900,AAPL
2018-01-04,166.62,167.52,166.18,167.1,22434600,AAPL
2018-01-05,167.49,169.36,167.12,169.0,23660000,AAPL
2018-01-08,168.37,169.59,167.97,168.37,20567800,AAPL
2018-01-09,168.57,169.06,167.46,168.35,21584000,AAPL
2018-01-10,167.22,168.32,167.07,168.31,23959900,AAPL
2018-01-11,168.6,169.47,168.51,169.27,18667700,AAPL
2018-01-12,170.14,171.28,169.63,171.02,25418100,AAPL
2018-01-16,171.8,173.24,170.1,170.15,29565900,AAPL
2018-01-17,170.11,173.1,169.07,172.96,34386800,AAPL
2018-01-18,173.22,173.92,172.14,173.11,31193400,AAPL
2018-01-19,172.49,173.42,171.33,172.34,32425100,AAPL
2018-01-22,171.22,171.68,170.54,170.93,27108600,AAPL
2018-01-23,171.22,173.29,170.76,170.97,32689100,AAPL
2018-01-24,171.17,171.22,167.26,168.25,51105100,AAPL
2018-01-25,168.53,168.95,164.68,165.24,41529000,AAPL
2018-01-26,166.1,166.1,164.23,165.63,39143000,AAPL
2018-01-29,164.33,164.33,161.34,162.2,50640400,AAPL
2018-01-30,159.85,161.63,159.05,161.25,46048200,AAPL
2018-01-31,161.15,162.66,160.79,161.69,32478900,AAPL
