Date,Open,High,Low,Close,Volume,Name
2017-07-03,89.78,90.26,89.35,89.63,527400,ABC
2017-07-05,89.83,90.56,89.21,90.12,908900,ABC
2017-07-06,89.62,90.1,87.3,87.56,951100,ABC
2017-07-07,88.06,89.22,87.78,88.88,1158700,ABC
2017-07-10,88.64,89.48,87.34,87.54,1255300,ABC
2017-07-11,87.69,87.69,86.27,87.25,911500,ABC
2017-07-12,87.87,88.69,87.65,88.22,655100,ABC
2017-07-13,88.54,88.77,87.38,87.89,788800,ABC
2017-07-14,88.08,88.42,87.58,87.99,859000,ABC
2017-07-17,88.07,88.37,87.6,87.75,1017700,ABC
2017-07-18,87.72,87.72,86.1,86.48,1299300,ABC
2017-07-19,86.66,86.76,85.47,86.29,1331600,ABC
2017-07-20,86.32,87.41,85.77,87.03,1136400,ABC
2017-07-21,86.91,87.15,86.55,86.72,604400,ABC
2017-07-24,86.74,88.65,86.45,88.15,1273700,ABC
2017-07-25,88.4,90.02,87.64,89.58,1413500,ABC
2017-07-26,89.22,89.66,88.41,89.17,1366100,ABC
2017-07-27,88.49,88.66,86.94,87.81,1493300,ABC
2017-07-28,88.02,89.13,87.44,88.94,869200,ABC
2017-07-31,89.25,89.37,88.26,88.8,1062100,ABC
2017-08-01,89.07,89.13,87.7,88.0,1256100,ABC
2017-08-02,87.26,87.26,84.32,86.39,2300500,ABC
2017-08-03,79.61,80.76,76.2,77.34,7434700,ABC
2017-08-04,77.34,77.58,75.32,76.5,2882900,ABC
2017-08-07,76.48,76.69,75.0,76.27,2287100,ABC
2017-08-08,76.58,77.93,75.84,76.03,1742000,ABC
2017-08-09,75.59,75.67,74.39,75.53,2620100,ABC
2017-08-10,75.18,75.75,73.95,74.66,2417100,ABC
2017-08-11,74.61,76.01,74.52,75.74,2214800,ABC
2017-08-14,76.01,76.22,75.4,75.79,2032900,ABC
2017-08-15,75.96,76.13,75.51,75.72,2126700,ABC
2017-08-16,75.99,76.27,75.27,75.75,1599800,ABC
2017-08-17,75.76,77.34,75.76,76.01,1727400,ABC
2017-08-18,75.77,75.96,74.6,74.73,2091900,ABC
2017-08-21,74.57,74.72,74.07,74.2,1455100,ABC
2017-08-22,74.39,75.55,74.25,75.33,1373000,ABC
2017-08-23,75.1,75.11,74.13,74.3,1455700,ABC
2017-08-24,74.48,75.02,74.03,74.54,1191100,ABC
2017-08-25,74.53,75.07,74.14,74.26,1154300,ABC
2017-08-28,74.53,75.0,73.87,74.79,1210900,ABC
2017-08-29,74.32,75.19,74.01,74.7,1279600,ABC
2017-08-30,74.57,74.67,73.96,74.48,1267000,ABC
