Date,Open,High,Low,Close,Volume,Name
2017-07-03,101.32,101.82,99.32,99.36,1454200,ADSK
2017-07-05,99.37,103.04,99.22,102.6,2785200,ADSK
2017-07-06,101.59,103.11,100.79,102.05,2605700,ADSK
2017-07-07,102.29,104.28,102.29,103.32,1695300,ADSK
2017-07-10,103.33,104.19,102.38,103.74,1191800,ADSK
2017-07-11,103.47,104.73,102.98,104.3,1461700,ADSK
2017-07-12,105.61,107.08,104.76,106.68,2621600,ADSK
2017-07-13,107.49,108.5,106.38,107.07,1428000,ADSK
2017-07-14,107.46,108.91,107.01,108.74,1480600,ADSK
2017-07-17,108.9,109.0,106.56,106.94,1180700,ADSK
2017-07-18,106.67,107.85,106.23,107.7,865700,ADSK
2017-07-19,108.5,110.5,108.47,110.25,2044400,ADSK
2017-07-20,109.72,110.5,108.88,109.91,1270900,ADSK
2017-07-21,109.41,110.54,109.08,109.75,1116400,ADSK
2017-07-24,109.59,110.89,109.34,110.81,1953400,ADSK
2017-07-25,110.91,112.4,110.2,112.26,1342500,ADSK
2017-07-26,112.5,114.1,112.41,114.08,1891200,ADSK
2017-07-27,114.97,115.25,109.32,111.52,2362400,ADSK
2017-07-28,110.6,112.28,110.33,111.5,946200,ADSK
2017-07-31,111.65,112.32,109.78,110.79,1393800,ADSK
2017-08-01,111.27,112.59,111.1,111.38,1315600,ADSK
2017-08-02,111.08,111.38,107.28,109.13,1757100,ADSK
2017-08-03,107.95,108.5,105.6,107.88,2255600,ADSK
2017-08-04,108.35,109.04,107.56,108.39,1490900,ADSK
2017-08-07,108.67,111.0,108.4,109.82,1493100,ADSK
2017-08-08,109.38,110.27,108.0,108.35,1224200,ADSK
2017-08-09,107.69,107.96,106.54,107.45,1151400,ADSK
2017-08-10,106.56,107.54,104.77,104.98,1878300,ADSK
2017-08-11,105.75,108.76,105.1,108.01,1461200,ADSK
2017-08-14,109.2,110.0,108.01,108.9,1637900,ADSK
2017-08-15,109.02,110.1,108.12,109.8,1263300,ADSK
2017-08-16,110.36,110.93,109.36,110.49,1320500,ADSK
2017-08-17,110.07,110.82,107.73,107.89,1738700,ADSK
2017-08-18,107.86,110.1,107.19,108.56,1164300,ADSK
2017-08-21,108.37,110.3,108.37,109.75,1279200,ADSK
2017-08-22,110.31,112.24,109.77,111.01,1708500,ADSK
2017-08-23,110.91,111.34,110.05,110.65,1636200,ADSK
2017-08-24,110.58,111.25,109.04,110.61,3128400,ADSK
2017-08-25,115.0,119.73,113.54,114.97,7121000,ADSK
2017-08-28,115.06,115.14,110.01,111.48,3618400,ADSK
2017-08-29,109.65,111.9,109.25,111.27,1858600,ADSK
2017-08-30,111.27,113.67,110.61,113.29,1458900,ADSK
2017-08-31,113.63,114.7,112.82,114.46,1467200,ADSK
2017-09-01,114.63,115.62,113.65,113.71,1566400,ADSK
2017-09-05,113.46,114.81,112.52,113.77,3092900,ADSK
2017-09-06,114.4,114.78,112.65,113.79,2339900,ADSK
2017-09-07,114.14,114.47,113.19,114.05,1731400,ADSK
2017-09-08,114.17,115.72,114.1,114.44,2656400,ADSK
2017-09-11,112.98,117.13,112.22,116.48,2294700,ADSK
2017-09-12,116.35,116.99,114.98,116.16,1607000,ADSK
2017-09-13,116.04,116.5,115.25,116.18,1449900,ADSK
2017-09-14,115.62,116.14,114.5,115.47,1649700,ADSK
2017-09-15,115.62,115.62,113.88,114.13,6232600,ADSK
