Date,Open,High,Low,Close,Volume,Name
2017-07-03,37.5,37.61,37.26,37.53,722900,AIV
2017-07-05,37.72,38.32,37.63,38.03,1844700,AIV
2017-07-06,37.86,37.94,36.93,37.16,2380500,AIV
2017-07-07,37.15,37.35,36.95,37.07,1667500,AIV
2017-07-10,37.15,37.37,36.96,37.01,1443100,AIV
2017-07-11,37.06,37.07,36.39,36.87,1845300,AIV
2017-07-12,37.01,37.44,36.96,37.34,1294000,AIV
2017-07-13,37.37,37.37,37.03,37.21,1060500,AIV
2017-07-14,37.29,37.67,37.29,37.6,830100,AIV
2017-07-17,37.6,38.0,37.45,37.92,1273100,AIV
2017-07-18,38.03,38.03,37.59,37.63,1010600,AIV
2017-07-19,37.62,38.0,37.55,38.0,606000,AIV
2017-07-20,38.06,38.34,37.96,38.15,979500,AIV
2017-07-21,38.16,38.47,37.99,38.44,719200,AIV
2017-07-24,38.45,38.45,37.94,37.96,1751100,AIV
2017-07-25,37.97,38.02,37.67,37.74,759800,AIV
2017-07-26,37.79,38.28,37.65,38.14,847400,AIV
2017-07-27,38.02,38.33,37.58,38.25,1100500,AIV
2017-07-28,39.11,39.37,38.55,39.33,1280700,AIV
2017-07-31,39.29,39.61,39.18,39.59,1115800,AIV
2017-08-01,39.65,39.79,39.28,39.63,1261700,AIV
2017-08-02,39.52,39.61,39.22,39.53,872500,AIV
2017-08-03,39.5,39.88,39.23,39.57,1143900,AIV
2017-08-04,39.53,39.85,39.51,39.66,726700,AIV
2017-08-07,39.66,39.77,39.41,39.63,761800,AIV
2017-08-08,39.55,40.08,39.48,40.06,2664300,AIV
2017-08-09,40.2,40.32,39.89,39.98,990100,AIV
2017-08-10,39.88,40.12,39.73,39.75,588000,AIV
2017-08-11,39.66,39.86,39.42,39.59,667700,AIV
2017-08-14,39.73,40.24,39.73,40.13,818000,AIV
2017-08-15,39.98,40.03,39.64,39.94,1217900,AIV
2017-08-16,40.12,40.44,39.69,39.8,1220700,AIV
2017-08-17,39.77,40.04,39.69,39.79,875600,AIV
2017-08-18,39.65,39.75,39.39,39.56,907400,AIV
2017-08-21,39.64,39.85,39.46,39.8,1043200,AIV
2017-08-22,39.81,40.01,39.51,39.76,809000,AIV
2017-08-23,39.77,40.36,39.61,40.22,1117300,AIV
2017-08-24,40.26,40.44,40.08,40.16,975700,AIV
2017-08-25,40.24,40.31,40.06,40.08,545900,AIV
2017-08-28,40.1,40.17,39.5,39.87,544200,AIV
2017-08-29,39.94,40.15,39.38,39.4,562900,AIV
2017-08-30,39.33,39.77,39.22,39.77,623100,AIV
2017-08-31,39.8,39.94,39.64,39.72,778800,AIV
2017-09-01,39.73,40.0,39.61,39.62,454300,AIV
2017-09-05,39.6,39.82,39.35,39.71,1167700,AIV
2017-09-06,39.72,40.02,39.65,39.73,1135700,AIV
2017-09-07,39.81,40.3,39.65,40.16,906400,AIV
2017-09-08,40.14,40.93,40.14,40.7,1642900,AIV
2017-09-11,40.72,40.92,40.38,40.54,864300,AIV
2017-09-12,40.34,40.53,39.65,39.93,903700,AIV
2017-09-13,39.93,39.97,39.69,39.74,722600,AIV
2017-09-14,39.7,40.12,39.58,40.09,717000,AIV
2017-09-15,40.03,40.17,39.67,39.94,1424600,AIV
2017-09-18,39.94,40.1,39.71,40.04,675800,AIV
2017-09-19,40.04,40.04,39.55,39.81,973000,AIV
2017-09-20,39.87,40.0,39.45,39.62,601900,AIV
2017-09-21,39.64,39.79,39.32,39.33,591700,AIV
2017-09-22,39.47,39.58,39.15,39.21,400300,AIV
2017-09-25,39.27,39.39,38.62,39.02,1281700,AIV
2017-09-26,38.99,39.15,38.81,38.84,807600,AIV
2017-09-27,38.53,38.66,38.1,38.23,986600,AIV
2017-09-28,38.18,38.45,38.11,38.41,464000,AIV
2017-09-29,38.25,38.44,38.18,38.43,649900,AIV
2017-10-02,38.46,38.59,38.26,38.53,742900,AIV
2017-10-03,38.46,38.57,38.11,38.45,998000,AIV
2017-10-04,38.47,38.97,38.3,38.95,738000,AIV
2017-10-05,39.05,39.43,39.0,39.2,803500,AIV
2017-10-06,39.0,39.07,38.65,38.9,1012600,AIV
2017-10-09,38.96,39.25,38.83,39.21,527400,AIV
2017-10-10,39.26,39.43,39.09,39.16,982800,AIV
2017-10-11,39.16,39.52,39.13,39.4,780900,AIV
2017-10-12,39.44,39.78,39.38,39.64,787200,AIV
2017-10-13,39.87,39.9,39.1,39.13,899200,AIV
2017-10-16,39.13,39.23,38.71,38.77,754000,AIV
2017-10-17,38.7,38.88,38.59,38.76,802400,AIV
2017-10-18,38.72,38.84,38.46,38.72,505300,AIV
2017-10-19,38.75,38.77,38.51,38.66,503800,AIV
2017-10-20,38.66,38.66,38.45,38.61,516700,AIV
2017-10-23,38.65,38.71,38.42,38.65,589900,AIV
2017-10-24,38.57,38.74,38.04,38.33,1064300,AIV
2017-10-25,38.31,38.59,38.15,38.29,727300,AIV
2017-10-26,38.52,38.61,37.84,37.98,1021100,AIV
2017-10-27,37.97,39.03,37.97,38.88,1599800,AIV
2017-10-30,38.82,38.91,38.59,38.73,955000,AIV
2017-10-31,38.78,38.86,38.31,38.53,1262300,AIV
2017-11-01,38.62,38.99,38.38,38.85,1014500,AIV
2017-11-02,38.93,38.99,38.03,38.2,981400,AIV
2017-11-03,37.95,39.08,37.95,38.74,1061400,AIV
2017-11-06,39.3,39.37,38.9,39.2,1330600,AIV
2017-11-07,39.2,39.46,39.05,39.34,862200,AIV
2017-11-08,39.29,39.82,39.29,39.74,657800,AIV
2017-11-09,39.52,39.86,39.52,39.61,694400,AIV
2017-11-10,39.37,39.79,39.31,39.54,764400,AIV
2017-11-13,39.65,39.95,39.62,39.84,1002500,AIV
2017-11-14,39.79,39.99,39.62,39.63,610200,AIV
2017-11-15,39.71,39.8,39.03,39.03,847800,AIV
2017-11-16,39.08,39.57,38.86,39.48,964800,AIV
2017-11-17,39.33,39.54,38.72,39.04,3498200,AIV
2017-11-20,39.03,39.15,38.87,39.1,754400,AIV
2017-11-21,39.21,39.86,39.21,39.69,1177600,AIV
2017-11-22,39.53,39.75,39.18,39.44,606600,AIV
2017-11-24,39.63,39.68,39.5,39.54,221800,AIV
2017-11-27,39.62,39.63,39.22,39.23,578700,AIV
2017-11-28,39.21,39.35,38.86,38.99,675700,AIV
2017-11-29,38.85,39.29,38.61,39.13,747300,AIV
2017-11-30,39.14,39.3,38.79,38.95,940200,AIV
2017-12-01,39.08,39.3,38.72,38.87,999600,AIV
2017-12-04,39.0,39.08,38.78,38.82,988700,AIV
2017-12-05,38.85,38.95,38.24,38.34,843800,AIV
2017-12-06,38.4,38.54,38.32,38.52,656400,AIV
2017-12-07,38.56,38.82,37.95,38.74,826700,AIV
2017-12-08,38.82,39.1,38.7,38.99,750900,AIV
2017-12-11,38.97,39.11,38.76,39.1,979100,AIV
2017-12-12,38.57,38.98,38.51,38.77,1303500,AIV
2017-12-13,38.87,38.93,38.62,38.78,767500,AIV
2017-12-14,38.71,38.83,38.59,38.74,433500,AIV
2017-12-15,38.83,38.91,38.64,38.73,2357500,AIV
2017-12-18,38.91,39.24,38.9,39.07,937200,AIV
2017-12-19,39.1,39.17,38.03,38.2,885300,AIV
2017-12-20,38.18,38.32,38.11,38.22,1372600,AIV
2017-12-21,38.32,38.32,37.9,38.12,1580500,AIV
2017-12-22,38.13,38.46,38.05,38.16,1301700,AIV
2017-12-26,38.21,38.37,38.12,38.28,457300,AIV
2017-12-27,38.46,38.5,38.24,38.31,622700,AIV
2017-12-28,38.42,38.54,38.16,38.51,622700,AIV
2017-12-29,38.57,38.8,38.43,38.62,456500,AIV
2018-01-02,38.69,38.72,38.17,38.39,669700,AIV
2018-01-03,38.41,38.52,38.08,38.44,696600,AIV
2018-01-04,38.29,38.36,37.71,37.83,759700,AIV
2018-01-05,37.74,37.86,37.33,37.6,999400,AIV
2018-01-08,37.65,37.91,37.54,37.89,822000,AIV
2018-01-09,37.8,37.9,37.07,37.09,1002900,AIV
2018-01-10,36.9,37.06,36.37,36.63,942200,AIV
2018-01-11,36.66,36.82,36.11,36.18,1040700,AIV
2018-01-12,36.08,36.25,35.68,35.89,861900,AIV
2018-01-16,36.01,36.61,35.95,35.97,794800,AIV
2018-01-17,36.17,36.47,35.94,36.19,1209800,AIV
2018-01-18,35.96,36.18,35.69,35.85,1301400,AIV
2018-01-19,35.92,35.97,35.66,35.87,960000,AIV
2018-01-22,36.22,36.6,36.06,36.57,1157800,AIV
2018-01-23,36.74,37.42,36.67,37.41,1052100,AIV
2018-01-24,37.37,37.57,37.1,37.19,818000,AIV
2018-01-25,37.13,37.4,36.97,37.35,788200,AIV
2018-01-26,37.44,37.53,36.92,37.2,998900,AIV
2018-01-29,37.02,37.05,36.55,36.62,1301600,AIV
2018-01-30,36.22,36.65,36.16,36.18,1081600,AIV
2018-01-31,36.18,37.0,36.14,36.97,1100600,AIV
2018-02-01,37.03,37.23,36.03,36.05,1483800,AIV
2018-02-02,35.72,36.15,34.94,35.83,1829200,AIV
2018-02-05,35.7,36.14,35.04,35.05,1860200,AIV
2018-02-06,34.72,35.24,34.32,35.01,2300000,AIV
2018-02-07,34.95,35.59,34.64,34.64,1042100,AIV
2018-02-08,34.64,35.15,33.74,33.76,1321600,AIV
2018-02-09,34.02,35.0,33.85,34.76,1448600,AIV
2018-02-12,34.85,34.85,33.77,34.7,1428800,AIV
2018-02-13,34.61,34.84,34.37,34.7,838700,AIV
2018-02-14,34.39,34.53,33.9,34.19,1063900,AIV
2018-02-15,34.35,35.18,34.34,35.14,1709300,AIV
2018-02-16,35.23,35.56,35.16,35.43,1491500,AIV
2018-02-20,35.11,35.71,34.9,34.91,961900,AIV
2018-02-21,34.87,35.14,33.89,33.92,1227700,AIV
2018-02-22,34.05,34.59,34.05,34.17,1120800,AIV
2018-02-23,34.35,34.73,34.16,34.7,943000,AIV
2018-02-26,34.81,34.92,34.52,34.82,740200,AIV
2018-02-27,34.74,34.94,34.14,34.3,1178200,AIV
2018-02-28,34.42,34.94,34.36,34.51,3365200,AIV
2018-03-01,34.35,34.89,34.2,34.35,1380600,AIV
2018-03-02,34.34,34.66,34.13,34.28,1132600,AIV
2018-03-05,34.22,34.68,34.07,34.6,1305600,AIV
2018-03-06,34.56,34.62,34.09,34.47,1443000,AIV
2018-03-07,34.45,34.86,34.45,34.65,1116100,AIV
