Date,Open,High,Low,Close,Volume,Name
2017-07-03,97.5,99.55,97.49,98.32,209100,AIZ
2017-07-05,98.4,98.83,97.63,97.76,406200,AIZ
2017-07-06,97.8,98.52,97.04,97.38,410200,AIZ
2017-07-07,97.38,99.08,97.37,98.48,259800,AIZ
2017-07-10,98.19,98.47,97.91,98.11,417800,AIZ
2017-07-11,98.13,98.4,97.32,97.66,278200,AIZ
2017-07-12,97.65,98.05,97.15,97.67,484800,AIZ
2017-07-13,97.78,98.63,97.63,98.36,211300,AIZ
2017-07-14,97.8,98.2,97.61,97.83,164700,AIZ
2017-07-17,97.83,98.22,97.16,98.19,207400,AIZ
2017-07-18,98.09,98.29,97.31,97.75,353700,AIZ
2017-07-19,97.97,99.11,97.87,99.04,205100,AIZ
2017-07-20,98.93,99.39,98.52,98.84,169200,AIZ
2017-07-21,98.74,99.07,98.2,98.56,308400,AIZ
2017-07-24,98.86,99.23,98.56,99.11,177200,AIZ
2017-07-25,99.95,100.04,98.95,99.37,322800,AIZ
2017-07-26,99.37,99.44,98.14,98.31,213500,AIZ
2017-07-27,98.45,98.45,97.46,98.12,241000,AIZ
2017-07-28,98.16,98.66,97.86,98.62,202000,AIZ
2017-07-31,98.79,98.93,98.07,98.43,258400,AIZ
2017-08-01,99.14,99.53,98.14,99.36,386600,AIZ
2017-08-02,98.46,98.93,94.22,97.09,683900,AIZ
2017-08-03,96.78,97.56,96.41,97.09,394500,AIZ
2017-08-04,97.61,98.46,97.21,98.12,275800,AIZ
2017-08-07,97.79,98.43,96.55,97.14,287400,AIZ
2017-08-08,97.06,98.94,97.05,97.94,313100,AIZ
2017-08-09,97.63,98.46,97.14,98.2,337900,AIZ
2017-08-10,97.61,97.9,96.28,96.3,248500,AIZ
2017-08-11,96.26,96.57,95.57,95.88,168600,AIZ
2017-08-14,96.47,97.62,96.35,97.46,192100,AIZ
2017-08-15,97.78,98.13,96.48,96.63,152700,AIZ
2017-08-16,96.76,97.11,95.85,95.94,152400,AIZ
2017-08-17,95.95,96.12,93.71,93.8,278900,AIZ
2017-08-18,93.5,94.13,93.17,93.51,276200,AIZ
2017-08-21,93.27,93.27,92.05,92.92,231700,AIZ
2017-08-22,93.12,93.49,92.56,93.41,212800,AIZ
2017-08-23,92.91,94.05,92.91,93.56,236700,AIZ
2017-08-24,93.99,94.0,92.26,92.33,237700,AIZ
2017-08-25,92.57,92.71,91.65,92.58,284000,AIZ
2017-08-28,92.48,92.59,89.14,89.71,526400,AIZ
2017-08-29,88.8,89.09,87.47,88.85,464500,AIZ
2017-08-30,88.65,90.0,88.65,89.09,373800,AIZ
2017-08-31,89.32,89.69,88.89,89.01,563200,AIZ
2017-09-01,89.3,90.29,88.8,88.92,247400,AIZ
2017-09-05,88.58,88.58,84.25,85.03,549300,AIZ
2017-09-06,85.31,86.16,84.34,85.61,430500,AIZ
2017-09-07,85.37,85.58,82.02,82.48,741200,AIZ
2017-09-08,81.76,85.36,80.84,85.32,808300,AIZ
2017-09-11,86.78,89.07,85.98,87.74,866900,AIZ
2017-09-12,87.84,88.63,87.72,88.4,409000,AIZ
2017-09-13,88.4,88.66,87.42,88.14,408900,AIZ
2017-09-14,88.04,88.38,87.21,87.66,395100,AIZ
2017-09-15,87.36,88.3,87.27,88.22,778100,AIZ
2017-09-18,88.54,88.81,87.89,88.17,328100,AIZ
2017-09-19,88.09,88.64,87.35,87.39,446900,AIZ
2017-09-20,87.67,87.92,86.79,87.68,468400,AIZ
2017-09-21,87.86,88.24,87.37,87.98,257500,AIZ
2017-09-22,87.77,88.84,87.32,88.78,415500,AIZ
2017-09-25,88.46,89.76,88.46,89.24,394500,AIZ
2017-09-26,88.83,89.1,86.38,88.71,571700,AIZ
2017-09-27,89.71,90.88,89.68,89.91,565000,AIZ
2017-09-28,89.92,90.62,88.98,90.03,350800,AIZ
2017-09-29,90.01,90.71,89.46,89.79,263100,AIZ
2017-10-02,89.88,90.08,89.37,89.92,502200,AIZ
2017-10-03,89.76,90.11,88.77,89.96,470900,AIZ
2017-10-04,89.84,90.19,89.21,89.57,617800,AIZ
2017-10-05,89.5,90.39,89.5,89.76,412800,AIZ
2017-10-06,90.1,90.4,89.57,90.28,341500,AIZ
2017-10-09,90.24,90.28,89.47,89.86,320200,AIZ
2017-10-10,89.91,90.14,89.36,90.07,327300,AIZ
2017-10-11,89.7,89.81,87.33,89.6,510700,AIZ
2017-10-12,89.52,90.67,89.52,90.19,535900,AIZ
2017-10-13,90.25,90.3,89.81,89.97,407700,AIZ
2017-10-16,90.11,90.71,90.11,90.45,374400,AIZ
2017-10-17,90.54,90.77,90.1,90.11,506600,AIZ
2017-10-18,90.63,96.1,90.28,95.69,1277200,AIZ
2017-10-19,95.2,95.63,94.24,95.07,631900,AIZ
2017-10-20,95.66,95.68,93.52,93.9,740000,AIZ
2017-10-23,94.04,94.04,93.17,93.52,463000,AIZ
2017-10-24,93.84,94.09,93.15,93.7,293500,AIZ
2017-10-25,94.08,94.49,92.9,93.81,569500,AIZ
2017-10-26,93.93,95.47,93.93,94.4,334800,AIZ
2017-10-27,94.27,94.41,93.54,94.05,337000,AIZ
2017-10-30,93.98,95.21,93.56,94.8,354700,AIZ
2017-10-31,94.6,95.8,94.25,94.61,481600,AIZ
2017-11-01,95.19,96.68,94.92,95.1,514500,AIZ
2017-11-02,94.9,96.3,93.31,94.2,630100,AIZ
2017-11-03,93.09,94.22,91.66,94.13,673800,AIZ
2017-11-06,94.16,94.39,93.31,93.31,305200,AIZ
2017-11-07,93.47,94.39,93.01,93.11,307700,AIZ
2017-11-08,92.95,93.4,92.1,92.48,480800,AIZ
2017-11-09,92.25,93.75,92.21,92.79,409200,AIZ
2017-11-10,92.52,93.08,91.89,92.26,451900,AIZ
2017-11-13,91.81,93.23,91.81,92.78,371300,AIZ
2017-11-14,92.1,93.46,91.77,92.92,315800,AIZ
2017-11-15,92.18,93.62,91.93,92.93,389000,AIZ
2017-11-16,93.19,93.53,91.37,91.65,540600,AIZ
2017-11-17,91.26,92.97,91.14,92.7,386900,AIZ
2017-11-20,92.69,93.59,92.51,92.67,254300,AIZ
2017-11-21,93.06,93.18,92.4,92.5,270600,AIZ
2017-11-22,92.32,92.9,91.86,92.51,271800,AIZ
2017-11-24,93.31,93.31,92.51,92.52,115900,AIZ
2017-11-27,92.84,93.38,92.44,92.62,383000,AIZ
2017-11-28,92.83,94.71,92.73,94.5,342800,AIZ
2017-11-29,94.8,96.88,94.77,96.15,337700,AIZ
2017-11-30,96.45,96.9,95.34,95.36,808000,AIZ
2017-12-01,95.58,95.58,92.74,94.32,729900,AIZ
2017-12-04,94.91,95.45,93.83,94.35,616400,AIZ
2017-12-05,94.4,94.79,92.69,92.84,580200,AIZ
2017-12-06,92.62,93.67,92.07,92.67,355500,AIZ
2017-12-07,92.4,94.09,92.4,93.2,503600,AIZ
2017-12-08,93.58,94.13,93.13,93.72,471700,AIZ
2017-12-11,93.68,94.56,93.09,94.42,473800,AIZ
2017-12-12,94.54,95.97,94.25,94.82,462700,AIZ
2017-12-13,94.78,94.86,93.36,93.42,366500,AIZ
2017-12-14,93.6,93.78,92.32,92.45,389700,AIZ
2017-12-15,93.06,94.15,92.7,92.94,756700,AIZ
2017-12-18,93.4,93.75,92.75,93.33,432000,AIZ
2017-12-19,93.84,94.24,93.18,93.3,473400,AIZ
2017-12-20,93.69,94.52,93.43,94.26,346400,AIZ
2017-12-21,94.51,95.91,94.37,95.6,393000,AIZ
2017-12-22,96.02,96.56,95.2,95.51,371900,AIZ
2017-12-26,95.49,96.39,95.39,95.64,157800,AIZ
2017-12-27,95.74,96.51,95.59,95.76,227600,AIZ
2017-12-28,95.81,96.25,95.67,96.13,228600,AIZ
2017-12-29,96.39,96.68,95.22,95.33,415000,AIZ
2018-01-02,95.9,95.94,93.21,93.81,449900,AIZ
2018-01-03,93.83,95.13,93.49,94.08,374800,AIZ
2018-01-04,94.53,95.38,94.22,94.59,419300,AIZ
2018-01-05,95.24,95.89,94.21,95.78,333600,AIZ
2018-01-08,95.51,95.62,94.21,94.25,333200,AIZ
2018-01-09,94.54,95.92,93.58,93.7,516500,AIZ
2018-01-10,93.57,93.9,91.18,91.22,460300,AIZ
2018-01-11,91.29,91.47,89.9,90.56,461000,AIZ
2018-01-12,91.06,91.37,89.44,90.18,430900,AIZ
2018-01-16,90.39,90.46,88.64,88.76,465200,AIZ
2018-01-17,89.34,90.02,88.99,89.63,301300,AIZ
2018-01-18,89.8,89.93,88.91,89.12,247300,AIZ
2018-01-19,89.26,89.26,88.41,88.94,317300,AIZ
2018-01-22,89.06,89.62,87.86,88.89,520900,AIZ
2018-01-23,88.89,90.12,88.89,89.59,402400,AIZ
2018-01-24,90.02,90.58,89.75,90.36,433400,AIZ
2018-01-25,90.56,90.76,89.72,89.84,265400,AIZ
2018-01-26,90.08,90.77,89.6,90.27,201900,AIZ
2018-01-29,90.34,91.0,89.15,89.2,253600,AIZ
2018-01-30,88.76,89.07,87.08,87.08,369300,AIZ
