Date,Open,High,Low,Close,Volume,Name
2017-07-03,151.06,152.23,148.95,149.03,340600,ALGN
2017-07-05,151.52,152.8,149.16,151.94,551900,ALGN
2017-07-06,151.12,151.48,149.5,149.74,679100,ALGN
2017-07-07,150.98,152.8,150.92,151.95,486400,ALGN
2017-07-10,152.1,153.48,150.56,151.58,533000,ALGN
2017-07-11,151.56,152.26,150.33,151.59,754800,ALGN
2017-07-12,152.07,152.93,151.14,152.51,682600,ALGN
2017-07-13,153.13,153.65,150.76,152.19,409800,ALGN
2017-07-14,152.14,154.82,152.12,154.3,517900,ALGN
2017-07-17,155.01,157.86,154.9,156.21,1003200,ALGN
2017-07-18,155.99,156.75,155.11,156.02,556000,ALGN
2017-07-19,157.09,159.45,156.76,159.28,892300,ALGN
2017-07-20,159.5,160.54,158.1,160.17,952700,ALGN
2017-07-21,160.31,160.93,158.42,158.87,837300,ALGN
2017-07-24,158.67,161.81,158.65,161.19,833300,ALGN
2017-07-25,161.81,161.81,158.45,158.56,1071000,ALGN
2017-07-26,158.66,159.93,157.37,158.69,810300,ALGN
2017-07-27,160.52,160.65,155.55,157.26,1489200,ALGN
2017-07-28,168.1,173.79,160.37,173.06,2454700,ALGN
2017-07-31,173.34,173.75,166.11,167.23,1289400,ALGN
2017-08-01,167.41,171.65,167.37,169.43,1286000,ALGN
2017-08-02,170.28,171.05,166.38,167.99,725800,ALGN
2017-08-03,168.09,170.62,167.59,170.46,757000,ALGN
2017-08-04,170.88,171.0,168.57,169.3,508600,ALGN
2017-08-07,169.49,174.82,169.49,174.01,1088100,ALGN
2017-08-08,173.89,176.84,173.35,173.62,1085400,ALGN
2017-08-09,173.84,176.44,172.37,175.77,991800,ALGN
2017-08-10,174.92,174.92,171.15,171.23,1084000,ALGN
2017-08-11,171.76,175.16,171.48,173.56,719200,ALGN
2017-08-14,173.91,175.36,173.68,174.16,610600,ALGN
2017-08-15,174.88,178.58,174.18,177.97,893500,ALGN
2017-08-16,178.89,179.76,176.81,178.46,628700,ALGN
2017-08-17,177.9,177.9,169.13,169.36,1957700,ALGN
2017-08-18,169.96,172.18,167.27,168.61,1393400,ALGN
2017-08-21,168.51,169.64,165.18,167.98,953400,ALGN
2017-08-22,167.97,173.0,166.64,172.55,899800,ALGN
2017-08-23,172.33,173.84,170.79,172.85,869700,ALGN
2017-08-24,174.0,175.96,173.35,175.31,926300,ALGN
2017-08-25,175.41,176.2,171.55,172.55,822600,ALGN
2017-08-28,173.02,175.93,173.02,175.11,598300,ALGN
2017-08-29,173.03,174.61,172.27,173.99,699000,ALGN
2017-08-30,173.55,174.91,172.91,174.88,589300,ALGN
2017-08-31,175.05,177.07,173.94,176.74,998700,ALGN
2017-09-01,176.81,177.4,173.88,176.38,665400,ALGN
2017-09-05,176.42,179.96,176.42,179.33,1043800,ALGN
2017-09-06,180.0,180.36,175.37,176.63,685600,ALGN
2017-09-07,176.56,180.55,174.44,179.99,1003500,ALGN
2017-09-08,179.8,181.99,179.08,181.44,566200,ALGN
2017-09-11,185.61,185.61,181.49,184.12,739200,ALGN
2017-09-12,184.8,186.1,182.55,185.66,639800,ALGN
2017-09-13,185.18,185.87,183.26,183.57,998200,ALGN
2017-09-14,183.42,185.49,182.1,184.86,872100,ALGN
2017-09-15,184.5,185.6,183.16,184.5,1861700,ALGN
2017-09-18,185.95,188.97,185.06,188.34,1111100,ALGN
2017-09-19,189.07,190.04,186.04,187.18,893200,ALGN
2017-09-20,187.83,189.01,186.54,188.78,565000,ALGN
2017-09-21,188.76,189.39,184.75,186.32,641000,ALGN
2017-09-22,186.2,188.24,186.05,188.0,575100,ALGN
2017-09-25,187.4,187.46,183.53,184.89,605200,ALGN
2017-09-26,185.61,186.1,183.04,184.2,693700,ALGN
2017-09-27,184.49,186.81,183.21,184.78,675600,ALGN
2017-09-28,184.5,184.77,180.31,183.04,889700,ALGN
2017-09-29,183.6,186.62,182.06,186.27,784700,ALGN
2017-10-02,187.16,187.98,185.05,187.22,705700,ALGN
2017-10-03,187.75,188.38,185.2,186.45,558700,ALGN
2017-10-04,186.41,186.87,184.67,185.98,599900,ALGN
2017-10-05,185.44,187.49,185.21,186.61,641600,ALGN
2017-10-06,186.99,191.78,186.15,187.04,1104100,ALGN
2017-10-09,186.83,189.28,185.49,188.13,779800,ALGN
2017-10-10,188.53,189.92,188.13,188.67,665100,ALGN
2017-10-11,188.22,193.19,188.22,192.46,878700,ALGN
2017-10-12,192.79,194.84,192.2,192.38,736700,ALGN
2017-10-13,192.58,193.94,191.35,192.81,699800,ALGN
2017-10-16,193.01,195.6,192.21,193.37,1187500,ALGN
2017-10-17,193.46,196.04,192.65,194.27,805600,ALGN
