Date,Open,High,Low,Close,Volume,Name
2017-07-03,44.42,45.69,44.35,45.48,1277800,APA
2017-07-05,45.15,45.27,43.87,43.93,2251300,APA
2017-07-06,43.93,44.17,42.08,42.2,3540100,APA
2017-07-07,41.97,42.13,41.12,41.59,4343400,APA
2017-07-10,42.49,43.68,42.08,43.43,5679500,APA
2017-07-11,43.43,43.92,42.88,43.51,3348400,APA
2017-07-12,44.24,44.52,43.34,43.86,3218800,APA
2017-07-13,43.75,44.51,43.61,44.47,2615800,APA
2017-07-14,44.64,44.91,44.44,44.77,2305300,APA
2017-07-17,44.6,44.96,44.47,44.88,3011000,APA
2017-07-18,45.34,45.4,43.76,44.0,2321400,APA
2017-07-19,43.96,46.46,43.85,46.21,6096900,APA
2017-07-20,46.67,46.83,45.68,45.74,3460400,APA
2017-07-21,45.68,45.78,44.74,44.86,3347600,APA
2017-07-24,44.98,45.19,44.1,44.45,2620100,APA
2017-07-25,45.29,46.11,44.98,45.28,3558900,APA
2017-07-26,45.61,46.15,45.19,45.28,2063200,APA
2017-07-27,45.26,46.64,44.82,46.54,3714600,APA
2017-07-28,46.48,47.46,46.08,46.35,3982700,APA
2017-07-31,46.34,46.35,45.5,45.86,2085500,APA
2017-08-01,45.82,45.82,44.93,45.1,2843300,APA
2017-08-02,44.65,44.81,43.62,44.4,4465600,APA
2017-08-03,43.74,43.74,40.07,40.83,11184000,APA
2017-08-04,40.97,41.99,40.42,41.91,7043100,APA
2017-08-07,41.43,41.8,40.96,41.14,3904900,APA
2017-08-08,41.11,41.96,40.71,40.89,3448700,APA
2017-08-09,41.3,41.68,40.08,40.39,3321900,APA
2017-08-10,40.33,40.67,39.26,39.49,3803900,APA
2017-08-11,39.15,39.78,39.08,39.28,2506000,APA
2017-08-14,39.3,39.46,38.43,38.52,3604700,APA
2017-08-15,38.36,38.61,38.0,38.5,4038600,APA
2017-08-16,38.63,38.81,37.54,37.65,3313700,APA
2017-08-17,37.74,37.74,36.95,36.97,2728600,APA
2017-08-18,36.94,37.93,36.87,37.36,3046500,APA
2017-08-21,37.21,37.31,36.18,36.63,4071400,APA
2017-08-22,36.72,37.12,36.68,36.97,3008100,APA
2017-08-23,36.85,37.71,36.57,37.29,3809000,APA
2017-08-24,37.12,37.41,36.94,37.1,1886500,APA
2017-08-25,37.25,37.43,36.87,37.13,2399400,APA
2017-08-28,37.06,37.3,35.98,36.47,3888700,APA
2017-08-29,35.99,36.36,35.54,36.02,3111000,APA
2017-08-30,35.87,36.33,35.46,35.56,4721300,APA
2017-08-31,35.56,36.31,35.35,35.99,4989500,APA
2017-09-01,36.14,36.79,35.79,36.59,2955900,APA
2017-09-05,36.83,37.2,36.22,36.53,2889500,APA
