Date,Open,High,Low,Close,Volume,Name
2017-07-03,111.03,111.18,109.86,110.99,291700,ARE
2017-07-05,110.99,111.68,110.16,110.44,538300,ARE
2017-07-06,110.33,110.6,108.42,108.42,444600,ARE
2017-07-07,108.42,108.88,108.02,108.77,399400,ARE
2017-07-10,108.95,109.51,107.56,107.56,367300,ARE
2017-07-11,107.79,108.5,106.63,108.14,437600,ARE
2017-07-12,108.86,109.99,108.48,109.25,458800,ARE
2017-07-13,109.37,109.66,108.83,108.95,315900,ARE
2017-07-14,108.99,110.2,108.99,110.15,273100,ARE
2017-07-17,110.13,111.25,108.68,111.15,323300,ARE
2017-07-18,111.16,111.29,110.17,110.76,387400,ARE
2017-07-19,110.95,112.11,110.71,112.03,343600,ARE
2017-07-20,112.02,113.03,111.91,112.02,556100,ARE
2017-07-21,111.98,112.71,110.54,111.03,742200,ARE
2017-07-24,111.02,111.35,110.57,110.59,788700,ARE
2017-07-25,110.88,111.2,109.93,110.24,435000,ARE
2017-07-26,110.38,111.15,109.77,110.87,327500,ARE
2017-07-27,110.55,111.16,109.79,110.9,410900,ARE
2017-07-28,110.88,111.35,110.26,110.48,381900,ARE
2017-07-31,110.82,111.29,110.12,111.26,466300,ARE
2017-08-01,111.67,113.69,110.57,111.04,538600,ARE
2017-08-02,110.61,111.32,110.15,110.59,312000,ARE
2017-08-03,110.43,111.8,109.69,110.83,388600,ARE
2017-08-04,110.96,112.14,110.36,110.68,353800,ARE
2017-08-07,110.72,110.78,109.7,110.65,331700,ARE
2017-08-08,110.11,111.02,109.9,110.68,369600,ARE
2017-08-09,110.66,111.41,110.48,110.88,278800,ARE
2017-08-10,110.67,110.79,109.77,110.01,352100,ARE
2017-08-11,109.82,110.47,109.24,109.7,296600,ARE
2017-08-14,110.17,112.05,110.17,111.71,350400,ARE
2017-08-15,111.45,111.63,110.79,111.47,394500,ARE
2017-08-16,111.7,112.11,111.37,111.86,375200,ARE
