Date,Open,High,Low,Close,Volume,Name
2017-07-03,83.96,84.26,83.64,83.88,262800,AVY
2017-07-05,84.02,84.27,83.66,83.83,545900,AVY
2017-07-06,83.65,84.38,83.49,84.17,941500,AVY
2017-07-07,84.68,86.05,84.51,85.68,685100,AVY
2017-07-10,85.51,86.53,85.51,86.29,598300,AVY
2017-07-11,86.44,87.14,86.2,86.6,648100,AVY
2017-07-12,87.07,88.4,86.76,87.98,691000,AVY
2017-07-13,88.2,88.53,87.4,87.85,718600,AVY
2017-07-14,88.07,89.01,87.75,88.74,678700,AVY
2017-07-17,88.74,88.96,88.46,88.7,593700,AVY
2017-07-18,88.48,88.88,87.84,88.15,629800,AVY
2017-07-19,88.61,88.84,88.29,88.79,1269000,AVY
2017-07-20,88.79,89.16,88.45,88.78,662800,AVY
2017-07-21,88.83,88.95,88.4,88.62,659800,AVY
2017-07-24,88.5,89.18,88.5,88.68,927100,AVY
2017-07-25,90.48,91.27,85.33,86.14,1663700,AVY
2017-07-26,86.31,88.12,85.89,87.15,1220200,AVY
2017-07-27,87.1,87.18,86.08,86.66,776300,AVY
2017-07-28,86.67,86.98,86.23,86.86,586100,AVY
2017-07-31,87.29,87.78,87.03,87.71,556500,AVY
2017-08-01,87.94,88.49,87.57,88.19,704000,AVY
2017-08-02,88.1,88.81,87.11,88.79,784900,AVY
2017-08-03,88.79,89.01,87.8,88.03,486700,AVY
2017-08-04,88.27,88.27,87.43,87.82,365000,AVY
2017-08-07,88.04,88.4,87.65,88.29,812200,AVY
2017-08-08,87.97,88.43,87.62,88.15,617700,AVY
2017-08-09,88.1,88.42,87.47,87.67,508000,AVY
2017-08-10,87.55,87.78,86.6,86.77,475800,AVY
2017-08-11,86.76,88.66,86.61,87.79,503000,AVY
2017-08-14,88.27,88.71,87.93,88.42,359800,AVY
2017-08-15,88.75,88.9,88.14,88.27,598300,AVY
2017-08-16,88.52,89.33,88.49,89.33,473000,AVY
2017-08-17,89.13,89.24,87.9,87.93,401300,AVY
2017-08-18,87.84,88.01,87.36,87.81,416500,AVY
2017-08-21,87.81,88.14,87.15,87.6,449600,AVY
2017-08-22,87.65,88.02,86.86,87.95,626700,AVY
2017-08-23,87.74,88.69,87.62,87.81,739900,AVY
2017-08-24,88.19,88.2,87.22,87.74,365300,AVY
2017-08-25,88.14,88.59,87.78,88.41,241400,AVY
2017-08-28,88.72,88.72,88.0,88.06,420100,AVY
2017-08-29,87.87,88.43,87.82,88.2,442100,AVY
2017-08-30,88.23,88.83,88.16,88.75,412800,AVY
2017-08-31,88.86,89.43,88.68,88.96,653300,AVY
2017-09-01,89.41,90.1,89.39,90.1,571300,AVY
2017-09-05,89.96,90.5,89.4,89.9,826600,AVY
2017-09-06,89.99,90.23,87.46,88.28,1444100,AVY
2017-09-07,88.23,88.41,87.23,87.88,882200,AVY
2017-09-08,88.02,88.78,87.8,88.38,315100,AVY
2017-09-11,88.83,89.37,88.23,89.32,572200,AVY
2017-09-12,89.63,90.59,89.26,90.31,524000,AVY
2017-09-13,90.21,90.66,89.16,90.1,590300,AVY
2017-09-14,90.08,91.15,89.78,90.81,587000,AVY
2017-09-15,91.01,92.09,91.0,91.83,903400,AVY
2017-09-18,92.01,94.13,92.01,93.8,948200,AVY
2017-09-19,93.99,94.07,93.0,93.41,575700,AVY
2017-09-20,93.38,94.13,93.27,93.77,760600,AVY
2017-09-21,93.8,94.17,93.45,93.72,494200,AVY
2017-09-22,93.59,93.77,93.39,93.66,421500,AVY
2017-09-25,93.68,93.81,92.96,93.78,557800,AVY
2017-09-26,93.77,93.77,93.16,93.52,580900,AVY
2017-09-27,93.95,94.43,93.31,94.27,745200,AVY
2017-09-28,94.09,94.93,94.01,94.77,688400,AVY
2017-09-29,94.43,94.51,93.17,93.26,810100,AVY
2017-10-02,93.26,94.45,93.26,94.28,786500,AVY
2017-10-03,94.3,94.46,93.49,94.13,361400,AVY
2017-10-04,94.19,94.69,93.92,94.56,281200,AVY
2017-10-05,94.74,94.82,94.3,94.73,338300,AVY
2017-10-06,94.65,95.68,94.53,95.16,374400,AVY
2017-10-09,95.35,96.25,95.2,95.51,311400,AVY
2017-10-10,95.88,96.01,95.25,95.58,314800,AVY
2017-10-11,95.79,96.18,95.24,95.98,370400,AVY
2017-10-12,95.55,96.32,95.43,95.59,482900,AVY
2017-10-13,96.06,96.8,95.97,96.67,442500,AVY
2017-10-16,96.73,96.95,95.91,96.9,301700,AVY
2017-10-17,97.15,97.25,95.72,96.33,551500,AVY
2017-10-18,96.34,96.49,95.24,95.32,924200,AVY
2017-10-19,95.14,95.3,93.46,93.69,1163600,AVY
2017-10-20,94.03,94.58,93.08,94.56,1024700,AVY
2017-10-23,94.9,95.26,93.83,93.9,522200,AVY
2017-10-24,94.13,94.49,93.29,93.8,981700,AVY
2017-10-25,98.43,99.1,95.49,98.68,981400,AVY
2017-10-26,98.15,100.25,98.06,99.44,815200,AVY
2017-10-27,99.62,100.75,98.56,100.63,692300,AVY
2017-10-30,100.67,100.71,99.35,99.88,645700,AVY
2017-10-31,99.74,101.06,99.67,100.69,747600,AVY
2017-11-01,101.2,101.86,100.12,101.5,736300,AVY
2017-11-02,101.65,102.97,101.11,102.84,719800,AVY
2017-11-03,102.8,103.36,102.43,102.51,598200,AVY
2017-11-06,102.3,102.66,101.0,101.54,505900,AVY
2017-11-07,101.45,102.22,101.33,101.51,367100,AVY
2017-11-08,101.64,102.68,101.57,102.18,615400,AVY
2017-11-09,101.63,101.96,99.73,100.3,809300,AVY
2017-11-10,100.15,100.32,99.43,99.76,585200,AVY
2017-11-13,99.47,102.42,99.11,102.36,735800,AVY
2017-11-14,101.97,103.06,101.57,102.58,480300,AVY
