Date,Open,High,Low,Close,Volume,Name
2017-07-03,27.85,27.97,27.58,27.63,2402800,BSX
2017-07-05,27.57,27.73,27.46,27.63,7685500,BSX
2017-07-06,27.44,27.56,27.26,27.31,5296500,BSX
2017-07-07,27.44,27.62,27.4,27.59,4103300,BSX
2017-07-10,27.56,27.65,27.44,27.56,4123500,BSX
2017-07-11,27.54,27.59,27.27,27.53,6114700,BSX
2017-07-12,27.68,27.93,27.53,27.82,3573700,BSX
2017-07-13,27.82,27.82,27.57,27.59,4206600,BSX
2017-07-14,27.67,27.86,27.63,27.78,3450000,BSX
2017-07-17,27.77,27.86,27.5,27.69,4078800,BSX
2017-07-18,27.71,27.84,27.57,27.79,3249000,BSX
2017-07-19,27.84,27.96,27.79,27.93,3121000,BSX
2017-07-20,27.94,28.06,27.73,27.73,6199800,BSX
2017-07-21,27.62,27.85,27.54,27.62,4648500,BSX
2017-07-24,27.62,27.7,27.44,27.62,5310500,BSX
2017-07-25,27.72,27.81,27.51,27.58,4478800,BSX
2017-07-26,27.53,27.62,27.35,27.42,4554300,BSX
2017-07-27,27.24,27.51,26.68,27.05,13914600,BSX
2017-07-28,27.08,27.17,26.9,27.01,5172000,BSX
2017-07-31,27.11,27.15,26.5,26.62,7377400,BSX
2017-08-01,26.8,26.8,26.48,26.48,5614000,BSX
2017-08-02,26.45,26.54,26.24,26.51,6324900,BSX
2017-08-03,26.48,26.79,26.4,26.74,5046600,BSX
2017-08-04,26.82,26.83,26.56,26.83,3568100,BSX
2017-08-07,26.8,26.8,26.65,26.76,3415600,BSX
2017-08-08,26.76,26.76,26.5,26.51,4581400,BSX
2017-08-09,26.36,26.57,26.31,26.57,3405100,BSX
2017-08-10,26.49,26.57,26.23,26.26,5854300,BSX
2017-08-11,26.39,26.5,26.26,26.41,3286000,BSX
2017-08-14,26.65,26.74,26.55,26.68,3835600,BSX
2017-08-15,26.66,26.7,26.46,26.47,5490200,BSX
2017-08-16,26.56,26.68,26.45,26.68,5930100,BSX
2017-08-17,26.69,26.87,26.6,26.64,5933900,BSX
2017-08-18,26.62,26.98,26.53,26.89,5850200,BSX
2017-08-21,26.91,27.0,26.76,26.89,4395700,BSX
2017-08-22,26.85,27.24,26.7,27.21,4223900,BSX
2017-08-23,27.06,27.17,26.71,26.84,3838700,BSX
2017-08-24,26.84,26.91,26.66,26.71,3998300,BSX
2017-08-25,26.79,26.92,26.71,26.72,3665900,BSX
2017-08-28,26.8,27.02,26.74,26.97,3326600,BSX
2017-08-29,26.88,27.08,26.83,27.05,3163100,BSX
2017-08-30,26.94,27.14,26.94,27.08,2767100,BSX
2017-08-31,27.18,27.61,27.12,27.55,6984100,BSX
2017-09-01,27.55,27.63,27.33,27.5,4527600,BSX
2017-09-05,27.35,27.64,27.31,27.57,4769400,BSX
2017-09-06,27.63,28.23,27.61,28.22,5904600,BSX
2017-09-07,28.26,28.79,28.09,28.54,5791400,BSX
2017-09-08,28.5,29.08,28.44,28.79,5336200,BSX
2017-09-11,29.05,29.4,28.9,28.95,5695800,BSX
2017-09-12,28.97,29.12,28.84,29.01,4497900,BSX
2017-09-13,29.05,29.12,28.89,29.08,5966600,BSX
2017-09-14,29.0,29.08,28.79,28.97,4785000,BSX
2017-09-15,29.0,29.03,28.85,28.93,7680400,BSX
2017-09-18,28.99,29.06,28.81,28.99,5067300,BSX
2017-09-19,29.04,29.1,28.62,28.69,3247800,BSX
2017-09-20,28.68,28.85,28.58,28.84,3959900,BSX
2017-09-21,28.76,28.89,28.51,28.76,5167300,BSX
2017-09-22,28.71,28.87,28.51,28.85,3131600,BSX
2017-09-25,28.86,29.04,28.59,28.75,4361900,BSX
2017-09-26,28.8,28.9,28.65,28.68,3104300,BSX
2017-09-27,28.72,28.94,28.68,28.86,4173800,BSX
2017-09-28,28.86,29.0,28.74,28.74,3712500,BSX
2017-09-29,28.74,29.18,28.64,29.17,4984000,BSX
2017-10-02,29.21,29.47,29.09,29.47,5908800,BSX
2017-10-03,29.43,29.5,28.93,29.02,3934200,BSX
2017-10-04,29.08,29.33,29.06,29.24,3681300,BSX
2017-10-05,29.27,29.45,29.15,29.43,3702300,BSX
2017-10-06,29.43,29.54,29.36,29.5,4980100,BSX
2017-10-09,29.41,29.54,29.27,29.33,4343400,BSX
2017-10-10,29.33,29.46,29.27,29.34,3214300,BSX
2017-10-11,29.29,29.38,29.14,29.27,2664700,BSX
2017-10-12,29.26,29.43,29.12,29.43,3575700,BSX
2017-10-13,29.46,29.49,29.33,29.44,3383700,BSX
2017-10-16,29.42,29.5,29.09,29.16,4441300,BSX
2017-10-17,29.19,29.43,29.08,29.4,4726000,BSX
2017-10-18,29.5,29.55,29.3,29.52,5313700,BSX
2017-10-19,29.52,29.6,29.36,29.57,2590800,BSX
2017-10-20,29.63,29.83,29.53,29.69,4708000,BSX
2017-10-23,29.64,29.93,29.51,29.61,4495600,BSX
2017-10-24,29.83,29.84,29.58,29.8,4468800,BSX
2017-10-25,29.75,29.82,29.47,29.61,7756900,BSX
2017-10-26,28.44,29.31,28.37,28.82,12223200,BSX
2017-10-27,28.93,29.09,28.25,28.5,10274500,BSX
2017-10-30,28.4,28.5,28.12,28.16,6885700,BSX
2017-10-31,28.16,28.27,27.82,28.14,8527800,BSX
2017-11-01,28.23,28.27,27.77,27.85,6185300,BSX
2017-11-02,27.89,28.02,27.22,27.44,13217200,BSX
2017-11-03,27.49,27.92,27.38,27.86,7182900,BSX
2017-11-06,27.85,27.9,27.6,27.81,7661500,BSX
2017-11-07,27.93,27.98,27.74,27.96,4884100,BSX
2017-11-08,27.82,28.13,27.64,28.1,7645600,BSX
2017-11-09,27.96,28.61,27.92,28.59,9619800,BSX
2017-11-10,28.5,28.55,27.97,28.36,6526100,BSX
2017-11-13,28.28,28.61,28.19,28.45,4722000,BSX
2017-11-14,28.43,28.5,28.23,28.32,6892500,BSX
2017-11-15,28.26,28.26,26.76,28.01,5377500,BSX
2017-11-16,28.1,28.49,28.05,28.28,3846400,BSX
2017-11-17,28.2,28.37,28.14,28.26,5264100,BSX
2017-11-20,28.28,28.37,28.18,28.35,3410600,BSX
2017-11-21,28.46,28.88,28.4,28.8,5998700,BSX
2017-11-22,28.77,28.81,28.46,28.47,5265000,BSX
2017-11-24,28.51,28.68,28.47,28.66,1236800,BSX
2017-11-27,28.69,28.69,28.45,28.51,3255100,BSX
2017-11-28,28.42,28.55,26.29,26.39,34262600,BSX
2017-11-29,26.7,27.11,25.65,25.95,25930400,BSX
2017-11-30,26.24,26.39,25.75,26.28,18722400,BSX
2017-12-01,26.21,26.36,25.73,26.15,16183000,BSX
2017-12-04,26.21,26.23,24.89,24.9,20707900,BSX
2017-12-05,24.9,25.45,24.9,24.94,15065700,BSX
2017-12-06,24.86,25.28,24.54,25.24,12018600,BSX
2017-12-07,25.3,25.34,24.98,25.04,9674600,BSX
2017-12-08,25.51,25.77,25.1,25.77,14297600,BSX
2017-12-11,25.64,25.77,25.49,25.5,9054700,BSX
2017-12-12,25.68,25.73,25.54,25.61,11201600,BSX
2017-12-13,25.62,26.0,25.6,25.71,9586800,BSX
2017-12-14,25.79,25.89,25.49,25.62,10489600,BSX
2017-12-15,25.67,25.9,25.54,25.78,12187000,BSX
2017-12-18,25.88,26.12,25.75,25.78,8356800,BSX
2017-12-19,25.74,25.88,25.45,25.49,8793200,BSX
2017-12-20,25.45,25.59,25.34,25.37,8204400,BSX
2017-12-21,25.5,25.51,25.14,25.14,5700200,BSX
2017-12-22,25.14,25.32,25.05,25.1,5358300,BSX
2017-12-26,25.15,25.28,25.09,25.13,2988200,BSX
2017-12-27,25.2,25.28,25.14,25.2,3796300,BSX
2017-12-28,25.2,25.3,25.06,25.19,6739400,BSX
2017-12-29,25.26,25.3,24.79,24.79,6147000,BSX
2018-01-02,24.94,25.52,24.84,25.28,9980500,BSX
2018-01-03,25.27,25.6,25.09,25.56,8543000,BSX
2018-01-04,25.4,25.61,25.21,25.32,7928600,BSX
2018-01-05,25.86,26.04,25.59,25.97,14260400,BSX
2018-01-08,25.91,26.07,25.55,25.81,10847100,BSX
2018-01-09,26.77,28.03,26.61,27.96,24987900,BSX
2018-01-10,27.7,27.75,27.15,27.52,13011000,BSX
2018-01-11,27.58,27.99,27.16,27.43,8984300,BSX
2018-01-12,27.46,27.7,27.26,27.46,8746400,BSX
2018-01-16,27.48,27.61,26.82,26.98,11087300,BSX
2018-01-17,27.13,27.36,27.02,27.25,5864700,BSX
2018-01-18,27.26,27.5,27.11,27.4,6942000,BSX
2018-01-19,27.54,28.15,27.42,27.65,10023700,BSX
2018-01-22,27.55,27.74,27.13,27.71,7973900,BSX
2018-01-23,27.79,27.99,27.5,27.82,5609700,BSX
2018-01-24,27.98,28.01,27.69,27.91,4514200,BSX
2018-01-25,28.07,28.39,27.96,28.26,5563300,BSX
2018-01-26,28.32,28.6,28.06,28.42,9570100,BSX
2018-01-29,28.4,28.64,28.22,28.33,6041600,BSX
2018-01-30,28.11,28.37,27.99,28.03,8690200,BSX
2018-01-31,28.14,28.23,27.79,27.96,10130100,BSX
2018-02-01,27.43,28.15,27.21,27.63,13699200,BSX
2018-02-02,27.47,27.78,27.39,27.39,9756200,BSX
2018-02-05,27.39,28.0,26.29,26.4,13077200,BSX
2018-02-06,25.87,26.82,25.6,26.72,14089500,BSX
2018-02-07,26.52,26.71,26.31,26.32,8216700,BSX
2018-02-08,26.26,26.33,25.19,25.2,12598200,BSX
2018-02-09,25.36,26.16,25.04,25.92,11066400,BSX
2018-02-12,26.16,26.53,25.93,26.18,8449800,BSX
2018-02-13,25.96,26.11,25.84,26.11,6249900,BSX
2018-02-14,25.98,26.91,25.93,26.81,8048700,BSX
2018-02-15,26.93,27.14,26.7,27.09,6340700,BSX
2018-02-16,27.1,27.48,27.06,27.2,6707700,BSX
2018-02-20,27.12,27.14,26.74,26.83,7059200,BSX
2018-02-21,26.87,27.28,26.74,26.77,4939600,BSX
2018-02-22,26.92,26.92,26.35,26.48,6074000,BSX
2018-02-23,26.74,27.2,26.5,27.2,5748900,BSX
2018-02-26,27.2,27.65,27.01,27.62,6706200,BSX
2018-02-27,27.65,27.88,27.44,27.45,6330000,BSX
2018-02-28,27.53,27.8,27.25,27.26,5857400,BSX
2018-03-01,27.3,27.3,26.41,26.5,8827300,BSX
2018-03-02,26.39,26.85,26.3,26.77,10191200,BSX
2018-03-05,26.59,27.48,26.53,27.41,5949300,BSX
2018-03-06,27.45,27.5,27.23,27.41,5067900,BSX
2018-03-07,27.19,27.67,27.19,27.59,4006700,BSX
2018-03-08,27.68,27.96,27.67,27.85,5694200,BSX
2018-03-09,28.01,28.55,27.89,28.54,7702200,BSX
2018-03-12,28.55,28.9,28.45,28.54,7963400,BSX
2018-03-13,28.62,28.72,28.29,28.43,3804700,BSX
2018-03-14,28.51,28.51,27.84,28.01,8571700,BSX
2018-03-15,28.07,28.21,27.69,27.84,6244600,BSX
2018-03-16,27.83,28.02,27.76,27.93,7858900,BSX
2018-03-19,27.92,28.02,27.36,27.62,5204700,BSX
2018-03-20,27.71,27.81,27.49,27.67,3722700,BSX
2018-03-21,27.67,27.91,27.55,27.66,4499300,BSX
2018-03-22,27.43,27.62,26.92,26.94,6294500,BSX
2018-03-23,27.0,27.14,26.27,26.3,7242800,BSX
2018-03-26,26.67,27.3,26.55,27.25,7456600,BSX
2018-03-27,27.31,27.53,26.85,27.03,8868800,BSX
2018-03-28,27.1,27.26,26.61,26.68,5372300,BSX
2018-03-29,26.83,27.77,26.83,27.32,11113800,BSX
2018-04-02,27.21,27.36,26.42,26.84,8562300,BSX
2018-04-03,26.89,27.62,26.88,27.46,9050600,BSX
2018-04-04,27.11,27.82,26.75,27.74,7775500,BSX
2018-04-05,27.96,28.4,27.81,28.09,5880800,BSX
2018-04-06,27.77,27.97,27.07,27.35,6451400,BSX
2018-04-09,27.59,27.96,27.39,27.51,4867100,BSX
2018-04-10,27.89,28.17,27.74,27.9,5422300,BSX
2018-04-11,27.62,27.96,27.61,27.93,4429900,BSX
2018-04-12,28.52,28.74,28.19,28.23,11798700,BSX
2018-04-13,28.49,28.71,28.19,28.31,7787800,BSX
2018-04-16,28.52,28.96,28.5,28.83,9003800,BSX
2018-04-17,29.0,29.08,28.53,28.86,10078300,BSX
2018-04-18,28.91,29.18,28.79,28.94,5352200,BSX
2018-04-19,28.94,29.13,28.79,28.89,5764900,BSX
2018-04-20,28.93,29.15,28.82,28.84,8661000,BSX
2018-04-23,29.04,29.04,28.62,28.82,5702800,BSX
2018-04-24,28.86,29.0,28.09,28.5,8332600,BSX
2018-04-25,28.35,29.45,27.91,29.42,15887100,BSX
2018-04-26,29.57,29.68,29.2,29.45,6884600,BSX
2018-04-27,29.45,29.48,29.22,29.23,7468800,BSX
2018-04-30,29.24,29.4,28.72,28.72,16530100,BSX
2018-05-01,28.74,29.48,28.71,29.48,9709200,BSX
2018-05-02,29.31,29.59,29.13,29.27,7367800,BSX
2018-05-03,29.09,29.6,28.87,29.43,7967700,BSX
2018-05-04,29.3,29.73,29.18,29.55,5138900,BSX
2018-05-07,29.58,30.16,29.57,29.94,5734900,BSX
2018-05-08,29.78,29.91,29.55,29.83,5647100,BSX
2018-05-09,29.93,30.0,29.64,29.83,4007900,BSX
2018-05-10,29.95,30.29,29.8,30.28,4569700,BSX
2018-05-11,30.13,30.41,29.82,29.97,6404900,BSX
2018-05-14,29.73,30.35,29.73,29.86,8855700,BSX
2018-05-15,29.7,29.77,29.42,29.62,5272400,BSX
2018-05-16,29.71,30.16,29.55,29.97,7238200,BSX
2018-05-17,29.95,30.49,29.84,30.32,7304400,BSX
2018-05-18,30.29,30.63,30.2,30.45,3984400,BSX
2018-05-21,30.55,30.84,30.46,30.65,7187500,BSX
2018-05-22,30.7,30.73,30.24,30.27,7567200,BSX
2018-05-23,30.2,30.46,30.19,30.46,4660100,BSX
2018-05-24,30.46,30.57,30.3,30.4,3234400,BSX
2018-05-25,30.38,30.49,30.24,30.31,2685700,BSX
2018-05-29,30.1,30.35,29.96,30.2,3882500,BSX
2018-05-30,30.32,30.58,30.22,30.51,4794200,BSX
2018-05-31,30.34,31.02,30.31,30.39,7302100,BSX
2018-06-01,30.64,30.66,30.3,30.59,7102800,BSX
2018-06-04,30.79,30.81,30.38,30.6,4085200,BSX
2018-06-05,30.62,30.83,30.49,30.72,6452400,BSX
2018-06-06,30.8,30.9,30.59,30.8,6337300,BSX
2018-06-07,30.91,31.18,30.43,31.03,10856100,BSX
2018-06-08,31.07,31.98,31.04,31.95,14035800,BSX
2018-06-11,31.97,37.3,31.77,34.32,34449400,BSX
