Date,Open,High,Low,Close,Volume,Name
2017-07-03,69.41,70.01,69.41,69.59,704300.0,CAH
2017-07-05,69.59,70.12,69.29,69.94,1655800.0,CAH
2017-07-06,69.57,69.81,68.22,68.34,1840200.0,CAH
2017-07-07,68.55,68.67,68.17,68.61,1182600.0,CAH
2017-07-10,68.38,68.79,68.05,68.15,1256800.0,CAH
2017-07-11,68.1,68.23,67.51,68.14,1233100.0,CAH
2017-07-12,68.7,69.1,68.5,68.71,1425800.0,CAH
2017-07-13,68.81,69.24,68.51,68.94,1357500.0,CAH
2017-07-14,68.99,69.48,68.79,69.43,933400.0,CAH
2017-07-17,69.58,70.02,69.31,69.41,1459100.0,CAH
2017-07-18,69.16,69.41,68.15,68.41,1982500.0,CAH
2017-07-19,68.63,68.69,67.83,68.44,1809700.0,CAH
2017-07-20,68.61,69.27,68.45,68.72,1603500.0,CAH
2017-07-21,68.63,68.94,67.59,67.81,2052700.0,CAH
2017-07-24,67.74,68.77,67.74,68.5,1912900.0,CAH
2017-07-25,68.78,69.24,68.48,69.05,1126800.0,CAH
2017-07-26,68.89,69.33,68.79,69.03,1345500.0,CAH
2017-07-27,68.87,69.15,67.34,68.08,1640600.0,CAH
2017-07-28,68.18,69.14,67.69,68.98,1296700.0,CAH
2017-07-31,69.15,69.61,68.65,68.67,2165900.0,CAH
2017-08-01,69.08,69.27,68.53,68.73,1938000.0,CAH
2017-08-02,63.16,64.32,61.84,63.1,7309800.0,CAH
2017-08-03,62.36,62.65,60.73,61.65,4095800.0,CAH
2017-08-04,61.96,61.96,60.91,61.45,2407000.0,CAH
2017-08-07,61.46,61.77,61.2,61.54,2929000.0,CAH
2017-08-08,61.54,62.39,61.28,61.63,2082000.0,CAH
2017-08-09,61.47,61.52,60.23,60.64,2945200.0,CAH
2017-08-10,60.48,60.88,59.76,59.83,2295200.0,CAH
2017-08-11,60.06,60.06,59.39,59.53,1750300.0,CAH
2017-08-14,59.86,60.28,59.28,59.34,2046900.0,CAH
2017-08-15,59.64,59.99,59.03,59.04,2004000.0,CAH
2017-08-16,59.3,59.48,58.31,58.67,2600200.0,CAH
2017-08-17,58.54,59.02,57.91,57.92,2461000.0,CAH
2017-08-18,57.76,57.97,57.2,57.22,1428300.0,CAH
