Date,Open,High,Low,Close,Volume,Name
2017-07-03,65.91,66.11,64.29,64.65,1249300,CERN
2017-07-05,64.82,66.03,64.5,65.72,1125400,CERN
2017-07-06,65.33,65.71,64.11,64.19,1495900,CERN
2017-07-07,64.45,65.19,64.34,64.89,2035100,CERN
2017-07-10,64.63,64.8,63.79,64.5,2626700,CERN
2017-07-11,64.34,64.61,64.0,64.47,1393000,CERN
2017-07-12,65.31,65.64,64.72,64.86,1202800,CERN
2017-07-13,65.09,65.1,63.95,64.38,930400,CERN
2017-07-14,64.51,65.14,64.47,64.98,1022400,CERN
2017-07-17,65.0,65.59,64.71,65.37,2333000,CERN
2017-07-18,65.32,65.36,64.63,65.31,1033700,CERN
2017-07-19,65.48,65.48,64.61,64.72,979100,CERN
2017-07-20,64.86,65.08,64.42,64.61,1043800,CERN
2017-07-21,64.37,64.98,64.28,64.54,1050900,CERN
2017-07-24,64.41,64.92,64.16,64.89,969000,CERN
2017-07-25,64.97,65.12,64.47,64.7,1340200,CERN
2017-07-26,64.72,65.05,63.6,63.79,1521100,CERN
2017-07-27,62.61,63.25,61.76,62.7,3185500,CERN
2017-07-28,63.77,64.76,63.34,63.77,2793100,CERN
2017-07-31,63.65,64.56,63.21,63.54,1670600,CERN
2017-08-01,63.65,64.13,63.32,63.97,1660500,CERN
2017-08-02,63.97,64.01,63.05,63.25,1654100,CERN
2017-08-03,63.07,63.46,62.43,62.76,1753600,CERN
2017-08-04,62.74,63.14,62.09,62.27,1282200,CERN
2017-08-07,62.32,62.83,61.93,62.56,1530000,CERN
2017-08-08,62.36,62.67,62.05,62.34,1200400,CERN
2017-08-09,62.16,62.24,61.55,61.68,1680000,CERN
2017-08-10,61.77,61.9,60.75,60.8,1603800,CERN
2017-08-11,61.05,61.51,60.74,61.31,1158600,CERN
2017-08-14,61.55,62.43,61.54,62.1,1339600,CERN
2017-08-15,62.15,62.79,61.86,62.62,1119500,CERN
2017-08-16,62.63,63.18,62.33,63.13,1759600,CERN
2017-08-17,62.99,63.85,62.48,62.54,2644200,CERN
2017-08-18,62.46,63.74,62.37,63.42,2250000,CERN
2017-08-21,63.36,64.13,62.87,64.09,1809400,CERN
2017-08-22,64.17,64.7,63.92,64.53,1239500,CERN
2017-08-23,64.38,64.55,63.77,63.93,1388000,CERN
2017-08-24,63.94,64.52,63.53,64.21,1632200,CERN
2017-08-25,64.5,64.65,64.17,64.41,1238900,CERN
2017-08-28,64.46,64.64,63.62,63.8,1646500,CERN
2017-08-29,63.44,64.92,63.19,64.43,1439600,CERN
2017-08-30,64.34,65.43,64.02,65.28,1231700,CERN
2017-08-31,65.4,66.97,65.14,66.9,2238400,CERN
2017-09-01,66.98,67.54,66.23,67.4,1544400,CERN
2017-09-05,67.09,67.57,66.05,66.68,2461500,CERN
2017-09-06,67.01,67.39,66.43,66.76,1509000,CERN
2017-09-07,66.84,69.01,66.78,68.11,3449500,CERN
2017-09-08,68.28,68.95,67.9,68.45,1782600,CERN
2017-09-11,68.71,69.59,68.28,69.58,2425400,CERN
2017-09-12,69.45,70.15,68.98,70.06,1659100,CERN
2017-09-13,69.79,70.21,69.34,69.6,1728800,CERN
2017-09-14,69.1,71.34,68.87,71.01,3677900,CERN
2017-09-15,70.99,71.26,70.34,70.56,6083200,CERN
2017-09-18,70.51,70.51,68.18,68.4,7359900,CERN
2017-09-19,69.27,69.39,68.52,68.76,2857100,CERN
2017-09-20,68.88,69.05,67.98,68.8,1506500,CERN
2017-09-21,68.76,69.05,68.31,68.58,1153100,CERN
2017-09-22,68.42,68.82,68.08,68.73,1293300,CERN
2017-09-25,68.56,68.85,67.79,68.49,1431600,CERN
2017-09-26,68.61,69.1,68.19,68.97,2427400,CERN
2017-09-27,69.1,70.57,68.95,70.15,1935200,CERN
2017-09-28,69.73,70.46,69.62,69.87,2251900,CERN
2017-09-29,70.03,70.54,69.74,70.4,1706000,CERN
2017-10-02,70.43,71.88,70.41,71.4,2030600,CERN
2017-10-03,71.27,71.82,70.98,71.12,1707600,CERN
2017-10-04,71.09,71.47,70.66,70.86,1194300,CERN
2017-10-05,71.09,71.12,70.31,70.64,1681800,CERN
2017-10-06,70.61,70.97,70.34,70.6,1009900,CERN
2017-10-09,70.6,70.79,70.37,70.52,1134500,CERN
2017-10-10,70.69,70.72,70.35,70.49,2137800,CERN
2017-10-11,70.16,70.66,69.99,70.6,1524000,CERN
2017-10-12,70.71,71.14,70.47,70.82,1938900,CERN
2017-10-13,72.12,72.91,71.14,72.62,2182700,CERN
2017-10-16,72.55,72.62,70.54,71.15,2504300,CERN
2017-10-17,71.04,71.87,70.97,71.57,2258500,CERN
2017-10-18,71.46,71.81,71.23,71.75,779400,CERN
2017-10-19,71.72,72.39,71.28,71.86,1309500,CERN
2017-10-20,71.89,72.42,71.57,72.07,3458700,CERN
2017-10-23,72.27,72.51,71.4,71.51,1966100,CERN
2017-10-24,72.06,72.09,71.24,71.44,3600100,CERN
2017-10-25,71.15,71.52,70.79,70.87,2337000,CERN
2017-10-26,71.21,71.24,70.21,70.4,2929000,CERN
2017-10-27,63.59,64.65,62.05,64.47,7823600,CERN
2017-10-30,64.18,65.75,63.91,65.6,3327400,CERN
2017-10-31,66.64,68.09,66.47,66.65,3069900,CERN
2017-11-01,66.86,67.02,64.03,64.64,3290100,CERN
2017-11-02,64.23,64.9,63.91,64.62,2657100,CERN
2017-11-03,64.55,64.99,64.37,64.58,1865500,CERN
2017-11-06,64.52,64.96,64.22,64.86,1359900,CERN
2017-11-07,64.93,65.38,64.82,65.07,1404900,CERN
2017-11-08,65.0,65.61,64.75,65.42,1331700,CERN
2017-11-09,65.02,65.26,63.85,64.63,1491800,CERN
2017-11-10,64.47,64.71,64.09,64.47,1327900,CERN
2017-11-13,64.29,64.7,64.13,64.62,1398800,CERN
2017-11-14,64.6,64.77,63.95,64.23,1025700,CERN
