Date,Open,High,Low,Close,Volume,Name
2017-07-03,32.48,33.27,32.37,33.07,2328700,CFG
2017-07-05,33.18,33.54,32.77,33.38,5212900,CFG
2017-07-06,33.37,33.71,33.06,33.13,4151200,CFG
2017-07-07,33.24,33.61,32.94,33.55,4086600,CFG
2017-07-10,33.55,33.71,33.23,33.53,4071800,CFG
2017-07-11,33.59,33.68,33.09,33.24,3533100,CFG
2017-07-12,33.13,33.14,32.66,33.05,3105300,CFG
2017-07-13,33.16,33.42,32.95,33.35,2895600,CFG
2017-07-14,32.78,33.0,32.39,32.8,3606500,CFG
2017-07-17,32.73,32.91,32.47,32.66,2914000,CFG
2017-07-18,32.41,32.48,31.94,32.21,3338400,CFG
2017-07-19,32.38,32.38,31.6,31.92,3632200,CFG
2017-07-20,31.9,32.05,31.52,31.9,4893500,CFG
2017-07-21,31.85,32.49,31.07,31.21,6953200,CFG
2017-07-24,31.27,32.2,31.23,32.09,4736300,CFG
2017-07-25,32.71,32.87,32.31,32.45,5392500,CFG
2017-07-26,32.59,32.61,31.68,31.83,4156400,CFG
2017-07-27,31.9,32.14,31.4,31.71,5039600,CFG
2017-07-28,31.71,31.87,31.45,31.62,2786000,CFG
2017-07-31,31.84,32.09,31.69,31.91,3430400,CFG
2017-08-01,32.18,32.21,31.81,32.04,3066300,CFG
2017-08-02,32.01,32.41,31.95,32.41,3555500,CFG
2017-08-03,32.32,32.44,31.98,32.04,4182500,CFG
2017-08-04,32.41,33.02,32.32,32.41,3751300,CFG
2017-08-07,32.41,32.5,32.15,32.16,4100800,CFG
2017-08-08,32.09,32.81,32.04,32.15,3549400,CFG
2017-08-09,31.81,31.92,31.57,31.87,2555100,CFG
2017-08-10,31.51,31.7,30.63,30.67,4239900,CFG
2017-08-11,30.69,30.97,30.22,30.38,4223700,CFG
2017-08-14,30.85,31.5,30.75,31.13,3061800,CFG
2017-08-15,31.52,31.76,30.9,30.92,3188800,CFG
2017-08-16,31.07,31.29,30.75,30.89,2988900,CFG
2017-08-17,30.8,30.93,29.81,29.85,4202300,CFG
2017-08-18,29.8,30.4,29.53,30.08,3972300,CFG
2017-08-21,30.08,30.12,29.66,29.75,6705200,CFG
2017-08-22,29.99,30.45,29.94,30.4,4825300,CFG
2017-08-23,30.15,30.93,30.1,30.48,3893900,CFG
2017-08-24,30.64,30.98,30.51,30.93,5454400,CFG
2017-08-25,31.03,31.27,30.79,30.8,2763500,CFG
2017-08-28,30.88,30.91,30.29,30.45,5160400,CFG
2017-08-29,29.95,30.41,29.72,30.3,4448500,CFG
2017-08-30,30.33,30.75,30.33,30.38,3180800,CFG
2017-08-31,30.56,30.61,30.12,30.14,3633600,CFG
2017-09-01,30.28,30.84,30.16,30.58,2883500,CFG
2017-09-05,30.4,30.43,29.58,29.7,3952300,CFG
2017-09-06,29.92,30.19,29.67,29.81,3997100,CFG
2017-09-07,29.74,29.79,28.67,29.19,5217000,CFG
2017-09-08,29.22,30.04,29.22,29.85,5447300,CFG
2017-09-11,30.24,30.72,30.1,30.44,4412800,CFG
2017-09-12,30.6,31.61,30.58,31.37,5623500,CFG
2017-09-13,31.21,31.8,31.13,31.56,4051100,CFG
2017-09-14,31.81,32.15,31.61,31.64,5508000,CFG
2017-09-15,31.56,32.0,31.31,31.99,6791100,CFG
2017-09-18,32.01,32.5,31.96,32.38,3552400,CFG
2017-09-19,32.41,32.76,32.27,32.59,4242300,CFG
2017-09-20,32.62,32.73,31.87,32.56,8886700,CFG
2017-09-21,32.6,33.1,32.58,33.0,4440000,CFG
2017-09-22,32.83,33.22,32.78,33.07,2597000,CFG
2017-09-25,33.04,33.35,32.81,33.17,3923700,CFG
2017-09-26,33.24,33.67,33.08,33.5,4179900,CFG
2017-09-27,34.13,34.25,33.77,33.86,4290400,CFG
2017-09-28,33.98,34.05,33.46,33.73,3760500,CFG
2017-09-29,33.82,34.62,33.71,34.45,5707400,CFG
2017-10-02,34.14,34.3,33.59,33.86,9024100,CFG
2017-10-03,33.89,34.03,33.42,33.52,6926000,CFG
2017-10-04,32.86,33.45,32.84,33.27,11398200,CFG
2017-10-05,33.37,33.96,33.18,33.78,4741800,CFG
2017-10-06,33.94,34.28,33.73,34.11,5049600,CFG
2017-10-09,34.21,34.4,33.79,33.94,3696900,CFG
2017-10-10,33.97,34.44,33.91,34.4,3643500,CFG
2017-10-11,34.19,34.33,33.83,34.07,4005400,CFG
2017-10-12,34.15,34.28,33.7,33.81,2885500,CFG
2017-10-13,33.66,33.97,33.22,33.64,3742600,CFG
2017-10-16,33.7,33.94,33.59,33.71,3366100,CFG
2017-10-17,33.88,33.89,33.3,33.37,3307700,CFG
2017-10-18,33.55,33.95,33.34,33.83,5668700,CFG
2017-10-19,33.48,34.14,33.37,34.05,4632100,CFG
2017-10-20,34.89,35.21,34.33,34.87,6990200,CFG
2017-10-23,35.04,35.32,34.89,35.03,8428400,CFG
2017-10-24,35.13,35.43,34.84,34.91,6312000,CFG
2017-10-25,34.94,35.06,34.28,34.6,5422700,CFG
2017-10-26,34.84,35.47,34.74,35.04,4599900,CFG
2017-10-27,34.91,35.06,34.77,34.98,2464200,CFG
2017-10-30,34.8,34.94,34.47,34.64,3720600,CFG
2017-10-31,34.71,35.05,34.65,34.74,3200500,CFG
2017-11-01,34.93,35.63,34.85,35.07,5282100,CFG
2017-11-02,34.97,35.54,34.64,35.41,3353100,CFG
2017-11-03,35.36,35.74,35.22,35.49,2949500,CFG
2017-11-06,35.37,35.56,35.17,35.39,2233700,CFG
2017-11-07,35.47,35.64,34.32,34.43,4868900,CFG
2017-11-08,34.23,34.34,33.8,34.1,5045800,CFG
2017-11-09,33.79,34.11,33.33,33.65,4777100,CFG
2017-11-10,33.68,33.9,33.47,33.53,3615000,CFG
2017-11-13,33.34,34.08,33.14,34.0,4689000,CFG
2017-11-14,33.84,34.86,33.75,34.8,4903500,CFG
2017-11-15,34.44,35.06,34.19,34.86,4191000,CFG
2017-11-16,35.19,35.41,34.65,34.66,3584300,CFG
2017-11-17,34.42,35.07,34.34,34.89,2096800,CFG
2017-11-20,35.02,35.18,34.83,34.96,4023700,CFG
2017-11-21,35.07,35.07,34.54,34.64,4695300,CFG
2017-11-22,34.74,34.96,34.55,34.58,2848200,CFG
2017-11-24,34.75,34.82,34.38,34.51,807200,CFG
2017-11-27,34.5,34.62,34.25,34.4,2299800,CFG
2017-11-28,34.51,35.5,34.47,35.45,5322100,CFG
2017-11-29,35.88,37.55,35.75,37.18,8737000,CFG
2017-11-30,37.55,38.18,37.17,37.2,13191000,CFG
2017-12-01,37.39,37.65,36.03,37.19,6694600,CFG
2017-12-04,37.93,38.87,37.77,38.25,6494500,CFG
2017-12-05,38.24,38.47,37.24,37.38,6205600,CFG
2017-12-06,37.18,37.4,36.78,37.14,4265200,CFG
2017-12-07,36.94,37.88,36.81,37.87,4692200,CFG
2017-12-08,38.06,38.21,37.64,38.15,3200200,CFG
2017-12-11,38.12,38.32,37.62,37.86,3258300,CFG
2017-12-12,38.08,38.58,37.86,38.32,4219300,CFG
2017-12-13,38.3,38.7,37.76,37.79,3995200,CFG
2017-12-14,38.01,38.15,37.2,37.36,3637700,CFG
2017-12-15,37.74,38.57,37.5,38.12,9186200,CFG
2017-12-18,38.43,39.05,38.15,38.42,4445900,CFG
2017-12-19,38.9,39.16,38.45,38.46,5364800,CFG
2017-12-20,38.92,39.0,38.16,38.33,2521100,CFG
2017-12-21,38.75,39.24,38.57,38.94,4102100,CFG
2017-12-22,39.17,39.22,38.58,38.97,3620200,CFG
2017-12-26,38.97,39.23,38.7,38.87,2408400,CFG
2017-12-27,38.8,38.87,38.53,38.72,2345900,CFG
2017-12-28,38.78,38.81,38.48,38.79,1459900,CFG
2017-12-29,38.79,39.0,38.35,38.37,2644600,CFG
2018-01-02,38.71,39.01,38.41,39.01,5073100,CFG
2018-01-03,38.91,39.57,38.79,39.46,6281200,CFG
2018-01-04,39.84,40.52,39.66,39.93,6740100,CFG
2018-01-05,40.12,40.44,39.9,40.11,7315600,CFG
2018-01-08,40.04,40.47,39.88,40.27,4725700,CFG
2018-01-09,40.38,41.0,40.23,40.39,5434900,CFG
2018-01-10,40.53,41.55,40.48,41.04,2914700,CFG
2018-01-11,41.19,41.41,40.8,41.41,3292500,CFG
2018-01-12,41.69,41.86,41.4,41.61,2267300,CFG
2018-01-16,41.86,41.98,41.08,41.36,2981700,CFG
2018-01-17,41.61,42.06,40.98,41.9,3730300,CFG
2018-01-18,42.0,42.16,41.34,41.83,6065000,CFG
2018-01-19,42.18,43.25,41.72,42.8,7826200,CFG
