Date,Open,High,Low,Close,Volume,Name
2017-07-03,36.71,36.87,36.0,36.04,11541700,CMCSA
2017-07-05,36.18,36.42,35.98,36.37,20074100,CMCSA
2017-07-06,36.18,36.25,35.83,35.93,14121900,CMCSA
2017-07-07,35.98,36.39,35.93,36.23,17471300,CMCSA
2017-07-10,36.22,36.59,36.18,36.41,13675400,CMCSA
2017-07-11,36.39,36.62,36.28,36.42,19858600,CMCSA
2017-07-12,36.85,36.93,36.63,36.66,13415500,CMCSA
2017-07-13,36.69,36.98,36.68,36.93,15999300,CMCSA
2017-07-14,37.07,37.1,36.28,36.83,19790200,CMCSA
2017-07-17,36.75,36.95,36.69,36.83,10835700,CMCSA
2017-07-18,36.91,36.92,36.45,36.81,11932000,CMCSA
2017-07-19,36.88,36.98,36.49,36.96,11517800,CMCSA
2017-07-20,36.96,37.3,36.8,37.1,14159300,CMCSA
2017-07-21,36.99,37.58,36.96,37.23,11648300,CMCSA
2017-07-24,37.25,37.3,36.88,37.08,11227300,CMCSA
2017-07-25,37.25,37.5,37.1,37.34,17875100,CMCSA
2017-07-26,37.23,37.55,36.78,36.97,25370700,CMCSA
2017-07-27,37.72,37.81,36.52,37.04,51419900,CMCSA
2017-07-28,36.97,37.2,36.77,37.13,20378100,CMCSA
2017-07-31,37.52,38.2,37.48,38.0,27131000,CMCSA
2017-08-01,37.95,38.38,37.68,37.9,18798800,CMCSA
2017-08-02,37.74,37.76,37.15,37.59,17281900,CMCSA
2017-08-03,37.23,37.57,37.12,37.3,16315000,CMCSA
2017-08-04,37.42,37.43,37.14,37.2,11476600,CMCSA
2017-08-07,37.23,37.3,37.06,37.21,12280800,CMCSA
2017-08-08,37.22,37.74,37.04,37.5,13626200,CMCSA
2017-08-09,37.14,38.21,36.97,38.17,17401800,CMCSA
2017-08-10,37.95,38.56,37.93,38.26,20578400,CMCSA
2017-08-11,38.29,38.78,38.21,38.62,16735300,CMCSA
2017-08-14,38.97,39.44,38.87,39.36,18477600,CMCSA
2017-08-15,39.42,39.45,38.74,38.99,13599400,CMCSA
2017-08-16,39.16,39.16,38.56,38.74,11617500,CMCSA
2017-08-17,38.7,38.74,37.82,37.83,15084600,CMCSA
2017-08-18,37.69,38.3,37.62,38.07,19547100,CMCSA
2017-08-21,38.07,38.46,38.02,38.33,16498100,CMCSA
2017-08-22,38.45,39.0,38.39,38.85,11752300,CMCSA
2017-08-23,38.75,38.8,38.16,38.19,11720800,CMCSA
