Date,Open,High,Low,Close,Volume,Name
2017-07-03,42.52,42.65,42.23,42.23,1065400,CMS
2017-07-05,42.33,42.65,41.83,42.05,1664900,CMS
2017-07-06,41.95,42.05,41.82,41.95,1406200,CMS
2017-07-07,42.01,42.23,41.92,42.0,998200,CMS
2017-07-10,42.06,42.21,41.85,41.85,1118400,CMS
2017-07-11,41.94,41.96,41.62,41.83,1170600,CMS
2017-07-12,42.22,42.29,42.05,42.27,2422700,CMS
2017-07-13,42.24,42.24,41.94,41.95,2563700,CMS
2017-07-14,42.11,42.31,42.1,42.14,1922800,CMS
2017-07-17,42.13,42.23,41.98,42.23,1305400,CMS
2017-07-18,42.34,42.43,42.15,42.32,2003000,CMS
2017-07-19,42.41,42.45,42.16,42.45,1499000,CMS
2017-07-20,42.6,42.87,42.46,42.77,2046600,CMS
2017-07-21,42.74,42.95,42.53,42.92,1824100,CMS
2017-07-24,42.96,43.17,42.59,42.59,2358300,CMS
2017-07-25,42.59,42.7,42.31,42.38,1868500,CMS
2017-07-26,42.37,42.74,42.28,42.72,1701000,CMS
2017-07-27,42.65,43.05,42.63,43.05,1571400,CMS
2017-07-28,42.92,43.08,42.28,42.5,3414200,CMS
2017-07-31,42.5,42.61,42.38,42.45,1940600,CMS
2017-08-01,42.49,42.92,42.47,42.82,3845100,CMS
2017-08-02,42.78,43.13,42.51,43.12,1454900,CMS
2017-08-03,43.0,43.52,43.0,43.48,1537600,CMS
2017-08-04,43.34,43.53,43.13,43.49,2044900,CMS
2017-08-07,43.49,43.63,43.36,43.63,1147800,CMS
2017-08-08,43.54,43.85,43.53,43.85,1374700,CMS
2017-08-09,43.98,43.98,43.73,43.81,1990500,CMS
2017-08-10,43.77,43.97,43.54,43.9,1363100,CMS
2017-08-11,43.92,43.97,43.56,43.74,1193800,CMS
2017-08-14,43.79,43.97,43.74,43.88,1361700,CMS
2017-08-15,43.74,44.19,43.62,44.16,865800,CMS
2017-08-16,44.25,44.4,44.1,44.39,1056600,CMS
2017-08-17,44.39,44.5,44.17,44.23,1708100,CMS
2017-08-18,44.24,44.84,44.02,44.58,3358400,CMS
2017-08-21,44.59,44.73,44.49,44.64,942300,CMS
2017-08-22,44.61,44.69,44.47,44.62,1412300,CMS
2017-08-23,44.64,44.93,44.51,44.92,909900,CMS
2017-08-24,44.91,44.97,44.69,44.7,1159200,CMS
2017-08-25,44.83,45.08,44.75,44.84,1424500,CMS
2017-08-28,44.91,45.03,44.76,44.96,1184600,CMS
