Date,Open,High,Low,Close,Volume,Name
2017-07-03,47.43,47.75,47.3,47.33,1066200,CPB
2017-07-05,47.27,47.6,47.02,47.16,2127700,CPB
2017-07-06,46.97,47.37,46.81,46.87,2150900,CPB
2017-07-07,46.97,47.24,46.75,46.77,1475600,CPB
2017-07-10,46.87,46.95,46.19,46.21,1906700,CPB
2017-07-11,46.55,46.82,46.22,46.67,2251900,CPB
2017-07-12,46.92,47.36,46.81,46.92,1704400,CPB
2017-07-13,46.92,47.2,46.77,46.89,1161000,CPB
2017-07-14,47.05,47.29,47.01,47.24,1236300,CPB
2017-07-17,47.26,47.39,47.18,47.29,1161800,CPB
2017-07-18,47.2,47.34,46.54,46.56,2067200,CPB
2017-07-19,46.84,48.2,46.78,48.0,2677400,CPB
2017-07-20,47.81,47.84,47.11,47.41,1613700,CPB
2017-07-21,47.31,47.5,47.1,47.48,1078300,CPB
2017-07-24,47.49,47.66,47.17,47.49,1125900,CPB
2017-07-25,47.63,48.07,47.52,47.97,1474300,CPB
2017-07-26,48.05,48.15,47.82,48.04,1222200,CPB
2017-07-27,48.0,48.46,47.92,48.46,987400,CPB
2017-07-28,48.39,48.46,48.11,48.26,854900,CPB
2017-07-31,48.13,48.3,47.85,48.24,1045200,CPB
2017-08-01,48.13,48.23,47.68,47.96,1629600,CPB
2017-08-02,47.94,48.36,47.55,48.13,1498200,CPB
2017-08-03,48.17,48.64,48.05,48.4,1468100,CPB
2017-08-04,48.39,48.76,48.39,48.56,1324300,CPB
2017-08-07,48.47,48.81,48.39,48.61,1323000,CPB
2017-08-08,48.42,48.73,48.22,48.62,1411100,CPB
2017-08-09,48.6,48.94,48.47,48.59,1666700,CPB
2017-08-10,48.44,48.77,48.29,48.62,1290200,CPB
2017-08-11,48.6,49.17,48.54,48.95,1480500,CPB
2017-08-14,49.15,49.44,48.97,49.17,850200,CPB
2017-08-15,49.18,49.28,48.95,49.06,608100,CPB
2017-08-16,49.06,49.32,49.06,49.3,626800,CPB
2017-08-17,49.09,49.55,48.99,49.27,856000,CPB
2017-08-18,49.19,49.26,48.74,49.03,1523000,CPB
2017-08-21,49.16,49.37,48.97,49.14,1247500,CPB
2017-08-22,49.12,49.35,48.91,49.31,1228800,CPB
2017-08-23,49.25,49.65,49.13,49.48,1984000,CPB
2017-08-24,49.26,49.27,47.76,47.92,2587000,CPB
2017-08-25,48.09,48.13,46.93,46.93,3719900,CPB
2017-08-28,47.04,47.11,45.96,46.33,3410700,CPB
2017-08-29,46.4,46.69,46.29,46.4,2419800,CPB
2017-08-30,46.33,46.57,45.82,45.88,4388500,CPB
2017-08-31,42.91,44.18,42.19,42.19,8726900,CPB
2017-09-01,42.4,42.5,41.36,41.46,5639500,CPB
2017-09-05,41.41,42.62,41.37,42.61,4797500,CPB
2017-09-06,42.68,43.42,42.42,43.4,3741800,CPB
2017-09-07,43.44,43.77,42.91,43.27,3733300,CPB
2017-09-08,43.22,44.09,43.03,43.76,2871200,CPB
2017-09-11,43.77,44.19,43.56,43.58,2184300,CPB
2017-09-12,43.61,43.94,43.19,43.26,2571200,CPB
2017-09-13,43.26,43.76,43.15,43.55,1540100,CPB
2017-09-14,43.56,43.72,43.4,43.6,1454300,CPB
2017-09-15,43.61,44.51,43.61,44.5,3905200,CPB
2017-09-18,44.4,44.5,43.84,43.89,2311900,CPB
2017-09-19,43.88,43.99,43.21,43.21,2552500,CPB
2017-09-20,42.23,42.77,41.35,42.47,4954300,CPB
2017-09-21,42.73,42.73,41.49,41.69,3886700,CPB
2017-09-22,41.88,42.0,41.09,41.21,3461200,CPB
2017-09-25,41.24,42.74,41.22,42.53,2959700,CPB
2017-09-26,42.59,42.87,42.28,42.61,1783300,CPB
2017-09-27,42.6,42.98,42.21,42.96,2346900,CPB
2017-09-28,42.9,43.19,42.61,42.96,1916600,CPB
2017-09-29,43.06,43.46,42.72,42.75,2144000,CPB
2017-10-02,42.73,43.05,42.48,42.79,2102500,CPB
2017-10-03,42.72,42.79,42.06,42.18,2145800,CPB
2017-10-04,42.13,42.95,41.96,42.51,1960100,CPB
2017-10-05,42.61,42.81,42.46,42.54,1692800,CPB
2017-10-06,42.56,42.67,42.23,42.44,1526100,CPB
2017-10-09,42.49,42.49,41.43,41.56,2438400,CPB
2017-10-10,41.7,42.31,41.52,42.22,2623900,CPB
2017-10-11,42.28,42.47,41.49,41.77,2107100,CPB
2017-10-12,41.66,42.45,41.66,42.32,1905400,CPB
2017-10-13,42.55,42.7,42.2,42.49,1882800,CPB
2017-10-16,42.48,43.1,42.26,42.93,1997000,CPB
2017-10-17,42.91,43.01,42.24,42.46,2170400,CPB
2017-10-18,42.41,42.56,41.95,42.0,2162900,CPB
2017-10-19,41.98,42.35,41.7,41.75,2151100,CPB
2017-10-20,41.87,42.52,41.6,42.3,2164400,CPB
2017-10-23,42.41,42.79,42.15,42.74,2207600,CPB
2017-10-24,42.76,42.81,42.33,42.45,2108100,CPB
2017-10-25,42.33,42.65,41.58,42.52,2801300,CPB
2017-10-26,42.56,43.79,42.41,43.73,3831200,CPB
2017-10-27,43.85,44.4,43.48,44.29,4279500,CPB
2017-10-30,44.09,44.26,42.53,42.66,5008100,CPB
2017-10-31,43.07,44.17,43.07,43.59,3252400,CPB
2017-11-01,43.77,43.97,43.18,43.73,1701400,CPB
2017-11-02,43.71,43.73,42.63,43.11,1560800,CPB
2017-11-03,42.89,43.32,42.73,42.77,1086500,CPB
2017-11-06,42.77,42.8,41.47,41.8,2398400,CPB
2017-11-07,41.89,42.6,41.73,42.54,1636500,CPB
2017-11-08,42.58,43.5,42.52,43.39,1744600,CPB
2017-11-09,42.92,43.28,41.94,42.0,3015200,CPB
2017-11-10,42.02,43.71,42.02,43.63,2385100,CPB
2017-11-13,43.61,44.02,43.32,43.5,1649800,CPB
2017-11-14,43.46,44.33,43.39,43.99,1712500,CPB
2017-11-15,43.91,44.07,42.68,42.71,2832700,CPB
2017-11-16,42.91,44.57,42.71,44.46,2345600,CPB
2017-11-17,44.29,45.79,44.29,45.75,4103600,CPB
2017-11-20,45.58,46.45,45.5,45.94,6012000,CPB
2017-11-21,42.51,43.44,41.54,42.18,12508600,CPB
2017-11-22,41.99,43.06,41.72,43.04,3963200,CPB
2017-11-24,42.98,43.09,42.24,42.36,1214100,CPB
2017-11-27,42.36,43.14,42.36,43.04,1962000,CPB
2017-11-28,42.97,43.2,42.12,43.19,2120600,CPB
2017-11-29,43.18,45.35,43.01,45.08,2794700,CPB
2017-11-30,45.22,45.69,44.14,45.36,3855000,CPB
2017-12-01,45.37,45.72,44.68,45.29,2982400,CPB
2017-12-04,45.41,46.34,45.29,46.3,3456700,CPB
2017-12-05,46.42,46.99,45.43,45.85,2561200,CPB
2017-12-06,45.75,46.26,45.53,46.18,2252600,CPB
2017-12-07,46.17,46.26,45.23,45.35,2626800,CPB
2017-12-08,45.41,45.48,44.75,45.04,1648400,CPB
2017-12-11,45.03,45.04,44.3,44.67,1908500,CPB
2017-12-12,44.77,46.03,44.55,45.79,4199700,CPB
2017-12-13,45.64,45.72,44.76,45.26,2855500,CPB
2017-12-14,45.11,45.35,44.66,44.68,3118300,CPB
2017-12-15,45.05,45.77,44.8,45.63,3855800,CPB
2017-12-18,44.86,46.61,44.78,45.69,5404300,CPB
2017-12-19,46.06,46.19,44.69,44.89,4148700,CPB
2017-12-20,45.09,45.18,44.08,44.47,4014300,CPB
2017-12-21,44.63,45.0,44.13,44.78,2350300,CPB
2017-12-22,44.93,45.09,44.65,44.88,1530800,CPB
2017-12-26,44.9,45.29,44.34,44.43,2364500,CPB
2017-12-27,44.61,44.97,44.61,44.7,1074300,CPB
2017-12-28,44.67,44.74,44.24,44.59,1230900,CPB
2017-12-29,44.61,45.0,44.26,44.27,1127500,CPB
2018-01-02,44.35,44.55,43.44,43.61,2204900,CPB
2018-01-03,43.64,43.73,42.97,42.99,2625100,CPB
2018-01-04,43.13,43.51,43.0,43.35,2546800,CPB
2018-01-05,43.48,43.73,43.16,43.51,1551700,CPB
2018-01-08,43.51,43.86,43.44,43.83,1589100,CPB
2018-01-09,43.81,44.06,43.73,43.85,2443500,CPB
2018-01-10,43.34,43.55,42.25,42.47,2996800,CPB
2018-01-11,42.58,42.76,42.32,42.41,1562200,CPB
2018-01-12,42.44,42.62,41.95,42.19,2164700,CPB
2018-01-16,43.46,43.65,42.85,43.05,3478900,CPB
2018-01-17,43.45,44.13,43.31,43.53,2024200,CPB
2018-01-18,43.4,43.41,42.84,42.87,1563500,CPB
2018-01-19,43.03,43.93,42.87,43.93,2479200,CPB
2018-01-22,44.0,44.46,43.98,44.17,3435800,CPB
2018-01-23,44.09,44.26,43.74,44.1,1478500,CPB
2018-01-24,44.3,44.32,43.52,43.66,4316300,CPB
2018-01-25,43.83,44.12,43.55,43.99,1516500,CPB
2018-01-26,44.18,44.33,43.59,43.88,1435000,CPB
2018-01-29,43.75,43.97,43.49,43.52,1430400,CPB
2018-01-30,43.42,43.75,42.87,43.01,2431300,CPB
2018-01-31,43.08,43.48,42.76,43.15,1798400,CPB
2018-02-01,43.07,43.69,42.75,43.36,1868300,CPB
2018-02-02,43.08,43.08,41.2,41.34,3419300,CPB
2018-02-05,41.12,41.95,40.97,40.99,3458400,CPB
2018-02-06,40.42,42.04,40.32,41.84,3910900,CPB
2018-02-07,41.71,42.45,41.51,41.53,1605100,CPB
2018-02-08,41.69,42.38,41.51,41.56,2814300,CPB
2018-02-09,41.95,42.71,41.62,42.39,3058100,CPB
2018-02-12,42.67,43.29,42.55,42.93,3183100,CPB
2018-02-13,42.74,43.45,42.56,43.24,2428200,CPB
2018-02-14,42.91,44.05,42.87,43.53,3992700,CPB
2018-02-15,43.57,44.59,42.75,44.22,3968300,CPB
2018-02-16,42.53,43.27,42.15,42.8,7061200,CPB
2018-02-20,42.82,43.11,42.41,42.71,3437800,CPB
2018-02-21,42.74,43.01,39.69,39.77,7577500,CPB
