Date,Open,High,Low,Close,Volume,Name
2017-07-03,87.01,87.1,85.12,86.1,2741300,CRM
2017-07-05,86.28,87.51,86.1,87.5,4719800,CRM
2017-07-06,86.62,87.47,86.34,86.85,3275000,CRM
2017-07-07,87.2,88.45,87.19,87.92,2454300,CRM
2017-07-10,87.86,88.64,87.47,88.5,2332100,CRM
2017-07-11,88.26,88.65,87.67,88.35,2414700,CRM
2017-07-12,89.22,90.41,88.85,90.4,4273500,CRM
2017-07-13,90.56,90.77,89.5,89.57,3211100,CRM
2017-07-14,89.79,90.17,89.54,90.0,1978000,CRM
2017-07-17,89.98,90.26,89.27,89.29,2485700,CRM
2017-07-18,89.0,89.4,88.62,89.27,3813100,CRM
2017-07-19,89.35,90.13,88.8,89.56,4463000,CRM
2017-07-20,89.71,90.63,89.42,90.54,3481000,CRM
2017-07-21,90.34,90.63,89.54,89.69,2928700,CRM
2017-07-24,89.65,89.81,88.96,89.67,2393500,CRM
2017-07-25,89.73,90.82,89.24,90.63,3346000,CRM
2017-07-26,90.63,91.2,90.15,91.07,3638100,CRM
2017-07-27,91.25,92.13,89.09,90.51,3572100,CRM
2017-07-28,90.0,91.12,89.7,90.62,2108800,CRM
2017-07-31,90.81,91.05,89.87,90.8,3002900,CRM
2017-08-01,91.37,91.78,90.89,91.22,3157500,CRM
2017-08-02,91.35,91.35,88.99,89.89,3636900,CRM
2017-08-03,90.0,90.43,89.42,90.35,2351400,CRM
2017-08-04,90.61,90.87,90.25,90.45,1987600,CRM
2017-08-07,90.55,90.7,90.12,90.5,1903300,CRM
2017-08-08,90.18,90.89,89.54,90.26,2366700,CRM
2017-08-09,89.64,90.47,89.62,90.12,3055400,CRM
2017-08-10,89.67,89.92,87.55,87.63,3961500,CRM
2017-08-11,87.55,88.66,87.26,88.29,2881500,CRM
2017-08-14,89.29,90.65,89.1,90.25,4906900,CRM
2017-08-15,90.35,91.11,90.09,90.7,2531700,CRM
2017-08-16,91.05,92.4,90.82,92.24,4273700,CRM
2017-08-17,92.0,92.49,90.75,90.88,3630500,CRM
2017-08-18,90.82,91.35,90.28,90.76,3046800,CRM
2017-08-21,90.95,91.8,90.57,91.76,3512500,CRM
2017-08-22,92.43,93.44,92.05,92.95,11254400,CRM
2017-08-23,92.14,94.63,91.3,93.07,12034900,CRM
2017-08-24,93.7,94.31,93.35,94.15,5494400,CRM
2017-08-25,94.15,95.23,93.87,94.1,5311000,CRM
2017-08-28,94.08,94.19,92.85,93.66,5536100,CRM
2017-08-29,92.75,94.12,92.5,93.83,3242800,CRM
2017-08-30,93.83,95.18,93.59,94.86,3808100,CRM
2017-08-31,94.94,95.66,94.35,95.49,5098200,CRM
2017-09-01,95.75,96.17,95.19,96.01,3679600,CRM
2017-09-05,95.36,96.49,95.13,96.18,4069500,CRM
2017-09-06,96.16,96.32,95.25,95.82,4105200,CRM
2017-09-07,96.09,97.52,95.88,96.73,4917300,CRM
2017-09-08,96.62,97.19,96.38,96.43,3316400,CRM
2017-09-11,96.95,98.22,96.95,97.71,4471500,CRM
2017-09-12,97.59,97.62,96.15,96.85,4743200,CRM
2017-09-13,96.89,96.9,95.36,95.61,5610300,CRM
2017-09-14,95.38,95.74,94.51,95.3,5054600,CRM
2017-09-15,95.51,95.62,94.17,94.63,6081700,CRM
2017-09-18,94.94,96.18,94.74,95.74,5990700,CRM
2017-09-19,95.97,96.21,95.16,95.35,3521000,CRM
2017-09-20,95.08,95.36,94.05,95.21,3362600,CRM
2017-09-21,94.82,95.1,94.17,94.86,2896100,CRM
2017-09-22,94.79,95.35,94.56,94.94,2254400,CRM
2017-09-25,94.87,94.89,92.11,92.47,5821100,CRM
2017-09-26,92.95,93.67,92.12,92.34,4558200,CRM
