Date,Open,High,Low,Close,Volume,Name
2017-07-03,28.34,28.85,28.29,28.56,14112100,CSCO
2017-07-05,28.39,28.77,28.28,28.63,24270300,CSCO
2017-07-06,28.52,28.54,28.22,28.27,20789100,CSCO
2017-07-07,28.31,28.59,28.3,28.43,15860600,CSCO
2017-07-10,28.42,28.61,28.36,28.51,15528800,CSCO
2017-07-11,28.57,28.64,28.4,28.61,12806000,CSCO
2017-07-12,28.76,28.93,28.66,28.67,18586200,CSCO
2017-07-13,28.77,28.78,28.6,28.77,15934200,CSCO
2017-07-14,28.87,28.94,28.77,28.91,13573100,CSCO
2017-07-17,28.99,29.12,28.94,28.99,16427500,CSCO
2017-07-18,28.9,29.0,28.68,29.0,15530700,CSCO
2017-07-19,29.0,29.49,28.95,29.35,21567900,CSCO
2017-07-20,29.36,29.49,29.23,29.32,16389500,CSCO
2017-07-21,29.32,29.47,29.18,29.3,13973800,CSCO
2017-07-24,29.32,29.38,29.13,29.32,15504100,CSCO
2017-07-25,29.35,29.68,29.34,29.56,14990000,CSCO
2017-07-26,29.56,29.66,29.0,29.13,21941500,CSCO
2017-07-27,29.2,29.22,28.72,29.05,21437400,CSCO
2017-07-28,28.94,29.08,28.77,29.0,15771000,CSCO
2017-07-31,29.02,29.07,28.87,28.94,19256400,CSCO
2017-08-01,29.07,29.13,28.92,29.12,12962800,CSCO
2017-08-02,29.05,29.05,28.76,29.0,15845600,CSCO
2017-08-03,29.07,29.19,28.92,29.04,14420800,CSCO
2017-08-04,29.14,29.36,29.06,29.26,16929500,CSCO
2017-08-07,29.25,29.34,29.16,29.3,11877400,CSCO
2017-08-08,29.22,29.45,29.08,29.14,15375700,CSCO
2017-08-09,29.03,29.15,28.86,29.1,16131300,CSCO
2017-08-10,29.04,29.04,28.53,28.53,23517400,CSCO
2017-08-11,28.74,29.03,28.56,28.96,20756600,CSCO
2017-08-14,29.16,29.35,29.04,29.3,21761600,CSCO
2017-08-15,29.31,29.64,29.3,29.53,25251500,CSCO
2017-08-16,29.54,29.88,29.5,29.76,29052000,CSCO
