Date,Open,High,Low,Close,Volume,Name
2017-07-03,52.51,52.74,52.16,52.26,3479900,CSX
2017-07-05,52.27,53.04,52.26,52.83,4603600,CSX
2017-07-06,52.39,52.8,52.21,52.35,4794800,CSX
2017-07-07,52.48,53.01,52.14,52.6,4172500,CSX
2017-07-10,52.41,52.97,52.17,52.64,4962900,CSX
2017-07-11,52.58,52.62,51.71,51.92,4556200,CSX
2017-07-12,52.48,53.17,52.34,52.93,4355500,CSX
2017-07-13,52.86,53.21,52.55,52.58,2749100,CSX
2017-07-14,52.74,52.94,52.6,52.82,3930800,CSX
2017-07-17,52.74,52.74,52.14,52.38,3910500,CSX
2017-07-18,52.26,52.59,51.94,52.4,7593700,CSX
2017-07-19,50.87,50.97,48.6,49.74,29960600,CSX
2017-07-20,49.75,49.99,48.27,48.78,22332400,CSX
2017-07-21,48.65,49.7,48.44,49.56,12033200,CSX
2017-07-24,49.43,49.83,48.48,48.74,13998200,CSX
2017-07-25,48.89,49.66,48.81,49.45,8340500,CSX
2017-07-26,49.34,50.25,48.77,49.93,9478600,CSX
2017-07-27,49.95,49.97,47.29,47.95,15549900,CSX
2017-07-28,47.35,48.18,46.86,47.94,9918400,CSX
2017-07-31,47.9,48.05,47.26,47.32,6719000,CSX
2017-08-01,47.27,47.37,46.43,46.61,12204500,CSX
2017-08-02,46.38,46.65,46.02,46.17,8841200,CSX
2017-08-03,46.03,47.28,46.03,47.25,8560700,CSX
2017-08-04,47.43,47.44,46.64,46.74,6482700,CSX
2017-08-07,46.81,47.68,46.46,47.59,6396400,CSX
2017-08-08,47.41,48.16,47.21,48.08,7443200,CSX
2017-08-09,47.98,48.63,47.79,48.62,6760000,CSX
2017-08-10,48.39,48.68,47.67,47.8,7081800,CSX
2017-08-11,48.03,48.65,48.03,48.21,4785700,CSX
2017-08-14,48.58,48.86,48.43,48.67,6039900,CSX
2017-08-15,48.8,49.04,48.55,49.03,5510300,CSX
2017-08-16,49.26,49.27,48.27,48.31,5794000,CSX
2017-08-17,48.06,48.3,46.87,46.88,7630600,CSX
2017-08-18,46.67,47.27,46.19,46.78,6910800,CSX
2017-08-21,46.7,46.81,46.14,46.7,5743500,CSX
2017-08-22,47.06,47.95,46.96,47.87,5843500,CSX
2017-08-23,47.53,47.68,46.52,46.87,5171400,CSX
2017-08-24,47.08,47.17,46.15,46.4,5472900,CSX
2017-08-25,46.43,47.1,46.43,46.85,4292400,CSX
2017-08-28,46.99,47.54,46.9,47.47,5519200,CSX
2017-08-29,47.18,48.07,47.09,47.93,5913000,CSX
2017-08-30,47.85,48.78,47.66,48.54,6197500,CSX
2017-08-31,48.52,48.97,47.94,48.34,5919600,CSX
2017-09-01,48.51,48.7,47.91,47.93,4534600,CSX
2017-09-05,47.83,47.85,46.88,47.17,7732400,CSX
2017-09-06,47.31,49.43,47.25,48.35,9366300,CSX
2017-09-07,48.39,49.67,48.24,49.56,8642900,CSX
2017-09-08,49.51,49.64,48.9,49.24,5629100,CSX
2017-09-11,49.55,50.19,49.52,50.14,5691000,CSX
2017-09-12,50.12,50.46,49.81,49.99,4385200,CSX
2017-09-13,50.05,50.17,49.57,50.14,3919200,CSX
2017-09-14,49.92,50.56,49.76,50.15,5714800,CSX
2017-09-15,49.97,50.56,49.94,50.53,9369100,CSX
2017-09-18,50.49,50.73,49.92,49.93,5646400,CSX
2017-09-19,50.02,50.24,49.28,49.86,6379800,CSX
2017-09-20,49.9,50.88,49.72,50.85,4503500,CSX
2017-09-21,50.8,51.04,50.44,50.89,3707500,CSX
2017-09-22,50.6,51.25,50.39,51.13,3796100,CSX
2017-09-25,51.07,51.39,50.72,51.35,4161200,CSX
2017-09-26,51.36,51.76,51.14,51.59,5054200,CSX
2017-09-27,51.78,52.22,51.66,51.83,5078900,CSX
2017-09-28,51.66,52.07,51.61,51.7,4549700,CSX
2017-09-29,51.66,52.28,51.23,52.25,4581500,CSX
2017-10-02,50.85,51.48,50.44,50.82,8076900,CSX
2017-10-03,50.72,51.07,50.03,50.19,6922000,CSX
2017-10-04,50.06,50.27,49.72,49.9,4825400,CSX
2017-10-05,49.98,50.46,49.6,50.41,5032900,CSX
2017-10-06,50.32,50.43,49.87,50.41,4448000,CSX
2017-10-09,50.5,50.94,50.41,50.85,3060600,CSX
2017-10-10,50.92,50.98,50.41,50.45,3013100,CSX
2017-10-11,50.2,51.13,50.09,51.11,4600200,CSX
2017-10-12,51.22,51.86,51.15,51.59,5134300,CSX
2017-10-13,51.75,51.94,50.79,50.87,3946700,CSX
2017-10-16,50.84,51.31,50.66,50.88,6598400,CSX
2017-10-17,50.32,52.27,50.17,52.22,9782300,CSX
2017-10-18,52.28,52.94,51.61,51.69,7466000,CSX
2017-10-19,51.19,52.11,51.03,52.05,5174100,CSX
2017-10-20,52.43,52.89,52.1,52.5,6114400,CSX
2017-10-23,52.52,52.73,52.1,52.11,4514800,CSX
2017-10-24,52.15,52.93,52.14,52.31,4028000,CSX
2017-10-25,52.46,52.95,50.75,50.96,7776900,CSX
2017-10-26,50.49,50.98,48.8,50.41,13005100,CSX
2017-10-27,50.19,51.23,50.07,50.59,6438600,CSX
2017-10-30,50.46,50.6,49.39,49.69,6320400,CSX
2017-10-31,49.67,49.69,48.52,48.56,7431200,CSX
2017-11-01,48.85,49.07,47.92,48.29,6119800,CSX
2017-11-02,48.36,49.72,48.23,49.7,6117100,CSX
2017-11-03,49.71,49.82,49.27,49.41,4002200,CSX
2017-11-06,49.16,49.35,48.71,49.25,4578300,CSX
2017-11-07,49.23,50.47,49.0,49.9,5507400,CSX
2017-11-08,49.25,49.94,49.13,49.58,3896600,CSX
2017-11-09,49.29,49.35,48.31,48.37,5455500,CSX
2017-11-10,48.12,48.51,47.92,48.22,3462400,CSX
2017-11-13,47.53,48.12,46.98,47.9,4913600,CSX
2017-11-14,47.62,47.78,47.18,47.57,4419700,CSX
2017-11-15,47.43,47.51,46.47,46.83,5287100,CSX
2017-11-16,46.9,48.29,46.55,48.26,7205600,CSX
2017-11-17,48.11,48.21,47.66,48.07,6174100,CSX
2017-11-20,47.9,48.06,47.47,47.87,4843500,CSX
2017-11-21,47.91,48.38,47.72,48.36,3796200,CSX
2017-11-22,48.53,49.3,48.27,49.12,4665700,CSX
2017-11-24,48.99,49.42,48.8,49.01,2446300,CSX
2017-11-27,49.02,49.19,48.36,48.78,4525300,CSX
2017-11-28,48.81,50.24,48.57,50.2,6799100,CSX
2017-11-29,50.18,52.89,49.79,52.62,11155700,CSX
2017-11-30,53.62,54.29,52.34,53.89,14537900,CSX
2017-12-01,53.39,54.44,52.97,54.26,10325500,CSX
2017-12-04,54.56,56.3,54.54,55.09,11689400,CSX
2017-12-05,55.35,55.47,53.83,53.93,8104100,CSX
2017-12-06,53.97,54.46,53.71,53.77,5744600,CSX
2017-12-07,53.62,54.55,53.52,54.28,4991000,CSX
2017-12-08,54.48,54.85,54.32,54.57,3918300,CSX
2017-12-11,54.52,55.09,54.3,55.07,6465500,CSX
2017-12-12,55.17,55.48,54.53,55.08,5624600,CSX
2017-12-13,55.38,56.4,55.16,55.76,6821400,CSX
2017-12-14,55.83,56.37,55.25,55.4,7152600,CSX
2017-12-15,50.3,51.8,49.91,51.16,49877100,CSX
2017-12-18,49.97,51.92,49.78,51.8,28695500,CSX
2017-12-19,52.13,53.11,51.62,53.02,9924800,CSX
2017-12-20,53.5,54.03,53.16,53.56,10416200,CSX
2017-12-21,53.98,54.21,52.99,53.05,9212300,CSX
2017-12-22,53.03,53.44,52.79,53.16,5647200,CSX
2017-12-26,53.23,53.52,52.94,53.04,4403300,CSX
2017-12-27,53.25,53.56,52.93,53.3,6914100,CSX
2017-12-28,53.51,53.61,52.65,53.16,4310800,CSX
