Date,Open,High,Low,Close,Volume,Name
2017-07-03,73.82,74.34,73.54,73.68,2379800,CVS
2017-07-05,73.48,73.69,72.8,72.81,4695700,CVS
2017-07-06,72.94,73.05,71.89,71.94,4425500,CVS
2017-07-07,72.02,72.32,71.33,71.87,3442500,CVS
2017-07-10,71.87,72.07,71.08,71.42,4852700,CVS
2017-07-11,71.45,71.5,70.7,70.96,4656100,CVS
2017-07-12,71.19,71.68,70.69,70.79,4671800,CVS
2017-07-13,70.99,71.51,70.93,71.22,4885800,CVS
2017-07-14,71.23,71.54,70.98,71.22,4130300,CVS
2017-07-17,71.46,71.7,71.2,71.56,4642800,CVS
2017-07-18,71.52,71.64,70.82,71.29,4808500,CVS
2017-07-19,71.4,71.96,70.69,70.73,6929700,CVS
2017-07-20,70.94,71.38,70.35,70.98,6117500,CVS
2017-07-21,70.92,71.17,70.47,70.86,3429300,CVS
2017-07-24,70.77,71.15,70.53,70.92,2967300,CVS
2017-07-25,71.27,72.64,71.06,72.59,4683700,CVS
2017-07-26,72.64,72.64,70.86,72.02,6600300,CVS
2017-07-27,71.92,72.6,71.41,72.6,3751700,CVS
2017-07-28,72.59,73.55,72.52,73.36,3974400,CVS
2017-07-31,73.59,74.15,73.24,73.53,5058800,CVS
2017-08-01,73.5,73.87,73.09,73.32,4147700,CVS
2017-08-02,73.23,73.85,73.13,73.36,4534600,CVS
2017-08-03,73.02,73.42,72.24,72.3,5055200,CVS
2017-08-04,72.87,72.9,71.68,71.72,6059700,CVS
2017-08-07,71.75,72.93,71.74,72.78,4604000,CVS
2017-08-08,72.34,72.67,70.57,72.28,8639800,CVS
2017-08-09,72.15,73.12,71.81,73.07,4902200,CVS
2017-08-10,72.77,73.87,72.57,72.8,4612800,CVS
2017-08-11,72.63,73.42,72.63,73.05,2985500,CVS
2017-08-14,73.17,73.72,72.83,72.95,3800600,CVS
2017-08-15,73.1,73.29,72.59,72.77,3104200,CVS
2017-08-16,73.08,73.71,72.67,72.9,3573900,CVS
2017-08-17,72.74,73.39,72.55,72.57,4470500,CVS
2017-08-18,72.17,72.44,71.34,71.44,5005400,CVS
2017-08-21,71.47,71.68,71.31,71.42,3636900,CVS
2017-08-22,71.61,72.11,71.43,71.53,5409100,CVS
2017-08-23,71.29,71.64,70.92,71.39,3343300,CVS
2017-08-24,71.01,71.42,68.62,69.35,9495500,CVS
2017-08-25,69.52,70.17,69.3,69.31,6416500,CVS
2017-08-28,69.45,69.88,69.15,69.42,5068300,CVS
2017-08-29,69.39,70.21,68.99,70.0,4516200,CVS
2017-08-30,70.0,70.52,69.89,70.26,3607000,CVS
2017-08-31,70.37,71.55,70.36,71.14,5518700,CVS
