Date,Open,High,Low,Close,Volume,Name
2017-07-03,92.16,94.56,92.16,93.98,4419100,CVX
2017-07-05,93.71,93.98,92.18,92.49,4482700,CVX
2017-07-06,92.54,92.94,91.69,91.79,5084800,CVX
2017-07-07,91.58,91.73,90.89,91.5,6457000,CVX
2017-07-10,91.45,91.57,90.71,91.1,4629000,CVX
2017-07-11,91.19,91.5,90.66,91.17,4322400,CVX
2017-07-12,91.95,92.61,91.48,91.85,3978100,CVX
2017-07-13,91.77,92.13,91.47,92.06,4439100,CVX
2017-07-14,92.28,92.51,91.71,92.33,3644300,CVX
2017-07-17,92.23,92.8,92.02,92.13,5572400,CVX
2017-07-18,92.48,92.48,91.51,91.7,4339400,CVX
2017-07-19,91.56,92.37,91.51,92.35,4932000,CVX
2017-07-20,92.83,93.16,91.79,92.5,5367800,CVX
2017-07-21,92.11,92.28,91.19,91.28,5304100,CVX
2017-07-24,91.22,91.57,90.99,91.24,4080400,CVX
2017-07-25,92.34,92.96,92.23,92.29,7093800,CVX
2017-07-26,92.5,93.78,92.12,92.94,5881400,CVX
2017-07-27,92.72,94.0,92.49,93.81,5888400,CVX
2017-07-28,94.34,96.48,94.03,95.59,7812600,CVX
2017-07-31,95.83,97.25,95.61,96.53,7561200,CVX
2017-08-01,96.84,98.11,96.74,97.94,8162900,CVX
2017-08-02,97.6,98.31,97.12,97.66,6212300,CVX
2017-08-03,97.45,97.65,96.41,96.75,5605400,CVX
2017-08-04,96.75,97.43,96.75,97.35,4643500,CVX
2017-08-07,97.08,97.51,96.88,97.06,4762800,CVX
2017-08-08,97.25,97.88,97.05,97.56,4107300,CVX
2017-08-09,97.9,98.5,97.48,98.04,3966800,CVX
2017-08-10,98.34,98.52,97.28,97.35,4950700,CVX
2017-08-11,97.43,97.68,96.48,96.57,3383000,CVX
2017-08-14,96.6,97.09,95.77,96.11,4286100,CVX
2017-08-15,96.15,96.28,95.07,95.99,5310700,CVX
2017-08-16,96.11,96.37,95.27,95.41,4186600,CVX
2017-08-17,95.2,95.43,94.58,94.58,5870300,CVX
2017-08-18,94.51,95.85,94.21,95.08,5467400,CVX
2017-08-21,95.08,95.08,94.03,94.46,3560400,CVX
2017-08-22,94.65,95.48,94.49,94.98,5630900,CVX
2017-08-23,94.84,95.6,94.75,95.2,4185800,CVX
2017-08-24,95.1,96.15,94.95,95.94,5059700,CVX
2017-08-25,96.28,97.08,96.01,96.65,4384200,CVX
2017-08-28,96.92,96.97,95.79,96.23,3681600,CVX
2017-08-29,95.93,96.49,95.58,96.32,3230600,CVX
2017-08-30,96.07,96.3,95.64,96.2,3126000,CVX
2017-08-31,96.44,96.65,96.0,96.1,5508200,CVX
2017-09-01,96.16,97.48,96.0,97.12,3660300,CVX
2017-09-05,97.66,98.46,97.07,97.73,5198500,CVX
2017-09-06,98.23,100.22,98.05,99.83,8577300,CVX
2017-09-07,100.17,100.79,99.44,99.84,5937800,CVX
2017-09-08,99.65,99.79,98.7,98.92,4033100,CVX
2017-09-11,99.86,100.52,99.58,100.48,5973400,CVX
2017-09-12,100.75,100.86,99.89,100.45,5110100,CVX
2017-09-13,100.45,102.09,100.26,101.96,5889400,CVX
2017-09-14,102.03,103.0,101.96,102.2,5819100,CVX
2017-09-15,102.54,102.61,101.47,102.36,8387600,CVX
2017-09-18,102.17,102.89,102.09,102.86,4954600,CVX
2017-09-19,102.92,103.96,102.86,103.89,6188000,CVX
2017-09-20,104.03,104.61,103.76,103.92,5378200,CVX
2017-09-21,103.78,104.05,103.43,104.01,4334500,CVX
2017-09-22,103.95,105.22,103.83,104.74,5307100,CVX
2017-09-25,104.68,105.67,104.5,105.36,5980300,CVX
2017-09-26,105.18,105.4,104.7,104.94,4874700,CVX
2017-09-27,104.89,105.01,104.27,104.88,3926800,CVX
2017-09-28,104.63,105.49,104.5,105.03,4949000,CVX
2017-09-29,104.63,104.94,104.24,104.93,4874800,CVX
2017-10-02,103.96,105.18,103.17,104.86,4285600,CVX
2017-10-03,104.55,105.59,104.49,105.21,3892200,CVX
2017-10-04,105.21,105.26,104.59,105.0,3443400,CVX
2017-10-05,104.88,105.99,104.77,105.89,5470900,CVX
2017-10-06,105.33,105.51,104.3,104.51,3533300,CVX
2017-10-09,104.78,105.44,104.49,105.11,2951900,CVX
2017-10-10,105.73,107.0,105.63,106.09,5683100,CVX
2017-10-11,106.45,106.73,105.89,106.56,3926100,CVX
2017-10-12,105.81,106.84,105.65,106.39,3929700,CVX
2017-10-13,106.97,107.16,106.33,106.41,4640100,CVX
2017-10-16,107.01,107.95,106.65,107.27,5500700,CVX
2017-10-17,107.36,107.82,107.01,107.35,4844300,CVX
2017-10-18,106.62,107.18,105.36,105.51,5505100,CVX
2017-10-19,105.43,106.03,105.33,105.55,4576600,CVX
2017-10-20,105.92,106.07,105.43,105.94,4924300,CVX
2017-10-23,106.01,106.53,105.77,106.2,3872400,CVX
2017-10-24,106.69,107.09,106.33,106.47,4472400,CVX
2017-10-25,106.26,106.66,105.51,105.76,4553100,CVX
2017-10-26,106.07,106.26,105.5,105.76,4092900,CVX
2017-10-27,103.7,103.94,100.52,101.39,14534100,CVX
