Date,Open,High,Low,Close,Volume,Name
2017-07-03,121.02,123.07,120.52,122.73,723600,CXO
2017-07-05,121.46,121.67,119.62,120.7,1414700,CXO
2017-07-06,121.27,122.71,120.12,120.29,1840100,CXO
2017-07-07,119.51,119.82,116.79,119.28,1114300,CXO
2017-07-10,118.56,120.88,118.55,120.09,1259000,CXO
2017-07-11,120.19,122.3,119.16,122.07,898800,CXO
2017-07-12,123.48,124.56,121.14,121.54,934100,CXO
2017-07-13,121.3,122.33,120.78,122.16,657700,CXO
2017-07-14,122.42,123.7,122.31,123.27,752000,CXO
2017-07-17,122.74,124.94,122.55,124.49,1202600,CXO
2017-07-18,125.61,125.76,122.16,122.87,842500,CXO
2017-07-19,122.56,126.33,122.56,126.09,956500,CXO
2017-07-20,126.79,127.64,124.6,124.93,927200,CXO
2017-07-21,124.92,125.74,123.95,125.65,1128900,CXO
2017-07-24,125.79,127.39,125.5,126.82,1190800,CXO
2017-07-25,128.24,132.19,128.24,130.1,1592700,CXO
2017-07-26,131.01,132.4,129.86,130.45,870400,CXO
2017-07-27,130.39,131.53,129.6,130.49,975000,CXO
2017-07-28,130.53,131.37,128.38,128.97,1321100,CXO
2017-07-31,128.91,129.5,127.63,128.68,1133200,CXO
2017-08-01,128.4,129.57,127.49,129.17,1126800,CXO
2017-08-02,127.48,129.68,124.16,127.1,1782100,CXO
2017-08-03,124.45,124.45,113.22,116.03,5816700,CXO
2017-08-04,116.03,120.12,114.82,117.29,2829100,CXO
2017-08-07,117.07,117.07,113.47,114.75,1797900,CXO
2017-08-08,114.11,117.3,114.03,116.49,2098800,CXO
2017-08-09,117.38,118.45,116.61,117.38,1683400,CXO
2017-08-10,117.61,118.88,114.58,114.68,1510800,CXO
2017-08-11,114.94,115.62,112.72,114.01,1088100,CXO
2017-08-14,114.29,114.48,111.65,111.73,1356100,CXO
2017-08-15,111.5,111.78,108.71,109.73,1832400,CXO
2017-08-16,109.9,110.89,108.64,109.21,1420000,CXO
2017-08-17,108.54,110.05,106.53,106.74,1087800,CXO
2017-08-18,106.88,109.23,106.64,107.2,995100,CXO
2017-08-21,106.84,107.56,106.42,107.18,1206500,CXO
2017-08-22,107.65,108.81,107.19,108.09,657500,CXO
2017-08-23,107.79,109.64,107.37,108.7,608400,CXO
2017-08-24,108.2,108.92,107.53,108.66,722900,CXO
2017-08-25,109.03,109.54,108.03,108.11,679700,CXO
2017-08-28,108.16,108.39,105.91,107.62,764200,CXO
2017-08-29,106.83,107.5,105.43,107.15,699700,CXO
2017-08-30,106.57,107.81,105.81,107.44,624000,CXO
2017-08-31,108.24,110.3,107.53,109.62,1291600,CXO
2017-09-01,109.92,111.11,108.82,110.43,792300,CXO
2017-09-05,111.21,112.79,110.89,112.15,1252600,CXO
2017-09-06,113.27,114.89,112.87,113.6,1329300,CXO
2017-09-07,113.4,114.01,111.16,113.81,1156200,CXO
2017-09-08,113.34,113.4,109.33,110.71,1230100,CXO
2017-09-11,110.8,112.86,110.72,112.77,916000,CXO
2017-09-12,113.06,115.87,112.67,114.21,1030000,CXO
2017-09-13,114.63,118.54,114.09,118.19,1771600,CXO
2017-09-14,118.78,121.39,118.29,120.3,1843700,CXO
2017-09-15,120.31,121.5,119.76,121.35,1385500,CXO
2017-09-18,121.35,122.49,120.23,121.55,1008500,CXO
2017-09-19,121.97,122.35,119.97,121.04,942700,CXO
2017-09-20,121.5,123.38,121.06,123.26,1199600,CXO
2017-09-21,123.21,125.15,122.68,124.76,881400,CXO
2017-09-22,124.05,125.98,124.05,125.51,849200,CXO
2017-09-25,126.6,128.56,126.18,128.35,1239700,CXO
2017-09-26,127.86,129.5,127.73,129.1,829700,CXO
2017-09-27,129.57,130.74,128.54,130.64,931500,CXO
2017-09-28,130.64,132.05,129.31,130.25,1366900,CXO
2017-09-29,129.66,130.84,129.08,130.12,1009900,CXO
2017-10-02,128.23,133.82,127.3,133.67,1295500,CXO
2017-10-03,133.36,134.73,132.67,133.74,916200,CXO
2017-10-04,134.29,135.16,133.01,133.58,797700,CXO
2017-10-05,134.24,134.87,133.42,134.05,564300,CXO
2017-10-06,132.45,133.84,132.13,133.27,779400,CXO
2017-10-09,133.41,133.7,132.3,133.32,511300,CXO
2017-10-10,134.96,135.61,133.1,133.44,1066000,CXO
2017-10-11,133.36,134.68,131.92,134.02,699200,CXO
2017-10-12,132.23,133.44,130.99,133.36,1058800,CXO
2017-10-13,134.84,134.96,131.59,131.77,860800,CXO
2017-10-16,132.69,133.25,130.77,131.65,1336700,CXO
2017-10-17,131.67,132.51,130.24,131.8,854500,CXO
2017-10-18,131.97,133.36,131.19,131.44,598700,CXO
2017-10-19,130.47,131.78,130.14,130.65,685400,CXO
2017-10-20,131.11,132.95,130.29,132.48,853300,CXO
2017-10-23,132.63,132.75,130.02,130.1,962200,CXO
2017-10-24,131.18,131.34,128.79,129.07,1227100,CXO
2017-10-25,128.5,129.6,127.7,128.94,1062900,CXO
2017-10-26,129.31,129.38,127.29,128.54,806300,CXO
2017-10-27,127.74,132.04,127.56,130.76,1918400,CXO
2017-10-30,130.71,133.11,130.46,131.19,1332400,CXO
2017-10-31,131.12,133.24,130.63,132.58,1182600,CXO
2017-11-01,138.14,143.13,134.91,138.55,2521200,CXO
2017-11-02,138.11,138.79,136.55,138.28,1499000,CXO
2017-11-03,138.7,142.63,137.98,141.11,1796100,CXO
2017-11-06,141.52,145.33,141.43,144.84,1547100,CXO
2017-11-07,145.04,145.97,143.68,144.93,1505500,CXO
2017-11-08,144.6,144.6,141.48,143.3,1487100,CXO
2017-11-09,142.65,144.17,141.98,142.67,939700,CXO
2017-11-10,142.56,143.3,140.78,141.47,830300,CXO
2017-11-13,140.82,142.55,139.6,140.68,865200,CXO
2017-11-14,139.89,140.54,137.69,138.75,1163800,CXO
2017-11-15,137.0,138.5,135.42,136.48,1188500,CXO
2017-11-16,136.79,137.23,135.53,136.56,695100,CXO
2017-11-17,136.88,138.15,136.27,136.96,533000,CXO
2017-11-20,136.53,138.08,135.34,137.34,725800,CXO
2017-11-21,137.53,139.14,137.33,137.93,975500,CXO
2017-11-22,139.14,139.71,137.86,138.58,936300,CXO
2017-11-24,139.63,139.92,138.7,138.87,375000,CXO
2017-11-27,138.02,138.63,136.11,136.74,1456300,CXO
2017-11-28,136.85,137.28,135.6,136.1,753000,CXO
2017-11-29,136.02,137.21,134.54,135.84,1086200,CXO
2017-11-30,136.46,139.66,136.31,138.16,1397900,CXO
2017-12-01,139.21,142.66,138.64,139.74,1426200,CXO
2017-12-04,139.37,139.69,137.32,137.5,915300,CXO
2017-12-05,137.4,139.48,136.31,136.63,802200,CXO
2017-12-06,136.28,136.73,134.01,134.32,964500,CXO
2017-12-07,134.97,137.07,133.79,136.53,1110200,CXO
2017-12-08,137.75,139.95,137.12,138.5,743600,CXO
2017-12-11,138.76,140.38,138.37,139.43,906500,CXO
2017-12-12,139.74,139.74,137.25,137.8,814300,CXO
2017-12-13,137.75,138.47,136.45,136.61,856600,CXO
2017-12-14,136.5,137.4,135.04,135.14,738900,CXO
2017-12-15,136.27,136.34,134.35,134.74,1343200,CXO
2017-12-18,135.16,137.37,134.23,136.83,946700,CXO
2017-12-19,137.6,138.87,136.79,138.6,962900,CXO
2017-12-20,139.29,145.21,138.57,145.02,1462600,CXO
2017-12-21,144.38,149.18,143.63,148.01,1957400,CXO
2017-12-22,148.14,150.81,147.51,149.92,1165300,CXO
2017-12-26,150.67,153.16,149.28,152.05,1152200,CXO
2017-12-27,151.82,152.26,148.22,149.19,1035100,CXO
2017-12-28,149.19,150.06,148.42,149.49,876700,CXO
2017-12-29,150.53,151.09,147.39,148.39,888900,CXO
2018-01-02,149.04,150.44,148.71,150.05,810000,CXO
2018-01-03,150.52,152.09,149.57,150.73,1115000,CXO
2018-01-04,152.85,152.92,150.25,151.74,1049900,CXO
2018-01-05,151.08,153.81,150.15,153.71,1081100,CXO
2018-01-08,153.21,154.46,152.3,154.14,1053000,CXO
2018-01-09,154.46,154.86,152.72,153.11,714100,CXO
2018-01-10,153.28,154.14,151.7,152.63,813000,CXO
2018-01-11,153.59,157.58,152.53,155.94,1416000,CXO
2018-01-12,156.53,157.43,154.99,157.16,879500,CXO
2018-01-16,157.62,158.42,154.42,154.81,995500,CXO
2018-01-17,154.88,155.68,153.13,154.68,927600,CXO
2018-01-18,153.63,156.52,152.97,154.57,872800,CXO
2018-01-19,154.39,155.3,153.23,154.29,1083300,CXO
2018-01-22,154.89,158.57,154.55,158.46,1227700,CXO
2018-01-23,158.88,159.93,157.3,158.58,930100,CXO
2018-01-24,159.21,159.99,156.89,158.94,1145000,CXO
2018-01-25,159.58,160.24,157.13,157.85,792100,CXO
2018-01-26,158.51,160.04,157.72,159.69,866500,CXO
2018-01-29,158.66,160.93,158.01,159.32,815400,CXO
2018-01-30,157.96,157.96,154.24,155.45,1605800,CXO
2018-01-31,155.83,156.57,154.27,155.53,1007500,CXO
2018-02-01,156.11,157.71,154.54,157.32,1003200,CXO
2018-02-02,154.9,155.86,151.59,152.65,1718300,CXO
2018-02-05,150.61,154.6,148.73,149.6,1956500,CXO
2018-02-06,147.16,150.57,143.65,147.24,3023100,CXO
2018-02-07,148.16,149.92,146.12,146.3,1992600,CXO
2018-02-08,146.21,147.14,138.37,138.39,2184600,CXO
2018-02-09,138.93,139.67,131.96,137.29,2347300,CXO
2018-02-12,139.26,143.37,138.6,141.74,1720400,CXO
2018-02-13,140.49,141.63,139.3,139.94,1178000,CXO
2018-02-14,138.95,145.49,138.42,145.07,1124800,CXO
2018-02-15,145.1,145.56,141.9,144.26,1384900,CXO
2018-02-16,143.82,145.73,143.1,144.74,1037900,CXO
2018-02-20,145.21,147.4,144.2,145.36,1384500,CXO
2018-02-21,151.83,151.83,143.14,147.35,2911900,CXO
2018-02-22,148.56,149.18,146.15,147.37,1602100,CXO
2018-02-23,147.94,151.11,147.33,150.95,1259400,CXO
2018-02-26,152.05,155.1,151.15,153.07,1523300,CXO
2018-02-27,152.91,154.22,151.22,151.23,1130600,CXO
2018-02-28,152.46,153.13,148.96,148.97,1196100,CXO
2018-03-01,149.34,150.27,147.44,148.51,1215900,CXO
2018-03-02,147.68,149.23,145.95,148.74,1285900,CXO
2018-03-05,148.36,151.85,147.93,151.09,732300,CXO
2018-03-06,151.74,151.84,148.94,149.52,1018700,CXO
2018-03-07,148.39,150.98,148.21,150.69,1040800,CXO
2018-03-08,151.12,151.82,147.25,147.92,1262300,CXO
2018-03-09,149.45,151.9,149.14,151.43,1232100,CXO
2018-03-12,152.04,152.57,149.55,151.61,926000,CXO
2018-03-13,152.51,152.51,147.76,148.67,1006200,CXO
2018-03-14,149.2,150.05,147.79,148.38,731400,CXO
2018-03-15,148.68,149.76,145.59,146.46,904300,CXO
2018-03-16,146.74,148.5,145.91,146.68,1550200,CXO
2018-03-19,145.3,146.28,143.18,144.56,843500,CXO
2018-03-20,145.78,147.88,144.93,146.83,889500,CXO
2018-03-21,147.93,153.12,147.6,151.3,1445400,CXO
2018-03-22,150.07,152.09,150.07,151.16,1630000,CXO
2018-03-23,151.91,154.74,150.93,151.66,1186100,CXO
2018-03-26,153.35,155.4,152.16,155.31,1229700,CXO
2018-03-27,155.51,156.54,154.37,155.09,2094500,CXO
2018-03-28,145.58,148.63,139.64,141.51,12063300,CXO
2018-03-29,143.43,148.79,141.78,148.5,6113000,CXO
2018-04-02,147.81,148.12,135.87,138.71,3144400,CXO
2018-04-03,138.5,139.94,134.51,139.87,3281400,CXO
2018-04-04,136.8,139.88,135.82,139.46,2357200,CXO
2018-04-05,140.53,142.1,136.95,137.95,3826100,CXO
2018-04-06,136.25,136.59,129.75,132.0,3024300,CXO
2018-04-09,132.51,133.75,131.14,131.76,2248900,CXO
2018-04-10,133.67,140.05,133.54,138.73,3032300,CXO
2018-04-11,137.76,145.38,137.76,144.99,3427600,CXO
2018-04-12,144.97,148.18,142.84,144.54,2278800,CXO
2018-04-13,145.79,149.64,144.98,149.18,2860100,CXO
2018-04-16,149.17,152.1,147.97,151.5,3868300,CXO
2018-04-17,152.16,152.93,151.11,151.6,2389500,CXO
2018-04-18,153.26,155.77,152.86,154.92,2512000,CXO
2018-04-19,155.37,158.51,154.13,155.54,2640800,CXO
2018-04-20,154.66,155.88,152.97,154.46,2064600,CXO
2018-04-23,153.82,156.44,152.56,155.25,790700,CXO
2018-04-24,155.49,156.21,148.84,149.87,1719200,CXO
2018-04-25,150.38,152.89,149.41,152.72,1406000,CXO
2018-04-26,153.02,153.96,151.99,153.23,1243800,CXO
