Date,Open,High,Low,Close,Volume,Name
2017-07-03,58.23,58.79,58.01,58.09,1629900,DFS
2017-07-05,58.28,58.31,57.24,57.38,3526300,DFS
2017-07-06,57.19,57.85,56.99,57.1,3159100,DFS
2017-07-07,57.3,57.59,56.96,57.25,2808900,DFS
2017-07-10,57.07,57.17,56.71,57.0,2870300,DFS
2017-07-11,57.0,57.14,56.36,56.68,2748800,DFS
2017-07-12,56.44,57.23,56.27,57.04,2237300,DFS
2017-07-13,57.1,57.46,56.98,57.3,3226600,DFS
2017-07-14,56.9,57.31,56.37,57.15,2119000,DFS
2017-07-17,57.09,57.25,56.7,56.97,2510100,DFS
2017-07-18,56.7,56.96,56.5,56.95,1518900,DFS
2017-07-19,57.06,57.28,56.82,57.04,1940200,DFS
2017-07-20,56.91,57.43,56.85,57.25,1940300,DFS
2017-07-21,57.62,58.64,57.56,58.34,3646300,DFS
2017-07-24,58.26,58.51,57.79,58.34,2296300,DFS
2017-07-25,58.73,59.64,58.73,59.51,3321500,DFS
2017-07-26,59.71,59.71,58.81,58.9,3782800,DFS
2017-07-27,57.21,57.93,55.9,56.39,7624600,DFS
2017-07-28,56.35,56.81,56.16,56.22,3526900,DFS
2017-07-31,56.35,57.19,56.3,56.85,2341800,DFS
2017-08-01,57.18,57.36,56.53,56.54,2926700,DFS
2017-08-02,56.48,56.94,56.35,56.7,2256700,DFS
2017-08-03,56.58,56.76,56.26,56.4,2224500,DFS
2017-08-04,56.91,57.22,56.84,56.95,1829900,DFS
2017-08-07,56.78,57.37,56.78,57.27,2020500,DFS
2017-08-08,57.17,58.35,56.92,57.8,2902100,DFS
2017-08-09,57.37,57.5,56.88,57.15,1834000,DFS
2017-08-10,56.81,56.98,56.06,56.07,2280900,DFS
2017-08-11,56.09,56.18,55.57,55.64,2163700,DFS
2017-08-14,56.17,56.61,56.09,56.44,1802400,DFS
2017-08-15,56.94,57.94,56.94,57.72,2876300,DFS
2017-08-16,58.01,58.28,57.46,57.57,2309300,DFS
2017-08-17,57.33,57.53,55.88,55.88,1905600,DFS
2017-08-18,55.72,55.98,55.42,55.44,2044300,DFS
2017-08-21,55.5,55.58,55.15,55.29,1555900,DFS
2017-08-22,55.6,55.91,55.34,55.84,2627800,DFS
2017-08-23,55.5,56.04,55.29,55.66,1498600,DFS
2017-08-24,55.76,56.05,55.59,55.81,1730200,DFS
2017-08-25,55.96,56.75,55.96,56.02,2776800,DFS
2017-08-28,56.15,56.27,55.38,55.46,1200000,DFS
2017-08-29,54.92,55.06,54.55,54.85,2706900,DFS
2017-08-30,54.89,55.61,54.84,55.34,1775200,DFS
2017-08-31,55.34,55.74,55.16,55.32,2321800,DFS
2017-09-01,55.48,56.16,55.27,55.92,1342800,DFS
2017-09-05,55.65,55.65,54.41,54.84,2504000,DFS
2017-09-06,55.07,55.43,54.82,55.24,1846400,DFS
2017-09-07,55.29,55.35,54.17,54.52,2432200,DFS
2017-09-08,54.39,54.62,54.08,54.11,1966300,DFS
2017-09-11,54.44,54.88,54.26,54.61,2667400,DFS
2017-09-12,54.76,54.94,53.96,54.42,3269800,DFS
2017-09-13,54.43,55.71,54.27,55.64,2901600,DFS
2017-09-14,55.57,55.76,54.97,55.04,1765600,DFS
2017-09-15,54.94,55.86,54.88,55.77,4212100,DFS
2017-09-18,55.88,56.75,55.79,56.54,2432600,DFS
2017-09-19,56.54,57.04,56.35,56.77,2007300,DFS
2017-09-20,56.71,56.89,56.32,56.63,2816800,DFS
2017-09-21,56.6,57.01,56.44,56.78,1734200,DFS
2017-09-22,56.66,57.64,56.66,57.63,2111800,DFS
2017-09-25,57.53,58.44,57.44,58.1,2161500,DFS
2017-09-26,57.9,58.89,57.85,58.83,2806600,DFS
2017-09-27,59.37,60.24,59.24,60.12,3413100,DFS
2017-09-28,60.12,60.53,59.81,60.4,2393100,DFS
2017-09-29,60.58,60.75,60.02,60.51,2494500,DFS
2017-10-02,60.54,61.21,60.32,61.15,2258400,DFS
2017-10-03,61.16,61.75,61.12,61.69,3260700,DFS
2017-10-04,61.44,61.92,60.99,61.46,2200600,DFS
2017-10-05,61.5,62.09,61.29,61.91,2387700,DFS
2017-10-06,61.86,61.95,61.4,61.7,2554000,DFS
2017-10-09,61.76,62.07,61.24,61.36,1974800,DFS
2017-10-10,61.39,61.69,61.17,61.32,1697600,DFS
2017-10-11,61.15,61.34,60.63,60.85,2155700,DFS
2017-10-12,60.26,60.85,59.74,59.88,3782500,DFS
2017-10-13,59.81,60.46,59.62,59.95,2779900,DFS
2017-10-16,60.24,61.38,60.24,61.33,3295000,DFS
2017-10-17,61.39,61.51,60.59,60.68,1680900,DFS
2017-10-18,60.97,61.53,60.83,61.37,1969800,DFS
2017-10-19,61.03,61.71,60.81,61.62,2077600,DFS
2017-10-20,62.14,62.97,62.14,62.47,3211800,DFS
2017-10-23,62.5,62.91,62.49,62.73,2552200,DFS
2017-10-24,62.84,63.26,62.72,63.24,2696100,DFS
2017-10-25,62.04,63.16,60.62,61.14,5375200,DFS
2017-10-26,61.66,62.8,61.54,62.59,3020800,DFS
2017-10-27,62.5,62.87,62.15,62.67,1713300,DFS
2017-10-30,62.51,62.95,62.31,62.42,1424000,DFS
2017-10-31,62.22,62.75,62.1,62.44,1920300,DFS
2017-11-01,62.58,63.05,62.22,62.78,1923100,DFS
2017-11-02,62.71,62.98,62.04,62.81,2362300,DFS
2017-11-03,62.89,63.68,62.74,63.29,3146300,DFS
2017-11-06,63.12,63.27,62.68,62.9,1331800,DFS
2017-11-07,62.91,63.06,62.09,62.35,1800300,DFS
2017-11-08,62.09,62.17,61.48,62.02,1634400,DFS
2017-11-09,61.7,61.91,60.79,61.44,2195400,DFS
2017-11-10,61.38,61.65,60.75,60.78,1630900,DFS
2017-11-13,60.61,61.05,59.94,61.0,2186100,DFS
2017-11-14,60.55,60.84,60.05,60.26,2046300,DFS
2017-11-15,59.87,61.49,59.41,61.25,3254200,DFS
2017-11-16,61.39,61.8,60.78,60.83,2266900,DFS
2017-11-17,60.63,61.37,60.53,61.06,1491300,DFS
2017-11-20,61.23,62.07,61.12,61.77,1237400,DFS
2017-11-21,62.05,62.19,61.59,61.93,1228900,DFS
2017-11-22,61.93,62.14,61.33,61.8,2026200,DFS
2017-11-24,61.86,61.93,61.51,61.7,897300,DFS
2017-11-27,61.79,62.1,61.45,61.65,1764600,DFS
2017-11-28,61.72,63.87,61.42,63.81,2291200,DFS
2017-11-29,64.16,66.03,64.13,65.11,2778200,DFS
2017-11-30,65.52,67.16,65.36,66.61,3971600,DFS
2017-12-01,66.79,67.17,64.88,67.1,2558000,DFS
2017-12-04,67.95,69.59,67.93,69.29,3998100,DFS
2017-12-05,69.97,70.2,68.5,69.04,3449000,DFS
2017-12-06,68.64,69.2,68.59,68.82,2309500,DFS
2017-12-07,68.43,69.66,68.17,69.3,1605900,DFS
2017-12-08,69.53,69.63,68.98,69.63,1851300,DFS
2017-12-11,69.94,70.46,69.57,70.15,2368800,DFS
2017-12-12,70.44,71.24,70.34,70.85,2196900,DFS
2017-12-13,70.61,70.86,69.56,69.65,2213100,DFS
2017-12-14,69.8,70.19,69.28,69.51,1316300,DFS
2017-12-15,69.84,70.91,69.68,70.37,5182600,DFS
2017-12-18,71.22,72.54,71.03,71.67,3157800,DFS
2017-12-19,72.04,72.38,71.54,71.66,2403700,DFS
2017-12-20,72.2,72.2,71.38,71.46,1920200,DFS
2017-12-21,71.85,72.19,71.47,71.74,2073400,DFS
2017-12-22,71.88,72.88,71.8,72.77,2224300,DFS
2017-12-26,72.68,73.14,72.62,72.89,1073500,DFS
2017-12-27,72.79,72.79,72.2,72.61,2108300,DFS
2017-12-28,72.65,73.16,72.63,73.12,1909700,DFS
2017-12-29,73.39,73.39,72.57,72.57,1481300,DFS
2018-01-02,72.87,73.09,72.06,72.56,3122500,DFS
2018-01-03,72.75,73.27,72.75,73.1,1921200,DFS
2018-01-04,73.59,74.37,73.41,73.83,1994700,DFS
2018-01-05,74.09,74.09,72.97,73.74,1642600,DFS
2018-01-08,73.74,73.77,73.06,73.19,1762300,DFS
2018-01-09,73.43,73.99,73.04,73.82,2306000,DFS
2018-01-10,73.98,75.39,73.95,74.98,2490900,DFS
2018-01-11,75.24,75.84,74.95,75.82,1951100,DFS
2018-01-12,76.29,76.42,75.69,75.96,2078400,DFS
2018-01-16,76.42,76.64,74.12,74.48,1985000,DFS
2018-01-17,74.82,74.82,73.94,74.47,2441200,DFS
2018-01-18,74.6,74.67,73.71,73.8,1701000,DFS
2018-01-19,73.76,73.96,72.76,73.89,4342400,DFS
2018-01-22,73.68,74.45,73.43,74.41,1817800,DFS
2018-01-23,74.09,74.5,73.21,74.27,2866700,DFS
2018-01-24,74.51,75.04,73.91,74.29,3210900,DFS
2018-01-25,73.86,76.66,73.64,75.76,3049200,DFS
2018-01-26,75.96,76.41,74.95,76.4,2365400,DFS
2018-01-29,76.19,77.3,76.19,76.71,2015400,DFS
2018-01-30,76.84,76.84,75.21,75.21,1775500,DFS
2018-01-31,75.78,76.13,75.19,75.29,1700900,DFS
2018-02-01,75.02,76.23,74.83,76.06,2120700,DFS
2018-02-02,75.9,76.27,74.39,74.51,2176100,DFS
2018-02-05,73.39,74.85,70.29,70.65,2659300,DFS
2018-02-06,68.94,72.03,67.28,71.84,3309300,DFS
2018-02-07,71.39,73.19,71.39,72.3,1854600,DFS
2018-02-08,72.38,72.38,68.24,68.31,2845900,DFS
2018-02-09,69.13,70.52,67.55,69.92,3052200,DFS
2018-02-12,70.67,72.5,70.37,71.66,2100300,DFS
2018-02-13,71.35,72.2,71.02,72.18,1764500,DFS
2018-02-14,71.95,73.35,71.83,73.22,1847400,DFS
2018-02-15,73.9,74.79,73.69,74.13,2180100,DFS
2018-02-16,73.92,75.56,73.92,75.04,2138200,DFS
2018-02-20,74.64,75.69,74.54,75.13,2271600,DFS
2018-02-21,74.94,76.24,74.41,74.48,2667600,DFS
2018-02-22,74.86,75.03,73.54,73.68,2223200,DFS
2018-02-23,74.22,75.29,74.04,75.26,1307200,DFS
2018-02-26,75.31,76.28,74.82,76.22,2055700,DFS
2018-02-27,76.29,77.08,75.4,75.4,2021600,DFS
2018-02-28,75.81,76.53,74.68,74.7,2172100,DFS
2018-03-01,74.52,75.19,70.72,71.27,4146100,DFS
2018-03-02,70.89,71.98,70.35,71.87,2470400,DFS
2018-03-05,71.42,73.33,70.98,73.04,1829100,DFS
2018-03-06,73.14,73.39,71.81,72.79,1708500,DFS
2018-03-07,71.82,72.74,71.57,72.62,1633400,DFS
2018-03-08,72.88,73.24,72.03,73.06,1324100,DFS
2018-03-09,73.7,74.38,73.16,74.31,2943200,DFS
2018-03-12,74.5,74.69,73.95,74.06,1640400,DFS
2018-03-13,74.53,74.53,72.99,73.28,2283200,DFS
2018-03-14,73.71,73.75,72.15,72.46,1999300,DFS
2018-03-15,72.71,72.86,70.96,71.42,2480300,DFS
2018-03-16,71.76,72.98,71.43,72.53,3233500,DFS
2018-03-19,72.4,72.72,71.23,72.06,2021300,DFS
2018-03-20,72.27,72.48,71.36,71.41,2218100,DFS
2018-03-21,71.43,72.06,70.91,70.94,2992200,DFS
2018-03-22,70.39,70.86,67.99,68.13,2602300,DFS
2018-03-23,68.36,68.57,66.32,66.4,2715500,DFS
2018-03-26,67.3,68.24,66.58,68.03,1809700,DFS
2018-03-27,68.41,68.71,66.02,66.55,2403900,DFS
2018-03-28,66.61,67.37,65.91,66.6,2811800,DFS
2018-03-29,66.71,68.31,66.44,68.16,2655400,DFS
2018-04-02,67.67,67.79,64.97,65.94,2496400,DFS
2018-04-03,66.32,66.94,65.47,66.9,2394400,DFS
2018-04-04,65.64,68.12,65.48,67.94,2139100,DFS
2018-04-05,68.32,68.83,67.8,68.35,1836800,DFS
2018-04-06,67.58,68.04,66.03,66.66,1509700,DFS
2018-04-09,67.46,68.53,66.89,66.97,1374000,DFS
2018-04-10,68.05,68.49,67.55,68.14,1689200,DFS
2018-04-11,67.25,68.09,67.03,67.19,1294000,DFS
2018-04-12,67.66,68.47,67.57,67.86,1508200,DFS
2018-04-13,68.48,68.71,66.54,66.85,1886800,DFS
2018-04-16,67.19,68.41,66.94,67.81,2005800,DFS
2018-04-17,68.59,68.82,67.94,68.15,2097200,DFS
2018-04-18,68.43,68.99,68.27,68.32,1429300,DFS
2018-04-19,68.54,69.67,68.52,69.45,1687900,DFS
2018-04-20,69.72,70.19,69.11,69.48,2463900,DFS
2018-04-23,69.7,69.87,68.99,69.47,1475800,DFS
2018-04-24,69.94,70.5,68.7,69.08,2413200,DFS
2018-04-25,68.79,69.23,67.76,68.1,4104400,DFS
2018-04-26,68.13,68.95,67.76,68.58,2550700,DFS
2018-04-27,68.56,68.93,66.82,67.49,3097800,DFS
2018-04-30,67.88,68.29,67.51,67.52,2392800,DFS
2018-05-01,67.37,67.51,66.4,66.83,2228300,DFS
2018-05-02,66.81,67.87,66.5,66.81,2249000,DFS
2018-05-03,66.52,66.52,65.13,65.96,2081800,DFS
2018-05-04,65.54,67.67,64.9,67.16,1845100,DFS
2018-05-07,67.78,68.66,67.26,68.08,2617600,DFS
2018-05-08,68.59,69.65,68.41,69.06,2417700,DFS
2018-05-09,69.42,70.65,69.31,70.24,2101000,DFS
2018-05-10,70.24,71.23,70.04,70.96,1662600,DFS
2018-05-11,71.12,71.83,70.77,71.42,1794900,DFS
2018-05-14,71.62,72.01,71.36,71.5,1787500,DFS
2018-05-15,71.36,72.95,71.36,72.32,2371900,DFS
2018-05-16,72.19,73.4,72.12,73.38,2050400,DFS
2018-05-17,73.34,73.97,72.65,73.76,1682300,DFS
2018-05-18,73.58,73.78,73.15,73.19,1389300,DFS
2018-05-21,73.73,74.27,73.49,73.76,1069100,DFS
2018-05-22,74.02,74.84,73.93,74.13,1375800,DFS
2018-05-23,73.77,73.93,72.62,73.41,1832900,DFS
2018-05-24,73.16,73.34,72.05,73.22,1586500,DFS
2018-05-25,73.19,73.19,71.94,72.35,1682200,DFS
