Date,Open,High,Low,Close,Volume,Name
2017-07-03,33.59,33.59,33.05,33.07,1268500,DHI
2017-07-05,33.14,33.37,32.78,33.33,2742800,DHI
2017-07-06,33.24,33.32,33.02,33.2,6048900,DHI
2017-07-07,33.32,34.7,33.32,34.45,7295700,DHI
2017-07-10,34.54,36.03,34.42,35.78,15457300,DHI
2017-07-11,35.52,35.68,34.99,35.59,7934900,DHI
2017-07-12,35.86,36.04,34.84,35.21,4591000,DHI
2017-07-13,35.3,35.59,35.04,35.13,3770400,DHI
2017-07-14,35.21,35.66,35.18,35.32,2422000,DHI
2017-07-17,35.38,35.68,35.22,35.3,1886900,DHI
2017-07-18,35.21,35.36,34.56,35.04,4026000,DHI
2017-07-19,35.12,35.47,34.99,35.27,2618900,DHI
2017-07-20,35.26,35.3,34.67,34.97,3110300,DHI
2017-07-21,34.94,35.67,34.94,35.24,2650100,DHI
2017-07-24,35.16,35.27,34.88,35.19,2113800,DHI
2017-07-25,35.28,35.8,35.15,35.61,4532700,DHI
2017-07-26,35.39,35.39,34.22,34.93,4902600,DHI
2017-07-27,35.01,35.06,34.61,34.72,4719700,DHI
2017-07-28,34.72,34.92,34.14,34.51,3593800,DHI
2017-07-31,34.58,34.8,34.12,34.35,3896300,DHI
2017-08-01,34.42,34.9,34.2,34.73,3588300,DHI
2017-08-02,34.84,35.21,34.53,35.08,4164400,DHI
2017-08-03,34.99,35.04,34.48,34.97,5040500,DHI
2017-08-04,35.07,35.38,35.02,35.22,2346600,DHI
2017-08-07,35.28,35.36,35.01,35.14,2810300,DHI
2017-08-08,35.13,35.28,34.87,34.99,3885000,DHI
2017-08-09,34.96,35.28,34.75,35.1,3948400,DHI
2017-08-10,34.93,35.03,34.62,34.64,2472400,DHI
2017-08-11,34.58,34.94,34.43,34.83,1877800,DHI
2017-08-14,35.03,35.52,34.87,35.34,2064900,DHI
2017-08-15,35.37,35.7,35.08,35.5,2678600,DHI
2017-08-16,35.59,35.69,35.28,35.55,1603100,DHI
2017-08-17,35.46,35.6,34.77,34.79,2243400,DHI
2017-08-18,34.6,34.75,34.39,34.45,2609100,DHI
2017-08-21,34.42,34.72,34.26,34.53,1921700,DHI
2017-08-22,34.48,34.57,34.07,34.33,2681300,DHI
2017-08-23,34.21,34.49,33.95,34.2,3306500,DHI
2017-08-24,34.33,34.45,34.11,34.15,3198500,DHI
2017-08-25,34.36,34.7,34.17,34.53,2993900,DHI
2017-08-28,34.56,34.7,33.95,34.08,3213200,DHI
2017-08-29,33.79,34.26,33.73,34.05,3194200,DHI
2017-08-30,34.04,34.42,33.82,34.2,2878300,DHI
2017-08-31,34.33,34.97,34.24,34.89,3532700,DHI
2017-09-01,35.0,35.2,34.83,34.98,1596800,DHI
2017-09-05,34.92,35.01,34.06,34.47,2550000,DHI
2017-09-06,34.53,34.86,34.2,34.84,4399200,DHI
2017-09-07,34.97,34.97,34.57,34.72,3547100,DHI
2017-09-08,34.67,35.21,34.5,34.99,3741400,DHI
2017-09-11,35.15,35.8,34.94,35.64,4833100,DHI
2017-09-12,35.71,36.46,35.61,36.42,4650000,DHI
2017-09-13,36.34,36.37,35.12,35.86,7766300,DHI
2017-09-14,35.63,36.17,35.35,36.03,5949100,DHI
2017-09-15,35.93,36.08,35.6,35.87,5452100,DHI
2017-09-18,35.91,36.32,35.86,36.18,4623500,DHI
2017-09-19,36.12,36.46,36.07,36.26,4713000,DHI
2017-09-20,36.25,36.3,35.51,35.76,4139400,DHI
2017-09-21,35.75,35.86,35.41,35.58,2653200,DHI
2017-09-22,35.59,35.84,35.44,35.61,3201200,DHI
2017-09-25,35.42,35.86,35.29,35.79,3074400,DHI
2017-09-26,35.9,36.3,35.87,36.13,3708300,DHI
2017-09-27,36.37,36.89,36.03,36.82,7984900,DHI
2017-09-28,36.77,37.65,36.69,37.62,9560600,DHI
2017-09-29,37.92,38.62,37.74,38.54,9041700,DHI
2017-10-02,38.96,38.96,38.32,38.59,6194700,DHI
2017-10-03,38.74,39.22,38.45,38.87,7443100,DHI
2017-10-04,38.94,39.43,38.75,39.42,4156600,DHI
2017-10-05,39.39,39.63,39.11,39.2,3681500,DHI
2017-10-06,39.29,39.86,39.23,39.65,4131700,DHI
2017-10-09,39.65,40.01,39.53,39.79,3540600,DHI
2017-10-10,39.92,40.06,39.39,39.84,2726100,DHI
2017-10-11,39.81,40.12,39.73,40.03,2005000,DHI
2017-10-12,39.92,40.09,39.82,39.84,2865300,DHI
2017-10-13,39.91,40.06,39.81,39.9,2126200,DHI
2017-10-16,40.05,40.16,39.81,39.93,1818600,DHI
2017-10-17,39.94,40.19,39.56,40.04,2979900,DHI
2017-10-18,40.04,40.15,39.64,40.06,3648700,DHI
2017-10-19,39.96,41.11,39.81,41.05,4084000,DHI
2017-10-20,41.21,41.54,41.13,41.18,3634200,DHI
2017-10-23,41.55,41.95,41.34,41.38,3926300,DHI
2017-10-24,41.57,41.94,41.39,41.81,3796400,DHI
2017-10-25,42.13,42.29,41.42,41.75,3428300,DHI
2017-10-26,42.08,42.52,41.81,42.47,3086700,DHI
2017-10-27,42.49,42.85,42.19,42.76,2482400,DHI
2017-10-30,42.68,43.03,42.21,42.77,3827800,DHI
2017-10-31,42.8,43.02,42.57,42.67,4224500,DHI
2017-11-01,42.91,43.35,42.82,43.17,3436800,DHI
2017-11-02,43.19,43.31,41.6,43.07,6204000,DHI
2017-11-03,43.04,43.34,42.77,42.78,3547700,DHI
2017-11-06,42.9,43.42,42.73,43.28,3484300,DHI
2017-11-07,43.39,43.91,43.23,43.38,3783100,DHI
2017-11-08,43.18,44.18,43.07,43.83,5728900,DHI
2017-11-09,43.05,45.15,42.77,44.39,9955800,DHI
2017-11-10,45.17,45.17,43.94,44.4,8271800,DHI
2017-11-13,44.32,45.64,44.21,45.45,5762300,DHI
2017-11-14,45.23,46.24,44.95,45.98,4560800,DHI
2017-11-15,45.82,46.13,45.29,45.87,3473700,DHI
2017-11-16,45.92,46.23,45.73,45.86,4211100,DHI
2017-11-17,45.78,46.63,45.76,46.45,3078600,DHI
2017-11-20,46.53,46.88,46.32,46.52,4630800,DHI
2017-11-21,47.04,47.81,46.93,47.63,5487100,DHI
2017-11-22,47.58,47.94,47.29,47.85,4039800,DHI
2017-11-24,47.89,48.32,47.83,48.26,1366400,DHI
2017-11-27,48.26,48.26,47.67,47.75,3753900,DHI
2017-11-28,47.81,48.39,47.54,48.36,5216500,DHI
2017-11-29,48.36,49.17,48.05,48.89,4073700,DHI
2017-11-30,49.08,49.86,48.9,49.34,4194200,DHI
2017-12-01,49.3,49.55,47.57,48.79,4203700,DHI
2017-12-04,49.7,49.8,48.89,48.94,4122300,DHI
2017-12-05,48.04,49.15,47.65,48.61,4400300,DHI
2017-12-06,48.4,48.92,48.01,48.1,4999100,DHI
2017-12-07,48.53,49.11,47.81,48.53,3927600,DHI
2017-12-08,48.23,49.29,48.23,49.13,3109000,DHI
2017-12-11,49.16,49.32,48.62,48.83,3459600,DHI
2017-12-12,48.34,49.23,48.23,48.38,3755400,DHI
2017-12-13,48.58,48.71,48.17,48.19,3685500,DHI
2017-12-14,48.43,49.21,48.23,48.71,3708200,DHI
2017-12-15,48.84,49.16,48.7,48.94,6087800,DHI
2017-12-18,49.45,49.94,49.4,49.78,2893600,DHI
2017-12-19,49.91,50.11,49.11,49.15,3101600,DHI
2017-12-20,49.32,49.59,48.9,49.13,3941400,DHI
2017-12-21,49.17,49.56,49.09,49.28,2735600,DHI
2017-12-22,49.38,49.63,49.15,49.18,2360800,DHI
2017-12-26,49.21,49.39,49.14,49.32,1178200,DHI
2017-12-27,49.35,49.65,49.23,49.36,2596400,DHI
2017-12-28,49.43,49.71,49.33,49.67,1453400,DHI
2017-12-29,49.85,50.15,49.34,49.41,1926800,DHI
2018-01-02,49.7,49.8,48.76,49.4,3356400,DHI
2018-01-03,49.61,51.26,49.61,51.14,4104500,DHI
2018-01-04,51.36,51.59,50.0,50.38,3087000,DHI
2018-01-05,50.7,50.81,50.25,50.79,2732500,DHI
2018-01-08,50.95,51.46,50.81,51.15,3389100,DHI
2018-01-09,51.28,51.51,50.65,51.11,3474000,DHI
2018-01-10,50.88,50.88,49.19,49.32,4583900,DHI
2018-01-11,49.78,50.59,49.64,50.35,4170700,DHI
2018-01-12,50.54,50.67,50.03,50.22,1781100,DHI
