Date,Open,High,Low,Close,Volume,Name
2017-07-03,83.2,84.01,83.04,83.8,842300,DRI
2017-07-05,83.79,83.88,81.92,82.69,1790500,DRI
2017-07-06,82.58,83.45,82.23,82.85,1534300,DRI
2017-07-07,83.05,83.57,82.54,83.31,1055700,DRI
2017-07-10,83.2,83.6,82.23,82.46,1234100,DRI
2017-07-11,82.73,83.06,82.07,82.5,1077400,DRI
2017-07-12,82.66,83.37,82.58,82.79,1460800,DRI
2017-07-13,82.8,83.24,81.49,81.83,1431200,DRI
2017-07-14,81.98,82.57,81.71,82.18,1181400,DRI
2017-07-17,82.21,83.16,82.13,82.84,1095000,DRI
2017-07-18,82.91,82.95,81.94,82.26,779800,DRI
2017-07-19,82.36,83.2,82.36,83.02,956700,DRI
2017-07-20,83.01,83.37,82.7,82.75,733900,DRI
2017-07-21,82.49,82.77,81.82,81.93,1142200,DRI
2017-07-24,81.76,81.85,79.96,80.04,2085500,DRI
2017-07-25,80.33,80.55,79.96,80.24,1710700,DRI
2017-07-26,80.56,80.63,78.9,79.3,1566100,DRI
2017-07-27,78.96,79.07,77.53,78.06,2883600,DRI
2017-07-28,77.48,77.74,76.33,77.47,2910300,DRI
2017-07-31,77.44,78.19,77.32,77.5,1492100,DRI
2017-08-01,77.79,78.74,77.33,78.35,1560800,DRI
2017-08-02,78.34,78.81,77.64,78.12,961700,DRI
2017-08-03,77.67,77.67,75.77,75.83,1950100,DRI
2017-08-04,75.95,76.98,75.42,76.82,1238100,DRI
2017-08-07,76.76,77.87,76.76,77.39,901600,DRI
2017-08-08,77.21,77.37,75.14,75.6,2403700,DRI
2017-08-09,75.42,75.76,74.82,75.09,2602000,DRI
2017-08-10,74.94,76.95,74.83,76.25,2315500,DRI
2017-08-11,76.48,77.13,76.14,77.0,1116200,DRI
2017-08-14,77.36,77.46,75.92,76.45,1373400,DRI
2017-08-15,76.79,77.4,76.17,77.13,2183700,DRI
2017-08-16,77.28,78.28,77.14,77.97,1276800,DRI
2017-08-17,77.9,78.8,77.54,77.73,1409000,DRI
2017-08-18,77.57,78.18,77.35,77.6,1658200,DRI
2017-08-21,77.72,78.48,77.61,78.08,1019600,DRI
2017-08-22,78.19,79.28,78.11,78.81,932800,DRI
2017-08-23,78.51,78.73,77.02,77.09,1226500,DRI
2017-08-24,77.29,77.5,76.09,76.11,1059000,DRI
2017-08-25,76.65,78.18,76.29,77.31,1783300,DRI
2017-08-28,77.28,78.74,76.93,78.38,2017600,DRI
2017-08-29,77.98,78.45,75.87,76.35,2381100,DRI
2017-08-30,76.35,77.03,76.26,76.57,1228200,DRI
2017-08-31,76.52,76.89,75.81,75.84,1625800,DRI
2017-09-01,76.17,76.23,75.45,75.68,1427800,DRI
2017-09-05,75.27,75.63,74.39,75.01,1738900,DRI
2017-09-06,75.11,75.16,72.03,72.4,3265800,DRI
2017-09-07,72.4,72.61,70.88,71.19,3040000,DRI
2017-09-08,70.99,73.17,70.46,72.57,2261400,DRI
2017-09-11,73.26,75.53,73.26,73.67,2240100,DRI
2017-09-12,73.65,75.23,73.65,75.04,1501200,DRI
2017-09-13,75.23,78.18,75.23,77.26,2677800,DRI
2017-09-14,77.02,77.12,75.93,76.87,2059600,DRI
2017-09-15,76.94,78.04,76.86,77.48,2070700,DRI
2017-09-18,77.62,78.39,77.52,77.95,1715500,DRI
2017-09-19,77.94,77.97,76.52,76.97,2423100,DRI
2017-09-20,77.19,77.89,76.89,77.42,1429000,DRI
2017-09-21,77.4,77.5,76.37,76.74,1825400,DRI
2017-09-22,76.63,77.0,76.05,76.57,1898700,DRI
2017-09-25,76.72,77.48,75.68,76.81,2399800,DRI
2017-09-26,74.39,75.51,71.65,71.8,6191200,DRI
2017-09-27,73.17,74.27,72.87,73.13,3086200,DRI
2017-09-28,73.28,73.57,72.26,72.95,2289300,DRI
2017-09-29,72.88,72.93,72.19,72.78,2144800,DRI
2017-10-02,72.55,73.2,72.0,73.14,1535200,DRI
2017-10-03,73.71,74.04,73.2,74.01,1740700,DRI
2017-10-04,74.05,74.32,73.29,73.54,1203200,DRI
2017-10-05,73.63,73.86,72.78,73.65,1633200,DRI
2017-10-06,73.86,75.4,73.57,75.27,1927400,DRI
2017-10-09,75.82,75.91,74.62,74.84,1472400,DRI
2017-10-10,75.1,75.25,74.24,74.41,1052800,DRI
2017-10-11,74.65,74.95,74.38,74.47,2314300,DRI
2017-10-12,74.11,74.46,73.44,74.34,1799400,DRI
2017-10-13,74.26,74.58,73.99,74.54,988400,DRI
2017-10-16,74.78,75.43,74.4,75.27,1449600,DRI
2017-10-17,74.22,76.86,74.01,76.55,2245600,DRI
2017-10-18,76.59,77.2,76.25,76.92,1913600,DRI
2017-10-19,76.87,77.01,76.1,76.93,1638900,DRI
2017-10-20,77.31,78.43,77.1,77.68,1952300,DRI
2017-10-23,77.69,77.95,77.23,77.29,1873800,DRI
2017-10-24,77.31,77.81,77.2,77.56,906900,DRI
2017-10-25,77.47,77.81,76.36,76.78,1906400,DRI
2017-10-26,77.22,77.93,77.15,77.7,803100,DRI
2017-10-27,78.27,80.3,78.03,78.21,1585900,DRI
2017-10-30,77.97,78.14,77.06,77.68,1308800,DRI
2017-10-31,77.88,78.1,76.95,77.22,1103800,DRI
2017-11-01,77.31,77.63,76.72,77.04,1262300,DRI
2017-11-02,76.67,77.25,76.42,76.78,881700,DRI
2017-11-03,76.8,78.11,76.61,77.22,1017700,DRI
2017-11-06,77.2,77.5,76.78,77.34,582900,DRI
2017-11-07,77.24,77.87,76.34,76.63,1546000,DRI
2017-11-08,76.61,78.11,76.6,77.07,1348400,DRI
2017-11-09,76.61,77.22,76.28,77.09,1347700,DRI
2017-11-10,76.92,77.76,76.82,77.56,936400,DRI
2017-11-13,77.45,77.95,77.11,77.75,1845600,DRI
2017-11-14,77.85,78.39,77.58,77.76,1505600,DRI
2017-11-15,77.68,77.9,76.85,76.91,1559100,DRI
2017-11-16,76.95,77.63,76.87,77.27,1062100,DRI
2017-11-17,77.42,78.12,77.15,77.72,707900,DRI
2017-11-20,77.85,77.85,76.85,77.23,1376800,DRI
2017-11-21,77.64,77.64,75.22,75.39,3043500,DRI
2017-11-22,75.23,75.33,74.32,74.86,1554000,DRI
2017-11-24,75.06,75.59,74.67,75.31,510700,DRI
2017-11-27,75.23,75.6,74.97,75.35,1010500,DRI
2017-11-28,75.66,77.99,75.41,77.96,1109500,DRI
2017-11-29,78.14,79.83,77.95,79.6,1437400,DRI
2017-11-30,79.72,80.38,78.8,79.14,2064100,DRI
2017-12-01,79.51,80.25,78.62,79.82,1441600,DRI
2017-12-04,80.33,83.13,80.33,80.77,2369100,DRI
2017-12-05,81.21,81.31,79.5,80.85,2156100,DRI
2017-12-06,81.02,81.49,80.25,80.27,1299300,DRI
2017-12-07,80.31,81.04,79.84,80.04,1595500,DRI
2017-12-08,80.1,81.15,79.49,81.1,1583000,DRI
2017-12-11,80.99,81.41,80.6,81.23,2067200,DRI
2017-12-12,81.33,82.26,80.71,81.79,1803500,DRI
2017-12-13,81.7,82.51,81.5,82.22,1254300,DRI
2017-12-14,82.34,83.2,81.59,81.62,1480900,DRI
2017-12-15,82.22,83.72,82.22,82.98,3067100,DRI
2017-12-18,84.33,85.27,83.81,84.98,3056800,DRI
2017-12-19,88.05,90.8,86.87,90.75,4835100,DRI
2017-12-20,91.73,92.25,89.63,89.79,2719200,DRI
2017-12-21,90.84,91.04,89.03,89.22,1615800,DRI
2017-12-22,89.29,90.71,88.59,90.48,1384100,DRI
2017-12-26,90.4,91.71,90.26,91.18,1124400,DRI
2017-12-27,91.11,92.32,91.11,91.43,1025500,DRI
2017-12-28,91.59,91.87,91.09,91.51,670300,DRI
2017-12-29,91.79,91.79,90.12,90.12,1526400,DRI
2018-01-02,90.83,91.36,89.7,90.4,2015000,DRI
2018-01-03,90.79,92.62,90.66,92.49,1632400,DRI
2018-01-04,93.41,93.96,92.36,92.47,2156000,DRI
2018-01-05,92.77,93.22,91.87,93.21,1303100,DRI
2018-01-08,92.92,93.21,91.09,92.71,1857300,DRI
2018-01-09,93.02,93.08,91.8,92.09,1884900,DRI
2018-01-10,92.06,92.15,91.25,91.43,1353900,DRI
2018-01-11,91.67,92.52,91.49,92.19,1277400,DRI
2018-01-12,92.56,93.9,92.34,92.59,1076300,DRI
2018-01-16,93.22,93.38,90.97,91.38,1565600,DRI
2018-01-17,92.16,93.12,91.68,92.06,1212300,DRI
2018-01-18,91.77,92.38,91.45,91.96,913800,DRI
2018-01-19,92.31,93.62,92.27,93.55,1306200,DRI
2018-01-22,93.25,93.32,91.33,92.63,1200100,DRI
2018-01-23,92.3,93.12,92.04,92.09,818800,DRI
2018-01-24,92.52,92.86,91.66,92.14,732300,DRI
2018-01-25,92.57,93.09,91.41,92.44,985500,DRI
2018-01-26,92.56,93.14,91.72,93.03,838900,DRI
2018-01-29,92.89,93.49,92.33,92.79,809600,DRI
2018-01-30,92.64,92.93,91.17,91.19,1273300,DRI
2018-01-31,91.23,91.76,90.06,90.54,1798300,DRI
2018-02-01,90.11,92.14,89.75,92.11,1561100,DRI
2018-02-02,91.79,92.01,90.67,90.72,1701900,DRI
2018-02-05,90.26,92.88,89.0,89.0,1687900,DRI
2018-02-06,87.45,89.67,86.1,89.15,2462000,DRI
2018-02-07,88.65,90.9,88.63,89.81,1213500,DRI
2018-02-08,90.07,90.36,86.17,86.27,1776500,DRI
2018-02-09,87.12,88.23,85.23,87.55,1648200,DRI
2018-02-12,88.08,89.61,87.99,89.0,1343900,DRI
2018-02-13,88.67,89.74,88.06,89.47,1965700,DRI
2018-02-14,89.46,90.77,88.96,90.31,1276400,DRI
2018-02-15,90.77,92.44,90.55,92.28,1836400,DRI
2018-02-16,92.0,92.3,90.78,91.17,1240400,DRI
2018-02-20,90.66,90.8,89.03,89.64,1170600,DRI
2018-02-21,89.58,91.29,89.58,90.02,1160000,DRI
2018-02-22,90.31,91.04,89.61,89.91,867200,DRI
2018-02-23,90.19,90.44,88.99,90.07,1406800,DRI
2018-02-26,90.27,91.04,90.09,90.98,806000,DRI
2018-02-27,91.11,91.6,87.69,87.73,1660300,DRI
2018-02-28,87.71,88.85,86.78,87.08,3265600,DRI
2018-03-01,87.27,89.13,86.68,87.37,1115500,DRI
2018-03-02,86.88,90.41,86.88,90.18,2294800,DRI
2018-03-05,89.89,90.28,88.89,89.22,1857300,DRI
2018-03-06,89.61,89.61,87.92,88.9,1468500,DRI
2018-03-07,88.08,88.38,87.34,88.21,1714800,DRI
2018-03-08,88.58,89.06,88.17,88.43,1671400,DRI
2018-03-09,89.1,89.66,88.52,89.56,1209100,DRI
2018-03-12,89.59,90.19,89.08,89.5,1253100,DRI
2018-03-13,89.99,90.17,89.09,89.24,1585500,DRI
2018-03-14,89.71,90.69,88.78,88.99,1280300,DRI
2018-03-15,89.08,89.91,88.27,88.43,1693200,DRI
2018-03-16,88.67,89.92,88.49,89.31,3029900,DRI
2018-03-19,88.96,89.82,88.47,89.14,1629500,DRI
2018-03-20,89.44,91.03,89.22,89.84,1925400,DRI
2018-03-21,89.77,90.38,88.04,88.14,1661400,DRI
2018-03-22,83.58,85.01,81.12,81.18,5256500,DRI
2018-03-23,81.07,82.04,79.55,79.58,2723700,DRI
2018-03-26,80.75,82.02,79.86,80.12,2123600,DRI
2018-03-27,80.06,80.6,79.03,79.55,1430100,DRI
2018-03-28,79.59,80.03,79.26,79.7,1857500,DRI
2018-03-29,80.08,80.89,79.54,80.53,1319900,DRI
2018-04-02,81.24,81.26,77.81,79.41,2188500,DRI
2018-04-03,79.59,80.65,78.94,79.87,1381300,DRI
2018-04-04,79.11,82.22,79.11,82.03,1829200,DRI
2018-04-05,82.25,82.25,81.29,81.87,1852800,DRI
2018-04-06,81.24,82.26,81.07,82.05,1757600,DRI
2018-04-09,83.06,83.65,82.28,82.35,2084300,DRI
2018-04-10,82.86,83.02,81.7,82.39,1698400,DRI
2018-04-11,82.13,82.82,81.87,82.3,970000,DRI
2018-04-12,82.9,83.44,82.47,82.64,1040900,DRI
2018-04-13,83.05,83.62,82.65,83.46,1785500,DRI
2018-04-16,83.73,84.8,83.73,84.63,1618500,DRI
2018-04-17,85.6,86.03,84.57,85.08,1318700,DRI
2018-04-18,85.21,86.19,85.01,85.41,1137800,DRI
2018-04-19,85.39,85.73,84.63,85.41,843900,DRI
2018-04-20,86.32,86.92,85.98,86.63,1773800,DRI
2018-04-23,86.6,86.92,85.49,86.63,1500300,DRI
2018-04-24,87.14,87.42,85.34,86.01,1004700,DRI
2018-04-25,86.12,87.05,85.69,86.7,908200,DRI
2018-04-26,87.19,88.96,87.19,88.35,1413500,DRI
2018-04-27,88.5,90.8,88.25,89.86,1346400,DRI
2018-04-30,90.1,90.1,88.22,88.35,2533700,DRI
2018-05-01,88.27,88.88,87.68,88.77,956300,DRI
2018-05-02,88.33,88.82,87.33,87.53,1003100,DRI
2018-05-03,87.41,87.67,86.67,87.37,869500,DRI
2018-05-04,87.44,89.14,87.33,88.33,1198000,DRI
2018-05-07,88.34,88.34,87.0,87.45,1916600,DRI
2018-05-08,87.65,88.49,87.43,87.79,1150300,DRI
2018-05-09,87.76,87.77,86.68,87.38,1132100,DRI
2018-05-10,87.09,87.27,86.62,86.91,1129300,DRI
2018-05-11,87.04,87.77,85.89,85.95,1895400,DRI
2018-05-14,85.88,85.95,82.47,82.75,2307500,DRI
2018-05-15,82.49,83.21,82.11,83.06,1686000,DRI
2018-05-16,83.2,83.56,82.79,82.99,1148400,DRI
2018-05-17,82.78,83.52,80.87,81.77,2345800,DRI
2018-05-18,81.86,82.21,80.32,80.93,1745600,DRI
2018-05-21,80.98,82.24,80.28,82.04,1468000,DRI
2018-05-22,82.21,82.41,81.23,81.77,1431400,DRI
2018-05-23,81.11,81.86,80.51,81.55,1672000,DRI
2018-05-24,81.75,83.19,81.6,82.73,1719300,DRI
2018-05-25,82.89,84.59,82.72,83.62,1478400,DRI
2018-05-29,83.08,83.82,82.71,83.81,1492500,DRI
2018-05-30,84.26,84.73,83.86,84.65,1244600,DRI
2018-05-31,84.64,84.64,82.71,83.17,1792900,DRI
2018-06-01,84.01,85.16,83.6,84.21,1269000,DRI
2018-06-04,83.95,84.74,83.6,84.37,1287000,DRI
2018-06-05,84.2,85.09,83.36,84.93,1106100,DRI
2018-06-06,85.17,86.76,84.91,86.5,1061500,DRI
2018-06-07,87.81,88.05,86.7,86.97,1257800,DRI
2018-06-08,86.82,87.45,86.15,87.01,1378900,DRI
2018-06-11,87.42,87.93,86.97,87.83,1157800,DRI
2018-06-12,88.21,88.5,87.52,88.33,1705600,DRI
2018-06-13,88.46,89.18,87.88,87.9,924500,DRI
2018-06-14,88.04,88.39,87.13,87.72,1681100,DRI
2018-06-15,87.58,89.61,86.91,89.53,1904300,DRI
2018-06-18,88.79,89.9,88.49,89.74,1448100,DRI
2018-06-19,89.34,91.31,89.33,90.02,1791000,DRI
2018-06-20,89.93,90.11,88.66,88.74,2889700,DRI
2018-06-21,97.54,102.51,95.83,101.87,8042900,DRI
2018-06-22,102.99,104.22,100.25,103.59,3273800,DRI
2018-06-25,103.42,104.05,102.0,102.09,2510000,DRI
2018-06-26,102.2,103.6,101.17,102.61,2031900,DRI
2018-06-27,103.13,103.14,100.68,100.73,1880700,DRI
2018-06-28,100.41,102.81,100.41,102.76,2003500,DRI
2018-06-29,103.2,104.26,101.87,101.87,1894900,DRI
2018-07-02,101.67,104.41,100.98,104.2,2053300,DRI
2018-07-03,104.66,105.19,102.9,103.4,2591300,DRI
2018-07-05,104.04,105.12,103.63,104.84,1963600,DRI
2018-07-06,105.48,106.02,104.84,105.69,1963500,DRI
2018-07-09,106.03,106.39,105.1,105.79,2254300,DRI
2018-07-10,105.84,106.1,104.66,105.18,1993800,DRI
2018-07-11,104.85,106.31,104.82,105.82,1768200,DRI
2018-07-12,106.57,107.04,106.05,106.71,1386300,DRI
2018-07-13,106.44,107.6,106.15,107.38,955700,DRI
2018-07-16,106.08,107.23,105.42,106.6,1506900,DRI
2018-07-17,106.65,107.05,105.57,105.74,1215300,DRI
2018-07-18,106.41,107.71,105.87,107.43,1215100,DRI
2018-07-19,106.36,108.07,106.36,107.11,801800,DRI
2018-07-20,106.74,106.82,105.72,105.82,1240200,DRI
2018-07-23,106.07,106.87,104.52,106.29,1139200,DRI
2018-07-24,106.26,106.26,103.39,103.75,1798500,DRI
2018-07-25,103.46,105.0,102.42,102.55,2290000,DRI
2018-07-26,102.46,103.43,102.03,102.51,1632400,DRI
2018-07-27,103.43,103.96,102.19,102.29,1193600,DRI
2018-07-30,102.27,102.88,101.8,101.95,632000,DRI
2018-07-31,100.39,102.5,100.32,102.44,1328700,DRI
2018-08-01,101.43,102.68,100.89,102.05,1207300,DRI
2018-08-02,102.47,104.53,101.87,104.2,1287500,DRI
2018-08-03,104.31,105.12,103.48,104.3,1114200,DRI
2018-08-06,104.59,106.71,104.59,106.23,972000,DRI
2018-08-07,106.53,107.0,104.8,105.36,837000,DRI
2018-08-08,105.35,105.46,104.01,105.26,735100,DRI
2018-08-09,105.23,106.22,104.74,104.82,884700,DRI
2018-08-10,103.9,105.57,103.42,104.87,892700,DRI
2018-08-13,104.93,105.13,103.89,104.73,754600,DRI
2018-08-14,105.35,106.61,103.9,106.49,818900,DRI
2018-08-15,105.93,108.0,105.93,107.62,1262500,DRI
2018-08-16,108.09,108.77,107.8,108.13,987900,DRI
2018-08-17,108.39,109.26,107.98,109.06,776900,DRI
2018-08-20,108.96,109.7,108.63,109.55,1166500,DRI
2018-08-21,109.71,109.86,108.28,109.21,626600,DRI
2018-08-22,109.4,109.41,108.26,108.98,529600,DRI
2018-08-23,108.75,109.62,107.49,109.5,1101200,DRI
2018-08-24,109.64,110.46,109.28,109.52,970700,DRI
2018-08-27,109.89,110.16,108.68,109.09,643700,DRI
2018-08-28,108.88,110.42,108.88,110.15,912400,DRI
2018-08-29,110.35,110.35,109.51,110.05,518300,DRI
2018-08-30,109.93,111.4,109.47,110.76,557500,DRI
2018-08-31,110.94,111.72,110.35,111.16,999900,DRI
2018-09-04,111.23,112.66,111.09,112.34,815500,DRI
2018-09-05,112.95,114.09,111.84,113.87,1066400,DRI
2018-09-06,113.6,114.39,113.09,113.81,1154800,DRI
2018-09-07,113.85,115.15,113.71,114.15,1571700,DRI
2018-09-10,112.51,114.27,112.3,113.69,1006200,DRI
2018-09-11,115.44,115.85,113.95,114.36,1173300,DRI
2018-09-12,114.49,114.71,113.48,113.75,754200,DRI
2018-09-13,114.4,114.58,113.22,113.85,862100,DRI
2018-09-14,114.38,114.38,113.41,114.04,815800,DRI
2018-09-17,113.6,113.92,112.48,113.02,992200,DRI
2018-09-18,112.95,114.51,112.09,113.9,1697600,DRI
2018-09-19,114.72,114.81,112.16,112.93,1662900,DRI
2018-09-20,117.46,118.79,110.07,111.55,3697400,DRI
2018-09-21,111.98,112.08,107.87,108.14,3062000,DRI
2018-09-24,106.59,108.96,106.06,108.52,1811400,DRI
2018-09-25,109.08,109.24,107.89,108.33,1475400,DRI
2018-09-26,108.64,109.42,107.67,107.81,1269500,DRI
2018-09-27,107.56,108.34,106.42,106.6,916700,DRI
2018-09-28,106.61,107.19,106.3,106.51,1807700,DRI
2018-10-01,106.46,106.51,104.43,104.63,1444100,DRI
2018-10-02,104.72,104.91,102.44,102.55,1715100,DRI
2018-10-03,102.92,104.37,102.71,103.36,1561200,DRI
2018-10-04,103.59,104.09,103.16,103.59,1399600,DRI
2018-10-05,103.68,104.49,102.94,103.83,1574300,DRI
2018-10-08,103.87,104.37,102.33,103.78,1105500,DRI
2018-10-09,104.32,105.47,104.15,104.8,1272000,DRI
2018-10-10,104.82,105.38,103.09,103.18,1220400,DRI
2018-10-11,103.05,103.14,99.49,100.37,2045700,DRI
2018-10-12,101.65,103.56,101.41,102.98,1670800,DRI
2018-10-15,102.83,103.74,101.84,102.96,922100,DRI
2018-10-16,103.83,106.44,103.46,106.2,1562300,DRI
2018-10-17,106.0,106.73,104.69,106.05,1049300,DRI
2018-10-18,106.01,107.0,104.93,105.78,1219900,DRI
