Date,Open,High,Low,Close,Volume,Name
2017-07-03,30.64,31.55,30.59,31.26,2651900,DVN
2017-07-05,30.95,30.98,29.58,29.66,7234900,DVN
2017-07-06,29.72,29.96,28.68,28.78,7081400,DVN
2017-07-07,28.43,28.57,27.46,28.17,7366500,DVN
2017-07-10,28.02,28.66,27.98,28.36,7655000,DVN
2017-07-11,28.85,29.49,28.47,29.12,7450900,DVN
2017-07-12,29.59,30.14,29.21,29.39,5668700,DVN
2017-07-13,29.38,29.83,29.28,29.76,4550400,DVN
2017-07-14,29.86,30.4,29.72,30.19,4846100,DVN
2017-07-17,30.16,30.53,29.81,29.9,5803500,DVN
2017-07-18,30.17,30.22,29.65,29.91,4574900,DVN
2017-07-19,29.84,31.14,29.78,31.0,5498500,DVN
2017-07-20,31.2,31.29,30.48,30.51,4954600,DVN
2017-07-21,30.46,30.61,30.03,30.48,3774900,DVN
2017-07-24,30.41,30.76,30.08,30.27,4171200,DVN
2017-07-25,30.85,31.87,30.75,31.46,5465300,DVN
2017-07-26,31.81,32.27,31.26,31.46,6258300,DVN
2017-07-27,31.42,31.92,31.33,31.92,3591200,DVN
2017-07-28,31.83,32.56,31.56,31.67,4323600,DVN
2017-07-31,31.49,32.15,31.4,31.77,3790700,DVN
2017-08-01,31.71,32.05,31.11,31.46,4659300,DVN
2017-08-02,31.21,32.16,30.57,31.86,5605500,DVN
2017-08-03,32.01,32.7,30.75,30.78,6413900,DVN
2017-08-04,30.84,32.21,30.79,32.1,7148400,DVN
2017-08-07,31.94,31.98,30.82,30.9,4379800,DVN
2017-08-08,30.79,31.37,30.53,30.65,6161400,DVN
2017-08-09,30.88,31.25,30.31,30.6,4297900,DVN
2017-08-10,30.84,31.13,30.24,30.29,4010000,DVN
2017-08-11,30.08,30.51,29.96,30.15,3588200,DVN
2017-08-14,30.24,30.37,29.61,29.63,3093500,DVN
2017-08-15,29.54,29.56,29.17,29.49,4004900,DVN
2017-08-16,29.67,30.07,29.09,29.24,3843000,DVN
2017-08-17,29.09,29.78,28.78,28.78,3800900,DVN
2017-08-18,28.77,29.33,28.41,28.99,4204200,DVN
2017-08-21,28.93,29.05,28.69,28.94,2922900,DVN
2017-08-22,29.03,29.2,28.73,28.99,3931000,DVN
2017-08-23,28.93,29.92,28.77,29.55,3320000,DVN
2017-08-24,29.34,29.84,29.25,29.68,3820900,DVN
2017-08-25,29.81,30.2,29.66,29.72,3246900,DVN
2017-08-28,29.82,29.82,29.06,29.5,2967000,DVN
2017-08-29,29.18,29.68,28.84,29.56,3438400,DVN
2017-08-30,29.33,29.76,29.1,29.53,3213600,DVN
2017-08-31,29.81,30.33,29.6,29.95,5333100,DVN
2017-09-01,30.05,30.85,29.7,30.63,3821000,DVN
2017-09-05,30.85,31.19,30.27,30.64,3836800,DVN
2017-09-06,30.91,31.56,30.84,31.17,3810700,DVN
2017-09-07,30.97,31.22,30.61,30.89,2903300,DVN
2017-09-08,30.79,30.79,29.58,30.01,4439900,DVN
2017-09-11,30.17,30.52,30.01,30.34,3862700,DVN
2017-09-12,30.42,31.04,30.34,30.68,3619500,DVN
2017-09-13,30.9,32.03,30.89,32.02,6000400,DVN
2017-09-14,32.21,33.12,32.21,32.45,5577000,DVN
2017-09-15,32.49,32.77,31.83,32.21,4709400,DVN
2017-09-18,32.06,32.54,31.7,32.52,4305800,DVN
2017-09-19,32.5,32.57,32.16,32.33,3605000,DVN
2017-09-20,32.55,33.45,32.55,33.4,5017200,DVN
2017-09-21,33.29,34.14,33.15,33.84,4761100,DVN
