Date,Open,High,Low,Close,Volume,Name
2017-07-03,63.02,63.09,62.26,62.35,1407300,DXC
2017-07-05,62.35,62.94,62.3,62.59,2057400,DXC
2017-07-06,62.56,62.97,62.1,62.81,2244600,DXC
2017-07-07,62.81,63.75,62.77,63.59,974300,DXC
2017-07-10,63.51,64.24,63.32,63.91,2535600,DXC
2017-07-11,63.97,64.08,63.49,63.81,2249300,DXC
2017-07-12,64.24,64.84,63.97,64.59,1118000,DXC
2017-07-13,64.59,64.8,64.02,64.5,1165900,DXC
2017-07-14,64.71,64.71,63.97,64.45,1631900,DXC
2017-07-17,64.46,64.5,63.75,64.21,1712900,DXC
2017-07-18,64.23,64.32,63.82,64.02,1987200,DXC
2017-07-19,64.04,64.62,63.85,64.62,2030100,DXC
2017-07-20,64.46,64.75,64.11,64.56,932000,DXC
2017-07-21,64.47,65.97,64.47,65.63,1861300,DXC
2017-07-24,65.68,66.0,65.37,65.88,1632300,DXC
2017-07-25,65.96,66.28,65.66,65.73,913300,DXC
2017-07-26,65.73,66.0,65.55,65.73,1229900,DXC
2017-07-27,65.86,65.92,63.52,64.43,2078400,DXC
2017-07-28,64.37,64.77,64.31,64.39,1038700,DXC
2017-07-31,64.48,64.86,64.0,64.35,1131100,DXC
2017-08-01,64.65,65.18,64.38,65.13,1231300,DXC
2017-08-02,64.83,65.06,63.92,64.13,1169100,DXC
2017-08-03,64.34,64.57,64.04,64.4,992500,DXC
2017-08-04,64.44,64.82,64.36,64.63,963000,DXC
2017-08-07,64.57,65.06,64.55,64.75,1409100,DXC
2017-08-08,64.41,65.09,63.43,63.62,3175900,DXC
2017-08-09,65.41,69.37,65.41,68.12,5334700,DXC
2017-08-10,67.48,67.77,66.25,66.72,2848400,DXC
2017-08-11,66.88,67.48,66.38,67.36,1794300,DXC
2017-08-14,67.98,69.32,67.73,69.15,2799100,DXC
2017-08-15,69.33,70.35,68.8,70.07,2550700,DXC
2017-08-16,70.08,70.67,69.75,70.43,1724500,DXC
2017-08-17,70.19,70.43,68.61,68.62,2049200,DXC
2017-08-18,68.57,69.07,67.98,68.42,2060600,DXC
2017-08-21,68.44,68.7,68.02,68.36,1264000,DXC
2017-08-22,68.55,70.27,68.55,70.2,2249800,DXC
2017-08-23,69.72,69.97,69.29,69.84,2614800,DXC
2017-08-24,70.19,70.44,69.72,69.81,1298700,DXC
2017-08-25,70.09,70.27,69.57,69.68,891700,DXC
2017-08-28,69.69,69.84,69.06,69.61,852200,DXC
2017-08-29,69.22,69.73,69.07,69.54,985400,DXC
2017-08-30,69.45,69.59,69.03,69.31,871900,DXC
2017-08-31,69.68,70.01,69.31,69.78,1737800,DXC
2017-09-01,70.04,70.24,69.57,69.86,872300,DXC
2017-09-05,69.61,70.51,69.31,69.47,1607700,DXC
2017-09-06,69.46,69.86,68.8,69.12,1406600,DXC
2017-09-07,69.32,69.39,68.71,69.38,1963600,DXC
2017-09-08,69.35,69.59,68.76,69.25,1929900,DXC
2017-09-11,69.8,70.64,69.26,70.14,3454200,DXC
2017-09-12,70.4,70.99,70.31,70.68,2356500,DXC
2017-09-13,70.59,70.59,69.72,70.23,3108100,DXC
2017-09-14,69.91,70.61,69.52,70.26,2785900,DXC
2017-09-15,70.57,70.61,69.9,69.99,2600600,DXC
2017-09-18,70.0,70.25,69.71,69.81,1467400,DXC
2017-09-19,69.85,69.97,69.65,69.74,962800,DXC
2017-09-20,69.73,70.19,69.32,69.84,2300700,DXC
2017-09-21,69.54,70.25,69.38,69.8,1599200,DXC
2017-09-22,69.45,70.74,69.31,70.35,3091100,DXC
2017-09-25,70.2,70.41,68.94,69.58,1901000,DXC
2017-09-26,69.49,69.55,69.0,69.12,1069500,DXC
2017-09-27,69.6,69.99,69.24,69.62,1247700,DXC
2017-09-28,69.31,69.91,69.05,69.76,1094600,DXC
2017-09-29,69.54,70.78,69.44,70.65,1707400,DXC
2017-10-02,70.65,71.37,69.96,70.22,2172900,DXC
2017-10-03,70.23,70.53,69.93,70.02,1307600,DXC
2017-10-04,70.02,70.44,69.81,70.34,858400,DXC
2017-10-05,70.32,70.87,70.1,70.57,2111800,DXC
2017-10-06,70.65,71.94,70.37,71.94,2559100,DXC
2017-10-09,72.23,73.65,71.96,72.74,2214600,DXC
2017-10-10,72.74,73.0,72.21,72.47,1813700,DXC
2017-10-11,72.26,72.39,71.63,72.11,2340200,DXC
2017-10-12,75.74,76.84,73.63,75.03,4973300,DXC
2017-10-13,75.36,75.68,74.83,74.9,2342500,DXC
2017-10-16,74.92,75.52,74.74,75.27,2012100,DXC
2017-10-17,75.19,75.88,75.01,75.78,2787600,DXC
2017-10-18,76.22,76.24,75.34,75.34,1589100,DXC
2017-10-19,74.87,74.94,74.14,74.89,2251400,DXC
2017-10-20,75.29,75.61,74.94,75.6,1791100,DXC
2017-10-23,75.92,76.18,75.23,75.27,912700,DXC
2017-10-24,75.2,75.34,74.93,75.2,852200,DXC
2017-10-25,74.99,75.2,74.32,74.56,1288900,DXC
2017-10-26,75.12,75.18,74.46,74.81,737700,DXC
2017-10-27,74.9,76.13,74.27,75.62,1119900,DXC
2017-10-30,75.42,75.42,74.41,75.01,1094600,DXC
2017-10-31,75.07,75.6,74.56,75.29,1175800,DXC
2017-11-01,75.68,76.13,74.78,75.28,1324500,DXC
2017-11-02,74.92,75.24,74.47,74.61,1858900,DXC
2017-11-03,74.59,75.47,74.17,75.24,1523300,DXC
2017-11-06,75.0,76.68,74.95,76.53,1727700,DXC
2017-11-07,76.48,76.5,75.38,76.13,3677600,DXC
2017-11-08,79.8,81.45,78.6,79.6,4833600,DXC
2017-11-09,79.47,79.97,77.71,77.85,2564500,DXC
2017-11-10,77.82,79.08,77.79,78.93,1491300,DXC
2017-11-13,78.9,80.33,78.68,79.64,2199500,DXC
2017-11-14,79.56,79.65,78.4,78.78,1232400,DXC
2017-11-15,78.45,79.2,77.8,78.97,1332200,DXC
2017-11-16,79.08,80.34,78.98,80.07,1676500,DXC
2017-11-17,79.71,79.97,79.38,79.72,1267600,DXC
2017-11-20,79.8,81.26,79.64,80.55,1129400,DXC
2017-11-21,81.06,81.81,80.58,81.46,1457300,DXC
2017-11-22,81.29,81.3,80.3,80.45,902000,DXC
2017-11-24,80.78,81.04,80.38,80.43,435600,DXC
2017-11-27,80.71,81.01,80.21,80.25,1670300,DXC
2017-11-28,80.63,81.44,80.34,80.63,2743100,DXC
2017-11-29,80.67,80.72,78.36,78.59,1779400,DXC
2017-11-30,78.87,79.77,78.64,79.1,3043700,DXC
2017-12-01,79.06,79.33,77.16,78.63,1665900,DXC
2017-12-04,78.84,78.9,76.16,76.69,2058600,DXC
2017-12-05,76.29,77.64,75.86,76.55,1604600,DXC
2017-12-06,76.6,77.9,76.27,76.97,1268900,DXC
2017-12-07,76.91,78.16,76.91,78.02,1753400,DXC
2017-12-08,78.31,79.18,77.91,79.08,1430700,DXC
2017-12-11,78.95,79.8,78.7,78.94,1313100,DXC
2017-12-12,78.93,78.93,77.91,78.14,1864000,DXC
2017-12-13,78.12,79.13,77.99,78.27,1880400,DXC
2017-12-14,78.27,78.43,77.29,77.65,1719400,DXC
2017-12-15,78.25,78.77,77.51,78.51,2450700,DXC
2017-12-18,78.99,79.5,78.72,79.06,1613000,DXC
2017-12-19,78.93,78.93,78.02,78.25,2337600,DXC
2017-12-20,78.8,79.74,78.43,78.62,1559600,DXC
2017-12-21,79.01,79.78,78.92,79.4,1504000,DXC
2017-12-22,79.18,79.39,78.78,79.04,1275800,DXC
2017-12-26,78.87,79.41,78.59,79.05,472400,DXC
2017-12-27,79.18,79.18,77.81,78.09,2121200,DXC
2017-12-28,78.1,78.63,77.91,78.28,783500,DXC
2017-12-29,78.38,78.64,77.81,78.23,1018800,DXC
2018-01-02,78.23,78.76,77.94,78.35,1209700,DXC
2018-01-03,78.7,80.15,78.64,79.83,1684700,DXC
2018-01-04,80.3,82.42,80.23,81.75,2446900,DXC
2018-01-05,82.02,83.02,81.42,82.95,1437700,DXC
2018-01-08,82.92,83.39,82.46,82.88,1321800,DXC
2018-01-09,83.01,84.66,82.56,83.77,2065100,DXC
2018-01-10,83.14,83.55,82.52,83.44,1195600,DXC
2018-01-11,83.68,83.87,82.97,83.33,1481500,DXC
2018-01-12,83.57,83.72,82.75,83.49,1332800,DXC
2018-01-16,83.91,84.86,82.82,83.3,1854400,DXC
2018-01-17,83.58,83.82,82.85,82.93,1991600,DXC
2018-01-18,82.74,83.16,82.6,82.83,1772000,DXC
2018-01-19,83.25,83.59,82.63,83.24,2286400,DXC
2018-01-22,83.05,83.94,82.64,83.84,1742000,DXC
2018-01-23,83.88,84.65,83.39,84.04,1177200,DXC
2018-01-24,84.08,84.65,83.09,83.41,1753800,DXC
2018-01-25,83.68,84.67,83.68,83.96,1719600,DXC
2018-01-26,84.25,84.68,83.91,84.49,1424600,DXC
2018-01-29,84.44,84.55,82.41,82.53,1357400,DXC
2018-01-30,82.3,82.36,81.11,81.61,2232600,DXC
2018-01-31,82.85,83.72,81.87,82.06,1809100,DXC
2018-02-01,81.56,82.56,81.28,82.01,1264000,DXC
2018-02-02,81.68,83.21,81.27,81.52,2153500,DXC
2018-02-05,81.13,82.59,78.42,79.21,2204100,DXC
2018-02-06,77.6,79.55,76.8,79.08,2596400,DXC
2018-02-07,78.79,80.44,78.69,79.2,1784000,DXC
2018-02-08,79.18,79.31,75.51,75.77,4475600,DXC
2018-02-09,77.98,80.53,76.04,79.95,4113300,DXC
2018-02-12,80.58,81.98,80.28,80.7,2941400,DXC
2018-02-13,80.03,81.09,78.84,80.16,1640500,DXC
2018-02-14,79.59,82.7,79.53,82.55,3191000,DXC
2018-02-15,82.97,83.35,81.57,83.33,2014500,DXC
2018-02-16,83.12,83.96,82.82,83.11,1862000,DXC
2018-02-20,82.5,83.58,82.12,82.98,1317100,DXC
2018-02-21,83.05,85.54,82.95,83.16,1949700,DXC
2018-02-22,83.42,84.66,83.25,83.35,1070300,DXC
2018-02-23,83.98,85.71,83.61,85.71,1446600,DXC
2018-02-26,85.83,86.55,85.4,86.25,1471700,DXC
2018-02-27,86.09,86.54,84.97,85.02,2006900,DXC
2018-02-28,85.79,86.35,84.49,84.52,3884500,DXC
2018-03-01,84.79,86.0,82.67,83.2,2177900,DXC
2018-03-02,82.47,83.5,82.35,83.34,1141700,DXC
2018-03-05,82.94,84.46,81.99,84.08,2355200,DXC
2018-03-06,84.6,85.32,83.63,83.96,1111100,DXC
2018-03-07,83.16,84.54,83.16,84.41,1523300,DXC
2018-03-08,84.5,85.13,84.01,85.04,2661400,DXC
2018-03-09,85.73,88.31,85.38,87.97,2193500,DXC
2018-03-12,88.15,88.41,86.86,87.44,1439500,DXC
2018-03-13,88.07,88.69,87.12,87.41,2099100,DXC
2018-03-14,87.92,87.93,85.88,86.01,1795000,DXC
2018-03-15,86.15,86.89,85.76,86.09,1835200,DXC
2018-03-16,86.14,87.06,85.84,86.15,2467300,DXC
2018-03-19,85.88,87.26,85.63,87.17,2055900,DXC
2018-03-20,87.21,88.9,87.17,88.46,2161800,DXC
2018-03-21,88.26,88.54,87.48,87.69,3386100,DXC
2018-03-22,86.88,87.11,84.74,84.94,2414500,DXC
2018-03-23,84.97,86.06,83.41,83.58,1836900,DXC
2018-03-26,84.83,85.96,84.23,85.68,2341100,DXC
2018-03-27,86.36,86.53,83.7,84.2,2023500,DXC
2018-03-28,84.35,84.79,82.73,83.07,2317000,DXC
2018-03-29,83.46,84.04,82.56,83.01,4823800,DXC
2018-04-02,83.1,84.22,81.47,82.14,2602700,DXC
2018-04-03,82.25,82.8,81.53,82.68,1377200,DXC
2018-04-04,81.33,83.99,81.2,83.78,1611800,DXC
2018-04-05,84.39,85.14,83.37,84.33,2317600,DXC
2018-04-06,83.67,84.32,81.78,82.38,1776500,DXC
2018-04-09,82.58,83.82,82.42,82.61,2125900,DXC
2018-04-10,83.87,84.85,83.47,84.66,2345600,DXC
2018-04-11,83.93,85.21,83.84,84.62,1982300,DXC
2018-04-12,85.26,86.4,84.87,85.88,2708300,DXC
2018-04-13,86.3,86.34,84.84,85.12,2193600,DXC
2018-04-16,85.9,86.08,85.31,85.88,1027500,DXC
2018-04-17,86.53,86.69,86.02,86.13,2539900,DXC
2018-04-18,86.13,86.54,85.0,86.28,1043600,DXC
2018-04-19,85.77,86.65,85.26,85.93,1140200,DXC
2018-04-20,86.04,86.35,85.03,85.47,2034900,DXC
2018-04-23,85.86,86.07,85.36,85.88,1165100,DXC
2018-04-24,86.06,86.54,83.99,85.05,1219800,DXC
