Date,Open,High,Low,Close,Volume,Name
2017-07-03,59.88,60.49,59.53,60.36,1044600,EQR
2017-07-05,60.45,60.87,60.25,60.55,2157200,EQR
2017-07-06,59.96,60.04,58.79,58.84,2827500,EQR
2017-07-07,58.86,59.25,58.56,58.92,1446600,EQR
2017-07-10,59.07,59.12,58.55,58.69,1394200,EQR
2017-07-11,58.85,58.96,58.01,58.4,1048600,EQR
2017-07-12,58.63,59.25,58.63,58.98,1162600,EQR
2017-07-13,58.92,59.28,58.57,58.95,1098700,EQR
2017-07-14,59.23,59.54,59.06,59.35,1311200,EQR
2017-07-17,59.36,60.22,59.18,60.07,1212200,EQR
2017-07-18,59.97,60.15,59.54,59.89,1722200,EQR
2017-07-19,59.89,60.91,59.83,60.89,1774300,EQR
2017-07-20,60.87,61.4,60.8,60.89,1491300,EQR
2017-07-21,60.87,61.09,60.55,60.89,1187500,EQR
2017-07-24,60.91,61.06,60.17,60.43,1683500,EQR
2017-07-25,60.44,60.44,59.5,59.91,1942900,EQR
2017-07-26,59.92,61.37,59.71,61.08,1929100,EQR
2017-07-27,60.96,61.23,60.34,61.2,1584000,EQR
2017-07-28,61.31,61.55,61.06,61.39,1084200,EQR
2017-07-31,61.41,61.75,61.01,61.71,1315000,EQR
2017-08-01,61.84,61.84,61.32,61.51,1330700,EQR
2017-08-02,61.33,61.71,61.01,61.44,1638800,EQR
2017-08-03,61.33,61.5,60.85,61.02,1276100,EQR
2017-08-04,61.03,61.43,60.78,61.04,1057300,EQR
2017-08-07,60.94,61.29,60.7,60.97,1108200,EQR
2017-08-08,60.85,61.05,60.55,60.89,2096600,EQR
2017-08-09,61.05,61.15,60.78,61.07,1865400,EQR
2017-08-10,60.9,61.09,60.71,60.82,1642100,EQR
2017-08-11,60.63,61.1,60.49,60.73,1260500,EQR
2017-08-14,60.96,61.68,60.88,61.64,1597900,EQR
2017-08-15,61.49,61.96,61.23,61.94,1491600,EQR
2017-08-16,62.06,62.3,61.39,61.57,1275400,EQR
2017-08-17,61.47,61.73,61.23,61.34,1441900,EQR
2017-08-18,61.23,61.23,60.68,60.9,2942300,EQR
2017-08-21,61.01,61.7,60.77,61.45,975800,EQR
2017-08-22,61.45,61.71,61.16,61.42,1021500,EQR
2017-08-23,61.43,61.75,61.39,61.64,1251400,EQR
2017-08-24,61.77,62.08,61.55,61.63,1484300,EQR
2017-08-25,61.72,61.88,61.56,61.6,1191200,EQR
2017-08-28,61.65,61.74,60.69,61.09,915500,EQR
2017-08-29,61.12,61.41,60.76,60.89,1039400,EQR
2017-08-30,60.81,61.03,60.32,61.03,1323700,EQR
2017-08-31,61.05,61.14,60.59,60.89,2363000,EQR
2017-09-01,60.89,61.26,60.66,60.74,1399500,EQR
2017-09-05,60.84,60.94,60.25,60.88,1641600,EQR
