Date,Open,High,Low,Close,Volume,Name
2017-07-03,209.83,210.59,208.76,208.76,991600,FDX
2017-07-05,208.78,210.66,208.43,209.65,1169200,FDX
2017-07-06,208.69,209.36,206.13,206.51,1501100,FDX
2017-07-07,207.7,210.31,206.85,209.85,1069200,FDX
2017-07-10,209.36,211.27,209.08,210.19,1018200,FDX
2017-07-11,210.4,210.57,207.78,208.92,1164900,FDX
2017-07-12,210.19,210.56,209.23,209.66,1031600,FDX
2017-07-13,209.7,209.88,208.6,209.33,977800,FDX
2017-07-14,208.64,210.75,208.29,210.38,1000100,FDX
2017-07-17,206.72,207.89,203.14,206.94,2838900,FDX
2017-07-18,206.63,206.63,202.59,202.67,2231000,FDX
2017-07-19,202.76,204.51,201.77,204.44,2616200,FDX
2017-07-20,204.75,205.01,202.96,203.48,1975900,FDX
2017-07-21,202.44,204.18,201.4,204.08,1235700,FDX
2017-07-24,203.68,204.94,203.24,204.25,1035900,FDX
2017-07-25,205.3,207.04,205.18,205.87,898300,FDX
2017-07-26,206.29,206.33,205.0,205.16,669200,FDX
2017-07-27,204.8,205.29,198.04,199.31,2374100,FDX
2017-07-28,199.43,200.67,198.5,199.79,1076400,FDX
2017-07-31,200.11,200.54,199.48,199.78,828900,FDX
2017-08-01,200.68,201.11,197.75,198.51,1176900,FDX
2017-08-02,198.79,201.37,198.12,201.19,1359900,FDX
2017-08-03,200.84,201.41,200.02,201.06,1091000,FDX
2017-08-04,200.93,202.14,198.24,201.02,1450000,FDX
2017-08-07,200.71,200.71,199.36,200.11,988400,FDX
2017-08-08,200.28,201.15,198.52,198.79,1255300,FDX
2017-08-09,198.39,198.46,196.54,198.01,1018700,FDX
2017-08-10,197.64,197.83,195.46,195.48,1110200,FDX
2017-08-11,195.33,198.61,195.08,196.75,1136600,FDX
2017-08-14,197.79,199.78,197.79,199.62,1105200,FDX
2017-08-15,200.24,201.92,199.78,200.78,723000,FDX
2017-08-16,201.13,202.63,201.04,201.32,709700,FDX
2017-08-17,200.71,201.14,197.23,197.23,1028600,FDX
2017-08-18,197.08,199.34,196.57,197.83,930400,FDX
2017-08-21,197.83,198.41,196.75,198.15,980800,FDX
2017-08-22,198.79,201.29,198.61,200.98,701500,FDX
2017-08-23,200.06,200.56,197.83,198.86,1015800,FDX
2017-08-24,199.77,199.81,197.49,198.48,598200,FDX
2017-08-25,199.49,200.72,198.98,199.52,614200,FDX
2017-08-28,200.17,200.94,199.59,200.56,640100,FDX
2017-08-29,199.24,203.26,199.0,202.92,824300,FDX
2017-08-30,203.77,205.99,203.17,205.3,1010700,FDX
2017-08-31,206.24,206.62,204.91,205.88,1088500,FDX
2017-09-01,206.59,208.12,206.0,206.52,825600,FDX
2017-09-05,205.71,206.4,203.98,204.81,992000,FDX
2017-09-06,205.52,206.22,203.51,203.51,1134800,FDX
2017-09-07,204.27,205.52,203.7,205.19,881600,FDX
2017-09-08,204.74,204.74,201.83,202.61,1601000,FDX
2017-09-11,204.18,205.04,203.12,204.46,1491900,FDX
2017-09-12,205.33,209.17,205.14,207.48,1580700,FDX
2017-09-13,207.08,207.47,205.62,206.96,800900,FDX
2017-09-14,206.15,208.11,206.03,206.5,967900,FDX
2017-09-15,204.91,208.89,203.82,206.8,1811600,FDX
2017-09-18,206.96,208.25,206.1,207.04,1125800,FDX
2017-09-19,207.09,208.84,206.96,207.92,2127000,FDX
2017-09-20,208.28,214.38,207.51,212.25,4275900,FDX
2017-09-21,211.77,212.52,209.85,210.65,2092300,FDX
2017-09-22,210.67,212.69,209.69,211.77,1607600,FDX
2017-09-25,211.9,212.66,209.46,211.0,1277500,FDX
2017-09-26,210.56,212.08,210.37,211.59,1404700,FDX
2017-09-27,212.52,212.72,211.77,211.77,1262300,FDX
2017-09-28,211.41,216.11,210.93,215.87,1467900,FDX
2017-09-29,215.87,217.88,215.13,217.14,1290200,FDX
2017-10-02,217.08,218.51,216.2,217.87,1168800,FDX
2017-10-03,217.73,218.42,214.26,214.66,1291300,FDX
2017-10-04,214.54,215.11,212.94,213.04,1004800,FDX
2017-10-05,210.22,213.37,209.63,213.32,2072800,FDX
2017-10-06,213.23,213.93,211.99,212.54,783000,FDX
2017-10-09,212.84,213.48,211.81,212.39,1024600,FDX
2017-10-10,213.07,213.91,212.4,212.52,710200,FDX
2017-10-11,213.18,214.66,212.98,214.35,1318600,FDX
2017-10-12,214.25,217.39,214.0,216.64,1172400,FDX
2017-10-13,217.06,217.63,213.7,213.91,1088200,FDX
2017-10-16,214.39,214.55,212.04,213.07,762800,FDX
2017-10-17,212.75,213.23,211.59,211.87,1034000,FDX
2017-10-18,212.22,214.92,211.98,213.99,851300,FDX
2017-10-19,213.2,215.62,212.36,215.6,1487000,FDX
2017-10-20,216.53,217.4,215.62,216.65,1297900,FDX
2017-10-23,217.55,218.11,216.29,216.91,1192400,FDX
2017-10-24,217.3,218.24,216.82,217.4,1107100,FDX
2017-10-25,216.96,217.94,216.61,217.07,1108600,FDX
2017-10-26,217.86,221.48,217.45,220.48,1430400,FDX
2017-10-27,220.43,222.7,220.06,221.85,1241400,FDX
2017-10-30,221.47,221.83,218.68,219.2,742800,FDX
2017-10-31,219.59,219.77,217.34,217.37,949200,FDX
2017-11-01,218.51,218.88,216.27,217.03,1149900,FDX
2017-11-02,217.26,218.03,214.53,216.88,1318400,FDX
2017-11-03,216.74,217.47,215.37,215.85,810600,FDX
