Date,Open,High,Low,Close,Volume,Name
2017-07-03,26.02,26.2,25.84,25.86,1929100,FE
2017-07-05,25.9,26.13,25.75,25.99,4757600,FE
2017-07-06,25.97,26.19,25.93,26.08,4930600,FE
2017-07-07,26.08,26.19,25.91,26.03,3148500,FE
2017-07-10,26.02,26.37,26.0,26.08,3805000,FE
2017-07-11,26.12,26.15,25.91,26.06,4665400,FE
2017-07-12,26.28,26.57,26.25,26.46,3707300,FE
2017-07-13,26.46,26.55,26.15,26.39,5687400,FE
2017-07-14,26.62,27.29,26.57,26.88,7637400,FE
2017-07-17,26.88,27.12,26.72,26.91,5336000,FE
2017-07-18,26.98,27.12,26.86,27.1,3770200,FE
2017-07-19,27.18,27.55,27.04,27.44,7007000,FE
2017-07-20,27.5,27.93,27.32,27.79,7000500,FE
2017-07-21,27.73,28.33,27.66,28.25,7311200,FE
2017-07-24,28.25,28.25,27.8,27.81,5705900,FE
2017-07-25,27.81,27.91,27.45,27.47,4536100,FE
2017-07-26,27.46,27.68,27.28,27.68,5624300,FE
2017-07-27,27.63,27.95,27.41,27.81,5909200,FE
2017-07-28,27.7,28.79,27.64,28.61,10070800,FE
2017-07-31,28.57,28.6,28.2,28.4,5072100,FE
2017-08-01,28.49,28.56,28.31,28.42,4034900,FE
2017-08-02,28.3,28.74,28.14,28.66,4887500,FE
2017-08-03,28.74,28.86,28.51,28.85,5394900,FE
2017-08-04,28.65,28.96,28.6,28.86,3875900,FE
2017-08-07,28.8,28.86,28.58,28.61,3599400,FE
2017-08-08,28.55,28.85,28.52,28.75,3422200,FE
2017-08-09,28.82,28.82,28.41,28.45,3041600,FE
2017-08-10,28.48,28.96,28.43,28.84,4237900,FE
2017-08-11,28.72,29.02,28.61,28.95,3904700,FE
2017-08-14,29.26,29.32,29.0,29.23,3564500,FE
2017-08-15,29.06,29.47,29.03,29.43,2957400,FE
2017-08-16,29.43,29.59,29.29,29.42,3787100,FE
2017-08-17,29.41,29.7,29.38,29.38,4429600,FE
2017-08-18,29.37,29.77,29.24,29.55,3306000,FE
2017-08-21,29.58,29.73,29.47,29.63,2855500,FE
2017-08-22,29.61,29.72,29.46,29.61,2610700,FE
2017-08-23,29.61,29.72,29.44,29.64,2469300,FE
2017-08-24,29.6,29.68,29.38,29.4,2770800,FE
2017-08-25,29.47,29.63,29.3,29.42,3779600,FE
2017-08-28,29.49,29.6,29.36,29.52,2285900,FE
2017-08-29,29.62,29.68,29.35,29.39,2394000,FE
2017-08-30,29.41,29.54,29.29,29.34,3458100,FE
2017-08-31,29.37,29.46,29.26,29.32,3853300,FE
2017-09-01,29.38,29.47,29.16,29.18,2581900,FE
2017-09-05,29.39,29.39,29.01,29.27,3226800,FE
2017-09-06,29.34,29.39,29.02,29.07,2388200,FE
2017-09-07,29.12,29.31,28.85,28.91,4814000,FE
2017-09-08,28.93,29.0,28.57,28.99,4649800,FE
2017-09-11,28.95,29.32,28.93,29.26,3403500,FE
2017-09-12,29.26,29.28,28.4,28.58,3336000,FE
2017-09-13,28.49,28.55,28.1,28.33,5821100,FE
2017-09-14,28.27,28.48,28.03,28.48,3859100,FE
2017-09-15,28.17,28.48,28.14,28.46,5434200,FE
2017-09-18,28.46,28.53,27.76,28.12,4440100,FE
2017-09-19,28.16,28.27,28.04,28.23,3938900,FE
2017-09-20,28.28,28.32,27.84,28.07,3658300,FE
2017-09-21,28.12,28.29,27.99,28.03,2445800,FE
2017-09-22,28.12,28.16,27.79,27.8,2699300,FE
2017-09-25,27.81,28.02,27.7,28.0,3211500,FE
2017-09-26,27.91,27.95,27.69,27.75,4357900,FE
2017-09-27,27.6,27.69,27.03,27.05,5710000,FE
2017-09-28,27.0,27.3,26.83,27.06,3703200,FE
2017-09-29,27.14,27.85,27.09,27.75,7725700,FE
2017-10-02,27.83,28.0,27.58,27.76,4121400,FE
2017-10-03,27.74,28.06,27.58,27.92,3659200,FE
2017-10-04,27.91,28.27,27.76,28.21,3514600,FE
2017-10-05,28.25,28.38,28.1,28.2,3345300,FE
2017-10-06,28.1,28.28,27.88,28.24,4478900,FE
