Date,Open,High,Low,Close,Volume,Name
2017-07-03,127.75,129.32,127.08,127.81,284500,FFIV
2017-07-05,128.31,129.32,127.48,128.91,468600,FFIV
2017-07-06,128.19,128.76,126.75,127.15,713800,FFIV
2017-07-07,127.97,129.1,127.15,127.63,612000,FFIV
2017-07-10,127.26,128.31,127.0,127.88,500100,FFIV
2017-07-11,128.09,128.76,127.07,128.65,634200,FFIV
2017-07-12,129.42,129.76,128.31,129.35,952800,FFIV
2017-07-13,129.55,130.0,127.09,128.29,842000,FFIV
2017-07-14,123.54,124.32,120.15,123.84,2142500,FFIV
2017-07-17,124.32,126.83,123.61,126.58,907500,FFIV
2017-07-18,125.95,126.75,125.24,126.63,568900,FFIV
2017-07-19,126.94,128.04,126.78,127.64,703000,FFIV
2017-07-20,127.93,128.6,126.93,127.24,542300,FFIV
2017-07-21,127.0,127.76,126.3,126.9,479600,FFIV
2017-07-24,126.53,127.53,125.32,126.79,563500,FFIV
2017-07-25,126.53,129.22,126.31,128.02,682300,FFIV
2017-07-26,128.68,128.79,127.16,128.2,1315300,FFIV
2017-07-27,118.25,120.0,115.63,119.02,3845900,FFIV
2017-07-28,118.77,122.71,118.77,121.72,1458500,FFIV
2017-07-31,122.15,122.15,120.01,120.75,805200,FFIV
2017-08-01,121.08,121.43,119.98,121.15,863400,FFIV
2017-08-02,120.07,120.25,118.97,119.08,1063300,FFIV
2017-08-03,119.04,120.4,118.56,119.63,889600,FFIV
2017-08-04,119.82,120.84,119.64,119.78,507500,FFIV
2017-08-07,119.83,120.54,119.83,120.05,580400,FFIV
2017-08-08,119.68,120.5,118.43,118.62,912300,FFIV
2017-08-09,118.09,118.87,117.83,118.63,737400,FFIV
2017-08-10,117.67,118.44,116.32,116.41,841100,FFIV
2017-08-11,117.13,117.95,116.5,117.82,777900,FFIV
2017-08-14,118.9,119.86,118.5,119.01,752000,FFIV
2017-08-15,119.43,119.66,118.29,118.56,656400,FFIV
2017-08-16,118.87,119.09,118.1,118.63,613500,FFIV
2017-08-17,117.96,118.79,117.38,117.81,590900,FFIV
2017-08-18,117.68,117.91,116.27,116.48,471300,FFIV
2017-08-21,116.7,116.7,115.67,116.11,526900,FFIV
2017-08-22,116.24,117.23,115.99,116.95,581800,FFIV
2017-08-23,116.58,116.79,115.78,115.93,437600,FFIV
2017-08-24,116.26,118.14,116.26,117.52,569000,FFIV
2017-08-25,117.64,118.95,117.5,117.6,408000,FFIV
2017-08-28,117.59,118.37,117.13,117.71,262800,FFIV
2017-08-29,117.15,117.84,116.34,117.74,281700,FFIV
2017-08-30,117.92,119.22,117.56,118.64,478600,FFIV
2017-08-31,118.34,119.74,118.09,119.38,665500,FFIV
2017-09-01,119.91,119.91,118.3,118.57,379200,FFIV
2017-09-05,118.16,118.47,116.12,116.45,735700,FFIV
2017-09-06,116.63,116.93,115.95,116.58,887300,FFIV
2017-09-07,116.93,116.96,114.93,115.66,698100,FFIV
2017-09-08,115.21,115.92,114.76,115.56,490700,FFIV
2017-09-11,116.25,117.99,116.25,117.55,814900,FFIV
2017-09-12,117.84,119.03,117.07,117.58,669800,FFIV
2017-09-13,117.31,117.31,116.15,116.54,316300,FFIV
2017-09-14,116.21,117.02,116.0,116.91,721300,FFIV
2017-09-15,116.74,117.22,116.23,116.62,1184000,FFIV
2017-09-18,116.79,117.47,116.55,116.9,1061900,FFIV
2017-09-19,117.5,117.63,116.43,116.76,614000,FFIV
2017-09-20,116.42,117.32,115.91,116.83,651400,FFIV
2017-09-21,116.84,118.24,116.35,117.71,763900,FFIV
2017-09-22,117.63,120.92,117.47,119.73,990800,FFIV
2017-09-25,119.34,119.88,118.03,118.81,640200,FFIV
2017-09-26,119.44,119.54,118.4,118.61,391300,FFIV
2017-09-27,118.89,121.77,118.83,121.06,564800,FFIV
2017-09-28,120.52,123.14,120.52,121.43,1107300,FFIV
2017-09-29,122.09,122.59,120.35,120.56,798000,FFIV
2017-10-02,120.81,124.03,120.81,123.72,621200,FFIV
2017-10-03,122.42,122.95,117.55,117.82,1405900,FFIV
2017-10-04,117.86,119.92,117.82,119.35,706000,FFIV
2017-10-05,119.26,120.9,118.9,120.1,558600,FFIV
2017-10-06,120.09,120.6,118.85,119.0,602800,FFIV
2017-10-09,118.8,119.92,116.24,116.3,932600,FFIV
2017-10-10,116.89,117.52,115.94,116.4,1008000,FFIV
2017-10-11,116.13,116.27,114.63,115.99,893000,FFIV
2017-10-12,115.4,116.69,115.04,115.69,987900,FFIV
2017-10-13,115.76,116.83,115.45,116.7,989000,FFIV
2017-10-16,116.82,117.05,115.66,115.79,505700,FFIV
2017-10-17,116.16,116.5,115.67,116.28,608900,FFIV
2017-10-18,116.3,117.13,115.67,116.74,536000,FFIV
2017-10-19,116.46,117.54,115.53,117.39,371200,FFIV
2017-10-20,118.0,119.95,117.75,119.48,828700,FFIV
2017-10-23,119.46,119.53,118.14,118.27,697000,FFIV
2017-10-24,118.33,119.45,118.33,119.15,641100,FFIV
2017-10-25,118.67,119.89,118.08,119.31,1045700,FFIV
2017-10-26,119.5,127.48,118.76,124.05,2431500,FFIV
2017-10-27,124.27,126.39,120.33,121.18,1425800,FFIV
2017-10-30,120.7,121.88,119.35,119.63,1272100,FFIV
2017-10-31,119.95,121.48,119.41,121.27,944500,FFIV
2017-11-01,120.94,121.88,119.91,120.6,993000,FFIV
2017-11-02,119.52,121.66,119.51,121.01,953800,FFIV
2017-11-03,120.51,121.4,119.5,119.65,835300,FFIV
2017-11-06,119.6,121.41,119.6,120.2,861600,FFIV
2017-11-07,120.13,120.47,119.57,120.13,610700,FFIV
2017-11-08,120.21,121.8,119.66,121.34,651200,FFIV
2017-11-09,120.82,122.15,120.39,120.96,794900,FFIV
2017-11-10,120.6,120.94,119.61,119.71,698100,FFIV
2017-11-13,119.5,121.03,119.4,120.85,503800,FFIV
2017-11-14,120.4,121.48,119.77,121.22,424800,FFIV
2017-11-15,120.74,121.2,119.64,119.79,436400,FFIV
2017-11-16,120.8,122.17,119.53,122.06,598900,FFIV
2017-11-17,121.81,123.74,121.19,123.58,573800,FFIV
2017-11-20,123.58,123.95,122.12,122.54,745000,FFIV
2017-11-21,123.27,123.43,121.22,122.45,756600,FFIV
2017-11-22,122.41,123.14,121.59,122.02,569900,FFIV
2017-11-24,122.25,123.32,121.71,123.19,382500,FFIV
2017-11-27,123.32,124.27,122.89,123.7,672200,FFIV
2017-11-28,124.15,127.29,123.9,126.67,768200,FFIV
2017-11-29,127.27,129.99,126.02,129.86,1118100,FFIV
2017-11-30,130.21,134.5,129.16,134.2,2280100,FFIV
