Date,Open,High,Low,Close,Volume,Name
2017-07-03,44.2,44.66,43.93,44.29,393700,FLS
2017-07-05,44.26,44.45,43.61,44.08,1418600,FLS
2017-07-06,44.12,44.77,43.57,43.7,1888600,FLS
2017-07-07,43.71,44.35,43.43,43.69,1231400,FLS
2017-07-10,43.6,44.31,43.43,43.76,1010300,FLS
2017-07-11,43.16,43.31,42.6,43.17,1129300,FLS
2017-07-12,43.63,44.0,43.34,43.64,820000,FLS
2017-07-13,43.62,43.67,42.79,43.19,1393800,FLS
2017-07-14,43.35,43.87,43.29,43.56,1191700,FLS
2017-07-17,43.74,44.01,43.28,43.3,1211800,FLS
2017-07-18,43.22,43.7,43.12,43.51,923000,FLS
2017-07-19,43.54,43.93,43.43,43.91,774400,FLS
2017-07-20,44.01,44.22,43.55,43.95,899600,FLS
2017-07-21,43.72,43.74,43.27,43.62,477500,FLS
2017-07-24,43.62,43.74,43.23,43.62,857000,FLS
2017-07-25,44.12,44.9,43.92,44.58,1186700,FLS
2017-07-26,44.69,44.8,43.9,44.0,1246000,FLS
2017-07-27,43.94,44.04,43.12,43.74,1527400,FLS
2017-07-28,38.73,39.73,37.96,38.96,6850100,FLS
2017-07-31,38.97,39.76,38.64,38.8,3100200,FLS
2017-08-01,38.8,39.29,38.77,39.24,2356300,FLS
2017-08-02,39.03,39.68,38.91,39.55,1584600,FLS
2017-08-03,39.45,39.56,38.72,38.89,2030200,FLS
2017-08-04,38.97,39.19,38.6,38.86,1200800,FLS
2017-08-07,38.78,38.84,38.11,38.26,2043000,FLS
2017-08-08,38.14,38.38,37.55,37.59,1260500,FLS
2017-08-09,37.45,37.59,36.75,36.91,1432700,FLS
2017-08-10,36.68,36.94,36.26,36.45,2066300,FLS
2017-08-11,36.11,36.71,36.11,36.63,1045100,FLS
2017-08-14,37.01,37.29,36.78,37.25,1420400,FLS
2017-08-15,37.46,37.71,37.07,37.21,2261400,FLS
2017-08-16,37.33,37.74,37.14,37.19,1149300,FLS
2017-08-17,36.97,37.13,36.21,36.22,806500,FLS
2017-08-18,36.12,36.36,35.95,35.96,1382600,FLS
2017-08-21,35.91,35.91,35.39,35.45,956200,FLS
2017-08-22,35.64,36.6,35.61,36.54,1408600,FLS
2017-08-23,36.29,36.63,36.25,36.36,994200,FLS
2017-08-24,36.42,36.54,35.77,35.88,740500,FLS
2017-08-25,36.28,36.56,35.96,36.24,902400,FLS
2017-08-28,36.27,36.51,35.73,36.23,936400,FLS
2017-08-29,35.9,36.53,35.87,36.47,822400,FLS
2017-08-30,36.44,36.78,36.02,36.77,820300,FLS
2017-08-31,36.97,37.17,36.55,37.06,946200,FLS
2017-09-01,37.17,37.64,37.07,37.3,1292700,FLS
2017-09-05,37.4,37.57,37.08,37.31,2165000,FLS
2017-09-06,37.62,38.06,37.45,37.7,2035200,FLS
2017-09-07,37.76,37.76,37.14,37.65,1113500,FLS
2017-09-08,37.59,37.69,36.78,37.25,1542400,FLS
2017-09-11,37.57,38.19,37.46,37.95,1061500,FLS
2017-09-12,38.11,38.51,38.0,38.16,1128600,FLS
2017-09-13,38.16,38.65,38.09,38.6,1476100,FLS
2017-09-14,38.58,39.1,38.4,39.02,909100,FLS
2017-09-15,38.95,39.13,38.59,39.05,1349000,FLS
2017-09-18,39.18,39.4,38.96,39.06,961800,FLS
2017-09-19,39.1,39.66,38.96,39.6,891700,FLS
2017-09-20,39.71,40.27,39.61,40.16,1387200,FLS
2017-09-21,40.16,40.26,39.82,39.98,684200,FLS
2017-09-22,39.88,40.44,39.53,40.4,962600,FLS
2017-09-25,40.23,40.84,40.23,40.78,1450000,FLS
2017-09-26,40.84,41.24,40.63,41.1,1135600,FLS
2017-09-27,41.27,41.37,40.39,40.99,1213500,FLS
2017-09-28,40.9,41.16,40.0,40.28,1402900,FLS
2017-09-29,40.3,40.53,39.97,40.36,1026800,FLS
2017-10-02,40.29,40.4,39.59,39.88,2008700,FLS
2017-10-03,39.92,40.46,39.73,40.45,1548800,FLS
2017-10-04,40.56,41.31,40.5,40.81,1855600,FLS
2017-10-05,40.84,41.15,40.69,40.95,1547200,FLS
2017-10-06,40.81,41.07,40.72,41.05,1324000,FLS
2017-10-09,40.99,41.05,40.8,40.95,838500,FLS
2017-10-10,41.14,41.35,41.03,41.26,990400,FLS
2017-10-11,41.23,41.44,40.83,41.43,847800,FLS
2017-10-12,41.18,41.84,41.15,41.76,1774300,FLS
2017-10-13,42.16,42.35,41.94,42.06,1061700,FLS
2017-10-16,42.31,42.45,42.01,42.3,1510500,FLS
2017-10-17,42.18,42.4,42.05,42.25,923700,FLS
2017-10-18,42.23,42.48,42.1,42.29,1169400,FLS
2017-10-19,41.99,42.47,41.86,42.16,743000,FLS
2017-10-20,42.35,43.01,42.35,43.01,990800,FLS
2017-10-23,43.01,43.01,42.2,42.28,1062900,FLS
2017-10-24,42.6,42.8,42.22,42.49,1115400,FLS
2017-10-25,42.35,42.46,41.65,42.1,1096800,FLS
2017-10-26,42.43,42.57,42.14,42.4,868600,FLS
2017-10-27,42.35,42.4,41.73,41.94,1195200,FLS
2017-10-30,41.8,42.07,41.58,41.58,986800,FLS
2017-10-31,41.67,41.92,41.51,41.76,2340500,FLS
2017-11-01,42.11,42.48,41.59,41.69,2270800,FLS
2017-11-02,41.15,41.15,35.94,37.09,7255300,FLS
2017-11-03,36.52,37.68,35.74,37.2,4762900,FLS
2017-11-06,36.98,38.12,36.86,37.92,2319000,FLS
2017-11-07,37.98,38.07,36.99,37.47,1580400,FLS
2017-11-08,37.36,37.36,36.77,36.87,1709000,FLS
2017-11-09,36.49,37.12,36.37,36.96,1143400,FLS
2017-11-10,36.64,37.11,36.5,37.08,1200600,FLS
2017-11-13,36.83,37.46,36.53,37.31,1584900,FLS
2017-11-14,37.04,37.24,36.58,37.03,1769000,FLS
2017-11-15,36.74,36.93,36.45,36.61,2332600,FLS
2017-11-16,36.75,37.17,36.64,37.03,1478600,FLS
2017-11-17,36.98,37.59,36.73,37.16,936100,FLS
2017-11-20,37.13,37.14,36.77,36.9,1550500,FLS
2017-11-21,37.05,37.18,36.95,36.95,1288500,FLS
2017-11-22,36.98,37.78,36.98,37.42,1231700,FLS
2017-11-24,37.48,37.58,37.02,37.03,316900,FLS
2017-11-27,37.0,37.85,37.0,37.79,892500,FLS
2017-11-28,37.83,39.02,37.8,38.97,1692400,FLS
2017-11-29,38.94,39.41,38.86,39.34,1576300,FLS
2017-11-30,39.57,40.61,39.57,40.35,1532000,FLS
2017-12-01,40.42,40.58,39.37,40.17,1582900,FLS
2017-12-04,40.69,41.57,40.55,40.59,2296000,FLS
2017-12-05,40.72,40.72,39.8,39.84,1067800,FLS
2017-12-06,39.73,40.27,39.57,39.62,875900,FLS
2017-12-07,39.63,40.81,39.45,40.42,986100,FLS
2017-12-08,39.93,40.5,39.62,39.93,1240500,FLS
2017-12-11,39.42,40.2,39.23,39.41,1981200,FLS
2017-12-12,39.53,39.74,39.07,39.09,987400,FLS
2017-12-13,39.05,39.19,38.69,38.87,1111000,FLS
2017-12-14,38.96,39.07,38.09,38.1,951100,FLS
2017-12-15,38.43,39.47,38.32,39.0,1848200,FLS
2017-12-18,39.33,39.74,39.12,39.15,1109100,FLS
2017-12-19,39.21,39.28,38.81,39.02,1242400,FLS
2017-12-20,39.31,39.39,38.75,38.98,1407800,FLS
2017-12-21,39.13,39.61,38.84,39.41,827400,FLS
2017-12-22,39.47,39.54,39.18,39.22,516400,FLS
2017-12-26,39.34,39.85,39.1,39.58,474600,FLS
2017-12-27,39.58,39.68,39.3,39.61,459000,FLS
2017-12-28,39.78,39.9,39.37,39.76,491600,FLS
2017-12-29,39.8,40.24,39.65,39.93,678900,FLS
2018-01-02,40.23,40.55,39.93,40.28,705100,FLS
2018-01-03,40.22,40.43,39.93,40.15,718900,FLS
2018-01-04,40.31,41.51,40.31,41.33,1200100,FLS
2018-01-05,41.59,41.6,41.08,41.31,911100,FLS
2018-01-08,41.38,41.77,41.27,41.62,927500,FLS
2018-01-09,41.64,41.68,41.07,41.22,884800,FLS
2018-01-10,41.15,41.15,40.19,40.43,1111700,FLS
2018-01-11,40.66,41.76,40.55,41.38,1194900,FLS
2018-01-12,41.47,41.89,41.28,41.89,1427000,FLS
2018-01-16,42.41,43.17,42.08,42.88,1764500,FLS
2018-01-17,43.11,43.21,41.14,41.3,1679900,FLS
2018-01-18,41.22,42.41,41.12,42.2,1649400,FLS
2018-01-19,42.31,42.4,41.49,41.61,1489200,FLS
2018-01-22,41.53,41.73,41.24,41.67,1091700,FLS
2018-01-23,41.53,41.99,40.83,41.95,2493500,FLS
2018-01-24,42.19,43.38,42.19,43.16,1974500,FLS
2018-01-25,43.43,43.59,42.44,42.87,1511800,FLS
2018-01-26,42.92,43.39,42.87,43.39,846200,FLS
2018-01-29,43.18,43.47,42.95,43.19,1012000,FLS
2018-01-30,42.74,43.21,42.39,43.04,1145500,FLS
2018-01-31,43.41,43.94,42.81,43.14,1025500,FLS
2018-02-01,42.84,43.58,42.78,43.4,1132200,FLS
2018-02-02,43.03,43.08,42.21,42.43,1222700,FLS
2018-02-05,42.13,42.68,40.06,40.09,1423300,FLS
2018-02-06,39.15,40.78,38.84,39.82,2546700,FLS
2018-02-07,39.85,40.38,39.53,39.55,1821200,FLS
2018-02-08,39.5,39.8,38.68,38.86,1868500,FLS
2018-02-09,39.27,39.71,36.93,38.42,2582800,FLS
2018-02-12,38.64,39.76,38.49,39.43,1415000,FLS
2018-02-13,39.12,39.35,38.29,39.12,1200600,FLS
2018-02-14,38.87,40.37,38.6,40.16,1416100,FLS
2018-02-15,40.35,41.08,39.9,40.81,2118800,FLS
2018-02-16,40.3,42.79,38.47,41.93,4359100,FLS
2018-02-20,41.89,43.88,41.31,41.6,2314300,FLS
2018-02-21,41.36,42.74,41.36,41.68,2060100,FLS
2018-02-22,41.71,42.55,41.41,41.49,1187200,FLS
2018-02-23,41.78,42.18,41.35,42.13,799200,FLS
2018-02-26,42.39,43.25,42.14,42.76,2050500,FLS
2018-02-27,42.8,43.04,41.85,41.86,1241600,FLS
2018-02-28,41.97,42.06,40.3,40.31,1419900,FLS
2018-03-01,40.35,40.45,39.12,39.22,1684400,FLS
2018-03-02,39.03,40.47,38.77,40.26,1843200,FLS
2018-03-05,40.25,41.52,40.15,41.35,1998700,FLS
2018-03-06,41.46,42.21,41.46,42.01,1544500,FLS
2018-03-07,41.47,42.38,41.47,42.24,1557800,FLS
2018-03-08,42.27,42.49,41.82,42.36,1248900,FLS
2018-03-09,42.76,43.57,42.44,43.39,1444200,FLS
2018-03-12,43.48,43.93,42.87,42.99,1057600,FLS
2018-03-13,42.97,43.45,42.31,42.46,1263500,FLS
2018-03-14,42.89,43.14,42.05,42.13,622100,FLS
2018-03-15,42.16,42.33,41.66,41.74,1004400,FLS
2018-03-16,41.69,42.58,41.61,42.4,1051100,FLS
2018-03-19,42.16,42.32,41.22,41.83,941600,FLS
2018-03-20,42.08,42.53,41.92,41.98,847200,FLS
2018-03-21,42.0,43.08,41.78,42.76,1310300,FLS
2018-03-22,42.23,42.56,41.13,41.19,1458800,FLS
2018-03-23,41.3,41.3,39.95,40.09,939100,FLS
2018-03-26,40.78,40.9,40.12,40.8,1363200,FLS
2018-03-27,40.86,41.02,39.86,40.13,1565700,FLS
2018-03-28,40.32,40.71,39.69,39.96,942000,FLS
2018-03-29,40.3,41.63,40.3,41.43,1435900,FLS
2018-04-02,41.11,41.45,40.16,40.68,1498900,FLS
2018-04-03,40.77,41.14,40.2,41.12,1333100,FLS
2018-04-04,40.61,42.23,40.38,42.12,1808900,FLS
2018-04-05,42.38,43.33,42.09,42.85,1320300,FLS
2018-04-06,42.34,42.51,40.83,41.29,1686900,FLS
2018-04-09,41.54,42.24,41.29,41.55,1048400,FLS
2018-04-10,42.22,43.29,42.22,42.63,1731500,FLS
2018-04-11,42.36,44.65,42.13,44.24,2686700,FLS
2018-04-12,44.35,44.39,43.18,43.9,1718900,FLS
2018-04-13,44.28,44.35,43.51,43.67,1189400,FLS
2018-04-16,44.32,44.44,43.8,43.95,772900,FLS
2018-04-17,44.23,44.95,44.04,44.23,1156200,FLS
2018-04-18,44.56,45.02,44.31,44.73,952200,FLS
2018-04-19,44.73,45.61,44.73,45.56,1829200,FLS
2018-04-20,45.42,45.81,45.13,45.24,1542400,FLS
2018-04-23,45.26,46.0,44.76,44.85,1547700,FLS
2018-04-24,45.29,45.39,43.24,43.61,1925000,FLS
2018-04-25,43.64,44.22,43.31,43.99,982400,FLS
2018-04-26,44.28,44.28,43.0,43.26,1498400,FLS
2018-04-27,43.17,43.46,42.62,43.07,1067000,FLS
2018-04-30,43.19,43.27,42.33,42.47,1758800,FLS
2018-05-01,42.22,42.93,41.83,42.78,1317200,FLS
2018-05-02,42.59,43.98,42.59,43.27,1326800,FLS
2018-05-03,43.0,43.26,42.37,43.0,1239500,FLS
2018-05-04,42.69,43.91,42.62,43.74,865700,FLS
2018-05-07,43.95,45.1,43.73,44.36,1341000,FLS
2018-05-08,44.4,44.8,44.18,44.77,1475900,FLS
2018-05-09,45.04,45.78,44.73,45.73,1645200,FLS
2018-05-10,45.92,45.92,45.19,45.79,1234300,FLS
2018-05-11,44.66,44.66,40.95,41.63,5418700,FLS
2018-05-14,41.47,42.93,40.74,42.47,2502300,FLS
2018-05-15,42.09,42.31,40.97,41.62,2268300,FLS
2018-05-16,41.36,41.76,40.86,41.43,1476100,FLS
2018-05-17,41.5,42.45,41.42,42.17,1627800,FLS
2018-05-18,42.19,42.81,42.12,42.62,1490400,FLS
2018-05-21,42.88,43.37,42.8,43.02,895900,FLS
2018-05-22,43.13,43.38,42.61,42.64,1186900,FLS
2018-05-23,42.3,42.39,41.06,41.51,1184500,FLS
2018-05-24,41.43,41.6,40.98,41.3,1401200,FLS
2018-05-25,41.02,41.15,40.24,40.43,880500,FLS
2018-05-29,39.96,40.37,39.39,39.68,1794700,FLS
2018-05-30,40.03,40.78,39.89,40.66,849800,FLS
2018-05-31,40.6,40.6,39.17,39.53,1543100,FLS
2018-06-01,39.7,39.89,39.1,39.1,1666600,FLS
2018-06-04,39.26,39.86,38.92,39.05,1182300,FLS
2018-06-05,39.06,39.5,38.95,39.29,2614400,FLS
2018-06-06,39.54,40.1,39.2,40.08,1001600,FLS
2018-06-07,40.1,40.54,39.88,40.27,733200,FLS
2018-06-08,40.11,40.48,39.73,40.32,1254800,FLS
2018-06-11,40.37,40.66,40.12,40.47,986300,FLS
2018-06-12,40.44,40.7,40.21,40.58,921800,FLS
2018-06-13,40.59,40.63,39.7,39.75,803500,FLS
2018-06-14,39.88,40.12,39.57,39.72,942900,FLS
2018-06-15,39.54,39.54,38.55,39.02,1482600,FLS
2018-06-18,38.74,39.38,38.5,39.34,1507700,FLS
2018-06-19,38.86,39.1,38.0,38.45,1305900,FLS
2018-06-20,38.79,39.13,38.21,39.03,925400,FLS
2018-06-21,38.83,39.0,38.46,38.62,1393200,FLS
2018-06-22,39.19,39.74,39.12,39.19,1115200,FLS
2018-06-25,38.82,38.97,37.9,38.09,963600,FLS
2018-06-26,38.4,38.75,37.97,38.43,897900,FLS
2018-06-27,38.64,39.72,38.62,38.91,1639400,FLS
2018-06-28,38.77,38.88,38.05,38.51,1325600,FLS
2018-06-29,38.73,39.43,38.73,38.81,659700,FLS
2018-07-02,38.44,38.79,37.93,38.52,950000,FLS
2018-07-03,38.85,39.4,38.52,38.52,391500,FLS
2018-07-05,38.62,38.87,38.33,38.87,1247600,FLS
2018-07-06,38.8,39.12,38.53,39.0,694300,FLS
2018-07-09,39.15,40.34,39.15,40.26,601300,FLS
2018-07-10,40.28,40.54,40.05,40.42,792500,FLS
2018-07-11,39.82,40.16,39.51,39.61,764500,FLS
2018-07-12,39.77,40.05,39.14,39.77,583400,FLS
2018-07-13,39.74,40.59,39.74,40.42,617200,FLS
2018-07-16,40.23,40.55,39.29,39.52,869700,FLS
2018-07-17,39.47,40.45,39.46,40.37,912200,FLS
2018-07-18,40.39,40.42,39.26,40.02,1664700,FLS
2018-07-19,39.74,40.83,39.69,40.79,836800,FLS
