Date,Open,High,Low,Close,Volume,Name
2017-07-03,114.73,116.8,114.53,116.49,274000,FRT
2017-07-05,116.56,116.63,113.5,113.98,603900,FRT
2017-07-06,113.69,114.39,112.81,113.19,436000,FRT
2017-07-07,113.27,114.41,113.0,114.0,341300,FRT
2017-07-10,114.33,114.4,112.58,112.63,471300,FRT
2017-07-11,112.61,113.34,111.01,112.7,422400,FRT
2017-07-12,113.7,115.28,113.01,113.22,439200,FRT
2017-07-13,113.23,114.64,113.13,114.35,322900,FRT
2017-07-14,114.95,116.29,114.5,115.8,418800,FRT
2017-07-17,115.66,116.97,115.45,116.47,323200,FRT
2017-07-18,116.29,116.73,115.27,116.2,454900,FRT
2017-07-19,116.39,117.31,115.9,117.3,384900,FRT
2017-07-20,117.58,118.41,117.13,117.36,348900,FRT
2017-07-21,118.14,118.45,116.59,117.79,326600,FRT
2017-07-24,118.03,118.54,116.34,118.5,410900,FRT
2017-07-25,118.43,119.38,117.69,119.28,483900,FRT
2017-07-26,119.39,120.53,118.86,119.8,387600,FRT
2017-07-27,119.67,122.39,118.95,121.9,437400,FRT
2017-07-28,121.9,122.41,119.56,119.9,459800,FRT
2017-07-31,120.18,120.18,118.43,119.73,761000,FRT
2017-08-01,120.02,121.98,119.42,121.33,598500,FRT
2017-08-02,121.04,121.04,119.28,119.92,434700,FRT
2017-08-03,119.79,121.01,118.98,120.05,448200,FRT
2017-08-04,119.96,121.76,119.6,120.65,409200,FRT
2017-08-07,120.64,121.1,119.91,120.44,251900,FRT
2017-08-08,120.21,120.98,118.78,119.7,338600,FRT
2017-08-09,119.96,120.53,119.17,119.84,354900,FRT
2017-08-10,119.57,120.07,118.88,119.2,313100,FRT
2017-08-11,119.02,119.25,116.57,116.82,364800,FRT
2017-08-14,116.65,118.79,115.67,118.32,414200,FRT
2017-08-15,118.58,118.58,116.07,116.7,514900,FRT
2017-08-16,116.84,117.78,116.8,117.04,493500,FRT
2017-08-17,116.89,117.38,116.05,116.05,519000,FRT
2017-08-18,115.75,115.75,113.63,114.62,1342200,FRT
2017-08-21,114.61,116.15,114.11,115.64,465800,FRT
2017-08-22,115.77,116.2,114.47,114.53,433400,FRT
2017-08-23,114.4,115.55,114.21,115.18,420900,FRT
2017-08-24,115.52,117.12,114.37,114.53,587200,FRT
2017-08-25,114.7,116.1,114.1,115.84,419100,FRT
2017-08-28,115.82,116.04,113.01,113.22,379800,FRT
2017-08-29,113.17,113.78,112.42,113.49,373700,FRT
2017-08-30,113.34,114.24,111.87,114.24,276400,FRT
2017-08-31,114.53,115.0,113.84,114.59,507300,FRT
2017-09-01,114.77,116.38,114.23,115.73,342300,FRT
2017-09-05,115.75,116.52,114.57,115.23,341000,FRT
2017-09-06,115.57,117.45,115.25,116.75,395300,FRT
2017-09-07,117.3,118.71,116.56,117.77,678900,FRT
2017-09-08,117.54,118.1,116.64,116.8,403200,FRT
2017-09-11,117.04,117.67,116.85,117.59,379500,FRT
2017-09-12,117.57,118.44,115.64,116.18,301800,FRT
2017-09-13,116.34,116.39,115.13,115.8,365900,FRT
2017-09-14,115.8,118.31,115.59,118.24,331400,FRT
2017-09-15,117.7,118.24,117.13,117.36,659900,FRT
2017-09-18,117.36,117.43,114.8,115.11,338200,FRT
2017-09-19,115.23,115.64,113.06,113.19,592800,FRT
2017-09-20,113.19,113.58,112.15,112.51,335400,FRT
2017-09-21,112.89,113.39,112.42,112.71,295400,FRT
2017-09-22,112.76,113.42,111.88,112.07,192800,FRT
2017-09-25,112.36,114.05,112.36,113.58,325400,FRT
2017-09-26,113.75,114.72,113.21,113.83,408300,FRT
2017-09-27,113.52,113.52,111.57,112.83,767700,FRT
2017-09-28,112.6,113.35,112.09,113.26,479000,FRT
2017-09-29,112.9,113.9,112.47,113.04,325500,FRT
2017-10-02,113.3,113.44,112.38,112.88,304000,FRT
2017-10-03,112.95,113.43,112.25,113.4,253400,FRT
2017-10-04,113.46,113.92,112.77,113.88,192200,FRT
2017-10-05,114.15,115.38,113.94,114.75,234000,FRT
2017-10-06,114.02,114.48,113.01,114.38,296100,FRT
2017-10-09,114.49,115.05,114.19,114.77,221700,FRT
2017-10-10,115.05,115.61,114.71,115.35,276100,FRT
2017-10-11,115.41,116.43,115.41,116.33,209500,FRT
2017-10-12,116.21,117.06,115.43,116.95,447300,FRT
2017-10-13,117.31,118.96,116.38,118.02,598200,FRT
2017-10-16,117.58,118.45,116.93,117.23,420000,FRT
2017-10-17,117.04,118.13,116.78,117.97,319600,FRT
2017-10-18,118.03,118.49,115.77,116.97,529400,FRT
2017-10-19,117.13,117.38,115.54,115.79,285700,FRT
2017-10-20,115.79,115.79,114.07,114.49,311300,FRT
2017-10-23,115.02,115.26,113.9,115.22,251500,FRT
2017-10-24,115.1,115.5,113.11,113.67,420700,FRT
2017-10-25,113.6,113.73,111.1,112.18,335100,FRT
2017-10-26,112.84,112.84,109.27,110.78,687100,FRT
2017-10-27,110.15,111.16,108.79,110.53,362500,FRT
2017-10-30,110.52,111.02,109.49,110.1,485000,FRT
2017-10-31,109.98,110.34,108.64,109.68,755800,FRT
2017-11-01,109.78,110.9,109.08,110.76,488000,FRT
2017-11-02,111.27,116.69,111.26,116.58,630100,FRT
2017-11-03,115.91,116.18,114.42,115.18,614400,FRT
2017-11-06,115.13,116.03,115.03,115.51,400500,FRT
2017-11-07,115.59,117.7,115.59,117.04,406300,FRT
2017-11-08,117.24,118.44,116.67,117.28,288800,FRT
2017-11-09,117.66,120.57,117.32,119.62,515900,FRT
2017-11-10,119.57,120.37,119.38,120.14,374400,FRT
2017-11-13,120.62,121.85,118.76,119.12,530500,FRT
2017-11-14,118.77,119.96,118.59,119.96,458900,FRT
2017-11-15,119.95,120.58,119.21,119.76,319000,FRT
2017-11-16,119.07,120.76,119.07,120.04,405500,FRT
2017-11-17,119.67,121.43,119.67,120.58,427900,FRT
2017-11-20,120.68,120.8,119.44,119.44,482600,FRT
2017-11-21,119.98,120.09,119.39,119.77,353600,FRT
2017-11-22,119.41,120.78,119.41,119.9,278200,FRT
2017-11-24,120.27,120.88,119.51,120.06,111600,FRT
2017-11-27,119.87,119.97,118.84,118.94,237700,FRT
2017-11-28,119.4,119.74,118.23,119.33,476000,FRT
2017-11-29,119.39,120.9,119.12,120.22,426700,FRT
2017-11-30,120.45,121.25,119.97,120.32,578000,FRT
2017-12-01,120.97,121.27,119.86,120.62,388300,FRT
2017-12-04,120.86,122.42,120.86,121.56,481600,FRT
2017-12-05,121.84,121.92,119.58,119.71,408600,FRT
2017-12-06,120.07,120.28,118.04,118.39,405900,FRT
2017-12-07,118.27,119.07,118.02,118.16,465300,FRT
2017-12-08,118.72,118.89,117.74,118.57,283000,FRT
2017-12-11,118.74,118.86,118.02,118.12,333800,FRT
2017-12-12,118.62,119.59,117.8,118.76,843100,FRT
2017-12-13,118.91,120.07,118.48,119.56,463800,FRT
2017-12-14,119.67,120.09,118.96,118.97,421300,FRT
2017-12-15,119.72,120.74,119.59,120.13,847500,FRT
2017-12-18,120.35,122.26,120.35,121.84,355200,FRT
2017-12-19,121.63,121.79,119.84,120.16,490400,FRT
2017-12-20,120.48,120.84,118.61,118.78,308800,FRT
2017-12-21,119.09,119.09,117.64,117.69,384200,FRT
2017-12-22,118.15,119.18,117.4,118.66,314400,FRT
2017-12-26,118.99,120.55,118.55,120.15,282400,FRT
2017-12-27,120.7,121.55,120.23,121.3,309400,FRT
2017-12-28,121.19,121.62,120.25,121.59,291000,FRT
2017-12-29,121.66,122.08,121.01,121.78,292400,FRT
2018-01-02,122.03,122.84,120.55,122.64,346400,FRT
2018-01-03,122.64,123.05,121.76,122.18,380700,FRT
2018-01-04,122.12,122.44,117.73,117.86,404500,FRT
2018-01-05,118.11,118.39,117.51,117.7,347500,FRT
2018-01-08,117.78,119.16,117.37,119.12,447000,FRT
2018-01-09,118.5,118.81,114.97,115.02,399600,FRT
2018-01-10,114.45,114.59,112.71,113.55,543800,FRT
2018-01-11,113.89,114.3,112.83,112.98,348600,FRT
2018-01-12,112.8,112.95,112.02,112.61,258900,FRT
2018-01-16,112.78,114.43,111.87,111.91,446000,FRT
2018-01-17,112.36,113.14,111.65,112.6,496800,FRT
2018-01-18,112.56,112.56,110.95,111.91,711200,FRT
2018-01-19,112.14,112.49,111.17,112.43,475000,FRT
2018-01-22,112.47,114.07,112.05,114.04,370900,FRT
2018-01-23,114.19,114.61,113.64,114.38,454800,FRT
2018-01-24,114.4,114.4,112.65,112.98,419700,FRT
2018-01-25,112.98,114.27,112.03,112.93,566800,FRT
2018-01-26,113.17,113.59,111.78,112.21,402900,FRT
2018-01-29,111.76,112.14,110.23,111.07,370000,FRT
2018-01-30,110.94,111.25,109.56,109.58,585900,FRT
2018-01-31,110.0,111.4,109.4,110.77,1364500,FRT
2018-02-01,110.76,111.54,107.9,107.97,1218500,FRT
2018-02-02,107.1,107.75,105.06,105.94,663500,FRT
2018-02-05,105.9,107.44,102.99,103.17,529700,FRT
2018-02-06,101.86,104.14,100.62,102.9,900800,FRT
2018-02-07,102.88,104.71,102.01,102.09,639700,FRT
2018-02-08,102.07,102.97,99.12,99.13,657000,FRT
2018-02-09,99.82,101.47,97.78,100.78,760900,FRT
2018-02-12,101.26,101.7,97.95,101.08,678400,FRT
2018-02-13,100.79,101.67,99.22,101.1,929500,FRT
2018-02-14,99.3,103.59,97.57,101.61,1018500,FRT
2018-02-15,101.86,103.61,101.86,102.79,524800,FRT
2018-02-16,102.59,105.24,102.59,104.94,636500,FRT
2018-02-20,104.7,106.64,104.28,105.04,727100,FRT
2018-02-21,105.04,105.3,101.86,101.88,595500,FRT
2018-02-22,102.35,105.25,102.35,104.6,383400,FRT
2018-02-23,104.92,106.36,104.16,106.3,479700,FRT
2018-02-26,106.69,107.27,105.8,107.24,484300,FRT
2018-02-27,107.01,107.68,104.05,104.05,595600,FRT
2018-02-28,104.64,105.92,103.92,104.48,458600,FRT
2018-03-01,104.03,107.26,103.67,106.32,726500,FRT
2018-03-02,105.9,106.78,104.65,106.69,502100,FRT
2018-03-05,106.5,107.72,106.19,106.83,443400,FRT
2018-03-06,106.73,107.48,105.51,107.24,335500,FRT
2018-03-07,107.11,107.92,106.78,107.54,375200,FRT
2018-03-08,108.05,108.35,107.04,107.46,370800,FRT
2018-03-09,107.41,107.41,105.25,106.66,394200,FRT
2018-03-12,106.45,107.94,106.36,107.57,440500,FRT
2018-03-13,107.88,109.24,107.73,108.95,422200,FRT
2018-03-14,109.23,109.67,108.06,109.07,423500,FRT
2018-03-15,109.49,109.49,107.95,108.36,577400,FRT
2018-03-16,108.2,109.5,107.74,109.03,816100,FRT
2018-03-19,108.72,108.72,107.16,107.73,689700,FRT
2018-03-20,107.75,108.51,105.78,106.58,460000,FRT
2018-03-21,106.81,107.04,105.41,106.05,322300,FRT
2018-03-22,105.74,107.53,105.36,105.46,489500,FRT
2018-03-23,105.86,106.21,103.68,104.05,557600,FRT
2018-03-26,104.63,104.92,103.41,104.74,448700,FRT
2018-03-27,104.65,106.66,103.54,104.95,667800,FRT
2018-03-28,105.21,108.24,105.21,107.89,543700,FRT
2018-03-29,108.38,108.46,106.7,107.38,463800,FRT
2018-04-02,107.47,108.06,106.02,106.96,506800,FRT
2018-04-03,107.0,108.43,105.83,108.22,370200,FRT
2018-04-04,107.19,109.92,107.19,109.66,353600,FRT
2018-04-05,109.62,109.66,108.2,109.39,479200,FRT
2018-04-06,109.18,109.59,106.71,107.08,334400,FRT
2018-04-09,107.22,107.9,106.32,106.81,369300,FRT
2018-04-10,107.32,107.59,105.77,107.06,334300,FRT
2018-04-11,106.92,108.76,106.92,107.57,337200,FRT
2018-04-12,107.75,107.75,105.42,106.32,350500,FRT
2018-04-13,106.5,106.6,105.48,106.54,262900,FRT
2018-04-16,106.66,107.72,105.91,107.02,272400,FRT
2018-04-17,107.28,108.65,106.42,107.76,291000,FRT
2018-04-18,108.05,108.26,107.29,107.41,361100,FRT
2018-04-19,107.2,107.2,104.48,105.1,329800,FRT
2018-04-20,105.41,105.93,102.67,102.84,436000,FRT
2018-04-23,102.96,103.88,102.39,103.14,302000,FRT
2018-04-24,103.43,103.79,102.34,103.23,325500,FRT
2018-04-25,103.11,104.0,102.36,103.73,404500,FRT
2018-04-26,104.03,105.9,103.82,105.3,479600,FRT
2018-04-27,105.11,107.99,105.11,107.64,566000,FRT
2018-04-30,107.93,107.93,106.81,107.14,557000,FRT
2018-05-01,107.14,109.02,106.91,108.61,375500,FRT
2018-05-02,108.64,108.64,106.07,106.83,505300,FRT
2018-05-03,107.32,109.7,106.72,108.56,548900,FRT
2018-05-04,108.28,110.08,108.28,109.8,313100,FRT
2018-05-07,110.23,110.51,109.1,109.91,431800,FRT
2018-05-08,109.66,109.72,108.11,108.92,459800,FRT
2018-05-09,108.92,109.87,108.49,109.69,341100,FRT
2018-05-10,110.05,110.51,109.48,110.09,178600,FRT
2018-05-11,110.23,110.69,109.38,109.66,221500,FRT
2018-05-14,109.45,109.81,107.87,108.58,218300,FRT
2018-05-15,107.9,107.9,106.09,106.46,500100,FRT
2018-05-16,107.0,107.58,105.28,105.51,466700,FRT
2018-05-17,105.72,106.28,104.74,105.62,391800,FRT
2018-05-18,105.57,106.23,105.13,106.11,278800,FRT
2018-05-21,106.62,108.28,105.47,107.76,329800,FRT
2018-05-22,107.94,108.26,107.37,107.84,587300,FRT
2018-05-23,108.11,108.97,107.5,108.43,535500,FRT
2018-05-24,108.52,109.24,107.48,107.95,327700,FRT
2018-05-25,108.25,108.48,107.56,108.15,420600,FRT
2018-05-29,107.71,108.9,107.2,108.25,471000,FRT
2018-05-30,108.61,110.52,107.56,110.4,384200,FRT
2018-05-31,109.96,110.48,109.39,109.95,556600,FRT
2018-06-01,109.73,110.4,109.37,109.66,369400,FRT
2018-06-04,109.75,110.14,109.05,110.04,363500,FRT
2018-06-05,110.38,110.97,110.05,110.48,367500,FRT
2018-06-06,110.2,112.62,110.2,112.58,551800,FRT
2018-06-07,112.62,113.11,111.43,111.75,399300,FRT
2018-06-08,111.71,112.27,111.23,111.77,385800,FRT
2018-06-11,112.0,112.3,111.38,111.71,278300,FRT
2018-06-12,111.66,113.72,111.34,113.11,398800,FRT
2018-06-13,113.11,113.47,110.71,110.98,286000,FRT
2018-06-14,111.09,112.17,111.09,111.99,256900,FRT
2018-06-15,111.98,112.74,110.3,110.66,741400,FRT
2018-06-18,110.44,110.84,109.23,109.97,377500,FRT
2018-06-19,109.57,110.12,109.03,109.31,440900,FRT
2018-06-20,109.13,111.47,109.13,111.39,412100,FRT
2018-06-21,111.61,115.5,111.61,115.35,687600,FRT
2018-06-22,115.53,117.26,115.38,117.14,558300,FRT
2018-06-25,118.79,119.37,116.14,117.25,602200,FRT
2018-06-26,117.19,117.33,114.89,116.53,586100,FRT
2018-06-27,117.1,117.59,116.24,116.52,384500,FRT
2018-06-28,116.52,117.82,115.93,117.66,480200,FRT
2018-06-29,117.25,118.6,116.67,118.02,778500,FRT
2018-07-02,117.9,118.63,115.3,116.33,461700,FRT
2018-07-03,116.46,117.64,115.58,116.57,216300,FRT
2018-07-05,116.72,117.79,116.18,117.76,318200,FRT
2018-07-06,118.11,118.83,117.42,118.33,349600,FRT
2018-07-09,118.32,118.71,117.27,117.99,539700,FRT
2018-07-10,118.03,118.54,117.24,117.76,391100,FRT
2018-07-11,117.53,117.82,116.36,116.47,426600,FRT
2018-07-12,116.63,117.55,116.18,117.13,316400,FRT
2018-07-13,117.5,118.12,116.38,116.65,246600,FRT
2018-07-16,116.42,116.67,115.1,116.32,241300,FRT
2018-07-17,116.34,117.23,115.41,115.62,392100,FRT
2018-07-18,115.38,116.09,114.07,114.85,342400,FRT
2018-07-19,114.83,117.14,114.43,116.37,248300,FRT
2018-07-20,115.95,116.1,115.12,115.88,258300,FRT
2018-07-23,115.89,116.16,114.96,116.08,259900,FRT
2018-07-24,116.14,116.15,115.43,115.57,373900,FRT
2018-07-25,115.64,117.28,115.59,116.62,255300,FRT
2018-07-26,116.95,117.08,114.37,114.6,862500,FRT
2018-07-27,114.91,115.0,112.29,112.54,750600,FRT
2018-07-30,112.56,114.3,111.91,114.18,569700,FRT
2018-07-31,114.66,118.23,114.0,117.04,1001600,FRT
2018-08-01,115.87,117.14,113.82,116.55,592700,FRT
2018-08-02,116.69,118.43,115.94,117.54,614800,FRT
2018-08-03,117.98,119.77,117.7,119.57,334100,FRT
2018-08-06,119.41,119.94,117.47,117.73,282200,FRT
2018-08-07,117.33,117.52,116.23,116.71,405400,FRT
