Date,Open,High,Low,Close,Volume,Name
2017-07-03,64.33,64.78,63.84,63.96,3453000,GILD
2017-07-05,64.08,64.5,63.47,64.11,7219600,GILD
2017-07-06,63.93,64.0,62.6,62.86,7989000,GILD
2017-07-07,63.05,63.05,62.01,62.65,6535800,GILD
2017-07-10,62.64,63.09,62.53,62.69,6485900,GILD
2017-07-11,62.42,62.88,62.07,62.74,6442700,GILD
2017-07-12,63.12,63.45,62.98,63.15,5585200,GILD
2017-07-13,63.32,64.22,62.9,63.85,7533900,GILD
2017-07-14,64.0,64.26,63.71,63.85,5234600,GILD
2017-07-17,63.85,65.01,63.69,64.37,7612400,GILD
2017-07-18,64.51,64.9,63.98,64.86,6096700,GILD
2017-07-19,65.14,65.81,64.93,65.79,8312400,GILD
2017-07-20,65.92,66.71,65.84,66.42,9271400,GILD
2017-07-21,66.33,67.32,66.3,66.73,8874000,GILD
2017-07-24,66.68,67.33,66.22,67.3,8943200,GILD
2017-07-25,67.6,68.12,66.6,66.71,9061200,GILD
2017-07-26,67.04,67.19,66.6,67.12,10695300,GILD
2017-07-27,68.24,68.75,67.36,67.82,13871000,GILD
2017-07-28,67.86,68.79,67.63,68.7,8954600,GILD
2017-07-31,68.76,69.2,68.6,68.84,7994100,GILD
2017-08-01,69.07,69.08,68.32,68.49,7296600,GILD
2017-08-02,68.34,68.67,68.01,68.61,7086200,GILD
2017-08-03,68.55,68.76,67.22,67.28,11161100,GILD
2017-08-04,66.7,66.73,65.66,66.19,14960900,GILD
2017-08-07,65.86,66.5,65.39,66.44,7556500,GILD
2017-08-08,66.42,66.65,65.87,66.29,7943900,GILD
2017-08-09,65.89,67.56,65.89,66.86,12054600,GILD
2017-08-10,66.51,66.75,65.62,65.77,8813000,GILD
2017-08-11,65.61,65.75,64.98,65.5,7029700,GILD
2017-08-14,65.93,66.14,65.65,65.87,4952800,GILD
2017-08-15,66.04,66.39,65.8,66.15,5212100,GILD
2017-08-16,66.22,66.74,66.15,66.36,5237300,GILD
2017-08-17,66.13,66.42,65.39,65.45,9065400,GILD
2017-08-18,65.43,65.71,64.99,65.24,6052600,GILD
2017-08-21,65.21,66.01,65.21,65.68,5531800,GILD
2017-08-22,65.74,66.73,65.73,66.35,4729300,GILD
2017-08-23,66.29,67.13,66.1,66.71,6499300,GILD
2017-08-24,66.78,67.22,66.63,66.97,4929300,GILD
2017-08-25,67.16,67.34,66.67,66.76,3729000,GILD
2017-08-28,67.76,68.7,67.13,67.57,18800000,GILD
2017-08-29,67.21,68.58,67.15,68.52,10688600,GILD
2017-08-30,68.6,73.68,68.52,73.49,35927100,GILD
2017-08-31,73.73,76.11,73.71,75.73,30895700,GILD
2017-09-01,75.42,76.09,74.41,75.77,14311600,GILD
2017-09-05,75.31,75.65,73.6,74.69,13491900,GILD
2017-09-06,74.96,75.48,74.65,75.05,10694600,GILD
2017-09-07,75.2,77.46,75.0,77.33,13147800,GILD
2017-09-08,77.16,78.05,76.81,76.99,11611100,GILD
2017-09-11,77.52,77.81,76.12,76.47,10125200,GILD
2017-09-12,76.13,76.67,75.81,76.46,8907900,GILD
2017-09-13,76.45,76.46,75.43,75.71,7594800,GILD
2017-09-14,75.69,75.69,74.26,74.91,9605400,GILD
2017-09-15,75.37,76.02,74.93,74.98,12401900,GILD
2017-09-18,75.13,76.02,74.23,75.53,7886500,GILD
2017-09-19,75.92,75.92,74.77,74.91,6310500,GILD
2017-09-20,74.98,75.47,74.5,75.23,6355100,GILD
2017-09-21,75.31,75.93,74.86,75.21,6194700,GILD
