Date,Open,High,Low,Close,Volume,Name
2017-07-03,75.22,76.37,75.01,75.4,284500.0,GL
2017-07-05,75.64,75.64,74.83,74.96,456800.0,GL
2017-07-06,74.91,75.49,74.6,74.89,621900.0,GL
2017-07-07,75.2,76.0,75.04,75.78,346400.0,GL
2017-07-10,75.58,76.19,75.48,76.0,414900.0,GL
2017-07-11,76.0,76.11,75.47,75.6,291500.0,GL
2017-07-12,75.59,76.03,75.42,75.94,241000.0,GL
2017-07-13,75.91,76.52,75.81,76.36,254600.0,GL
2017-07-14,75.73,76.65,75.51,76.28,238700.0,GL
2017-07-17,76.27,76.57,75.81,76.49,291700.0,GL
2017-07-18,76.09,76.52,76.09,76.22,551400.0,GL
2017-07-19,76.32,76.52,76.11,76.34,329600.0,GL
2017-07-20,76.46,76.86,76.3,76.37,213600.0,GL
2017-07-21,76.31,76.67,76.19,76.45,333500.0,GL
2017-07-24,76.46,76.75,76.38,76.61,216800.0,GL
2017-07-25,77.42,77.46,76.84,76.9,405300.0,GL
2017-07-26,76.94,76.94,76.05,76.09,248500.0,GL
2017-07-27,77.47,77.47,76.07,76.91,540500.0,GL
2017-07-28,77.03,77.3,76.33,77.0,498900.0,GL
2017-07-31,77.28,77.42,76.91,77.08,373200.0,GL
2017-08-01,77.4,77.4,76.4,77.23,527100.0,GL
2017-08-02,77.09,77.45,76.8,77.04,440400.0,GL
2017-08-03,76.96,77.17,76.8,76.95,336300.0,GL
2017-08-04,77.2,77.42,77.09,77.18,213500.0,GL
2017-08-07,77.15,77.22,76.95,77.09,288100.0,GL
2017-08-08,77.06,77.99,77.06,77.37,394300.0,GL
2017-08-09,77.0,77.36,76.51,77.33,541200.0,GL
2017-08-10,76.77,77.15,76.52,76.57,613800.0,GL
2017-08-11,76.66,76.83,76.27,76.29,358700.0,GL
2017-08-14,76.87,77.14,76.78,76.88,286700.0,GL
2017-08-15,77.18,77.57,76.93,76.97,379000.0,GL
2017-08-16,77.31,77.59,76.81,76.87,351300.0,GL
2017-08-17,76.74,76.83,74.96,75.01,521000.0,GL
2017-08-18,74.89,75.24,74.5,74.78,491000.0,GL
2017-08-21,74.77,74.94,74.42,74.69,410200.0,GL
2017-08-22,74.91,75.63,74.86,75.58,351400.0,GL
2017-08-23,75.08,75.81,75.08,75.45,304500.0,GL
2017-08-24,75.64,75.76,75.23,75.25,255100.0,GL
2017-08-25,75.6,75.98,75.45,75.84,279500.0,GL
2017-08-28,75.85,75.85,75.26,75.36,357300.0,GL
2017-08-29,74.76,75.15,74.73,74.97,320400.0,GL
2017-08-30,74.95,75.36,74.95,75.1,236300.0,GL
2017-08-31,75.28,75.34,74.87,75.13,517000.0,GL
2017-09-01,75.43,75.98,75.34,75.66,365000.0,GL
2017-09-05,75.15,75.15,73.97,74.05,425800.0,GL
2017-09-06,74.4,74.59,74.11,74.23,497500.0,GL
2017-09-07,74.24,74.24,72.7,72.89,404200.0,GL
2017-09-08,72.79,74.54,72.79,74.25,458500.0,GL
2017-09-11,74.93,75.31,74.34,75.0,403000.0,GL
2017-09-12,75.25,75.92,75.14,75.92,257400.0,GL
2017-09-13,75.6,75.62,75.13,75.31,370300.0,GL
2017-09-14,75.23,75.53,74.84,75.09,345300.0,GL
2017-09-15,75.01,75.45,74.86,75.37,658200.0,GL
2017-09-18,75.54,75.76,75.22,75.67,333300.0,GL
2017-09-19,75.69,76.13,75.57,76.03,385600.0,GL
2017-09-20,76.15,77.04,75.75,76.74,389200.0,GL
2017-09-21,76.69,77.02,76.5,76.77,329200.0,GL
2017-09-22,76.61,76.9,76.43,76.76,275700.0,GL
2017-09-25,76.62,77.06,76.29,77.03,611000.0,GL
2017-09-26,77.06,77.24,76.66,76.98,420500.0,GL
2017-09-27,77.63,78.18,77.47,77.93,432500.0,GL
2017-09-28,77.84,77.93,77.5,77.83,305100.0,GL
2017-09-29,77.71,78.38,77.7,78.17,490300.0,GL
2017-10-02,78.25,78.58,77.88,78.41,380800.0,GL
2017-10-03,78.34,78.5,78.03,78.49,244300.0,GL
2017-10-04,78.39,78.67,78.23,78.4,263400.0,GL
2017-10-05,78.45,79.22,78.45,79.02,218000.0,GL
2017-10-06,79.22,79.38,78.62,79.02,371900.0,GL
2017-10-09,79.18,79.29,78.65,78.75,240700.0,GL
2017-10-10,78.75,79.18,78.7,79.14,359600.0,GL
2017-10-11,79.03,79.31,78.51,79.31,349900.0,GL
2017-10-12,79.31,79.82,79.12,79.73,428600.0,GL
2017-10-13,79.77,80.11,79.48,79.81,304200.0,GL
2017-10-16,79.79,80.27,79.79,80.24,225200.0,GL
2017-10-17,80.28,80.43,79.79,80.08,433700.0,GL
2017-10-18,80.33,80.61,80.22,80.34,306100.0,GL
2017-10-19,80.05,80.72,79.97,80.71,225800.0,GL
2017-10-20,81.54,81.63,81.09,81.28,459800.0,GL
2017-10-23,81.44,81.89,81.06,81.85,394000.0,GL
2017-10-24,81.84,82.21,81.6,82.03,384600.0,GL
2017-10-25,82.61,84.59,81.27,82.71,729500.0,GL
2017-10-26,83.08,83.6,80.24,83.2,880500.0,GL
2017-10-27,83.08,83.5,82.49,83.08,442000.0,GL
2017-10-30,82.73,83.24,82.57,82.65,399700.0,GL
2017-10-31,82.97,83.04,82.14,82.27,390500.0,GL
2017-11-01,82.67,83.19,82.41,82.89,376300.0,GL
2017-11-02,82.88,83.83,82.77,83.65,424900.0,GL
2017-11-03,83.38,83.91,83.31,83.53,558800.0,GL
2017-11-06,83.39,83.85,82.93,83.79,468500.0,GL
2017-11-07,83.71,84.31,83.03,83.3,431100.0,GL
2017-11-08,83.18,83.66,82.98,83.36,521100.0,GL
2017-11-09,82.98,83.33,82.29,82.63,474000.0,GL
2017-11-10,82.74,82.78,81.81,82.4,527600.0,GL
2017-11-13,82.28,82.89,82.1,82.82,441000.0,GL
