Date,Open,High,Low,Close,Volume,Name
2017-07-03,41.66,43.05,41.66,42.82,2604700,HES
2017-07-05,42.31,42.49,40.58,40.88,5874800,HES
2017-07-06,41.24,41.93,40.29,40.38,3928200,HES
2017-07-07,39.98,40.02,38.66,39.4,5946800,HES
2017-07-10,39.24,40.27,39.07,40.03,3822100,HES
2017-07-11,39.86,40.8,39.48,40.59,2983200,HES
2017-07-12,41.26,41.66,40.34,40.66,3638900,HES
2017-07-13,40.66,40.87,40.3,40.83,2759900,HES
2017-07-14,40.98,41.59,40.85,41.44,3299900,HES
2017-07-17,41.2,41.69,41.06,41.09,2427500,HES
2017-07-18,41.42,41.57,40.67,40.88,2265700,HES
2017-07-19,40.78,42.45,40.76,42.36,3372000,HES
2017-07-20,42.75,42.8,41.44,41.53,2846600,HES
2017-07-21,41.38,41.69,40.8,40.97,3394400,HES
2017-07-24,41.25,41.7,41.02,41.6,3965800,HES
2017-07-25,42.38,43.31,42.38,42.77,5754100,HES
2017-07-26,43.55,43.92,40.93,40.98,7444900,HES
2017-07-27,40.95,41.47,40.49,41.46,4488100,HES
2017-07-28,41.32,43.28,41.32,42.23,4983500,HES
2017-07-31,42.19,42.38,41.23,41.99,3725500,HES
2017-08-01,41.96,41.96,40.58,40.69,4389000,HES
2017-08-02,40.27,41.7,39.93,41.48,3341100,HES
2017-08-03,41.54,41.76,40.22,40.73,3627000,HES
2017-08-04,40.78,42.0,40.78,41.81,4478000,HES
2017-08-07,41.49,41.59,40.21,40.4,4356100,HES
2017-08-08,40.27,41.26,39.97,40.18,2861700,HES
2017-08-09,40.44,40.68,39.57,39.93,2698600,HES
2017-08-10,40.17,40.56,39.24,39.35,3548700,HES
2017-08-11,39.14,39.51,38.7,38.96,2096500,HES
2017-08-14,38.99,39.09,38.2,38.22,3838900,HES
2017-08-15,38.1,38.56,37.5,38.37,3068100,HES
2017-08-16,38.43,38.49,36.92,37.04,3399500,HES
2017-08-17,36.87,37.16,36.07,36.17,4747400,HES
2017-08-18,36.03,36.91,35.4,36.25,6393100,HES
2017-08-21,36.16,36.28,35.44,35.91,3102100,HES
2017-08-22,36.11,36.41,35.85,36.39,3767100,HES
2017-08-23,36.16,37.02,35.98,36.57,4017800,HES
2017-08-24,36.44,36.56,36.01,36.16,2013000,HES
2017-08-25,36.22,36.7,35.99,36.29,2626600,HES
2017-08-28,36.4,36.44,35.27,36.11,3576800,HES
2017-08-29,35.74,36.03,35.23,35.95,3788500,HES
2017-08-30,35.65,36.32,35.12,36.23,3511000,HES
2017-08-31,36.51,37.08,36.0,36.67,3421700,HES
2017-09-01,36.75,37.35,36.3,37.19,2024300,HES
2017-09-05,37.49,37.84,37.17,37.76,5125600,HES
2017-09-06,38.02,38.89,37.78,38.69,2773200,HES
2017-09-07,38.54,39.0,38.27,38.96,3181700,HES
2017-09-08,38.79,38.96,37.72,37.96,3443200,HES
2017-09-11,38.09,38.72,37.93,38.58,3570700,HES
2017-09-12,38.73,39.45,38.41,39.05,3360200,HES
2017-09-13,39.16,39.97,39.16,39.72,5301400,HES
2017-09-14,39.79,40.36,39.55,39.83,5082700,HES
2017-09-15,39.82,40.05,39.41,39.99,4526100,HES
2017-09-18,39.82,40.46,39.82,40.28,4510700,HES
2017-09-19,40.34,40.59,39.9,40.52,3212200,HES
2017-09-20,40.77,41.32,40.69,41.21,4050200,HES
2017-09-21,41.19,41.55,40.79,41.37,3521200,HES
2017-09-22,41.26,42.24,41.23,42.2,3428100,HES
2017-09-25,42.55,43.88,42.45,43.72,6359600,HES
2017-09-26,43.48,44.1,43.11,43.93,3775800,HES
2017-09-27,43.9,44.63,43.43,44.51,4838400,HES
2017-09-28,44.7,45.22,43.74,44.13,6830800,HES
2017-09-29,43.96,44.75,43.7,44.47,3492000,HES
2017-10-02,43.69,44.0,43.21,43.9,3888000,HES
2017-10-03,43.85,43.85,42.97,43.33,3376400,HES
2017-10-04,43.62,43.74,42.77,42.92,2294900,HES
2017-10-05,43.21,43.64,42.98,43.16,3511300,HES
2017-10-06,42.5,42.7,41.92,42.29,4689000,HES
2017-10-09,42.34,42.49,41.82,42.04,2253100,HES
2017-10-10,42.57,42.89,41.91,42.02,3185700,HES
2017-10-11,42.04,42.29,41.58,42.04,3874600,HES
2017-10-12,41.54,42.02,41.12,41.92,2760000,HES
