Date,Open,High,Low,Close,Volume,Name
2017-07-03,11.79,11.95,11.79,11.79,5886300,HPE
2017-07-05,11.83,12.02,11.82,11.98,13925000,HPE
2017-07-06,11.92,11.97,11.62,11.66,18738000,HPE
2017-07-07,11.69,11.78,11.6,11.75,17037600,HPE
2017-07-10,11.75,11.91,11.74,11.84,13109900,HPE
2017-07-11,11.82,11.92,11.72,11.87,11760400,HPE
2017-07-12,11.85,11.92,11.73,11.88,13454100,HPE
2017-07-13,11.88,12.14,11.86,12.09,17708900,HPE
2017-07-14,12.1,12.19,12.04,12.16,7901000,HPE
2017-07-17,12.16,12.25,12.09,12.19,9965300,HPE
2017-07-18,12.17,12.2,12.06,12.13,13542700,HPE
2017-07-19,12.2,12.53,12.2,12.5,17298100,HPE
2017-07-20,12.5,12.68,12.49,12.66,18859600,HPE
2017-07-21,12.64,12.76,12.57,12.74,15243700,HPE
2017-07-24,12.72,12.8,12.59,12.62,14075200,HPE
2017-07-25,12.62,12.74,12.55,12.65,9928100,HPE
2017-07-26,12.66,12.71,12.42,12.46,10281300,HPE
2017-07-27,12.52,12.52,12.31,12.42,13184400,HPE
2017-07-28,12.38,12.42,12.23,12.39,11777500,HPE
2017-07-31,12.45,12.55,12.38,12.39,11294300,HPE
2017-08-01,12.42,12.45,12.34,12.42,9943300,HPE
2017-08-02,12.44,12.48,12.22,12.27,10271600,HPE
2017-08-03,12.27,12.28,12.14,12.23,8584800,HPE
2017-08-04,12.23,12.43,12.23,12.39,8123900,HPE
2017-08-07,12.37,12.48,12.35,12.47,5909200,HPE
2017-08-08,12.44,12.52,12.39,12.47,10173900,HPE
2017-08-09,12.42,12.52,12.34,12.48,8984800,HPE
2017-08-10,12.45,12.45,12.08,12.11,12069000,HPE
2017-08-11,12.17,12.29,12.14,12.24,6805200,HPE
2017-08-14,12.37,12.63,12.35,12.44,10254100,HPE
2017-08-15,12.42,12.62,12.4,12.56,10719900,HPE
2017-08-16,12.55,12.64,12.4,12.45,6336300,HPE
