Date,Open,High,Low,Close,Volume,Name
2017-07-03,16.44,16.86,16.38,16.83,3175000,HST
2017-07-05,16.81,16.89,16.59,16.74,5724600,HST
2017-07-06,16.65,16.73,16.32,16.37,5149900,HST
2017-07-07,16.42,16.55,16.31,16.34,4608500,HST
2017-07-10,16.35,16.44,16.01,16.03,6956000,HST
2017-07-11,16.07,16.15,15.91,16.12,4101100,HST
2017-07-12,16.23,16.38,15.95,16.15,6326000,HST
2017-07-13,16.17,16.24,16.1,16.2,3203300,HST
2017-07-14,16.23,16.39,16.18,16.24,4526200,HST
2017-07-17,16.18,16.83,16.17,16.53,9339000,HST
2017-07-18,16.51,16.71,16.43,16.66,7183700,HST
2017-07-19,16.69,16.73,16.59,16.65,4796200,HST
2017-07-20,16.61,16.65,16.14,16.15,8604300,HST
2017-07-21,16.11,16.17,15.78,16.07,9557000,HST
2017-07-24,16.05,16.11,15.97,16.08,4947700,HST
2017-07-25,16.16,16.51,16.02,16.5,8909500,HST
2017-07-26,16.51,16.6,16.07,16.12,9040200,HST
2017-07-27,16.12,16.78,16.12,16.71,8934700,HST
2017-07-28,16.71,16.87,16.62,16.74,6101000,HST
2017-07-31,16.7,16.83,16.46,16.69,17213200,HST
2017-08-01,16.75,16.94,16.64,16.92,6824900,HST
2017-08-02,16.85,16.86,16.42,16.68,7519800,HST
2017-08-03,16.65,16.75,16.43,16.45,4564000,HST
2017-08-04,16.51,16.73,16.43,16.68,4053200,HST
2017-08-07,16.7,16.81,16.63,16.76,2685800,HST
2017-08-08,16.57,16.73,16.25,16.29,7786400,HST
2017-08-09,16.29,16.29,15.96,16.08,5068200,HST
2017-08-10,16.02,16.08,15.91,15.95,3986300,HST
2017-08-11,15.91,16.06,15.83,15.97,6194800,HST
2017-08-14,16.05,16.25,16.0,16.1,6250300,HST
2017-08-15,16.13,16.16,15.98,16.06,3607400,HST
2017-08-16,16.11,16.33,16.11,16.31,4745900,HST
2017-08-17,16.32,16.46,15.97,16.03,6980200,HST
2017-08-18,15.99,16.07,15.58,15.59,8393100,HST
2017-08-21,15.63,15.67,15.44,15.55,8325400,HST
2017-08-22,15.6,15.83,15.55,15.79,7362400,HST
2017-08-23,15.73,15.92,15.7,15.72,5307400,HST
2017-08-24,15.85,15.97,15.71,15.74,5565100,HST
2017-08-25,15.76,15.9,15.69,15.83,3402200,HST
2017-08-28,15.9,15.96,15.62,15.68,4154300,HST
2017-08-29,15.55,15.83,15.51,15.82,4484900,HST
2017-08-30,15.8,16.15,15.74,16.12,5945200,HST
2017-08-31,16.18,16.25,16.04,16.21,7167400,HST
2017-09-01,16.24,16.29,16.1,16.23,3406100,HST
2017-09-05,16.23,16.25,15.7,15.76,6520700,HST
2017-09-06,15.82,16.11,15.76,16.08,7268600,HST
2017-09-07,16.11,16.13,15.91,16.05,3400600,HST
2017-09-08,16.02,16.38,15.98,16.24,7505700,HST
2017-09-11,16.39,16.56,16.28,16.29,5574100,HST
2017-09-12,16.31,16.51,16.29,16.44,5232800,HST
2017-09-13,16.42,16.54,16.34,16.5,5624900,HST
2017-09-14,16.43,16.53,16.29,16.34,6059100,HST
2017-09-15,16.34,16.45,16.17,16.33,6363700,HST
2017-09-18,16.35,16.43,16.31,16.38,4359500,HST
2017-09-19,16.36,16.43,16.15,16.41,4874600,HST
2017-09-20,16.37,16.53,16.3,16.51,4800400,HST
2017-09-21,16.52,16.59,16.34,16.36,4507000,HST
2017-09-22,16.4,16.47,16.34,16.4,4608300,HST
2017-09-25,16.42,16.68,16.4,16.42,4243700,HST
2017-09-26,16.44,16.62,16.42,16.55,3931700,HST
2017-09-27,16.65,16.7,16.51,16.59,6217000,HST
2017-09-28,16.55,16.75,16.4,16.72,4835200,HST
2017-09-29,16.69,16.76,16.53,16.72,10337900,HST
2017-10-02,16.71,16.79,16.61,16.67,5042100,HST
2017-10-03,16.68,16.71,16.43,16.5,4858400,HST
2017-10-04,16.5,16.59,16.4,16.46,9913400,HST
2017-10-05,16.53,16.68,16.49,16.57,8364300,HST
2017-10-06,16.53,16.69,16.45,16.59,5386600,HST
2017-10-09,16.59,16.66,16.59,16.63,3976800,HST
2017-10-10,16.66,16.84,16.62,16.78,5034700,HST
