Date,Open,High,Low,Close,Volume,Name
2017-07-03,236.69,238.52,233.64,233.84,521000,HUM
2017-07-05,234.17,238.01,234.1,237.13,948200,HUM
2017-07-06,236.58,237.94,232.66,233.36,1233000,HUM
2017-07-07,233.39,234.55,232.42,233.13,1319000,HUM
2017-07-10,232.5,234.44,232.27,233.92,1546600,HUM
2017-07-11,233.88,236.3,233.46,233.92,782900,HUM
2017-07-12,233.48,234.86,233.48,234.1,946700,HUM
2017-07-13,235.09,235.09,232.51,232.96,892900,HUM
2017-07-14,232.91,234.15,232.32,233.97,1126900,HUM
2017-07-17,234.3,234.69,232.33,232.47,808200,HUM
2017-07-18,233.08,233.08,227.02,230.03,1575300,HUM
2017-07-19,230.15,232.58,229.98,231.17,935000,HUM
2017-07-20,231.06,232.01,229.81,230.78,1063600,HUM
2017-07-21,230.4,231.46,229.68,230.87,1013800,HUM
2017-07-24,230.8,231.04,229.19,230.46,1219700,HUM
2017-07-25,231.2,231.84,229.32,229.88,948600,HUM
2017-07-26,230.4,230.54,228.49,228.5,1114800,HUM
2017-07-27,228.23,229.56,226.14,227.62,782600,HUM
2017-07-28,227.98,231.56,226.58,228.09,1591000,HUM
2017-07-31,228.69,228.71,225.93,226.25,843000,HUM
2017-08-01,226.68,227.49,224.92,225.83,1022800,HUM
2017-08-02,232.91,237.58,232.02,235.93,2951900,HUM
2017-08-03,236.65,243.99,236.52,243.51,2365900,HUM
2017-08-04,244.25,246.41,239.94,240.67,1557500,HUM
2017-08-07,240.24,244.29,240.13,244.28,1068100,HUM
2017-08-08,243.98,245.63,242.5,244.86,1257200,HUM
2017-08-09,244.98,249.64,243.47,249.5,1353900,HUM
2017-08-10,248.06,249.81,245.51,246.28,802300,HUM
2017-08-11,245.92,247.41,244.59,244.64,840300,HUM
2017-08-14,244.96,246.91,244.65,244.89,726400,HUM
2017-08-15,245.22,245.58,241.33,241.55,1274700,HUM
2017-08-16,241.97,243.97,241.49,242.07,1026000,HUM
2017-08-17,242.07,243.65,241.33,242.36,748700,HUM
2017-08-18,242.1,243.05,240.42,241.99,754400,HUM
2017-08-21,242.83,244.91,242.12,244.02,710000,HUM
2017-08-22,243.21,248.88,242.67,247.86,1322800,HUM
2017-08-23,246.67,248.03,245.46,246.6,674000,HUM
2017-08-24,247.25,247.56,245.82,246.46,600900,HUM
2017-08-25,246.78,248.83,246.78,247.58,688400,HUM
2017-08-28,247.67,249.61,247.26,249.61,1186200,HUM
2017-08-29,248.69,250.43,248.03,250.2,1025300,HUM
2017-08-30,250.18,250.18,247.84,248.8,617200,HUM
2017-08-31,249.53,252.22,249.16,252.11,1017200,HUM
2017-09-01,252.46,253.91,251.55,253.21,521300,HUM
2017-09-05,252.48,253.92,251.14,252.04,762100,HUM
2017-09-06,252.48,253.27,249.54,251.38,682400,HUM
2017-09-07,251.44,252.85,250.5,251.04,692200,HUM
2017-09-08,250.91,251.78,250.21,251.07,837000,HUM
2017-09-11,252.76,254.2,251.66,251.7,671200,HUM
2017-09-12,251.61,252.2,248.52,249.64,742100,HUM
2017-09-13,249.72,252.22,246.14,246.16,1322400,HUM
2017-09-14,246.21,246.49,244.42,245.28,1050900,HUM
2017-09-15,244.65,245.59,243.82,243.94,1228400,HUM
2017-09-18,244.66,245.13,242.53,243.13,1112400,HUM
2017-09-19,243.47,244.16,234.48,234.9,1725300,HUM
2017-09-20,234.94,236.8,232.47,234.55,1824200,HUM
2017-09-21,234.92,234.92,232.74,233.53,1177900,HUM
2017-09-22,233.8,239.2,230.18,233.97,1343100,HUM
2017-09-25,234.42,236.47,231.9,232.13,1098400,HUM
2017-09-26,232.75,236.61,232.75,234.09,1348800,HUM
2017-09-27,234.35,235.1,230.12,233.76,1361600,HUM
2017-09-28,233.62,240.03,233.21,237.95,1083900,HUM
2017-09-29,238.24,238.89,236.04,238.81,1541100,HUM
2017-10-02,239.58,241.12,239.18,240.16,1099400,HUM
2017-10-03,240.23,242.51,239.83,242.5,720800,HUM
2017-10-04,242.5,243.5,241.46,241.64,712000,HUM
2017-10-05,241.87,242.41,240.04,240.51,1059600,HUM
2017-10-06,241.26,243.42,240.78,242.02,1152600,HUM
2017-10-09,237.22,239.29,235.1,235.66,929400,HUM
2017-10-10,235.7,237.01,234.78,235.74,1235100,HUM
2017-10-11,235.26,238.19,235.26,235.63,821300,HUM
2017-10-12,236.23,237.55,234.84,236.67,727900,HUM
2017-10-13,233.22,235.94,231.04,233.03,812000,HUM
2017-10-16,232.1,233.67,231.08,232.48,1121700,HUM
2017-10-17,234.67,237.63,232.97,235.68,1692000,HUM
2017-10-18,236.41,240.75,236.41,236.54,1099800,HUM
2017-10-19,236.58,238.21,233.86,237.89,796700,HUM
2017-10-20,239.08,242.01,238.46,240.95,742200,HUM
2017-10-23,241.29,243.98,239.35,241.27,729500,HUM
2017-10-24,240.59,242.65,238.3,241.62,648400,HUM
2017-10-25,242.19,244.15,241.05,243.45,744600,HUM
2017-10-26,245.0,249.25,243.41,246.55,1142100,HUM
2017-10-27,247.47,259.33,246.26,253.85,1892200,HUM
2017-10-30,253.8,255.17,250.32,250.61,1374100,HUM
2017-10-31,250.62,251.77,248.17,250.3,796100,HUM
2017-11-01,251.19,253.38,249.22,250.43,604900,HUM
2017-11-02,249.88,252.81,248.9,251.28,656300,HUM
2017-11-03,250.85,253.42,248.92,251.62,688600,HUM
2017-11-06,251.02,253.22,248.8,249.45,1197700,HUM
2017-11-07,250.1,252.15,248.97,251.24,1075400,HUM
2017-11-08,247.86,249.14,233.87,238.67,2594300,HUM
2017-11-09,236.61,242.62,235.54,242.57,1950900,HUM
2017-11-10,241.09,242.37,236.84,239.56,1265500,HUM
2017-11-13,239.66,240.13,236.01,236.18,1445100,HUM
2017-11-14,235.98,236.8,233.2,234.83,1925400,HUM
2017-11-15,234.68,234.68,228.52,228.67,1618800,HUM
2017-11-16,229.27,233.35,228.27,231.25,2041300,HUM
2017-11-17,230.24,232.99,228.67,228.85,1032400,HUM
2017-11-20,228.55,230.65,227.32,228.87,1768400,HUM
2017-11-21,229.41,232.02,229.2,231.75,1200100,HUM
2017-11-22,231.96,234.69,230.9,233.59,1259700,HUM
2017-11-24,234.65,236.96,232.51,235.76,557600,HUM
2017-11-27,237.04,239.25,234.81,238.75,1743500,HUM
2017-11-28,238.93,240.39,236.8,239.39,1075200,HUM
2017-11-29,238.82,246.1,237.97,245.19,1452900,HUM
2017-11-30,246.16,256.17,245.34,255.7,1937500,HUM
2017-12-01,255.66,256.79,246.65,253.42,1370700,HUM
2017-12-04,256.35,257.31,246.23,247.29,2500000,HUM
2017-12-05,247.28,250.61,246.35,248.33,927700,HUM
2017-12-06,249.04,249.54,244.47,245.35,1295700,HUM
2017-12-07,246.92,250.15,245.75,248.88,1031700,HUM
2017-12-08,248.55,253.01,246.78,251.42,985200,HUM
2017-12-11,251.42,252.46,246.77,248.03,947300,HUM
2017-12-12,247.88,250.6,245.87,249.61,898900,HUM
2017-12-13,249.6,252.97,248.23,251.18,1004100,HUM
2017-12-14,253.18,253.69,245.46,245.66,1352800,HUM
2017-12-15,247.57,252.16,245.06,248.63,2329500,HUM
2017-12-18,248.35,248.36,241.48,241.51,1262000,HUM
2017-12-19,240.86,243.19,237.22,240.31,1654200,HUM
2017-12-20,240.16,242.36,239.58,240.31,1037700,HUM
2017-12-21,240.09,241.68,238.48,238.77,889400,HUM
2017-12-22,239.44,240.52,238.01,240.16,692900,HUM
2017-12-26,240.25,244.99,240.25,241.38,980400,HUM
2017-12-27,241.15,244.81,240.63,243.25,1084300,HUM
2017-12-28,243.98,245.94,243.21,244.48,824000,HUM
2017-12-29,245.48,246.37,243.46,243.56,794600,HUM
2018-01-02,244.83,248.26,243.5,247.06,816900,HUM
2018-01-03,247.45,251.93,245.7,246.71,1214700,HUM
2018-01-04,248.26,255.24,248.26,253.66,1346100,HUM
2018-01-05,253.72,260.08,253.69,259.52,1226500,HUM
2018-01-08,259.08,259.08,252.38,253.85,1313000,HUM
2018-01-09,253.17,259.28,252.87,258.3,1162800,HUM
2018-01-10,257.5,259.04,256.26,258.32,928400,HUM
2018-01-11,259.08,262.26,257.79,260.39,770400,HUM
2018-01-12,264.04,267.04,260.36,263.15,1573400,HUM
2018-01-16,265.79,267.03,262.71,265.26,1769900,HUM
2018-01-17,267.04,271.05,265.68,270.74,1116800,HUM
2018-01-18,271.27,274.91,270.15,274.36,1310500,HUM
2018-01-19,275.67,275.82,272.12,274.22,1161200,HUM
2018-01-22,274.01,277.03,272.45,276.75,1152500,HUM
2018-01-23,275.64,278.77,273.12,277.72,1338000,HUM
2018-01-24,278.73,281.93,277.06,281.11,1196100,HUM
2018-01-25,280.94,282.02,278.0,280.71,924900,HUM
2018-01-26,282.64,283.77,280.55,283.05,1137000,HUM
2018-01-29,283.52,288.02,283.04,285.93,897600,HUM
2018-01-30,272.43,280.73,271.96,277.16,1620000,HUM
2018-01-31,282.71,285.63,275.79,276.71,1076200,HUM
2018-02-01,276.67,277.99,271.44,274.68,1013500,HUM
2018-02-02,272.91,274.71,268.89,271.47,940000,HUM
2018-02-05,270.0,271.43,261.5,262.24,1039300,HUM
2018-02-06,256.5,266.74,256.28,264.23,1387000,HUM
2018-02-07,258.22,263.51,255.27,260.08,1686500,HUM
2018-02-08,261.67,268.39,257.23,257.6,2035900,HUM
2018-02-09,259.79,263.17,256.38,260.5,1636000,HUM
2018-02-12,261.6,264.86,260.13,262.19,1012100,HUM
2018-02-13,259.13,264.38,256.5,263.2,1007800,HUM
2018-02-14,261.89,264.06,261.34,262.61,1101000,HUM
2018-02-15,264.06,265.05,258.34,262.59,861800,HUM
2018-02-16,262.03,265.76,261.42,264.11,672200,HUM
2018-02-20,262.85,263.85,261.37,262.47,844300,HUM
2018-02-21,263.1,265.44,261.47,261.54,650200,HUM
2018-02-22,263.39,265.79,262.45,262.94,961500,HUM
2018-02-23,263.85,266.54,262.28,266.26,1182000,HUM
2018-02-26,266.84,270.27,264.19,269.59,775600,HUM
2018-02-27,269.63,275.51,267.3,271.89,1018900,HUM
2018-02-28,271.96,272.95,266.88,266.88,1007100,HUM
2018-03-01,266.69,270.33,262.09,264.82,888000,HUM
2018-03-02,263.76,266.73,262.4,264.89,793000,HUM
2018-03-05,263.36,266.09,260.99,265.67,689000,HUM
2018-03-06,265.66,268.5,262.73,268.14,768200,HUM
2018-03-07,266.36,268.83,265.04,268.32,765500,HUM
2018-03-08,264.16,268.04,260.21,264.62,1741400,HUM
2018-03-09,265.46,270.65,262.16,267.55,1080100,HUM
2018-03-12,266.16,267.54,262.07,263.33,1050700,HUM
2018-03-13,265.34,265.96,263.17,265.07,888500,HUM
2018-03-14,265.27,266.97,264.17,265.58,740200,HUM
2018-03-15,266.29,268.09,264.76,266.16,811600,HUM
2018-03-16,266.72,268.96,266.0,267.77,2128200,HUM
2018-03-19,267.47,269.11,263.6,265.07,1217400,HUM
2018-03-20,265.72,270.9,264.09,268.63,1049200,HUM
2018-03-21,268.86,270.27,265.57,265.89,1178700,HUM
2018-03-22,265.09,265.09,260.72,260.89,955800,HUM
2018-03-23,260.67,262.88,256.6,256.84,819000,HUM
2018-03-26,258.26,263.57,257.86,263.23,929700,HUM
2018-03-27,264.6,266.73,261.2,262.78,908600,HUM
2018-03-28,263.41,264.71,260.65,263.18,925800,HUM
2018-03-29,264.11,267.01,258.73,264.44,1176200,HUM
2018-04-02,277.45,285.78,272.47,276.11,3364800,HUM
2018-04-03,276.48,280.47,275.18,277.85,1342700,HUM
2018-04-04,275.94,283.24,274.83,282.3,1096000,HUM
2018-04-05,282.31,283.91,279.37,282.59,746200,HUM
2018-04-06,282.27,282.67,275.28,279.09,697900,HUM
2018-04-09,280.33,282.8,279.59,280.34,696000,HUM
2018-04-10,283.15,283.92,280.02,282.15,456900,HUM
2018-04-11,280.36,281.67,276.79,277.67,559800,HUM
2018-04-12,278.96,281.99,277.48,280.89,589800,HUM
2018-04-13,282.49,284.23,281.57,282.92,411000,HUM
2018-04-16,285.26,287.16,284.26,285.21,979500,HUM
2018-04-17,289.57,292.54,288.48,291.45,1190500,HUM
2018-04-18,292.39,294.77,291.21,293.42,831300,HUM
2018-04-19,292.74,293.63,288.79,290.18,451500,HUM
2018-04-20,290.71,291.69,287.82,289.31,675200,HUM
2018-04-23,289.52,291.77,288.23,289.69,458400,HUM
2018-04-24,289.7,293.37,287.17,289.15,457600,HUM
2018-04-25,289.02,293.36,287.17,292.53,494400,HUM
2018-04-26,292.94,293.38,288.7,291.39,456100,HUM
2018-04-27,291.06,292.9,290.5,292.04,372400,HUM
2018-04-30,292.64,294.95,289.27,289.37,624100,HUM
2018-05-01,289.36,292.21,287.82,290.37,692500,HUM
2018-05-02,283.29,286.75,278.15,282.97,1366600,HUM
