Date,Open,High,Low,Close,Volume,Name
2017-07-03,134.15,136.29,134.1,135.9,2822500,IBM
2017-07-05,136.06,136.17,134.2,134.23,3564400,IBM
2017-07-06,133.96,134.37,132.97,133.09,2757500,IBM
2017-07-07,133.31,134.07,132.89,133.59,2460100,IBM
2017-07-10,133.57,134.42,133.32,134.01,3206200,IBM
2017-07-11,133.87,134.21,132.81,133.81,3447500,IBM
2017-07-12,134.06,134.73,133.69,134.26,3097900,IBM
2017-07-13,134.26,134.68,133.81,134.2,2476100,IBM
2017-07-14,134.53,135.06,133.99,134.73,3256400,IBM
2017-07-17,134.16,134.41,132.98,133.65,4762600,IBM
2017-07-18,133.09,134.77,132.77,134.52,7566800,IBM
2017-07-19,131.04,131.24,128.15,128.87,14293600,IBM
2017-07-20,128.87,130.0,128.43,128.98,7212200,IBM
2017-07-21,128.92,129.16,127.98,128.47,6509500,IBM
2017-07-24,128.4,128.44,127.36,127.52,3877600,IBM
2017-07-25,128.03,128.83,127.56,127.7,4208900,IBM
2017-07-26,127.77,127.93,126.19,126.97,3932400,IBM
2017-07-27,126.66,127.01,125.47,126.72,6430800,IBM
2017-07-28,126.49,126.69,125.64,126.04,3054800,IBM
2017-07-31,126.12,126.6,125.93,126.37,4355700,IBM
2017-08-01,126.66,127.24,126.41,126.92,3219500,IBM
2017-08-02,126.76,126.91,125.98,126.18,3540900,IBM
2017-08-03,126.16,126.95,126.16,126.6,3035400,IBM
2017-08-04,126.66,127.0,126.13,126.8,2549400,IBM
2017-08-07,126.66,126.74,124.69,125.32,4618300,IBM
2017-08-08,125.35,126.02,125.35,125.44,3298700,IBM
2017-08-09,125.13,125.37,124.63,125.14,2925800,IBM
2017-08-10,125.03,125.72,124.67,125.21,4525400,IBM
2017-08-11,125.74,125.87,124.92,125.21,3004000,IBM
2017-08-14,125.35,126.02,125.29,125.63,2248600,IBM
2017-08-15,125.83,126.53,124.09,125.41,4681500,IBM
2017-08-16,125.16,126.15,125.0,125.79,3287800,IBM
2017-08-17,125.81,126.13,124.2,124.2,4422100,IBM
2017-08-18,124.35,124.6,123.21,123.32,4152700,IBM
2017-08-21,123.22,123.95,122.81,123.87,3190700,IBM
2017-08-22,124.15,124.6,123.92,124.47,2544400,IBM
2017-08-23,124.2,126.27,124.18,125.47,4048300,IBM
2017-08-24,125.79,126.83,125.57,126.18,3592200,IBM
2017-08-25,126.49,127.28,126.45,126.88,2872900,IBM
2017-08-28,127.21,127.61,125.69,125.8,5086000,IBM
