Date,Open,High,Low,Close,Volume,Name
2017-07-03,174.24,176.49,173.31,174.13,527700,ILMN
2017-07-05,173.9,175.41,171.56,174.35,901400,ILMN
2017-07-06,172.8,173.92,170.15,172.32,838200,ILMN
2017-07-07,172.73,174.01,171.95,172.11,639100,ILMN
2017-07-10,170.88,171.15,167.98,169.0,1579800,ILMN
2017-07-11,169.75,174.5,169.26,173.15,1099400,ILMN
2017-07-12,174.79,175.32,172.65,173.23,781400,ILMN
2017-07-13,173.67,174.38,172.16,173.0,845700,ILMN
2017-07-14,173.83,174.99,171.19,172.33,1246300,ILMN
2017-07-17,171.97,173.39,171.22,171.74,1126400,ILMN
2017-07-18,171.97,173.92,169.7,173.66,1011300,ILMN
2017-07-19,174.66,175.85,173.12,173.88,622200,ILMN
2017-07-20,174.45,174.45,171.81,171.97,654000,ILMN
2017-07-21,171.37,173.46,171.37,172.75,1411400,ILMN
2017-07-24,172.48,174.04,171.02,173.99,1148000,ILMN
2017-07-25,175.0,175.0,171.76,173.85,853400,ILMN
2017-07-26,173.37,176.47,172.12,176.3,769800,ILMN
2017-07-27,176.5,177.8,173.01,174.33,1134500,ILMN
2017-07-28,174.44,175.71,173.25,174.92,626900,ILMN
2017-07-31,175.21,176.5,173.35,173.85,905700,ILMN
2017-08-01,173.96,173.96,170.31,172.3,1438900,ILMN
2017-08-02,188.0,198.47,188.0,197.85,5011200,ILMN
2017-08-03,197.0,198.57,195.04,198.46,2014700,ILMN
2017-08-04,198.44,198.55,194.38,194.47,1191900,ILMN
2017-08-07,195.26,199.95,195.14,199.58,937800,ILMN
2017-08-08,198.28,199.86,197.39,197.61,711100,ILMN
2017-08-09,197.53,199.82,196.76,199.23,1020800,ILMN
2017-08-10,197.6,198.97,194.43,194.65,1163600,ILMN
2017-08-11,195.7,197.72,194.1,194.25,696000,ILMN
2017-08-14,195.01,195.93,193.66,194.8,658500,ILMN
2017-08-15,194.82,195.87,193.83,193.92,545200,ILMN
2017-08-16,194.53,194.88,192.61,194.15,829700,ILMN
2017-08-17,193.59,195.83,191.16,191.2,659900,ILMN
2017-08-18,190.74,192.46,189.15,189.32,882000,ILMN
2017-08-21,189.61,192.06,189.34,190.68,576400,ILMN
2017-08-22,191.0,195.44,191.0,194.76,627700,ILMN
2017-08-23,193.63,194.6,192.09,193.62,545800,ILMN
2017-08-24,193.2,194.6,191.43,193.96,613100,ILMN
2017-08-25,195.29,195.29,191.06,192.19,555700,ILMN
2017-08-28,193.68,198.08,192.45,197.05,833000,ILMN
2017-08-29,194.99,196.44,193.63,195.94,496900,ILMN
2017-08-30,196.36,200.0,194.87,199.74,798500,ILMN
2017-08-31,200.0,205.21,199.13,204.46,1387400,ILMN
2017-09-01,205.0,207.49,203.73,207.15,824600,ILMN
2017-09-05,205.71,207.73,204.35,207.22,937700,ILMN
2017-09-06,208.1,209.42,204.8,207.42,658700,ILMN
2017-09-07,207.21,211.27,205.69,210.2,757000,ILMN
2017-09-08,209.61,210.97,208.81,209.68,437600,ILMN
2017-09-11,211.16,212.4,209.97,212.24,787500,ILMN
2017-09-12,213.21,214.04,209.55,213.93,954900,ILMN
2017-09-13,213.5,214.34,212.33,213.43,486500,ILMN
2017-09-14,212.59,212.61,210.6,211.04,676300,ILMN
2017-09-15,211.0,211.87,208.96,210.72,942600,ILMN
2017-09-18,211.37,211.94,208.8,209.4,561200,ILMN
2017-09-19,210.36,210.64,204.8,204.95,1045800,ILMN
2017-09-20,204.94,205.82,201.05,203.09,1071800,ILMN
2017-09-21,203.34,203.91,199.6,200.24,896300,ILMN
2017-09-22,199.69,201.94,199.69,201.41,986700,ILMN
2017-09-25,200.21,202.58,199.87,201.38,926900,ILMN
2017-09-26,202.06,202.77,197.63,198.44,767400,ILMN
2017-09-27,199.16,200.37,197.6,197.76,500500,ILMN
2017-09-28,197.2,199.37,196.0,199.0,541300,ILMN
2017-09-29,199.18,199.67,197.45,199.2,581700,ILMN
2017-10-02,199.45,203.07,199.24,202.23,828700,ILMN
2017-10-03,202.23,204.03,201.31,202.46,647900,ILMN
2017-10-04,202.39,206.0,202.39,205.77,550000,ILMN
2017-10-05,205.98,206.61,204.86,205.78,494200,ILMN
2017-10-06,205.97,206.62,203.82,204.18,602700,ILMN
2017-10-09,204.92,205.65,202.93,203.27,527500,ILMN
2017-10-10,203.5,204.39,202.0,204.15,537400,ILMN
2017-10-11,203.55,206.83,203.47,206.69,548200,ILMN
2017-10-12,207.21,211.49,207.1,208.24,657600,ILMN
2017-10-13,208.87,209.88,205.62,206.92,422100,ILMN
2017-10-16,207.25,208.11,205.7,206.23,485500,ILMN
2017-10-17,206.21,206.88,205.03,206.48,545400,ILMN
2017-10-18,206.64,207.99,205.3,205.62,470500,ILMN
2017-10-19,205.68,206.51,204.01,205.18,432600,ILMN
2017-10-20,205.58,211.66,204.01,209.88,726400,ILMN
2017-10-23,214.0,214.5,210.9,211.55,1325900,ILMN
2017-10-24,211.0,212.92,208.07,210.82,1704400,ILMN
2017-10-25,214.03,214.03,198.21,204.85,2631900,ILMN
2017-10-26,205.0,209.01,202.2,208.31,1081500,ILMN
2017-10-27,205.5,210.21,203.36,210.04,963900,ILMN
2017-10-30,209.55,210.6,203.03,203.81,671900,ILMN
2017-10-31,204.13,205.86,203.39,205.19,848200,ILMN
2017-11-01,206.49,208.27,205.2,207.74,750600,ILMN
2017-11-02,207.26,210.3,207.26,208.82,440400,ILMN
2017-11-03,207.88,214.18,207.23,213.99,635200,ILMN
2017-11-06,214.0,214.44,208.86,209.19,545200,ILMN
2017-11-07,209.63,212.4,208.66,211.74,696400,ILMN
2017-11-08,211.31,211.35,208.94,211.2,379100,ILMN
2017-11-09,209.0,210.56,207.72,209.61,347500,ILMN
2017-11-10,208.34,209.47,207.7,208.94,598600,ILMN
2017-11-13,207.78,209.39,206.73,209.14,372700,ILMN
2017-11-14,207.8,209.6,204.09,206.05,485900,ILMN
