Date,Open,High,Low,Close,Volume,Name
2017-07-03,89.49,90.89,89.49,90.64,551900,JBHT
2017-07-05,90.63,91.56,90.25,90.67,1604900,JBHT
2017-07-06,91.31,91.32,89.53,89.7,1085500,JBHT
2017-07-07,90.14,91.34,89.71,91.06,1122200,JBHT
2017-07-10,90.83,91.11,90.12,90.16,1155800,JBHT
2017-07-11,89.86,90.15,88.73,88.94,824900,JBHT
2017-07-12,89.62,90.8,88.99,89.4,582800,JBHT
2017-07-13,89.54,89.7,88.37,88.73,1146100,JBHT
2017-07-14,88.73,89.74,88.5,89.31,1031400,JBHT
2017-07-17,87.97,91.83,87.78,90.94,2422100,JBHT
2017-07-18,90.6,91.15,89.24,89.46,1125100,JBHT
2017-07-19,89.53,89.59,88.6,89.16,804300,JBHT
2017-07-20,88.98,89.23,88.15,89.0,530400,JBHT
2017-07-21,88.77,89.61,88.0,89.02,1092700,JBHT
2017-07-24,88.8,89.17,88.0,89.01,718300,JBHT
2017-07-25,89.74,91.45,89.61,90.78,971000,JBHT
2017-07-26,90.89,91.24,90.31,91.01,729600,JBHT
2017-07-27,90.6,90.81,87.58,88.33,1078000,JBHT
2017-07-28,88.19,89.07,87.86,87.87,712800,JBHT
2017-07-31,87.97,88.51,87.71,88.2,644400,JBHT
2017-08-01,88.94,88.94,86.37,87.03,756000,JBHT
2017-08-02,86.62,87.62,86.55,87.16,553200,JBHT
2017-08-03,87.04,87.59,86.67,87.04,842300,JBHT
2017-08-04,87.23,88.7,87.07,88.25,766200,JBHT
2017-08-07,88.11,88.62,87.61,88.38,553400,JBHT
2017-08-08,88.11,89.26,87.55,88.62,651700,JBHT
2017-08-09,88.38,89.88,87.88,89.85,1020000,JBHT
2017-08-10,89.28,90.55,89.24,89.78,1332900,JBHT
2017-08-11,90.39,92.83,90.39,92.31,1306500,JBHT
2017-08-14,92.75,94.17,92.74,93.88,1604300,JBHT
2017-08-15,93.97,95.33,93.79,94.93,1243800,JBHT
2017-08-16,95.19,95.82,94.79,94.85,1166700,JBHT
2017-08-17,94.56,94.95,93.51,94.45,1075400,JBHT
2017-08-18,94.34,95.16,93.57,94.2,988800,JBHT
2017-08-21,94.24,95.6,93.84,94.9,766800,JBHT
2017-08-22,95.3,95.83,94.97,95.43,1040900,JBHT
2017-08-23,95.14,95.22,94.39,94.64,530100,JBHT
2017-08-24,94.72,95.04,93.87,94.13,784100,JBHT
2017-08-25,94.54,95.91,94.21,95.2,833300,JBHT
2017-08-28,95.58,96.85,95.58,96.62,633700,JBHT
2017-08-29,96.26,98.66,96.02,97.54,911700,JBHT
2017-08-30,97.44,98.23,97.14,97.27,1297400,JBHT
2017-08-31,97.58,97.58,95.79,96.4,1021300,JBHT
2017-09-01,96.91,97.39,96.03,96.85,566100,JBHT
2017-09-05,96.72,97.11,95.67,96.13,809900,JBHT
2017-09-06,96.45,97.04,95.8,96.59,852200,JBHT
2017-09-07,97.0,98.37,96.74,98.2,1239900,JBHT
2017-09-08,98.2,99.46,97.71,99.27,753800,JBHT
2017-09-11,99.65,100.4,98.29,98.94,810400,JBHT
2017-09-12,99.03,99.46,98.56,99.03,531000,JBHT
2017-09-13,98.67,98.67,97.21,98.06,543700,JBHT
2017-09-14,97.67,98.24,96.83,97.32,1321900,JBHT
2017-09-15,97.5,99.16,97.15,99.01,1087900,JBHT
2017-09-18,99.03,100.31,98.94,100.17,753000,JBHT
2017-09-19,100.25,100.84,99.89,100.08,548700,JBHT
2017-09-20,100.32,101.67,99.92,101.63,1217000,JBHT
2017-09-21,101.95,103.06,101.44,102.03,787700,JBHT
2017-09-22,102.16,103.25,102.03,103.09,510800,JBHT
2017-09-25,102.81,103.21,101.7,102.29,766800,JBHT
2017-09-26,102.45,104.69,101.96,104.38,1005500,JBHT
2017-09-27,104.6,106.46,104.33,106.14,1262200,JBHT
2017-09-28,106.1,106.78,105.8,106.16,567100,JBHT
2017-09-29,108.29,108.79,107.01,108.28,1250500,JBHT
2017-10-02,108.63,109.16,104.81,106.24,1171700,JBHT
2017-10-03,106.77,107.85,105.83,106.32,717700,JBHT
2017-10-04,106.04,106.7,105.61,105.92,1311800,JBHT
2017-10-05,105.59,105.98,103.81,104.18,1105500,JBHT
2017-10-06,104.14,105.26,103.65,104.04,732400,JBHT
2017-10-09,103.99,104.23,102.44,103.24,737900,JBHT
2017-10-10,103.42,103.64,102.74,103.5,705400,JBHT
2017-10-11,103.58,103.78,102.46,103.02,631800,JBHT
2017-10-12,103.14,105.69,102.94,105.62,1256100,JBHT
2017-10-13,104.82,106.01,101.11,101.39,1972200,JBHT
2017-10-16,100.84,100.84,97.73,99.08,1800400,JBHT
2017-10-17,98.92,100.03,98.67,99.85,929000,JBHT
2017-10-18,99.94,102.42,99.94,101.82,927000,JBHT
2017-10-19,101.36,102.37,100.83,102.15,660800,JBHT
2017-10-20,102.61,104.79,101.95,103.9,1086300,JBHT
2017-10-23,105.77,106.0,103.91,104.7,641900,JBHT
2017-10-24,104.73,105.54,103.45,103.63,906600,JBHT
2017-10-25,103.53,103.97,102.99,103.55,910200,JBHT
2017-10-26,103.63,106.66,103.53,106.14,620100,JBHT
2017-10-27,106.0,106.91,105.68,106.85,635400,JBHT
2017-10-30,105.93,105.93,102.37,102.61,1125100,JBHT
2017-10-31,102.71,103.86,101.39,103.71,1194900,JBHT
2017-11-01,104.05,104.99,103.34,103.51,641800,JBHT
2017-11-02,103.75,104.94,103.09,104.9,525500,JBHT
2017-11-03,104.7,105.91,103.73,104.75,736100,JBHT
2017-11-06,104.5,106.12,103.85,105.35,830200,JBHT
2017-11-07,105.06,105.85,103.72,104.19,972000,JBHT
2017-11-08,103.95,103.95,100.66,101.95,1447300,JBHT
2017-11-09,101.69,101.69,98.53,99.65,1255000,JBHT
2017-11-10,99.68,99.91,98.88,99.5,729700,JBHT
2017-11-13,99.57,100.66,99.13,100.21,918300,JBHT
2017-11-14,99.67,100.35,99.3,100.11,848100,JBHT
2017-11-15,99.99,100.53,98.82,99.2,677000,JBHT
2017-11-16,99.53,100.82,98.88,100.6,848400,JBHT
2017-11-17,101.34,101.88,98.64,99.1,999800,JBHT
2017-11-20,99.0,99.64,98.45,99.37,358300,JBHT
2017-11-21,99.92,101.0,99.17,100.84,770900,JBHT
2017-11-22,100.98,102.12,100.78,101.61,474100,JBHT
2017-11-24,101.6,102.56,101.56,101.76,206500,JBHT
2017-11-27,101.88,102.33,100.87,101.25,465000,JBHT
2017-11-28,101.93,103.6,100.93,103.58,764300,JBHT
