Date,Open,High,Low,Close,Volume,Name
2017-07-03,25.87,25.96,25.56,25.58,1818500,JNPR
2017-07-05,25.69,26.04,25.6,25.99,3979100,JNPR
2017-07-06,25.83,25.94,25.59,25.63,4180900,JNPR
2017-07-07,25.69,26.27,25.69,26.23,3434300,JNPR
2017-07-10,26.65,27.0,26.54,26.93,10964600,JNPR
2017-07-11,26.93,26.99,26.66,26.84,3341000,JNPR
2017-07-12,26.99,27.07,26.72,26.9,4221300,JNPR
2017-07-13,26.96,27.02,26.81,26.82,2771100,JNPR
2017-07-14,26.84,26.87,26.63,26.75,2615700,JNPR
2017-07-17,26.74,26.89,26.68,26.86,3705000,JNPR
2017-07-18,26.69,26.84,26.39,26.61,3199400,JNPR
2017-07-19,26.74,27.16,26.65,27.08,6228700,JNPR
2017-07-20,27.09,27.18,26.75,26.94,3361700,JNPR
2017-07-21,27.29,27.34,26.97,27.14,4103300,JNPR
2017-07-24,27.09,27.27,26.98,27.17,4279000,JNPR
2017-07-25,27.22,27.93,27.2,27.63,8213400,JNPR
2017-07-26,26.01,26.8,25.61,25.87,13815300,JNPR
2017-07-27,25.96,25.99,25.4,25.64,8122200,JNPR
2017-07-28,25.51,25.71,25.51,25.61,4950200,JNPR
2017-07-31,25.7,25.85,25.64,25.77,5388200,JNPR
2017-08-01,25.84,26.09,25.68,26.07,4641900,JNPR
2017-08-02,26.09,26.2,25.79,26.02,4711100,JNPR
2017-08-03,26.06,26.24,25.98,26.13,4061100,JNPR
2017-08-04,26.22,26.24,25.84,25.95,4398700,JNPR
2017-08-07,25.99,26.14,25.9,26.09,3775600,JNPR
2017-08-08,26.06,26.25,26.03,26.05,3203400,JNPR
2017-08-09,25.89,26.23,25.85,26.12,4806900,JNPR
2017-08-10,25.97,26.11,25.27,25.3,8143500,JNPR
2017-08-11,25.3,25.57,25.25,25.28,5516100,JNPR
2017-08-14,25.55,25.78,25.55,25.75,2827400,JNPR
2017-08-15,25.84,25.87,25.3,25.39,5624000,JNPR
2017-08-16,25.45,25.62,25.41,25.59,2437100,JNPR
2017-08-17,25.44,25.56,25.02,25.04,3039300,JNPR
2017-08-18,25.0,25.25,24.97,25.04,2880400,JNPR
2017-08-21,25.02,25.11,24.82,25.03,2460300,JNPR
2017-08-22,25.17,25.46,25.15,25.42,2082600,JNPR
2017-08-23,25.28,25.36,25.16,25.2,1511100,JNPR
2017-08-24,25.3,25.36,25.21,25.3,1932300,JNPR
2017-08-25,25.46,25.63,25.39,25.4,1317200,JNPR
2017-08-28,25.45,25.53,25.28,25.39,1082500,JNPR
